dates,nzd0406-0000,nzd0406-0001,nzd0406-0002,nzd0406-0003,nzd0406-0004,nzd0406-0005,nzd0406-0006,nzd0406-0007,nzd0406-0008,nzd0406-0009,nzd0406-0010,satname
2008-02-25 21:58:00.859,,396.63,404.56,,,437.04,450.16,415.03,423.63,,420.19,L5
2008-12-25 21:52:09.965,335.15,329.29,338.73,349.95,339.54,363.74,367.65,352.06,327.14,328.97,326.25,L5
2010-01-13 21:58:24.995,339.88,336.12,349.02,350.16,351.77,364.79,370.94,363.13,340.24,343.52,349.54,L5
2010-01-29 21:58:29.033,337.765,332.6,345.83,352.99,351.99,368.45000000000005,371.805,366.855,338.68,342.58,344.77,L5
2011-09-13 21:56:09.668,337.45,327.79,332.32,341.36,348.99,361.49,365.8,356.27,331.98,336.64,334.29,L5
2013-05-29 22:09:41.256,,,,,,342.66,349.99,338.25,330.1,323.05,328.94,L8
2013-06-30 22:09:35.948,286.2,310.55,307.84,,,342.115,349.32500000000005,339.71500000000003,330.59000000000003,328.805,331.125,L8
2013-07-16 22:09:36.403,286.2,310.55,308.57,336.15,,343.09666666666664,345.05333333333334,338.5733333333333,330.59000000000003,326.8433333333333,330.3066666666667,L8
2013-09-02 22:09:40.433,302.41999999999996,311.35,312.9166666666667,336.15,324.71,345.5525,347.1375,341.07,328.81,326.0475,329.3075,L8
2014-01-24 22:08:45.323,305.085,312.15,321.61,,324.71,339.375,339.77,334.225,325.25,323.66,326.31,L8
2014-03-13 22:08:09.214,309.67999999999995,320.27,307.24,344.23,329.19,337.975,340.835,336.15999999999997,326.88,329.0,330.04,L8
2014-04-30 22:07:22.351,315.28,317.575,314.58500000000004,342.69500000000005,329.19,342.9433333333333,347.58666666666664,338.0933333333333,331.235,334.28499999999997,335.63,L8
2014-06-01 22:07:14.657,316.075,314.13,309.88000000000005,342.69500000000005,329.19,336.015,346.8975,338.7525,333.73,335.1333333333333,339.15333333333336,L8
2014-07-03 22:07:25.958,317.918,314.5475,314.695,342.52,336.72,339.654,348.296,341.37,337.77750000000003,338.9275,343.21750000000003,L8
2014-08-04 22:07:38.344,319.37600000000003,312.99,312.668,339.15000000000003,336.72,341.03000000000003,353.8325,343.596,337.77750000000003,335.61,339.16400000000004,L8
2014-10-23 22:07:51.237,317.26250000000005,316.986,321.786,345.25,357.79499999999996,345.29200000000003,357.57499999999993,347.116,345.585,340.46,341.44500000000005,L8
2014-11-08 22:07:51.967,313.7125,315.3,321.63,343.9575,347.2,345.866,356.78749999999997,347.98400000000004,344.92,339.482,336.78000000000003,L8
2014-12-26 22:07:42.898,313.47749999999996,315.99799999999993,326.918,343.02,344.325,351.88,356.1975,347.928,341.0525,338.27599999999995,333.3275,L8
2015-02-12 22:07:27.072,312.39666666666665,316.22749999999996,330.93,345.49249999999995,344.34999999999997,353.565,354.87500000000006,350.9575,332.725,335.255,325.43333333333334,L8
2015-02-28 22:07:24.273,316.23,318.196,333.36199999999997,346.272,345.2075,355.108,357.44000000000005,350.944,336.91999999999996,337.86199999999997,335.5025,L8
2015-04-01 22:07:01.610,316.02,316.7366666666667,329.49666666666667,346.65000000000003,333.928,354.72666666666663,358.59666666666664,350.5833333333333,326.545,337.98333333333335,338.378,L8
2015-05-19 22:06:40.529,316.955,313.43000000000006,325.75,343.82000000000005,308.095,350.668,354.0,345.56800000000004,305.302,334.9925,338.67400000000004,L8
2015-06-20 22:06:56.810,316.955,313.43000000000006,325.75,343.82000000000005,295.128,349.665,353.5716666666667,344.5933333333333,298.32,332.664,337.8433333333333,L8
2015-07-22 22:07:13.408,316.76666666666665,314.33000000000004,325.36333333333334,345.33666666666676,278.414,347.73499999999996,353.1433333333334,344.0933333333333,289.315,331.148,337.09166666666664,L8
2015-08-23 22:07:24.416,314.01,312.55,326.63,330.87333333333333,280.67333333333335,348.48333333333335,353.0883333333333,343.0783333333333,284.44166666666666,330.89,337.0266666666667,L8
2015-09-08 22:07:30.411,306.82,305.6133333333333,310.17,324.3833333333334,269.97166666666664,346.33666666666664,349.78833333333336,339.65833333333336,274.2816666666667,324.946,329.30833333333334,L8
2015-10-10 22:07:38.780,302.5466666666667,301.80333333333334,312.32,318.5366666666667,266.75666666666666,345.175,347.84666666666664,338.1566666666667,278.06,320.808,323.5433333333333,L8
2015-11-27 22:07:47.119,302.5466666666667,301.80333333333334,335.1,318.5366666666667,268.09,343.778,356.90333333333336,337.654,297.0083333333334,329.09999999999997,323.44399999999996,L8
2015-12-13 22:07:45.395,302.5466666666667,301.80333333333334,342.0333333333333,318.5366666666667,268.09,350.5333333333333,360.13,337.654,305.34285714285716,334.15857142857146,323.44399999999996,L8
2016-02-15 22:07:33.404,303.15,302.575,336.28,323.45000000000005,281.68666666666667,353.41400000000004,362.3883333333333,337.48,322.52333333333337,336.56333333333333,319.5075,L8
2016-03-02 22:07:31.352,302.08500000000004,293.975,329.96799999999996,333.0366666666667,273.7366666666667,352.43600000000004,361.4166666666667,334.75,329.554,339.67600000000004,316.53749999999997,L8
2016-03-18 22:07:25.821,305.02250000000004,294.93,329.19166666666666,338.00666666666666,287.90333333333336,352.936,362.73333333333335,339.6975,336.94000000000005,343.61799999999994,318.505,L8
2016-04-19 22:07:10.819,309.56,298.0025,329.035,342.32,295.24,354.206,363.87000000000006,341.56000000000006,344.536,347.15,324.43,L8
2016-06-06 22:07:18.940,306.77,295.94,321.27166666666665,340.4525,284.7425,353.37000000000006,356.41,341.536,337.6775,340.914,326.49,L8
2016-07-08 22:07:32.591,308.22,299.2283333333333,315.90500000000003,340.446,284.7425,347.6933333333333,352.7266666666667,342.65000000000003,333.96500000000003,335.146,328.3066666666667,L8
2016-07-24 22:07:37.782,308.22,299.2283333333333,313.4142857142857,337.49666666666667,280.024,346.8128571428571,352.0257142857143,342.3728571428572,333.96500000000003,332.96166666666664,327.3314285714286,L8
2016-08-09 22:07:39.758,312.5757142857143,304.1042857142857,316.85125,338.48285714285714,280.024,347.8125,352.76875,342.4875,334.946,334.31,329.445,L8
2016-09-10 22:07:51.328,316.99833333333333,310.75,317.05428571428575,336.8385714285714,284.236,349.2085714285714,354.5214285714286,344.38142857142856,332.98199999999997,334.6085714285714,332.55285714285714,L8
2016-10-12 22:07:57.049,316.816,311.084,315.67833333333334,335.50666666666666,273.7775,348.9266666666667,354.3083333333334,350.75714285714287,333.80999999999995,333.99666666666667,333.43333333333334,L8
2016-12-15 22:07:53.950,322.6533333333333,319.1433333333334,324.776,339.53200000000004,275.16499999999996,353.376,357.026,355.7266666666667,333.3066666666666,339.31600000000003,331.71999999999997,L8
2016-12-31 22:07:51.584,317.725,314.305,326.27000000000004,337.93666666666667,290.06666666666666,352.06666666666666,356.38166666666666,353.7314285714286,328.575,335.975,328.788,L8
2017-01-16 22:07:46.911,321.015,315.3275,327.965,337.825,305.8025,351.55999999999995,355.88166666666666,351.6685714285714,324.255,334.6466666666667,328.90600000000006,L8
2017-04-06 22:07:09.788,312.9866666666666,309.54333333333335,333.4725,342.0425,336.44000000000005,352.74249999999995,357.02000000000004,355.384,320.21,335.605,327.09000000000003,L8
2017-04-22 22:07:00.199,309.90999999999997,309.485,330.556,340.91999999999996,336.44000000000005,351.474,355.70200000000006,344.518,322.5125,332.776,326.14250000000004,L8
2017-05-24 22:07:10.251,306.23199999999997,307.804,325.43833333333333,338.17333333333335,336.44000000000005,350.47999999999996,354.9116666666667,343.82666666666665,323.976,332.2083333333333,326.014,L8
2017-06-25 22:07:23.481,308.8183333333333,311.0933333333333,323.82166666666666,335.755,340.8933333333334,348.7716666666667,352.545,342.5316666666667,328.99333333333334,328.1666666666667,330.88500000000005,L8
2017-08-28 22:07:43.849,306.01,310.62600000000003,319.54200000000003,335.148,332.74,347.118,349.26,343.584,332.162,329.152,331.514,L8
2017-10-31 22:07:55.807,307.32666666666665,311.58,330.3175,334.7533333333334,346.27666666666664,356.62499999999994,357.85249999999996,352.01,336.11999999999995,332.13,336.0133333333333,L8
2017-12-02 22:07:46.733,313.3666666666667,313.6433333333334,336.66999999999996,336.4066666666667,343.5025,357.2049999999999,358.27250000000004,351.28499999999997,332.96666666666664,330.67,335.69,L8
2018-04-25 22:06:50.725,323.98,314.64,337.43666666666667,337.61,355.33666666666664,365.1333333333334,366.44666666666666,353.1066666666666,337.20500000000004,342.57,343.075,L8
2018-05-27 22:06:28.609,323.98,314.64,328.03499999999997,337.61,346.33,348.1966666666667,352.0833333333333,339.19666666666666,310.8833333333334,342.57,335.6133333333333,L8
2018-06-28 22:06:40.110,306.90999999999997,313.735,330.81,339.005,357.48,346.73333333333335,352.05,340.4633333333333,295.21000000000004,345.32,338.37333333333333,L8
2018-08-31 22:07:11.120,308.8566666666666,310.52,319.615,334.25666666666666,325.235,344.9525,350.15250000000003,337.84749999999997,296.6125,337.9866666666667,333.39750000000004,L8
2018-10-18 22:07:29.549,309.65250000000003,308.7125,319.37333333333333,332.72249999999997,326.76666666666665,345.654,348.636,338.012,301.16,334.925,330.90999999999997,L8
2018-12-21 22:07:30.529,300.2875,300.7575,311.5933333333333,328.3566666666666,312.37666666666667,341.47749999999996,344.37,335.15000000000003,299.95250000000004,323.56,322.12,L8
2019-01-22 22:07:26.086,306.84250000000003,297.5,313.19,327.1433333333334,315.275,342.69,343.7025,333.865,311.1475,321.2475,318.6375,L8
2019-02-07 22:07:23.498,306.84250000000003,304.65999999999997,319.544,334.25,324.524,347.442,347.816,340.668,319.892,328.982,318.6375,L8
2019-03-11 22:07:14.802,306.61,304.92400000000004,319.726,335.48,321.19,345.698,346.404,340.34000000000003,324.66,330.39750000000004,319.3425,L8
2019-05-30 22:07:21.058,304.8,305.33250000000004,319.935,337.93333333333334,305.046,342.198,347.09399999999994,340.342,326.43,331.95000000000005,319.1625,L8
2019-06-15 22:07:27.730,304.8,305.40200000000004,309.954,336.4425,295.65833333333336,342.26500000000004,347.125,340.255,326.43,330.46000000000004,322.21999999999997,L8
2019-07-01 22:07:32.340,305.04,308.966,310.004,336.54200000000003,293.2516666666666,344.90166666666664,350.33166666666665,343.335,336.85999999999996,338.415,329.104,L8
2019-08-02 22:07:41.830,316.49,316.31399999999996,313.13599999999997,340.058,300.685,348.27833333333336,353.96166666666664,346.7483333333334,347.5933333333333,346.175,337.846,L8
2019-08-18 22:07:47.079,317.245,312.134,308.198,335.828,297.4916666666667,345.49166666666673,351.93,342.0683333333333,340.5533333333333,338.395,337.79833333333335,L8
2019-10-05 22:08:00.157,323.3725,315.214,312.712,339.132,310.56666666666666,350.69,353.84666666666664,345.305,338.445,337.43199999999996,341.57666666666665,L8
2019-10-21 22:08:01.720,323.964,315.29833333333335,315.29833333333335,339.58666666666664,315.8642857142857,349.62857142857143,352.6271428571428,345.27714285714285,336.63399999999996,336.7833333333333,340.81857142857143,L8
2019-12-08 22:07:56.574,328.48333333333335,319.59999999999997,321.0785714285715,342.7957142857143,331.75,354.9428571428571,355.57857142857137,350.89000000000004,339.12166666666667,339.09142857142854,347.2785714285714,L8
2020-01-09 22:07:49.551,331.5116666666667,322.18,334.2233333333333,345.46333333333337,353.4316666666666,357.66333333333336,356.44,352.4866666666667,339.02,338.80833333333334,344.5216666666667,L8
2020-02-10 22:07:40.719,328.7183333333333,318.1266666666667,333.9933333333333,344.0466666666666,349.68333333333334,353.64000000000004,353.01,351.305,336.92833333333334,337.72666666666663,337.7633333333333,L8
2020-03-13 22:07:30.028,327.87166666666667,318.55,334.86,344.42833333333334,347.85833333333335,352.555,353.46999999999997,352.23,338.4066666666667,338.8566666666666,335.76500000000004,L8
2020-05-16 22:07:03.451,313.67600000000004,315.46400000000006,329.86800000000005,342.564,332.46,350.62600000000003,354.41999999999996,352.28000000000003,325.47200000000004,340.90200000000004,336.132,L8
