dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
2014-01-24 22:07:09+00:00,,298.2325,307.1325,277.695,286.94,278.4725,287.59999999999997,276.72749999999996,299.435,276.29,310.7525,316.8875,320.7875,311.41499999999996,277.345,292.97749999999996,278.0075,308.375,327.705,328.2475,331.78999999999996,275.2475,277.98,242.2266666666667,L8
2014-02-09 22:06:33+00:00,,301.414,311.26599999999996,283.918,291.012,282.85,292.03,281.566,303.276,283.804,314.052,319.76800000000003,323.22200000000004,314.43199999999996,284.4766666666667,296.514,280.154,310.79200000000003,330.18199999999996,330.38599999999997,334.844,280.55,278.5,255.0325,L8
2014-02-25 22:06:20+00:00,,308.188,320.09399999999994,295.162,298.372,290.692,301.58750000000003,290.654,309.27200000000005,295.404,318.604,324.32000000000005,327.442,318.46799999999996,297.19666666666666,301.154,283.79,314.034,333.416,332.71999999999997,338.658,288.642,279.2866666666667,276.54,L8
2014-03-29 22:05:52+00:00,,313.065,330.142,307.77000000000004,310.278,301.31399999999996,312.64,300.126,317.26599999999996,310.11400000000003,326.45199999999994,331.868,334.73,326.04,297.19666666666666,307.85600000000005,291.602,321.21,337.438,336.178,342.93,298.81000000000006,279.6225,302.1925,L8
2014-04-30 22:05:46+00:00,,315.15999999999997,330.895,309.3066666666667,310.0916666666667,302.53,312.96799999999996,301.22666666666663,318.28666666666663,311.79833333333335,327.91333333333336,332.81166666666667,335.3933333333333,327.03000000000003,296.475,308.77000000000004,291.66833333333335,322.495,338.6933333333333,337.52500000000003,344.26500000000004,299.6016666666667,279.466,300.826,L8
2014-05-16 22:05:09+00:00,,312.49666666666667,328.42857142857144,309.3066666666667,306.9742857142857,299.1928571428571,308.6383333333333,297.2742857142857,315.7342857142857,311.79833333333335,325.7542857142857,331.09285714285716,333.5057142857143,325.59285714285716,296.475,306.88571428571424,289.7314285714286,321.0571428571429,337.7314285714286,336.67571428571426,343.3557142857143,297.65857142857146,279.466,300.826,L8
2014-06-17 22:05:44+00:00,,313.0516666666667,327.8514285714286,316.736,308.23,299.01142857142855,305.79571428571427,297.21714285714285,315.6085714285714,319.636,326.57000000000005,331.88571428571424,334.15000000000003,327.4371428571429,296.475,308.1642857142857,290.31428571428575,322.52714285714285,338.83,337.61428571428576,345.4542857142857,297.4642857142857,272.92333333333335,300.826,L8
2014-08-20 22:06:06+00:00,,313.81800000000004,328.2366666666667,320.085,307.9066666666667,300.31,307.6416666666667,296.585,314.84499999999997,321.4375,327.45666666666665,332.2716666666667,333.08166666666665,328.25666666666666,300.05333333333334,308.1616666666667,291.3416666666667,323.1333333333333,338.4216666666667,338.3883333333333,346.8633333333333,297.9683333333333,272.98,304.03000000000003,L8
2014-10-07 22:05:49+00:00,,310.175,326.32,324.8566666666667,305.48400000000004,292.6875,301.7425,288.87,316.186,320.6933333333333,325.24800000000005,329.73,330.666,325.778,309.06333333333333,306.828,288.754,320.45,337.62800000000004,338.44599999999997,346.572,297.01800000000003,268.495,301.63,L8
2014-11-08 22:05:52+00:00,,305.72,324.235,328.78999999999996,304.565,287.38,297.56333333333333,282.9166666666667,325.01800000000003,320.93,332.738,336.71400000000006,335.58000000000004,324.2275,316.44,314.6,287.9425,326.492,339.146,339.976,347.384,303.704,265.0466666666667,314.8966666666667,L8
2015-02-28 22:05:48+00:00,,333.87,341.445,332.93,333.51,330.89,327.63,337.08,345.8566666666666,329.06,348.00666666666666,350.0333333333333,349.3533333333333,338.47,318.135,327.04,301.93,337.53333333333336,345.31666666666666,345.24666666666667,352.07666666666665,324.0466666666667,277.195,315.24000000000007,L8
2015-05-19 22:05:04+00:00,,308.95,313.45,297.25,308.08,301.44,305.195,302.135,312.125,297.96500000000003,323.025,330.83500000000004,332.91999999999996,330.895,313.38,303.735,290.46000000000004,319.325,336.655,337.795,343.28,280.99,283.82,306.66,L8
2015-06-04 22:04:48+00:00,,303.78,312.56666666666666,288.4766666666667,301.07666666666665,292.4533333333333,298.26666666666665,291.65000000000003,307.32666666666665,288.4433333333333,318.6933333333333,326.88000000000005,328.52,325.7933333333333,313.38,299.8666666666666,286.22,316.4066666666667,333.58,334.9666666666667,340.5933333333333,280.99,283.82,306.66,L8
2015-07-06 22:05:30+00:00,,299.1125,308.4975,281.405,292.9275,283.5175,290.7525,283.9325,303.255,273.355,311.9175,322.13,328.52,325.7933333333333,313.38,299.8666666666666,283.03,311.0725,322.6675,332.48,336.9125,280.99,283.82,306.66,L8
2015-07-22 22:05:13+00:00,,298.02200000000005,305.45,278.224,291.56,281.0,289.162,279.934,301.75,267.828,311.066,321.12600000000003,325.28,322.9175,313.38,297.705,281.796,310.936,323.51800000000003,332.026,336.764,266.5366666666667,283.82,306.66,L8
2015-08-07 22:05:16+00:00,,296.12833333333333,302.40333333333336,269.73,285.5083333333333,274.32166666666666,289.162,274.28833333333336,301.75,267.828,308.8833333333333,318.5083333333334,325.28,322.9175,313.38,293.46,280.165,309.6166666666666,323.29833333333335,330.62166666666667,335.98333333333335,262.765,283.82,306.66,L8
2015-08-23 22:05:48+00:00,,295.2271428571429,300.4985714285714,267.7157142857143,285.32,273.6014285714286,287.6983333333333,272.90285714285716,300.5733333333333,264.42333333333335,308.38571428571424,317.63,322.788,320.518,313.38,292.59,279.3642857142857,309.36428571428576,323.6771428571428,330.33714285714285,336.31857142857143,261.418,283.82,306.66,L8
2015-12-29 22:06:09+00:00,,288.81250000000006,291.44749999999993,252.14499999999998,273.5025,259.4625,277.13000000000005,258.8425,293.82,240.40333333333334,300.655,310.69249999999994,327.22,312.605,,285.31333333333333,274.22249999999997,304.08250000000004,323.51599999999996,330.976,337.072,248.36999999999998,,,L8
2016-04-19 22:05:34+00:00,,280.08,281.48,264.21,280.7,270.15,280.7,261.43,291.42,262.04,304.78,312.92,334.35,313.6,,288.16,274.49,305.87,337.225,329.685,338.94000000000005,231.95,,,L8
2016-07-24 22:06:01+00:00,,285.85,286.385,252.91,281.725,268.855,281.575,262.02,291.45000000000005,258.725,305.98,314.82500000000005,317.175,315.23,,289.4,275.855,307.78499999999997,325.31,319.58500000000004,328.94000000000005,239.605,,,L8
2016-09-10 22:05:51+00:00,,295.74333333333334,299.84,273.1466666666667,290.62666666666667,281.19,291.45,275.81333333333333,300.74333333333334,277.48,313.73333333333335,320.09999999999997,321.86333333333334,320.25,294.03,297.27,280.83,312.02666666666664,329.64000000000004,326.17,335.58,261.3666666666666,272.55,291.71,L8
2016-10-28 22:05:59+00:00,,311.51666666666665,319.37,293.27666666666664,303.5566666666667,295.6433333333334,303.5933333333333,294.84666666666664,313.46999999999997,299.2533333333334,324.3333333333333,327.4266666666667,328.49,327.54333333333335,295.745,306.7833333333333,289.87666666666667,318.56666666666666,335.06,335.4533333333333,342.81,287.7366666666666,273.86,297.045,L8
2017-01-16 22:05:47+00:00,,311.51666666666665,319.37,309.905,303.5566666666667,295.6433333333334,303.5933333333333,294.84666666666664,313.46999999999997,299.2533333333334,324.3333333333333,338.2075,335.7375,333.93,295.745,317.1875,302.6125,327.125,340.735,340.84749999999997,346.95500000000004,287.7366666666666,273.86,297.045,L8
2017-03-05 22:05:50+00:00,,318.21999999999997,331.2366666666666,326.64000000000004,309.99333333333334,306.2066666666667,312.3233333333333,308.02,322.47,320.0,330.7033333333333,341.6975,338.8875,336.72,295.39666666666665,321.655,305.87,329.8325,343.1925,344.98749999999995,350.495,306.36333333333334,274.6366666666667,297.045,L8
