dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2003-10-25 21:43:40.253000,L5,424.05,389.09,388.92,389.02,386.89,368.09,344.09,350.82,355.36,362.51,359.06,359.11,355.45,365.90,350.43,356.70,352.27,336.37,328.57,332.01,370.97,362.08,353.61,370.71
2003-11-19 21:38:14.402000,L5,404.39,345.52,357.76,,,316.10,313.03,318.98,322.14,341.75,345.18,348.10,349.45,343.43,311.48,310.65,316.47,325.77,251.29,280.84,332.29,340.81,335.30,351.59
2004-02-14 21:44:57.678000,L5,394.70,337.13,336.90,319.30,312.00,310.40,301.32,307.81,325.36,337.51,340.26,346.01,351.15,339.81,294.84,295.91,308.68,312.88,255.59,278.36,332.66,335.26,330.76,345.34
2004-03-01 21:44:38.581000,L5,372.89,304.10,328.02,303.42,,,,,,,,,,,,,,285.88,209.75,,,310.50,310.87,326.98
2004-03-17 21:45:08.368000,L5,,,,,,,,,,,,,,,,,,281.45,,,,304.51,301.22,319.05
2004-04-02 21:45:18.969000,L5,236.90,314.74,335.85,302.33,283.47,288.63,286.33,292.82,290.21,305.94,315.96,325.79,324.11,317.65,,,,,,,323.33,,,
2004-04-18 21:45:25.586000,L5,170.21,,,,,,,,,,,,,,,,,288.81,,,,312.90,310.10,324.12
2004-05-04 21:45:52.076000,L5,,,,368.04,335.46,328.26,321.66,336.20,323.11,337.20,338.74,,,,,,,,,,,,,
2004-06-05 21:46:48.916000,L5,442.52,365.03,421.69,337.57,329.58,338.44,318.05,309.37,317.25,330.31,331.59,346.12,348.40,331.30,299.28,,314.19,326.90,257.36,270.86,328.72,348.91,345.00,351.24
2004-06-05 21:47:12.889000,L5,,,,347.17,343.92,365.01,330.75,326.83,336.62,347.24,346.08,353.93,358.18,349.54,,,,,,,,,,
2004-06-21 21:47:40.721000,L5,194.87,296.67,,,,,,,,,,,,,,,,222.09,217.66,,,,,
