dates,nzd0331-0000,nzd0331-0001,nzd0331-0002,nzd0331-0003,nzd0331-0004,nzd0331-0005,nzd0331-0006,nzd0331-0007,nzd0331-0013,nzd0331-0014,nzd0331-0015,nzd0331-0016,nzd0331-0008,nzd0331-0009,nzd0331-0010,nzd0331-0011,nzd0331-0012,nzd0331-0017
2023-10-30 22:19:24+00:00,294.73,294.98,233.35,262.28,285.87,289.32,282.82,271.81,233.84,290.26,280.44,294.2,286.21,274.95,285.35,267.28,295.78,298.27
2023-10-31 22:13:33+00:00,290.655,291.07500000000005,250.09499999999997,262.815,284.325,288.325,279.94,269.84000000000003,230.035,283.40999999999997,272.015,293.815,282.645,268.14,283.415,267.515,291.1,293.015
2023-11-24 22:13:39+00:00,289.8833333333333,290.43,243.40666666666667,267.30333333333334,283.52666666666664,287.71666666666664,278.87333333333333,269.69,234.60333333333332,285.24333333333334,273.59,291.46999999999997,282.0433333333333,267.71,284.31333333333333,267.50333333333333,291.71999999999997,292.42333333333335
2024-01-02 22:19:17+00:00,290.73249999999996,289.4225,237.9475,268.9675,283.15999999999997,287.3675,278.205,268.395,234.2525,283.6775,273.25,290.7375,280.82,268.9475,285.08500000000004,265.825,291.1425,291.9475
2024-01-10 22:19:27+00:00,291.508,289.4225,235.24200000000002,267.534,283.244,287.42600000000004,278.256,268.304,233.296,282.592,272.558,290.326,280.81,269.448,285.478,264.288,291.048,293.186
2024-02-03 22:19:16+00:00,291.508,289.4225,235.24200000000002,267.534,281.29833333333335,285.37833333333333,276.7283333333333,265.055,223.22166666666666,279.705,267.92833333333334,290.326,278.7783333333333,265.91833333333335,285.478,264.288,285.2716666666667,293.186
2024-02-11 22:19:28+00:00,291.508,289.4225,235.24200000000002,267.534,279.99285714285713,283.46999999999997,274.69,262.67571428571426,217.55571428571426,277.5357142857143,265.5728571428571,290.326,277.2128571428571,264.20428571428573,285.478,264.288,282.65142857142854,293.186
2024-02-12 22:13:06+00:00,291.508,289.4225,235.24200000000002,267.534,280.3175,284.02625,274.80125,263.4425,214.85875,276.41125,265.27750000000003,289.1433333333334,277.94124999999997,265.4875,286.94666666666666,262.2283333333333,282.98,292.95166666666665
2024-02-19 22:19:15+00:00,291.508,289.4225,235.24200000000002,267.534,279.9111111111111,283.51222222222225,274.0522222222222,262.7066666666667,210.7888888888889,275.22555555555556,263.99,287.1171428571428,277.43,264.9844444444445,286.11571428571426,257.8957142857143,280.9422222222222,292.95166666666665
2024-02-20 22:13:07+00:00,291.508,289.4225,235.24200000000002,267.534,279.9111111111111,283.51222222222225,274.0522222222222,260.113,208.18,275.22555555555556,263.99,287.1171428571428,276.517,264.9844444444445,285.26375,250.44625,278.53499999999997,292.95166666666665
2024-02-27 22:19:19+00:00,291.508,289.4225,235.24200000000002,267.534,280.132,283.725,274.019,260.26181818181817,206.0881818181818,274.79499999999996,263.198,286.0875,276.8354545454545,265.822,285.78333333333336,250.44625,278.04,292.52428571428567
2024-09-14 22:19:06+00:00,,,,,,,,,,,,249.76,,,,,,
2024-11-17 22:19:14+00:00,318.61,307.71,,,301.35,309.39,304.89,,,,306.88,249.76,301.94,298.61,314.4,,320.81,312.98
2024-12-27 22:19:21+00:00,301.29,295.17999999999995,,258.38,288.57500000000005,295.65999999999997,290.14,258.72,216.02,274.46,287.185,256.24,288.64,282.525,298.59,256.21,303.66999999999996,298.4
2025-01-12 22:19:21+00:00,293.2633333333333,293.82,210.61,258.90999999999997,287.49333333333334,293.02666666666664,286.18333333333334,264.34000000000003,223.22500000000002,269.53,281.5733333333333,264.2266666666667,285.15333333333336,280.95666666666665,295.6233333333333,254.67499999999998,298.69,296.32666666666665
2025-01-20 22:19:13+00:00,293.34000000000003,291.6925,215.515,266.8633333333333,286.515,291.6,283.6475,265.5366666666667,228.48000000000002,272.98,280.91,269.93,283.735,279.27750000000003,293.2775,257.68666666666667,295.735,294.1325
2025-03-01 22:19:15+00:00,293.34000000000003,291.6925,215.515,266.8633333333333,285.504,290.70799999999997,281.63199999999995,264.52250000000004,228.48000000000002,271.4775,276.358,272.206,283.914,278.88800000000003,291.722,254.66,291.72799999999995,293.148
