dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0027,satname
2001-12-30 21:55:49.115,248.66,,279.96000000000004,325.09999999999997,333.2175,311.955,313.105,287.7625,400.9766666666667,,419.6733333333334,412.025,295.24,299.61,,328.17,288.94,320.675,328.855,339.98,333.214,351.02,334.14,313.8666666666667,315.0,299.9,316.32,312.13,310.75,312.25,312.94,,,308.2075,,256.78,335.1675,317.46799999999996,315.355,310.2216666666667,330.55,343.07,333.28,,364.365,278.16333333333336,,388.3675,376.11799999999994,,L7
2002-02-16 21:56:06.046,248.66,,280.17,320.62,330.62000000000006,315.01800000000003,313.49199999999996,304.1166666666667,388.79,168.9,406.73,392.4699999999999,289.20500000000004,298.425,334.39,,292.20666666666665,318.4266666666667,331.3125,335.125,336.386,353.92499999999995,334.14,316.14,309.375,304.74333333333334,312.205,307.695,303.32,312.25,312.94,,,310.71666666666664,,243.54999999999998,330.3633333333334,315.73199999999997,308.392,306.546,317.175,333.56,334.43,,342.04499999999996,279.72,,380.68000000000006,359.1366666666666,,L7
2002-03-04 21:56:09.860,248.66,,,,332.32500000000005,315.76,314.015,309.34,,168.9,,376.43,289.20500000000004,297.24,334.39,,292.20666666666665,309.32000000000005,330.57,335.99,336.94,353.92499999999995,334.14,320.07,309.375,304.74333333333334,312.205,307.695,303.32,374.58500000000004,312.94,445.0,435.76,314.03999999999996,444.3,230.32,324.52500000000003,311.1375,304.95500000000004,303.90250000000003,347.21000000000004,333.56,334.43,409.5,336.94,279.72,,379.19,343.0449999999999,444.27,L7
2002-05-07 21:56:03.729,248.66,,286.16,319.58,328.18,313.73,312.96,315.84,,185.845,,376.43,338.485,335.475,359.365,,290.685,,342.13,333.27,328.7033333333333,353.92499999999995,334.14,329.32499999999993,309.375,315.83500000000004,312.205,307.695,303.32,374.58500000000004,312.94,445.0,435.76,314.03999999999996,444.3,230.32,329.47,327.39,316.75333333333333,313.98,347.21000000000004,335.94666666666666,342.6566666666667,409.5,348.0,271.46,,365.88,,444.27,L7
2002-09-12 21:55:07.575,,364.35,286.16,319.58,319.89,292.63,297.03,,,202.79,436.51,,409.08000000000004,391.245,400.985,,,,,,299.58,,,,,,,,,409.36,,405.77,403.19,,,,339.36,324.45,315.65,313.11,412.78,340.72,359.11,417.68,359.06,,,352.57,,410.33,L7
2002-10-14 21:54:55.882,,364.35,286.16,319.58,311.89,297.99,299.86,276.1,,249.15999999999997,436.51,,409.08000000000004,391.245,400.985,,269.36,313.17,,291.81,300.81,325.45,,286.84,280.01,,,,,409.36,,405.77,403.19,,,,339.36,324.45,315.65,313.11,412.78,333.69000000000005,359.11,417.68,359.06,271.2,,352.57,,410.33,L7
2002-10-30 21:55:01.471,,363.08500000000004,286.16,319.58,311.89,297.99,299.86,276.1,465.07,326.9533333333333,455.54999999999995,,426.99666666666667,409.5466666666666,415.5833333333333,,269.36,313.17,,291.81,300.81,325.45,,286.84,280.01,,,,,416.225,,405.77,403.19,,429.3,,339.36,324.45,315.65,313.11,424.83,333.69000000000005,359.11,431.19,359.06,271.2,,352.57,,428.14,L7
2003-01-02 21:55:34.113,,373.18333333333334,,,303.89,303.35,302.69,276.1,477.39,423.7633333333333,468.35999999999996,,454.65000000000003,441.44,441.7266666666667,,269.36,313.17,,291.81,302.04,325.45,,286.84,280.01,,,,,424.71000000000004,,405.77,403.19,,429.3,,,,,,435.33,326.66,,431.19,,271.2,,,,428.14,L7
2003-01-18 21:55:42.118,266.24,373.18333333333334,,,316.65999999999997,319.78,316.28,276.1,477.39,423.7633333333333,468.35999999999996,,454.65000000000003,441.44,441.7266666666667,,278.645,301.135,,322.38,302.04,325.45,340.93,286.84,299.815,314.76,314.87,315.95,311.65,424.71000000000004,304.17,405.77,403.19,319.6,429.3,,331.91,335.45,320.71,320.89,435.33,326.66,,431.19,,271.2,,,,428.14,L7
2003-02-19 21:55:54.479,266.24,373.18333333333334,,,316.65999999999997,336.96666666666664,316.28,276.1,471.1266666666667,434.4475,467.1675,,454.65000000000003,441.44,435.745,,278.645,301.135,380.87,339.2,302.04,325.45,340.93,286.84,299.815,314.76,314.87,315.95,311.65,424.71000000000004,304.17,404.44499999999994,403.095,319.6,417.645,,331.91,335.45,320.71,320.89,435.33,326.66,,431.19,,343.91999999999996,428.82,435.44,448.75,421.56666666666666,L7
2003-03-23 21:55:52.571,266.24,377.59999999999997,,325.28,323.27666666666664,332.03499999999997,314.16,283.305,471.1266666666667,434.4475,477.3866666666667,,469.79499999999996,457.77,441.7833333333333,,284.96333333333337,301.135,380.87,340.0775,293.19500000000005,325.45,340.93,286.84,304.8566666666666,312.43,314.95500000000004,311.35,309.445,432.38500000000005,304.17,403.12,403.0,319.6,417.645,,331.91,335.45,320.71,320.89,446.605,326.66,,444.7,,343.91999999999996,428.82,435.44,448.75,427.18500000000006,L7
2003-04-08 21:55:59.443,266.24,377.59999999999997,306.23,327.17499999999995,328.905,331.012,316.13,291.69,458.4975,434.48400000000004,477.3866666666667,354.1,469.79499999999996,457.77,429.59,,286.6675,317.9766666666667,380.87,341.446,293.19500000000005,325.45,332.23,286.84,305.0225,312.43,314.95500000000004,311.35,297.95,432.38500000000005,312.75,403.12,403.0,331.70500000000004,417.645,,331.91,356.445,326.33,320.89,446.605,326.66,,444.7,361.01,357.42333333333335,412.685,426.53,434.565,427.18500000000006,L7
2003-04-24 21:55:58.309,266.24,377.59999999999997,306.63,330.2933333333333,337.855,333.72,320.2175,297.8933333333333,458.4975,469.2225,477.3866666666667,354.1,469.79499999999996,457.77,414.928,367.43,292.43666666666667,331.34,362.24,349.4,300.675,360.34,332.23,,313.35999999999996,312.43,302.29333333333335,309.6033333333333,297.95,432.38500000000005,312.75,403.12,403.0,332.37333333333333,417.645,,342.63,356.1766666666667,325.98333333333335,327.45,446.605,355.98,,444.7,359.48,392.9166666666667,405.0933333333333,416.48,431.42,427.18500000000006,L7
2003-07-21 21:43:45.776,251.73,,306.63,330.2933333333333,340.66333333333336,333.0975,317.0,297.8933333333333,446.21333333333337,458.42,466.67499999999995,354.1,463.35,448.87,389.03,367.43,294.69000000000005,365.74666666666667,362.24,348.5125,300.675,360.34,316.30499999999995,,310.22999999999996,310.1,296.00500000000005,306.42999999999995,291.09999999999997,413.2,321.33,416.21,415.195,338.76,420.14,,353.35,366.53999999999996,328.62,334.01,439.5,355.98,,441.79,359.48,392.9166666666667,405.0933333333333,416.48,438.72,421.3,L5
2003-12-28 21:45:57.554,251.73,428.27,,,,,,,473.945,485.365,483.07,,473.58000000000004,459.995,,,,410.08,,,,,309.08,,,,,,,425.455,,436.18999999999994,434.835,,449.245,,,,,,443.435,,,452.11,,,,,477.2,453.47,L5
2004-04-02 21:46:30.745,,428.27,,,,,,,491.92999999999995,498.09000000000003,494.53499999999997,,486.98,477.565,,,,427.84,,,,,,,,,,,,437.71,,443.08,442.28,,477.6,,,,,,447.37,,,474.96000000000004,,,,,499.93499999999995,477.815,L5
2004-05-04 21:47:27.968,,428.27,323.74,349.43,346.62,347.66,339.89,315.42,491.92999999999995,498.09000000000003,471.76,,486.98,477.565,392.83,395.91,,392.87,351.7,350.46,,363.18,,,322.15,348.6,329.84,348.37,390.79,406.53999999999996,360.3,405.26,412.015,379.69,444.93333333333334,380.59,384.49,394.52,342.49,342.09,447.37,383.31,376.52,474.96000000000004,370.93,381.99,392.38,408.39,499.93499999999995,477.815,L5
2004-06-21 21:48:52.640,224.9,428.27,329.545,357.445,352.555,348.785,347.53,315.74,491.92999999999995,498.09000000000003,461.985,357.15,486.98,477.565,397.115,407.765,304.17,384.5466666666666,352.01,351.80499999999995,,370.35,,,311.85,368.07000000000005,363.35,370.12,395.56,400.8633333333333,378.78,403.95,409.54333333333335,391.01,435.0425,393.26,396.88,407.825,342.49,342.09,422.32,386.615,383.835,474.96000000000004,388.64,401.09000000000003,408.41499999999996,417.705,499.93499999999995,477.815,L5
