dates,satname,nzd0263-0000,nzd0263-0001,nzd0263-0002,nzd0263-0003,nzd0263-0004,nzd0263-0005,nzd0263-0007,nzd0263-0008,nzd0263-0009,nzd0263-0010,nzd0263-0011,nzd0263-0012,nzd0263-0013,nzd0263-0014,nzd0263-0015,nzd0263-0016,nzd0263-0017,nzd0263-0018,nzd0263-0019,nzd0263-0020,nzd0263-0021,nzd0263-0022,nzd0263-0023,nzd0263-0024,nzd0263-0025,nzd0263-0026,nzd0263-0027,nzd0263-0006
2016-02-01 21:54:07.333000,L8,220.95,234.72,238.17,310.95,326.85,336.69,236.17,253.89,261.99,258.14,255.60,252.86,250.89,262.23,278.92,293.00,281.16,278.28,258.97,273.24,286.75,290.11,325.93,311.75,335.45,342.00,345.10,296.57
2016-02-17 21:53:58.323000,L8,217.15,227.49,235.93,213.67,248.12,268.55,212.56,250.29,257.97,255.46,253.14,250.37,246.80,258.53,271.37,291.74,279.60,271.71,252.65,267.88,281.91,283.01,296.87,304.12,330.96,339.44,343.38,210.17
2016-03-04 21:53:57.602000,L8,295.47,301.06,312.60,312.64,311.95,270.43,213.77,251.43,261.02,256.22,254.62,251.76,252.80,261.34,274.80,289.21,280.94,275.04,253.62,268.41,284.68,282.12,293.65,307.30,331.66,339.73,341.91,
2016-03-20 21:53:51.169000,L8,236.61,237.23,239.85,239.45,255.59,277.70,247.30,257.37,266.58,263.27,260.38,259.13,254.71,265.89,280.85,293.75,287.00,284.05,259.23,280.30,291.21,293.31,303.47,317.75,338.78,357.21,343.91,227.41
2016-04-21 21:53:36.277000,L8,221.47,232.44,240.23,233.10,255.70,276.37,238.45,257.27,265.99,260.89,261.05,258.13,254.98,264.59,277.64,293.32,284.21,276.11,258.90,270.99,287.64,285.17,301.36,311.62,334.80,341.45,345.12,229.92
2016-05-07 21:53:39.461000,L8,220.79,233.48,241.32,236.21,256.92,274.77,250.42,257.27,265.24,260.53,259.38,259.45,253.93,263.39,279.41,295.05,285.45,276.46,258.88,272.10,287.49,291.04,301.18,312.17,336.30,344.31,347.65,226.98
2016-05-23 21:53:41.571000,L8,,,,,,,,,,,,,,,,280.15,277.71,270.92,245.09,265.04,280.05,274.82,287.73,302.54,325.10,334.28,335.76,
2016-06-08 21:53:45.728000,L8,259.53,258.83,253.26,256.03,272.34,286.11,266.62,265.79,275.22,272.75,273.16,272.84,266.34,279.32,310.79,306.68,301.56,293.13,279.48,318.87,326.85,328.52,336.72,340.48,359.91,375.81,369.64,260.39
2016-07-26 21:54:04.677000,L8,242.16,249.31,247.18,248.92,270.95,282.57,262.70,264.06,272.18,271.26,269.39,269.91,263.00,273.68,290.76,306.55,294.29,287.04,274.26,285.77,291.90,298.47,305.98,331.23,350.96,354.48,351.11,251.76
2016-08-11 21:54:06.433000,L8,235.20,239.19,244.12,239.07,263.42,280.51,246.28,259.94,268.95,264.70,262.49,261.71,256.92,268.20,280.31,295.02,286.62,281.09,262.76,275.37,288.23,292.56,304.12,315.50,340.45,351.17,349.49,224.26
2016-08-27 21:54:14.090000,L8,226.54,236.77,245.08,242.31,260.77,279.44,249.40,257.78,269.19,261.42,259.77,260.76,256.56,264.95,278.23,295.58,285.61,281.13,260.34,275.90,289.30,294.78,308.61,322.47,344.91,350.21,352.20,238.09
2016-09-12 21:54:18.117000,L8,224.62,224.60,240.14,203.91,254.84,276.38,217.38,253.83,266.22,257.26,255.40,255.09,254.18,262.68,275.37,292.39,284.05,277.45,256.84,272.30,285.67,283.27,299.62,310.76,335.18,339.86,342.94,217.84
2016-10-14 21:54:24.092000,L8,,,,,,,,,,,,,,,,288.76,278.12,272.99,253.87,272.78,281.72,264.72,286.93,302.98,325.47,331.71,335.35,
2016-12-17 21:54:19.694000,L8,310.02,313.14,313.43,297.86,287.22,278.20,299.89,284.92,266.00,261.46,259.31,260.34,255.59,263.97,279.57,297.06,287.06,278.53,264.67,277.29,290.31,315.31,304.88,334.09,334.88,341.84,346.11,306.57
