dates,satname,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086
2001-04-09 22:04:41.882000,L7,,,390.43,394.01,379.35,387.47,384.73,377.98,388.38,378.66,390.95,383.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.04,404.30,420.88,349.16,353.40,420.55,408.93,401.91,411.14,395.17,419.78,411.89,394.22,400.05,396.13,423.37,404.56,381.79,390.48,388.54,402.88,,,,,
2001-07-14 22:03:57.537000,L7,,,,,,337.76,329.79,320.76,296.97,304.69,319.32,327.92,310.86,321.93,263.83,310.11,319.90,338.55,332.23,342.50,329.52,323.20,325.68,322.00,330.52,326.02,306.09,285.97,305.42,305.39,334.76,312.80,313.99,325.99,319.67,306.96,314.57,306.98,290.70,292.48,309.49,301.68,311.04,333.15,269.64,,,,,,,324.71,342.58,342.02,351.60,356.45,355.24,363.57,360.20,,357.40,356.38,370.34,371.96,368.51,327.66,331.24,329.28,324.70,327.36,372.98,353.87,371.20,375.04,383.47,372.52,434.42,419.76,382.79,386.50,387.52,387.82,365.04,354.29,392.56,404.77,398.90
2001-08-15 22:03:26.328000,L7,,360.84,373.22,316.02,321.32,334.02,328.67,318.63,310.82,308.94,313.26,321.77,350.91,346.20,357.24,405.98,318.47,334.87,346.25,403.63,327.90,325.49,355.01,323.44,332.54,326.96,307.39,315.91,298.40,313.23,333.95,315.92,322.93,300.69,330.11,304.63,329.69,318.90,295.47,294.11,315.97,317.18,342.56,357.67,338.00,310.57,299.37,364.22,359.25,357.74,347.51,336.51,345.54,,359.01,401.61,365.68,382.02,378.88,,319.88,329.01,370.21,379.87,350.35,363.05,363.65,348.44,350.66,348.23,369.81,379.52,371.97,377.80,374.18,373.77,383.78,410.07,387.25,379.45,377.73,377.14,376.70,367.10,377.66,380.77,363.60
2001-11-03 22:02:58.699000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.30,253.91,258.84,266.92,270.73,282.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:03:31.366000,L7,351.85,378.25,374.47,380.07,378.55,381.76,373.95,365.89,358.23,366.49,375.95,377.56,355.41,363.84,366.84,,,371.93,376.34,357.36,367.11,379.59,389.72,382.30,355.73,371.64,362.44,388.70,366.46,372.29,386.03,366.96,362.53,363.36,361.48,355.54,367.53,365.74,354.68,366.59,364.90,357.92,357.21,372.51,376.72,384.00,369.07,379.77,363.28,357.51,344.82,334.58,347.20,380.43,384.82,396.83,395.26,398.28,407.27,412.98,410.63,399.23,402.69,397.44,404.62,398.76,403.41,406.39,409.49,403.18,389.55,388.69,394.26,394.39,392.28,386.87,383.10,375.05,376.47,378.99,378.24,388.05,384.99,386.78,392.10,387.18,371.71
2002-04-12 22:03:25.302000,L7,,374.28,364.27,376.54,371.01,378.61,369.14,359.15,362.78,369.63,366.28,372.38,371.53,363.34,385.27,,,,,,,,,,,,,,,,,,,380.34,364.85,357.48,361.52,369.16,360.03,368.14,365.13,359.89,356.47,,,,,,,,,,,,,350.05,350.09,350.57,354.46,360.32,353.05,,,,412.72,415.32,411.68,406.26,411.18,403.71,400.93,401.32,400.82,409.20,395.20,406.26,385.70,378.36,381.55,384.54,380.72,399.79,398.47,396.08,387.00,386.93,373.24
2002-05-14 22:03:19.418000,L7,,,274.76,365.31,365.79,368.72,368.70,362.19,335.30,379.46,384.66,384.53,356.45,356.81,370.52,378.74,368.37,,374.73,370.41,357.77,371.79,379.35,362.36,375.57,386.13,383.95,,,,,,,,,,,377.33,360.04,362.36,363.74,349.46,348.11,365.24,373.11,375.05,363.98,372.95,374.43,359.66,,,,401.01,384.38,405.65,392.05,401.38,401.07,413.95,412.45,408.57,,416.51,411.53,401.05,417.26,408.27,391.74,387.15,393.69,385.17,387.95,390.32,390.14,391.88,384.34,376.91,378.70,382.57,381.63,388.39,389.73,381.39,380.05,378.72,360.99
2002-05-30 22:03:13.672000,L7,,,301.92,320.23,329.51,351.74,336.11,342.04,320.75,343.63,355.23,335.20,316.40,296.25,261.83,,,340.78,336.47,340.07,348.47,400.28,390.87,379.50,348.01,406.39,384.99,367.32,371.30,412.34,348.26,338.33,314.02,337.94,333.17,376.87,,,356.44,298.24,308.01,331.01,316.09,327.62,289.31,303.06,283.01,314.50,334.91,347.04,302.82,,344.84,376.43,,399.19,356.88,367.98,385.62,406.52,384.91,395.23,401.69,382.68,377.75,372.56,383.55,384.73,367.25,363.47,354.50,359.64,358.16,363.97,364.82,364.40,358.30,374.95,367.37,366.40,362.16,351.96,360.68,356.46,354.14,358.68,346.71
2002-06-15 22:03:07.576000,L7,,,,312.88,324.70,346.33,335.94,307.35,301.46,305.46,324.74,316.97,305.48,290.53,261.22,,,,,341.68,341.03,354.70,352.10,326.94,330.59,328.71,296.77,297.89,348.97,308.04,331.20,326.86,297.59,333.56,329.75,323.59,325.77,330.27,296.21,286.47,301.17,306.22,296.85,347.12,,284.44,293.17,309.05,312.99,341.11,,,284.42,353.56,374.02,339.78,334.36,335.71,329.38,325.61,339.09,369.59,382.23,383.18,344.46,379.22,339.52,364.15,377.01,332.98,355.97,364.68,350.94,360.00,342.14,345.36,345.72,372.77,326.23,363.78,360.82,346.12,364.09,360.49,363.01,367.92,358.59
2002-11-22 22:02:45.529000,L7,,,389.53,385.80,381.21,391.28,384.26,380.33,375.57,375.42,378.65,379.43,384.40,381.27,381.96,369.60,375.66,384.92,382.40,381.54,381.49,387.19,402.87,375.54,382.04,384.88,,,,,,,,371.32,357.93,356.59,357.97,358.68,356.09,357.84,356.64,349.76,351.96,372.67,373.49,381.51,374.82,389.47,388.63,,,,,,,415.04,408.58,409.63,418.89,418.67,417.71,415.03,412.29,416.55,414.58,414.71,410.14,409.32,404.47,398.66,392.99,389.76,407.51,384.21,373.22,374.36,368.86,375.51,374.87,375.56,382.29,373.96,376.71,367.40,368.89,377.48,356.56
2002-12-08 22:02:51.522000,L7,,,,,,,305.86,317.32,312.29,346.12,308.06,299.82,313.24,290.66,272.41,,293.79,310.77,311.07,331.57,334.44,338.48,341.19,387.80,333.29,336.35,366.76,,,307.84,329.79,339.12,359.10,,,253.11,273.40,277.25,272.68,285.40,292.04,298.51,296.55,282.85,266.60,287.23,287.84,305.46,297.38,298.05,282.79,308.68,319.94,354.23,345.57,333.75,333.45,331.25,332.48,330.57,324.53,329.79,332.32,327.88,326.51,328.10,328.05,333.71,338.66,335.37,325.49,340.59,338.39,334.13,324.83,325.59,332.08,349.58,361.75,354.96,375.88,370.25,359.98,355.42,363.40,358.69,350.52
2002-12-24 22:02:57.022000,L7,359.20,353.92,356.22,357.90,355.38,365.59,369.47,361.62,362.17,365.55,354.50,355.35,,,,,,372.32,368.37,374.53,372.34,364.63,367.64,365.87,364.56,370.53,350.83,353.61,350.05,361.60,369.07,355.58,353.61,361.08,,,,,364.89,335.89,358.03,341.14,348.08,350.68,352.51,348.35,342.36,356.68,349.69,347.29,338.56,333.53,344.62,360.62,368.52,373.08,364.22,373.80,377.39,390.70,382.31,375.27,376.84,374.25,377.20,383.06,382.99,373.71,373.06,373.25,384.41,,,,,,,,,,390.44,358.30,357.14,353.58,358.10,361.68,
2003-08-13 21:51:08.818000,L5,,,333.34,359.72,362.37,377.08,363.58,354.30,346.68,356.05,367.02,347.10,334.26,317.79,289.20,335.45,347.07,364.22,370.28,366.15,361.65,355.52,359.97,356.03,368.40,362.06,361.18,346.17,359.30,361.44,365.29,343.04,345.74,349.11,356.95,348.59,352.79,346.79,342.89,327.30,338.61,343.48,383.89,,350.88,361.05,346.98,357.62,352.57,354.49,330.47,304.13,325.43,373.20,369.54,381.25,381.61,381.38,370.37,375.25,374.49,363.94,376.86,383.44,372.61,388.23,384.04,381.43,366.17,378.06,362.09,380.13,368.27,380.57,373.31,373.82,373.32,385.89,397.05,376.97,,,,,,,
2003-09-30 21:52:18.101000,L5,328.19,272.69,288.89,334.89,341.59,361.66,357.27,345.55,339.03,337.83,338.75,336.39,318.66,302.11,281.41,310.07,309.86,323.89,347.41,359.27,352.42,352.41,358.95,364.10,364.33,366.68,334.38,331.04,319.92,322.78,288.99,341.91,344.94,336.86,338.63,333.53,339.88,340.07,325.55,313.85,321.62,321.43,321.53,328.02,311.99,337.47,324.75,331.09,322.15,327.25,312.56,288.32,305.22,339.54,334.35,337.57,338.55,353.68,352.04,356.57,348.00,365.02,355.99,363.05,363.75,376.70,395.18,397.99,379.88,369.72,348.57,325.57,325.07,345.64,355.93,346.26,340.89,333.38,351.73,356.63,358.89,359.77,351.58,343.11,345.01,344.64,320.77
2003-11-17 21:52:57.120000,L5,371.26,340.01,349.57,365.06,363.21,371.87,369.72,369.71,363.69,371.53,370.82,366.56,349.47,339.25,325.62,363.40,359.08,363.59,364.65,365.69,358.11,358.93,363.17,354.46,359.19,375.38,362.47,364.65,365.61,379.20,379.60,363.88,363.28,346.38,349.83,344.63,348.97,351.36,341.76,339.77,353.14,357.63,361.22,369.24,378.52,373.01,362.75,372.39,348.63,347.48,337.08,320.91,330.90,361.21,366.70,375.60,388.68,392.41,393.31,398.91,396.61,404.22,396.76,380.65,375.34,383.02,382.59,383.16,372.14,374.21,386.56,390.88,392.70,394.23,395.29,394.22,382.93,362.24,364.86,361.43,371.68,369.83,362.71,368.13,387.51,390.92,371.20
2004-01-20 21:53:24.777000,L5,,,,,,282.36,347.98,335.42,328.14,323.14,315.24,327.96,299.50,280.53,,279.84,303.38,292.16,312.94,337.66,344.34,330.06,331.86,328.18,312.84,277.37,,,,,,,,,,306.77,306.00,305.42,310.45,325.50,324.77,318.32,337.79,360.99,344.50,350.00,340.95,356.62,356.41,347.67,337.37,296.55,339.48,365.44,368.46,360.15,364.57,359.63,361.57,359.28,354.31,364.14,370.65,374.87,377.01,371.66,385.89,367.06,377.11,351.84,356.49,352.87,357.66,355.27,360.22,353.33,367.43,369.03,367.34,372.67,382.02,374.24,383.80,368.83,371.25,369.91,355.91
2004-06-12 21:55:59.429000,L5,,,,275.57,327.49,344.45,326.57,318.96,309.04,297.94,293.41,,,,,284.35,279.58,285.13,321.51,331.21,335.71,328.39,331.94,319.57,332.53,339.10,306.80,297.18,313.96,330.77,333.61,312.57,302.15,325.34,321.65,323.92,324.13,297.19,305.64,291.19,300.25,304.89,310.30,318.32,284.86,282.76,270.30,315.70,256.13,,,,,334.25,331.53,341.78,331.81,324.49,335.18,339.92,327.90,315.12,333.37,342.98,333.89,318.36,331.42,331.96,316.82,322.97,322.02,332.72,334.35,348.84,333.19,333.75,337.02,341.40,335.09,347.35,342.54,342.00,349.84,334.92,339.23,353.75,337.13
2004-07-30 21:57:15.668000,L5,,,332.29,355.63,360.61,376.05,363.35,353.78,344.39,360.85,367.68,353.59,331.60,319.32,278.27,354.28,363.49,368.71,365.54,364.12,367.24,364.25,367.00,359.35,371.45,363.05,347.51,351.01,350.36,354.54,364.57,351.70,332.05,353.72,351.49,348.14,354.73,345.97,343.14,326.24,338.25,335.46,341.25,372.38,352.93,361.66,349.19,357.51,350.29,337.59,324.87,276.96,338.45,365.02,367.12,385.09,375.88,372.31,363.00,368.11,363.50,365.43,370.56,375.43,386.99,366.64,373.12,383.96,374.68,376.08,364.93,372.96,374.88,381.63,371.16,361.77,363.68,381.88,371.88,375.23,384.51,368.42,375.25,382.70,381.41,390.37,377.47
2004-08-15 21:57:37.379000,L5,,,335.61,354.43,358.50,372.63,362.88,357.67,341.51,355.01,351.67,351.16,330.88,314.36,280.45,348.68,361.45,364.90,364.76,365.57,362.37,365.55,367.75,358.03,366.43,361.15,344.61,348.58,351.01,352.29,363.80,342.94,341.64,353.99,354.64,352.07,353.94,351.95,340.76,341.30,336.88,332.38,349.85,382.48,355.12,360.14,350.82,355.92,350.46,350.44,326.58,303.71,324.38,371.89,374.34,375.93,369.52,369.90,367.24,361.68,361.77,362.75,374.97,383.65,378.58,381.56,374.32,381.03,367.13,370.12,362.73,370.05,371.98,367.17,363.51,372.16,371.13,376.95,388.59,384.17,391.75,380.76,385.38,379.73,383.04,390.41,368.36
2004-10-18 21:59:11.702000,L5,312.31,278.13,317.35,348.32,351.93,363.43,361.31,351.39,336.75,336.16,334.27,334.92,318.00,301.42,282.79,310.08,323.46,349.95,358.53,354.26,356.75,357.53,361.62,353.05,356.64,356.93,336.59,339.52,330.06,339.01,349.45,328.43,326.06,333.40,346.72,338.06,341.60,328.38,330.63,318.73,326.60,314.37,327.32,334.84,333.95,340.22,327.43,330.45,328.14,323.46,318.89,289.67,313.42,357.76,357.06,357.15,355.24,351.55,349.77,349.84,342.93,351.31,350.84,352.53,360.41,362.75,368.08,361.47,360.69,352.31,352.79,342.06,347.29,352.16,343.88,340.44,343.21,354.42,365.80,361.82,377.36,367.37,371.84,364.79,369.91,362.73,347.77
2005-03-11 22:01:31.683000,L5,330.62,297.52,332.84,356.82,359.51,373.90,368.17,359.19,355.51,355.64,358.31,353.41,334.55,317.31,287.61,342.03,350.60,364.35,365.11,364.20,367.39,365.15,368.51,360.64,365.56,363.33,350.68,352.26,347.96,354.18,364.11,352.05,337.52,346.43,349.91,344.68,349.29,342.11,325.44,309.02,313.75,327.67,333.75,360.12,349.00,357.79,343.47,354.60,347.88,344.66,331.53,299.96,330.37,362.45,370.20,365.93,369.94,371.38,368.72,367.51,356.41,369.84,361.29,368.99,368.41,363.98,380.86,373.93,371.47,366.27,362.93,366.92,364.48,367.41,359.66,358.25,361.91,361.14,365.05,360.17,378.31,374.93,375.25,374.55,378.46,377.14,361.36
2005-04-12 22:01:42.862000,L5,358.30,350.75,376.01,384.25,395.54,395.75,400.30,389.14,386.80,390.75,392.10,391.25,378.50,356.42,349.87,363.40,369.03,377.73,382.62,379.20,377.73,377.89,383.35,373.04,370.73,375.64,368.97,375.43,370.66,378.70,377.39,366.09,367.06,367.40,363.80,360.53,364.43,362.00,360.66,357.54,357.86,355.59,365.34,372.97,376.39,376.72,367.36,382.01,382.99,,,,,399.45,396.86,407.33,398.24,393.05,396.26,409.01,399.96,401.99,399.85,413.38,418.60,407.20,398.75,402.69,409.69,397.49,401.72,391.37,394.99,402.53,399.95,391.67,386.58,387.49,385.13,390.97,398.29,408.35,,,,,
2005-06-15 22:02:10.206000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.04,304.42,307.22,326.95,317.41,335.44,329.54,321.31,332.31,318.29,310.67,308.24,316.84,314.59,323.97,305.95,302.15,315.20,321.39
2005-09-19 22:02:44.739000,L5,313.32,289.82,326.86,352.17,357.46,372.00,368.58,358.46,351.30,357.49,362.29,352.72,331.78,317.50,288.61,335.92,344.39,358.91,364.97,359.40,359.68,359.83,364.37,360.85,361.06,363.89,352.02,353.55,352.75,356.04,369.87,347.11,334.86,337.56,351.37,342.17,350.58,339.71,338.46,321.70,324.66,326.58,349.83,364.15,353.90,361.21,352.66,349.63,343.38,338.86,330.01,298.88,313.69,362.62,371.05,373.73,373.52,378.59,373.68,370.42,368.80,378.38,371.93,367.64,372.76,371.75,377.67,372.33,368.56,367.73,369.21,375.09,366.15,373.21,368.18,371.25,367.79,366.59,378.20,369.41,379.21,377.42,375.85,376.26,374.82,377.28,359.91
2005-10-05 22:02:41.026000,L5,322.07,284.52,324.89,348.64,353.70,365.58,362.60,354.84,347.75,355.27,354.44,350.99,333.00,313.62,288.66,338.21,351.24,365.94,360.76,354.52,350.79,354.08,358.42,351.67,351.60,356.10,347.94,351.38,347.46,357.27,362.94,346.75,339.60,347.94,349.98,336.88,342.04,331.54,327.51,308.92,317.07,309.82,338.12,361.58,346.48,359.09,348.54,351.52,347.43,341.17,326.26,293.62,319.97,358.12,359.73,360.86,362.06,368.16,368.64,362.79,367.55,366.02,370.31,366.52,368.48,363.18,373.35,362.75,362.52,356.23,356.37,362.66,359.29,367.12,366.59,365.03,367.90,375.05,374.70,359.37,373.86,366.67,368.77,365.03,370.96,374.25,364.24
2005-11-06 22:02:46.848000,L5,,,386.72,388.55,388.94,396.72,392.28,378.10,371.27,372.85,375.19,372.92,368.85,371.80,368.83,380.29,393.53,399.54,403.50,395.74,387.79,392.63,391.54,383.16,380.29,369.65,359.77,360.23,369.09,368.82,374.82,357.33,358.16,372.36,373.84,367.16,370.60,367.10,359.52,362.39,372.92,360.38,368.34,379.64,377.90,370.75,358.42,382.23,,,,,,404.49,405.19,410.61,383.62,391.61,396.16,406.70,404.36,401.21,397.13,413.04,,,,,,415.49,398.57,400.49,400.22,412.13,402.24,397.94,390.75,404.03,408.66,396.57,404.45,,,,,,
2006-02-26 22:05:22.928000,L5,339.80,310.61,345.63,373.23,377.85,379.79,379.66,373.20,363.08,372.95,370.83,368.77,352.64,320.14,296.63,351.46,356.28,370.85,365.69,367.75,368.81,373.13,373.22,369.02,368.12,369.73,360.76,361.60,361.45,364.21,368.72,349.65,342.61,340.38,349.13,341.43,343.09,344.12,347.03,331.02,338.07,336.88,358.59,373.70,357.02,354.38,347.03,350.38,344.61,346.13,330.64,293.70,328.34,375.47,367.71,383.17,371.70,381.62,371.34,378.78,365.73,363.61,370.07,371.32,371.73,374.40,366.49,383.06,379.51,375.70,371.52,386.65,363.13,377.03,362.69,362.11,365.65,370.70,366.16,366.54,369.91,381.33,387.89,386.33,384.48,389.61,368.51
2006-07-04 22:07:29.185000,L5,,,,,274.85,341.07,322.25,305.80,303.06,291.79,282.40,,,,,,,,297.80,303.72,317.32,320.60,334.31,320.06,319.28,334.76,298.20,281.78,296.33,305.52,325.36,315.06,300.43,316.95,316.39,313.77,316.39,270.31,275.63,276.99,,,,,,,,,,,,,,,,,,,,,,,,,327.83,324.93,323.76,314.52,318.50,324.63,313.61,327.83,328.02,331.91,332.23,330.94,332.69,321.33,338.29,338.98,340.34,324.13,331.58,329.06,335.23,348.83,327.54
2006-07-27 22:13:34.900000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.53,335.11,331.78,332.03,333.82,342.42,,,
