dates,satname,nzd0014-0000,nzd0014-0001
2024-05-01 22:17:11.831000,L9,350.62,358.47
2024-05-09 22:16:51.826000,L8,335.52,337.53
2024-05-17 22:17:03.987000,L9,347.73,356.32
2024-06-18 22:16:43.968000,L9,369.13,367.22
2024-06-26 22:16:52.651000,L8,338.98,345.23
2024-07-12 22:17:00.992000,L8,357.03,374.93
2024-08-05 22:17:06.640000,L9,331.90,300.88
2024-08-21 22:17:19.711000,L9,340.61,343.71
2024-08-29 22:17:21.978000,L8,431.89,356.08
2024-11-01 22:17:31.195000,L8,346.41,351.20
2024-11-17 22:17:38.841000,L8,352.18,359.29
2024-12-03 22:17:45.212000,L8,338.96,340.42
2025-01-12 22:17:45.559000,L9,349.57,356.69
2025-01-28 22:17:42.532000,L9,410.19,437.29
2025-02-05 22:17:39.822000,L8,338.71,342.36
2025-03-01 22:17:39.455000,L9,339.01,344.52
2025-03-09 22:17:26.663000,L8,413.43,355.89
2025-03-25 22:17:16.100000,L8,412.71,357.85
2025-05-04 22:17:17.676000,L9,394.32,357.37
2025-05-20 22:17:06.544000,L9,345.33,353.97
2025-06-05 22:17:00.261000,L9,411.30,369.78
2025-06-13 22:17:12.853000,L8,338.78,344.85
2025-06-21 22:17:14.951000,L9,340.26,344.86
2025-07-23 22:17:27.519000,L9,339.97,342.31
2025-07-31 22:17:29.909000,L8,337.92,340.73
2025-08-08 22:17:36.495000,L9,331.94,309.01
2025-08-16 22:17:38.702000,L8,332.88,305.94
2025-08-24 22:17:43.028000,L9,357.71,530.72
