dates,satname,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0131,nzd0369-0025,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0130,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0118,nzd0369-0119,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0100,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0090,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0081,nzd0369-0082,nzd0369-0085,nzd0369-0086,nzd0369-0030,nzd0369-0031,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0099,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0083,nzd0369-0032,nzd0369-0042,nzd0369-0084,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0055,nzd0369-0056,nzd0369-0053,nzd0369-0054,nzd0369-0074,nzd0369-0079,nzd0369-0080
2001-02-13 21:57:39.607000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.04,,,,,,,,,,,,,,,,,299.49,,,,,,,,343.92,351.16,340.31,342.22,297.57,302.19,369.67,367.25,350.42,333.91,373.15,,,,,,335.82,380.05,362.35,304.00,335.95,372.72,335.73,358.12,404.65,,,,,,,338.57,344.63,,,,,,,,,,,,,,,,352.36,,,,,
2001-05-20 21:57:04.892000,L7,,,,,,,,,430.60,369.02,348.23,385.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.60,315.34,,,,,,,,,,,,,,,,,,,,,,,,,336.11,,,,,,375.02,358.62,361.55,379.73,364.44,,,,,,348.56,387.68,377.01,378.37,379.93,391.55,370.71,365.94,403.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,,,,,,,,,,427.02,395.49,387.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.09,353.66,357.33,,,,,,313.88,,,,,,,,,,,,,,,,,,,,,,,,,357.94,325.17,,,,,370.01,357.87,356.50,350.46,351.79,,,,,,340.68,384.24,367.19,376.79,360.12,392.04,374.11,376.73,407.50,291.20,372.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:56:12.984000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.07,334.26,316.86,304.98,309.31,313.90,,,,,,,,,,,,,,,,,,,,,,,,,373.68,359.83,,,,,398.51,377.05,354.67,375.33,386.86,,,,,372.98,340.93,377.01,394.00,385.05,376.27,,371.64,370.60,405.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-24 21:56:00.447000,L7,,,,,,,,,,,,,,,,,,,,,,,,,337.76,,,,,,,,,,,,,,,,,,,,,,,,319.80,,,,,,,,,,,,,412.95,408.20,392.68,375.10,375.44,398.69,332.62,,,,,,,,,,,,,,,,,429.17,370.32,366.22,355.70,361.97,343.34,320.51,,,,,,,,,,,,420.85,415.95,400.19,384.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.47,,,,,,,,,,,,,,,,383.86,400.43,381.76,376.55,404.06,348.27,326.42,325.33,,,,,,,,,,,,392.38,394.44,382.53,371.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:55:21.747000,L7,,,,,,,,,,,,362.27,358.11,372.49,355.98,343.39,371.76,390.02,370.46,353.20,369.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.77,362.50,378.89,,,,,,,,,,,,,,,,,,,,,353.01,379.26,,347.00,371.33,315.78,,,,,,,,,344.58,345.22,325.11,,,,373.61,276.71,,,,,,,,,,,,351.27,338.74,389.32,,,,,,343.73,284.85,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.79,369.94,358.95,349.13,346.97,388.32,,,,,,,,,,,,,,,,,405.36,413.06,402.18,,,,,,,,,,,,,,,,,418.39,412.15,389.50,378.18,,421.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:56:06.046000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.38,328.74,322.43,308.63,311.00,318.17,,,,,,,,,,,,,,,,,337.02,343.10,,,,,,,388.42,388.30,374.20,346.03,338.20,349.39,,,,,,341.07,329.36,313.99,,393.42,354.97,395.86,403.16,403.02,388.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.69,,,,,,,,,,,,,,,,,,366.79,367.56,358.54,332.91,324.34,334.16,,,,,,,,,,,,,417.32,395.02,375.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
