dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
2002-01-17 21:42:52.816000,L7,374.42,382.35,391.61,400.22,395.69,407.56,411.98,419.87,455.04,446.25,432.38,412.89,402.50,393.01,396.29,394.53,397.04,401.58,405.46,404.43,407.25,416.76,416.94,409.59,402.07,404.75,419.07,432.24,405.56,412.04,422.20,414.70,415.23,414.51,439.63,440.88,498.65,,,,,,,,425.98,417.39,431.81,476.02,474.74,445.70,437.46,461.87,471.73,445.61
2002-02-02 21:42:54.721000,L7,454.95,469.77,515.50,508.86,373.62,303.58,217.56,208.49,201.26,,,,,,,335.20,346.80,343.78,362.26,464.52,441.33,421.76,359.14,486.90,481.57,507.41,509.85,455.08,441.06,478.80,412.14,418.59,445.44,415.68,397.27,401.12,429.04,484.00,361.74,370.34,370.61,532.25,476.96,426.88,476.54,513.04,469.64,451.24,461.72,466.80,489.74,480.93,477.08,389.17
2002-02-18 21:42:54.191000,L7,159.65,256.94,285.96,274.58,286.24,290.40,283.18,297.64,288.81,300.82,296.98,292.73,289.76,256.64,286.10,283.23,283.21,303.30,312.74,321.33,324.13,323.40,298.94,194.10,301.31,325.53,306.43,256.94,227.95,273.32,240.72,473.62,457.97,464.24,471.89,290.76,283.60,282.54,305.29,364.34,333.48,353.81,337.62,350.48,281.08,286.43,218.85,283.57,295.81,305.50,341.76,362.90,314.10,285.29
2002-03-22 21:42:52.399000,L7,301.42,291.69,289.67,280.97,295.73,300.47,293.54,303.74,303.93,311.58,300.78,296.06,291.23,220.33,287.09,293.13,296.75,314.84,298.84,332.17,336.19,490.35,490.44,471.43,527.54,273.87,314.83,206.76,,,245.25,271.37,,,,500.77,475.54,479.65,477.71,230.45,233.20,180.57,,,,,,,231.03,316.71,302.92,256.08,312.51,290.48
2002-09-14 21:41:55.072000,L7,311.06,305.00,344.49,336.95,338.41,323.35,348.86,355.29,355.65,331.29,335.30,334.67,335.24,345.43,335.63,351.99,336.23,364.84,375.51,378.04,387.76,368.52,452.95,466.70,485.16,480.48,485.17,475.16,481.37,328.40,330.79,374.75,366.73,375.49,366.53,367.39,364.35,374.17,377.80,380.71,384.62,376.89,366.80,380.93,369.31,366.22,364.79,374.79,391.54,366.80,371.61,432.62,417.02,400.77
2002-09-30 21:41:47.719000,L7,304.50,444.52,473.43,478.72,472.27,465.01,306.41,309.52,316.70,322.06,316.65,311.36,304.15,296.58,432.56,446.11,454.35,456.77,463.77,455.99,457.36,451.92,457.82,469.82,474.13,477.83,325.29,481.27,468.92,471.37,472.75,461.56,463.45,358.87,356.75,369.48,346.65,366.74,394.56,437.37,403.45,383.53,369.19,482.26,468.63,450.36,448.75,436.02,456.42,361.19,362.66,372.44,360.54,387.94
2002-11-01 21:41:54.382000,L7,350.20,305.59,297.84,313.57,309.49,309.70,306.95,306.18,310.62,316.36,303.19,305.87,295.67,291.01,298.23,301.29,304.68,319.46,336.92,340.62,356.71,358.39,340.09,358.72,319.30,352.07,323.03,298.87,260.58,328.39,325.20,316.51,314.47,361.78,377.95,381.15,388.70,340.17,340.24,322.70,332.40,325.43,375.27,335.38,386.06,383.25,381.01,371.84,378.37,385.78,375.12,342.15,386.14,385.10
2002-11-17 21:42:06.289000,L7,485.41,507.45,517.40,525.11,475.94,497.58,514.68,361.23,359.78,339.20,458.51,465.10,474.47,460.49,452.23,463.54,464.94,495.60,463.56,496.44,481.87,512.27,499.73,492.66,492.86,487.84,475.10,451.52,445.27,445.03,444.25,462.38,465.13,452.96,468.79,482.46,497.80,501.31,495.14,494.59,502.50,374.46,369.15,376.20,383.76,372.12,376.42,382.07,377.74,362.09,355.97,390.24,387.23,390.38
2003-01-20 21:42:33.373000,L7,166.12,271.68,280.00,265.96,,224.00,201.11,282.98,,,,,,,,256.13,181.45,276.35,268.17,252.31,255.65,204.71,240.71,250.97,239.11,180.08,,,,,192.08,264.59,227.65,210.06,247.88,280.75,257.54,261.41,268.70,253.31,245.38,163.38,252.06,258.25,358.21,392.53,378.67,372.10,390.93,297.72,237.91,241.00,304.32,277.20
2003-02-05 21:42:41.878000,L7,295.43,284.01,286.80,273.22,252.15,292.18,242.74,288.32,223.59,255.28,293.65,240.75,259.83,222.21,207.64,278.79,247.48,306.47,284.68,264.97,308.58,305.27,295.18,317.94,249.06,322.91,312.67,296.82,,,232.15,278.93,208.54,218.71,165.17,291.88,279.64,277.08,277.16,262.34,282.55,230.91,315.31,268.39,272.87,256.29,236.89,276.25,303.78,305.05,254.36,247.60,304.82,278.85
2003-02-21 21:42:44.547000,L7,316.72,325.17,313.68,322.77,319.67,316.41,312.06,341.77,315.96,320.75,302.30,304.84,299.38,291.19,309.50,449.44,317.82,394.26,471.48,404.00,418.12,471.74,440.82,346.12,449.44,428.95,330.32,413.11,347.75,298.32,346.21,432.21,518.13,388.82,367.07,362.83,421.79,401.64,437.37,479.40,516.25,389.73,487.89,478.27,351.66,497.61,398.16,454.02,444.35,412.84,373.26,371.27,367.75,386.35
2003-05-12 21:42:48.091000,L7,278.73,271.02,320.22,314.85,316.04,312.33,315.60,316.02,321.77,331.79,310.47,314.77,313.16,298.66,303.47,314.56,317.69,336.30,345.32,357.71,351.94,456.98,463.78,338.56,335.09,337.33,317.97,323.72,208.57,307.69,449.42,455.35,470.22,506.51,527.30,337.28,506.09,336.49,334.56,344.18,512.94,521.99,520.82,540.51,522.00,354.65,357.59,367.85,383.05,339.33,369.63,377.54,386.25,398.48
2003-05-28 21:42:46.560000,L7,349.22,,,,,,,,509.58,496.96,534.91,432.34,428.44,403.71,420.41,422.46,419.02,452.99,437.31,508.19,485.13,520.62,518.28,,,,488.48,465.93,463.27,473.24,509.91,505.55,513.70,508.51,523.93,,,,526.28,510.15,502.12,455.42,,535.26,517.44,511.50,517.74,507.71,509.28,511.66,489.87,474.63,463.81,479.62
2003-07-23 21:30:38.185000,L5,295.65,281.55,295.06,280.44,212.46,,,304.57,299.99,309.75,301.42,293.03,288.99,277.89,286.06,293.58,300.14,318.35,334.67,323.90,336.40,339.01,245.13,257.19,248.08,265.64,288.55,284.28,241.72,269.80,235.47,214.17,197.71,,,,,,,193.37,212.14,257.66,285.01,296.26,178.64,193.41,,,,,,,,318.13
2003-09-25 21:31:42.973000,L5,298.54,279.16,295.63,273.29,306.37,304.15,300.06,313.26,307.53,318.62,314.57,308.65,299.21,275.91,284.54,298.47,300.67,318.42,332.59,327.54,330.54,341.25,328.52,328.08,321.75,336.22,316.65,299.70,253.21,266.79,226.55,,217.64,270.20,311.35,265.52,252.26,224.21,187.34,262.53,214.45,193.31,236.57,251.73,308.11,200.36,,261.92,156.53,278.24,284.60,201.80,225.30,317.92
2003-11-28 21:32:34.027000,L5,307.41,294.01,296.28,276.44,253.27,301.58,289.86,308.52,286.08,293.76,309.35,291.20,292.56,194.83,286.02,303.34,310.49,325.50,323.50,336.33,338.04,333.24,311.44,299.50,294.67,325.72,307.67,278.49,263.48,268.88,306.70,183.10,208.15,298.36,334.09,341.85,271.76,320.29,336.65,330.75,341.65,205.37,334.26,319.46,321.52,237.49,,294.17,271.45,299.29,310.58,295.59,320.40,331.50
