dates,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
2003-09-25 21:31:42+00:00,300.89,283.59,299.745,277.40999999999997,,306.58,302.97,251.72,311.49,320.75,316.92,310.51,297.22,229.02,233.39499999999998,242.12,229.59,,336.14,336.845,336.905,341.68,322.475,324.41499999999996,325.53,330.30499999999995,309.74,304.56,218.06,269.93,296.185,,221.35,324.79,323.8,270.92,262.06,328.345,338.29499999999996,337.95500000000004,343.96500000000003,265.64,,255.73000000000002,316.64,209.1,,269.9,278.47,300.17,297.35,288.61,,310.08500000000004
2003-11-28 21:32:34+00:00,303.835,288.365,297.07,278.005,247.54,303.645,279.40000000000003,,265.33,305.51,312.76,300.205,291.6,211.22,260.78499999999997,272.19,240.78,324.27,328.01,333.87,335.775,310.32000000000005,306.075,332.13,305.84,332.135,312.29,304.56,260.86,268.905,296.89,,212.505,,323.8,270.92,264.78,321.28,341.005,336.56,344.61,200.91500000000002,332.73,260.48,317.98,221.875,,282.915,272.04,296.22,303.135,289.34000000000003,316.55,327.07500000000005
2003-12-14 21:32:38+00:00,305.95,290.4433333333333,298.3966666666667,278.26,245.55,303.645,264.6066666666667,226.52,249.33,303.01,311.75333333333333,299.58,291.91,205.10666666666665,267.43333333333334,281.27666666666664,240.78,325.395,327.96999999999997,334.94,336.2733333333333,298.36,295.06333333333333,297.35,289.35999999999996,331.39,311.44666666666666,303.525,263.2766666666667,266.8633333333333,297.61999999999995,315.05,216.96,287.81,329.045,270.92,264.78,319.96,338.79333333333335,333.8333333333333,343.54333333333335,202.60666666666668,328.58000000000004,260.48,320.66,230.79333333333332,,293.1933333333333,272.04,300.42,301.5566666666667,292.4066666666667,321.0,327.90333333333336
2004-01-15 21:32:50+00:00,304.85,288.1525,292.5775,274.06,240.63666666666666,303.645,255.53000000000003,224.555,242.3925,303.01,309.15500000000003,296.63,289.72333333333336,199.965,269.6675,281.685,240.78,322.36999999999995,324.7175,330.74,336.2733333333333,284.735,289.7175,289.68333333333334,282.22249999999997,328.805,311.44666666666666,303.525,263.855,261.43,293.65749999999997,315.05,219.46,290.89,330.5566666666667,270.92,264.78,324.46500000000003,341.015,332.6475,340.6275,201.395,326.09666666666664,264.125,315.265,229.8025,,294.2975,273.56333333333333,298.74,308.06,291.27250000000004,321.0,325.4075
2004-05-06 21:34:22+00:00,305.5625,288.06,288.2275,265.105,240.63666666666666,301.01,239.7166666666667,224.555,218.6825,296.8833333333333,307.015,292.745,290.485,190.19,270.2125,293.495,218.05,322.36999999999995,320.95,329.175,336.38,255.6,275.3433333333333,270.59,279.305,327.175,302.44666666666666,291.08000000000004,265.94500000000005,262.95,295.24999999999994,274.14,220.04,290.89,333.93500000000006,263.51,274.05,323.345,336.675,333.775,339.7025,200.9125,329.155,267.77,316.1375,234.4025,254.48,296.4825,263.59,280.5025,312.4375,298.705,321.0,326.8275
2004-06-23 21:35:46+00:00,302.645,275.70000000000005,284.11999999999995,244.96666666666667,228.70499999999998,297.135,223.05,212.735,215.16666666666666,302.37,304.86,295.4033333333333,292.4266666666667,218.43999999999997,268.2733333333333,286.56666666666666,220.69,316.32,314.96,322.34,,233.89333333333335,273.68,284.6966666666667,299.91,328.9433333333333,298.73,290.26,260.5266666666667,266.67333333333335,281.01,229.845,227.45333333333335,293.97,329.635,263.51,296.45000000000005,329.165,339.315,342.3833333333334,338.3599999999999,197.07,333.3066666666666,273.345,313.0,227.16500000000002,281.19,280.1133333333333,250.0566666666667,261.63666666666666,320.06666666666666,307.49,345.2,323.1666666666667
2004-07-25 21:36:37+00:00,303.74,272.9100000000001,288.62,236.72,226.6,297.135,217.8,202.88,211.95999999999998,302.37,301.655,299.9066666666667,295.8666666666667,246.11,272.09,286.04,240.98000000000002,,,,,228.91000000000003,310.58,298.05,319.0466666666667,333.09,303.34666666666664,290.24666666666667,257.995,277.5366666666667,256.205,226.03666666666666,229.38,,325.69,259.995,296.45000000000005,320.35,330.95,348.9766666666667,344.84,196.945,339.395,263.85,319.96,214.345,281.19,271.36499999999995,236.78000000000003,244.765,308.76,308.5933333333333,345.2,325.78999999999996
2004-08-10 21:36:56+00:00,300.905,277.06,292.5133333333334,248.08666666666667,226.6,297.58,217.8,253.37,241.43666666666664,307.67,304.28,301.725,297.795,258.6075,278.38,289.195,256.75,313.86,331.1,330.01,330.86,228.91000000000003,318.995,298.05,319.20000000000005,334.285,307.52750000000003,291.1175,257.06,280.02000000000004,251.56333333333336,223.95999999999998,232.62,216.37,326.61,259.995,305.8,325.535,335.75,350.4375,348.30499999999995,196.945,340.29333333333335,263.85,325.24666666666667,219.56000000000003,281.19,268.57,238.84666666666666,258.46666666666664,310.9025,307.1325,345.2,326.43666666666667
2004-10-13 21:38:32+00:00,299.39000000000004,278.745,295.29,255.5625,246.215,298.9525,217.8,272.2733333333333,257.855,309.90333333333336,306.825,303.17600000000004,297.578,261.584,279.532,289.916,264.47200000000004,310.655,330.515,328.34000000000003,335.265,228.91000000000003,321.06666666666666,303.885,319.726,334.285,311.03000000000003,292.27000000000004,252.845,280.02000000000004,245.8075,223.03000000000003,230.44,216.37,301.24666666666667,264.34999999999997,305.8,323.4433333333333,341.06333333333333,349.53000000000003,348.30499999999995,196.945,335.6625,263.22333333333336,322.695,217.775,281.19,268.57,245.335,269.175,308.006,306.49,335.77,328.33
2005-02-18 21:40:42+00:00,310.295,301.0,318.89,277.99,265.83,315.83500000000004,,323.21500000000003,322.275,326.82,322.29999999999995,318.185,307.975,273.49,299.82499999999993,306.46500000000003,313.32500000000005,325.72,329.93,326.67,339.67,,325.21,321.39,321.83,,335.235,296.88,240.2,298.8,228.54,219.31,221.72,,250.52,273.06,,319.26,351.69,345.9,,,321.77,261.97,315.04,212.42,,,264.8,301.3,296.42,303.92,326.34,334.01
2005-05-09 21:41:19+00:00,309.345,296.025,313.81500000000005,258.83,213.77,328.6,201.92,322.385,319.2,323.76,319.2,315.755,306.87,,315.51,320.13,331.29,343.99,,,,265.83,,,,,345.43,,,280.18,219.24,210.49,225.05,,220.5,259.37,,207.0,,,,204.31,320.59,258.37,,212.15,,264.11,,276.47,297.14,293.65,,
2005-05-25 21:41:28+00:00,301.6066666666666,289.91333333333336,309.42,262.49,216.98000000000002,312.28,201.92,317.58666666666664,314.1766666666667,320.31666666666666,316.41333333333336,310.69,302.79,276.73,301.78999999999996,306.48,313.96500000000003,343.99,,,,250.76999999999998,,322.82,326.26,333.28,329.945,298.0,243.02,276.4766666666667,223.76,215.145,235.51,210.53,236.26999999999998,267.075,258.87,207.525,,,343.59,204.31,320.59,258.37,271.63,209.35500000000002,,266.77,229.91,277.57000000000005,303.65,274.90999999999997,,
