dates,nzd0332-0000,nzd0332-0001,nzd0332-0002,nzd0332-0003,nzd0332-0004,nzd0332-0005,nzd0332-0006,nzd0332-0007,nzd0332-0008,nzd0332-0009,nzd0332-0010,nzd0332-0011,nzd0332-0012,nzd0332-0013,nzd0332-0014,nzd0332-0015,nzd0332-0016,nzd0332-0017,nzd0332-0018,nzd0332-0019,nzd0332-0020,nzd0332-0021,nzd0332-0022,nzd0332-0023,nzd0332-0024,nzd0332-0025,nzd0332-0026,nzd0332-0027,nzd0332-0028,nzd0332-0029,nzd0332-0030,nzd0332-0031,nzd0332-0032,nzd0332-0033,nzd0332-0034,nzd0332-0035,nzd0332-0036,nzd0332-0037,nzd0332-0038,nzd0332-0039,nzd0332-0040,nzd0332-0041,nzd0332-0042,nzd0332-0043,nzd0332-0044,nzd0332-0045,nzd0332-0046,nzd0332-0047,nzd0332-0048,nzd0332-0049,nzd0332-0050,nzd0332-0051,nzd0332-0052,nzd0332-0053,nzd0332-0054,nzd0332-0055,nzd0332-0056,nzd0332-0057,nzd0332-0058,nzd0332-0059,nzd0332-0060,nzd0332-0061,nzd0332-0062,nzd0332-0063,nzd0332-0064,nzd0332-0065,nzd0332-0066,nzd0332-0067,nzd0332-0068,nzd0332-0069,nzd0332-0070,nzd0332-0071,nzd0332-0072,nzd0332-0073,nzd0332-0074,nzd0332-0075,nzd0332-0076,nzd0332-0077,nzd0332-0078,nzd0332-0079,nzd0332-0080,nzd0332-0081,nzd0332-0082,nzd0332-0083,nzd0332-0084,nzd0332-0085,nzd0332-0086,satname
2024-01-13 22:01:10.918,309.4533333333333,279.95571428571435,281.4626666666667,289.55285714285714,293.68062499999996,284.63769230769236,293.6791666666666,296.2684615384615,293.5509090909091,297.445,269.25,295.8014285714285,297.79571428571427,307.615,305.59999999999997,303.55125000000004,315.86875,307.12750000000005,313.59000000000003,302.42833333333334,189.6,287.04125,321.2481818181818,295.78125,285.93375000000003,308.9633333333333,315.16,319.3016666666667,312.93833333333333,310.1116666666667,295.9925,311.87,309.365,300.13875,318.464,314.12,323.5028571428571,322.928,319.5883333333333,325.4133333333333,301.055,282.4666666666667,234.894,329.83714285714285,293.87624999999997,308.073,318.4733333333333,324.8233333333333,321.835,314.96818181818185,314.41636363636366,332.38416666666666,342.80199999999996,314.12399999999997,336.507,285.85,291.85,283.809,286.197,298.21099999999996,310.55583333333334,306.149,287.32399999999996,297.80800000000005,303.89199999999994,321.7546153846154,292.418,288.41400000000004,275.88800000000003,308.5514285714286,312.16555555555556,289.65799999999996,344.6318181818182,313.723,293.78200000000004,296.81699999999995,330.50909090909096,329.41923076923075,293.87428571428575,302.642,304.063,333.40666666666664,294.66299999999995,294.7890909090909,291.359,267.7011111111111,339.56363636363636,L8
2024-02-05 22:06:55.945,314.67571428571426,290.6160000000001,292.9633333333333,308.711,305.17615384615385,291.71899999999994,304.4411111111111,304.93888888888887,308.35857142857145,301.5822222222222,305.675,311.10166666666663,314.2466666666666,307.615,305.59999999999997,314.56,320.945,320.59375,313.59000000000003,302.42833333333334,,303.5266666666667,337.43888888888887,305.73833333333334,299.63000000000005,308.9633333333333,315.16,317.5457142857143,305.6028571428572,310.1116666666667,316.96714285714285,326.34000000000003,320.38000000000005,321.5516666666667,318.464,314.12,323.5028571428571,322.928,319.5883333333333,325.4133333333333,301.055,282.4666666666667,234.894,329.83714285714285,311.55833333333334,329.06,340.89222222222224,345.7555555555556,340.279,343.3666666666667,331.52125,350.20444444444445,349.0511111111111,328.52428571428567,343.5188888888889,316.89500000000004,319.2566666666667,313.61,308.05666666666673,313.67857142857144,331.88875,317.47444444444443,296.08714285714285,325.18142857142857,318.11999999999995,348.358,298.79285714285714,296.5085714285715,284.5333333333333,331.91,337.4542857142857,294.61,371.0055555555556,336.7516666666667,302.6528571428571,307.11,341.52555555555557,345.937,300.52,327.5057142857143,329.8314285714286,357.79999999999995,305.0914285714286,308.74375000000003,296.53000000000003,280.2257142857143,352.44,L8
2024-02-14 22:01:07.227,314.67571428571426,290.6160000000001,292.9633333333333,308.711,305.17615384615385,291.71899999999994,304.4411111111111,304.93888888888887,308.35857142857145,301.5822222222222,305.675,311.10166666666663,314.2466666666666,307.615,305.59999999999997,314.56,320.945,320.59375,313.59000000000003,302.42833333333334,207.68,303.5266666666667,337.43888888888887,303.4057142857143,297.07142857142856,305.3671428571429,312.3085714285714,315.25374999999997,304.40500000000003,307.7942857142857,311.83625,323.78000000000003,318.2457142857143,318.52,314.59999999999997,311.34833333333336,323.5028571428571,322.928,319.5883333333333,325.4133333333333,301.055,280.4925,235.0966666666667,329.83714285714285,307.2728571428571,324.37624999999997,340.89222222222224,345.7555555555556,336.15090909090907,338.322,327.38444444444445,345.29900000000004,344.781,328.52428571428567,343.5188888888889,316.89500000000004,319.2566666666667,313.61,308.05666666666673,309.2575,331.88875,322.604,296.08714285714285,325.18142857142857,318.11999999999995,348.358,298.79285714285714,296.5085714285715,284.5333333333333,331.91,337.4542857142857,294.61,371.0055555555556,336.7516666666667,302.6528571428571,307.11,341.52555555555557,345.937,300.52,327.5057142857143,329.8314285714286,357.79999999999995,305.01750000000004,307.70000000000005,296.7575,280.74,352.207,L8
2024-02-21 22:06:53.378,313.86625,293.02333333333337,297.64666666666665,314.123,309.77076923076925,298.602,304.66600000000005,310.76666666666665,317.29571428571427,301.5822222222222,306.37857142857143,312.79571428571427,313.7285714285714,307.2285714285714,305.58875,314.6575,321.39444444444445,320.0388888888889,313.81666666666666,304.27571428571434,207.68,305.30571428571426,337.43888888888887,305.55375,300.03375,306.94375,313.74125,315.68111111111114,305.4144444444444,308.06875,312.09666666666664,323.06444444444446,317.665,318.13624999999996,315.32428571428574,312.7314285714286,323.43875,322.66833333333335,318.43857142857144,324.03142857142853,307.262,280.4925,235.0966666666667,329.83714285714285,308.095,324.3977777777778,340.89222222222224,345.7555555555556,334.75416666666666,336.65727272727275,327.073,343.98454545454547,344.39,328.52428571428567,343.5188888888889,319.2528571428571,320.5342857142858,315.9614285714286,311.44428571428574,311.6722222222222,331.3811111111111,323.46090909090907,301.61375,326.30875,319.71000000000004,347.0290909090909,302.02375,301.5425,284.5333333333333,331.91,338.3725,294.61,371.0055555555556,338.6857142857143,307.0025,311.9925,342.5,346.31454545454545,305.96571428571434,329.995,331.405,357.79999999999995,309.1066666666667,307.70000000000005,296.7575,280.74,353.23545454545456,L8
2024-02-29 22:06:59.389,308.99,296.1028571428572,297.64666666666665,310.0409090909091,307.68071428571426,296.83272727272725,302.72818181818184,309.706,311.57124999999996,301.5822222222222,304.345,312.79571428571427,312.02,303.47375,304.78,312.5433333333333,320.123,319.39099999999996,313.81666666666666,302.47875,207.68,302.82875,337.43888888888887,304.46777777777777,300.03375,304.15222222222224,311.18111111111114,314.17199999999997,304.857,306.3077777777778,312.09666666666664,320.819,315.30222222222227,315.65444444444444,313.10875,310.875,323.43875,322.66833333333335,314.5125,320.40999999999997,307.262,279.648,233.64571428571432,329.83714285714285,305.2788888888889,320.996,340.89222222222224,345.7555555555556,331.5792307692308,332.88916666666665,324.1218181818182,340.43416666666667,341.18916666666667,328.52428571428567,343.5188888888889,316.41125,317.4875,313.43,309.2575,309.608,328.017,321.3275,301.61375,323.13666666666666,317.35875,343.09166666666664,301.64444444444445,300.99333333333334,283.71714285714285,331.91,338.3725,295.00375,371.0055555555556,333.785,306.29999999999995,311.6166666666667,339.0372727272727,342.8666666666666,305.64375,329.995,331.405,357.79999999999995,309.1066666666667,306.473,296.71777777777777,280.69111111111107,351.15333333333336,L9
2024-03-08 22:06:41.615,310.94,294.86833333333334,298.70454545454544,313.2,308.4907692307692,296.27,302.558,309.44666666666666,311.60714285714283,300.87125,304.23428571428576,313.66499999999996,312.28285714285715,303.17857142857144,305.23875,312.46625,319.7977777777778,319.6466666666667,313.642,300.94714285714286,207.68,302.45428571428573,339.818,303.49125,304.85375,303.1225,310.86875000000003,317.611,304.3888888888889,306.2925,317.15777777777777,322.719,315.95750000000004,318.27777777777777,317.045,310.60571428571427,325.1485714285714,326.615,315.75142857142856,323.01,318.936,275.9625,227.07833333333338,336.5733333333333,305.98125000000005,322.20222222222225,345.10875,355.0355555555555,333.73583333333335,335.6127272727272,325.477,342.81545454545454,342.92727272727274,332.40142857142854,347.22375,316.69,318.2128571428571,314.22285714285715,309.87142857142857,309.7877777777778,329.96333333333337,321.92636363636365,305.8075,325.6411111111111,318.2257142857143,344.36249999999995,303.9188888888889,302.8288888888889,280.90833333333336,338.01500000000004,341.36625000000004,297.79625,375.18111111111114,336.09875,305.08125,314.1433333333333,341.10181818181815,344.04833333333335,303.98428571428576,334.025,336.99,363.14285714285717,312.58,305.88,294.48375000000004,278.3775,351.2672727272727,L8
2024-03-09 22:00:50.044,310.94,294.86833333333334,295.78583333333336,307.7672727272727,305.80285714285714,294.47,300.7218181818182,307.31800000000004,304.92,294.9555555555555,304.23428571428576,313.66499999999996,312.28285714285715,303.17857142857144,300.66555555555556,309.00666666666666,316.21000000000004,319.6466666666667,313.642,300.94714285714286,205.46,296.54625000000004,339.818,303.49125,304.85375,297.95222222222225,304.98333333333335,317.611,300.71999999999997,306.2925,317.15777777777777,322.719,310.9122222222222,318.27777777777777,317.045,310.60571428571427,325.1485714285714,326.615,315.75142857142856,323.01,318.936,275.9625,223.72714285714287,336.5733333333333,299.54,317.002,345.10875,355.0355555555555,328.01461538461535,329.55749999999995,320.64,338.09,338.33666666666664,332.40142857142854,347.22375,310.63374999999996,313.22124999999994,307.03875,303.93125,304.227,324.634,317.7475,305.8075,325.6411111111111,312.95,344.36249999999995,301.735,302.8288888888889,280.90833333333336,338.01500000000004,341.36625000000004,297.79625,375.18111111111114,336.09875,302.65777777777777,314.1433333333333,341.10181818181815,344.04833333333335,301.45250000000004,334.025,336.99,363.14285714285717,312.58,303.08500000000004,292.99444444444447,275.11777777777775,348.295,L9
2024-03-09 22:01:13.999,310.582,295.4585714285714,295.11615384615385,305.7375,305.09599999999995,295.01916666666665,300.9825,307.65909090909093,305.3522222222222,296.165,304.9825,313.11285714285714,312.18875,303.82,301.272,309.55100000000004,317.06363636363636,319.144,313.9733333333333,302.49625000000003,205.46,296.54625000000004,337.66181818181815,304.7255555555555,305.4755555555555,297.95222222222225,304.98333333333335,317.39818181818185,301.9763636363636,306.47,316.66999999999996,323.06363636363636,311.764,317.79,316.72555555555556,311.10375,324.28374999999994,324.7642857142858,315.30125,322.4188888888889,319.30833333333334,281.82399999999996,223.72714285714287,330.81,299.54,317.002,341.75888888888886,351.176,328.01461538461535,328.0884615384615,320.64,336.92769230769227,337.5746153846154,332.20875,344.93888888888887,311.83666666666664,313.6455555555556,308.97444444444443,305.1744444444445,304.227,324.3127272727273,317.7475,307.9288888888889,326.575,314.5544444444444,342.8761538461538,303.53,304.57500000000005,285.4657142857143,334.90285714285716,339.26777777777784,300.9755555555555,370.65500000000003,335.08222222222224,305.47400000000005,316.248,340.06666666666666,343.79692307692306,305.2366666666667,334.63222222222225,335.8966666666667,361.90125,313.93399999999997,306.1109090909091,292.99444444444447,275.11777777777775,348.295,L9
2024-03-16 22:06:59.445,306.72,291.6675,293.4214285714285,302.09230769230766,303.38,293.9130769230769,299.8253846153846,306.33250000000004,302.867,295.27000000000004,304.1911111111111,313.11285714285714,312.18875,303.82,301.272,309.55100000000004,317.06363636363636,319.144,313.9733333333333,302.49625000000003,205.46,295.3644444444445,334.7708333333333,303.087,299.852,294.63,302.14300000000003,316.0,301.68583333333333,305.05800000000005,312.5809090909091,321.09000000000003,310.34090909090907,315.3027272727273,314.497,308.8844444444444,324.28374999999994,324.7642857142858,315.30125,322.4188888888889,319.30833333333334,281.82399999999996,223.72714285714287,330.81,299.54,317.002,332.902,343.2663636363636,323.27785714285716,324.22214285714284,317.1816666666667,333.6742857142857,335.1664285714286,328.89000000000004,339.90999999999997,309.842,311.705,307.54,303.822,304.227,321.83583333333337,317.7475,307.33900000000006,326.575,314.5544444444444,342.8761538461538,303.53,304.57500000000005,285.4657142857143,334.90285714285716,332.605,300.081,363.78636363636366,332.06800000000004,305.4536363636364,315.9918181818182,340.06666666666666,340.9742857142857,304.81600000000003,331.134,332.152,356.2633333333334,313.93399999999997,306.1109090909091,292.99444444444447,275.27000000000004,345.8792307692308,L9
2024-03-17 22:00:26.876,306.72,288.0133333333333,291.23133333333334,298.63714285714286,302.1664705882353,293.7514285714286,299.6235714285714,306.0169230769231,302.24454545454546,295.215,302.026,308.08375,304.93555555555554,303.82,298.17727272727274,308.4827272727273,316.66833333333335,318.3009090909091,311.81857142857143,302.49625000000003,205.46,295.3644444444445,331.8430769230769,302.90909090909093,298.3636363636364,294.89181818181817,301.92,314.75461538461536,301.63384615384615,304.6790909090909,309.5758333333333,321.09000000000003,312.31,315.3027272727273,314.497,308.8844444444444,324.28374999999994,324.7642857142858,315.30125,322.4188888888889,312.7314285714286,281.265,223.72714285714287,322.97375,298.00800000000004,314.8863636363636,329.15,338.9975,321.476,322.2386666666667,315.5646153846154,331.7066666666667,333.2626666666667,326.592,336.4809090909091,309.0272727272727,310.48909090909086,306.25363636363636,302.97272727272724,303.12454545454545,320.01,316.3523076923077,306.6136363636364,324.1718181818182,313.361,339.7721428571428,303.1691666666666,304.16636363636366,284.89375,327.0425,328.3354545454545,300.26,358.6525,329.83090909090913,305.1791666666667,315.71250000000003,337.8523076923077,338.73333333333335,304.8418181818182,328.46181818181816,329.4927272727273,350.863,313.2890909090909,305.4266666666667,293.63800000000003,275.7518181818182,344.71999999999997,L8
2024-04-09 22:06:25.320,307.6277777777778,288.85749999999996,291.62857142857143,289.43538461538463,298.0,289.0084615384616,294.6730769230769,300.9941666666667,293.937,290.51181818181817,302.42777777777775,294.3371428571428,290.67125,309.8833333333333,302.7911111111111,307.62333333333333,315.54999999999995,308.59499999999997,311.81857142857143,308.97,205.46,289.0275,331.9425,300.678,300.5266666666667,289.39,302.51,315.66727272727275,299.26416666666665,301.094,309.1463636363636,318.9818181818182,308.7918181818182,310.07599999999996,314.2975,310.3942857142857,330.955,323.12000000000006,316.105,313.4225,311.125,263.82599999999996,212.54833333333332,317.6257142857143,293.53888888888895,312.12800000000004,327.717,335.14,316.0578571428572,318.3335714285714,312.56583333333333,330.8535714285714,333.38214285714287,325.87,334.518,309.2811111111111,306.21099999999996,300.813,304.3377777777778,299.36555555555555,314.3675,311.3625,304.052,321.217,308.75888888888886,336.76461538461535,298.9290909090909,290.741,280.9716666666667,332.73333333333335,328.71777777777777,293.81399999999996,357.71000000000004,325.573,300.98,312.02363636363634,334.4633333333333,336.50928571428574,302.779,326.73999999999995,326.46999999999997,352.6033333333333,309.725,302.23727272727274,290.87125,269.191,343.76461538461535,L8
2024-04-17 22:06:39.730,306.12750000000005,285.4244444444444,288.06142857142856,284.5338461538462,295.371875,285.39307692307693,291.55384615384617,296.93333333333334,287.961,284.78000000000003,300.5525,277.86428571428576,274.55875,303.762,300.59125,301.61,309.7854545454545,297.65099999999995,308.8,308.97,202.41666666666666,284.73222222222216,326.59583333333336,300.678,300.5266666666667,289.39,298.275,313.079,296.05181818181813,292.01000000000005,299.73636363636365,313.18636363636364,303.0790909090909,299.486,314.2975,310.3942857142857,327.89,323.12000000000006,311.206,305.47125,302.9214285714285,249.87833333333333,210.28428571428572,302.8825,281.92777777777775,303.242,318.786,327.86,308.8228571428571,311.3528571428571,305.32916666666665,325.08500000000004,327.4164285714286,321.601,325.14272727272726,304.474,303.44545454545454,295.3509090909091,304.3377777777778,299.36555555555555,310.8784615384615,307.90846153846155,300.52727272727276,316.51363636363635,304.26,330.4623076923077,297.33750000000003,283.5018181818182,280.9716666666667,332.73333333333335,324.835,290.68636363636364,351.8781818181818,317.37399999999997,299.4525,309.7275,334.4633333333333,333.06199999999995,300.92545454545456,317.313,316.00300000000004,345.337,307.07909090909095,300.33750000000003,290.1488888888889,266.0872727272727,341.5414285714286,L9
2024-04-18 22:00:06.948,306.12750000000005,282.609,286.0346666666666,282.0407142857143,293.6223529411765,284.3335714285714,290.39428571428573,295.4392307692308,286.1972727272727,282.575,300.5525,269.4825,266.71333333333337,303.762,300.59125,298.14700000000005,306.77666666666664,290.7672727272727,308.8,308.97,202.41666666666666,284.73222222222216,320.67461538461544,300.678,296.43500000000006,286.41909090909087,298.275,313.079,293.4533333333333,287.6718181818182,295.305,310.6375,301.00416666666666,299.486,314.2975,310.3942857142857,327.89,323.12000000000006,311.206,301.2377777777778,296.9,240.90142857142857,208.91125,291.5811111111111,278.229,299.6990909090909,313.3545454545455,322.5733333333333,305.366,307.84933333333333,302.7776923076923,322.2153333333334,323.372,317.3872727272728,317.30833333333334,304.474,303.44545454545454,295.3509090909091,304.3377777777778,299.36555555555555,310.8784615384615,307.90846153846155,300.52727272727276,316.51363636363635,304.26,330.4623076923077,297.33750000000003,279.00916666666666,278.53285714285715,332.73333333333335,318.17555555555555,288.73499999999996,346.2208333333333,314.35636363636365,298.34000000000003,307.80384615384617,330.0261538461539,329.96875,299.44416666666666,312.71,311.33181818181816,339.4045454545454,304.93583333333333,298.56307692307695,289.303,264.31,339.59133333333335,L8
