dates,nzd0407-0000,nzd0407-0001,nzd0407-0004,nzd0407-0005,nzd0407-0006,nzd0407-0007,nzd0407-0008,nzd0407-0009,nzd0407-0010,nzd0407-0011,nzd0407-0012,nzd0407-0013,nzd0407-0014,nzd0407-0017,nzd0407-0018,nzd0407-0019,nzd0407-0020,nzd0407-0021,nzd0407-0022,nzd0407-0023,nzd0407-0024,nzd0407-0025,nzd0407-0026,nzd0407-0027,nzd0407-0028,nzd0407-0029,nzd0407-0030,nzd0407-0031,nzd0407-0032,nzd0407-0033,nzd0407-0034,nzd0407-0035,nzd0407-0036,nzd0407-0037,nzd0407-0038,nzd0407-0039,nzd0407-0040,nzd0407-0041,nzd0407-0042,nzd0407-0043,nzd0407-0044,nzd0407-0002,nzd0407-0003,nzd0407-0015,nzd0407-0016,satname
2002-05-07 21:56:27.687,436.8275,430.68,418.3475,416.4075,411.45000000000005,420.78333333333336,416.5,421.84999999999997,430.27,431.62499999999994,437.5125,441.58000000000004,441.59999999999997,376.67,393.2625,398.78249999999997,411.995,409.475,424.94,429.655,433.9925,437.0025,440.7325,437.6725,435.7025,429.5725,431.015,431.68,427.115,434.6125,432.3025,430.85,434.66499999999996,426.01,428.5775,434.725,432.79749999999996,424.8325,427.7075,436.255,439.9075,426.615,417.40749999999997,435.40999999999997,290.86,L7
2002-10-14 21:55:19.836,405.39,423.23,419.19,417.89,417.0,415.59,405.84,413.38,429.89,,440.25,444.16,444.71,368.34,368.68,369.195,411.32,408.56,438.08,433.12,421.65999999999997,421.845,449.19,442.48,420.46500000000003,432.57,432.63,433.31,435.71,436.71,432.32,433.33,433.35,428.01,408.87,443.7,415.45000000000005,432.64,409.52,444.03,445.59,427.74,424.62,440.27,,L7
2002-10-30 21:55:25.430,405.39,427.145,419.47,417.67499999999995,416.49,409.80499999999995,407.695,411.69,424.395,421.19,437.83500000000004,446.84000000000003,453.81,372.125,368.68,384.95666666666665,411.005,408.71500000000003,427.745,433.78499999999997,425.0466666666666,423.74,444.515,444.095,425.3866666666667,429.58,432.015,432.075,434.04499999999996,434.98,434.66999999999996,434.05499999999995,434.645,435.12,414.30333333333334,437.58500000000004,419.75333333333333,427.995,412.97,434.245,440.39,428.28499999999997,423.145,438.615,,L7
2003-01-18 21:56:06.129,387.13,430.06,416.56,414.03,411.82500000000005,403.41499999999996,409.635,408.405,430.21,425.05,435.51,447.095,452.645,392.405,351.22,392.12000000000006,413.18,407.645,421.225,433.24,420.46999999999997,418.32,434.505,440.015,422.24333333333334,425.62,428.98,429.66999999999996,432.01,433.78499999999997,435.54999999999995,432.845,431.90999999999997,433.15,411.81,428.75,414.47333333333336,419.34000000000003,407.0566666666667,424.115,433.83500000000004,426.61,422.095,439.945,,L7
2003-05-10 21:56:22.313,,429.06,417.06,412.88,403.78499999999997,400.65999999999997,405.775,402.185,428.94,412.95000000000005,434.13,439.665,436.75,408.9,370.78,391.35,399.905,411.435,417.05,424.885,424.065,427.41499999999996,432.24,432.16999999999996,427.87,420.94,425.76,424.26,431.58,430.935,429.265,429.375,428.79499999999996,421.71000000000004,420.765,423.17499999999995,423.24,418.245,422.06,419.085,432.48,424.39,422.52,442.93,275.48,L7
2003-07-21 21:44:09.463,444.96,448.33,430.71000000000004,428.45000000000005,423.28499999999997,415.76,418.725,413.07,431.71500000000003,420.315,440.81500000000005,446.58500000000004,443.97,383.52,387.025,384.435,395.41999999999996,418.775,420.125,428.24,430.845,433.865,441.125,436.71500000000003,438.13,427.1,431.96500000000003,428.195,437.0,434.6,431.08,433.15,434.405,426.225,427.875,427.34000000000003,430.30499999999995,424.83000000000004,429.375,422.735,436.52,449.19,440.25,444.67,327.395,L5
2004-04-02 21:46:54.575,465.33,463.91,450.93,452.45,449.92,443.51,447.84,456.7,463.12,469.85,465.97,471.29,472.21,,434.21,,,446.14,450.62,457.29,467.25,473.17,474.68,476.93,472.4,462.62,463.78,456.75,453.13,457.13,448.41,454.43,460.52,466.76,469.85,469.56,464.86,454.24,464.43,455.2,464.84,456.53,451.07,464.14,454.52,L5
2004-05-04 21:47:51.656,467.195,462.415,459.865,464.29499999999996,459.36,456.755,456.83,463.76,467.605,473.41,475.39,474.44500000000005,476.355,,452.735,,,455.245,461.77,466.78,472.45500000000004,475.765,478.20500000000004,483.175,477.81,468.81,465.53999999999996,468.71000000000004,467.82,470.155,463.64,463.38,471.66999999999996,475.145,475.62,471.01,466.81,457.05,464.43,455.2,464.84,460.29499999999996,457.565,477.6,463.23,L5
2004-05-20 21:48:20.187,457.49,453.8633333333334,455.2366666666667,457.1233333333333,451.77333333333337,450.0733333333333,447.8233333333333,457.33,457.1333333333334,466.82666666666665,470.3333333333333,469.5333333333333,473.0833333333333,403.31,439.2833333333333,414.06,419.86,445.3733333333333,454.53000000000003,459.5733333333333,461.18,466.3666666666666,468.1166666666666,470.99,468.7633333333333,459.45,457.31,461.81333333333333,459.2833333333333,462.69666666666666,457.60999999999996,458.19666666666666,463.18333333333334,461.99,462.9266666666667,459.7,456.8,447.99333333333334,448.27,445.61,449.4,453.2833333333333,453.26666666666665,470.29333333333335,456.15000000000003,L5
2004-06-05 21:48:48.638,457.36,452.1,454.2,457.905,448.92,449.425,449.8275,456.44,458.0925,464.8,468.64,469.055,472.5625,409.655,434.015,416.625,424.46500000000003,443.1175,453.28,458.265,457.2875,462.865,465.5,466.8675,464.2575,458.125,455.885,460.1175,455.82,459.7975,455.2475,458.475,460.645,458.3325,458.2275,457.395,455.0775,446.6325,445.8433333333333,446.3633333333333,450.6366666666666,454.365,452.5925,468.565,454.57,L5
2004-07-07 21:49:44.929,452.52799999999996,449.95200000000006,449.84799999999996,454.718,445.54400000000004,445.63800000000003,446.816,452.03599999999994,455.14,460.96999999999997,464.25,467.948,470.09,410.32666666666665,430.80199999999996,417.72,423.66,439.712,450.366,454.11,453.446,458.93600000000004,461.45799999999997,463.11800000000005,460.83599999999996,454.992,452.428,456.38800000000003,453.082,457.082,452.946,453.596,456.5559999999999,454.90599999999995,454.264,454.16,451.55600000000004,442.9,442.6275,444.3125,446.8875,450.66,449.304,464.698,451.334,L5
2004-08-08 21:50:26.495,449.64166666666665,447.26,447.395,451.59999999999997,443.3533333333333,443.1566666666667,442.9433333333333,448.84,451.55833333333334,458.78000000000003,461.60833333333335,466.7166666666667,468.4533333333333,406.7025,427.825,418.5775,421.25,437.64166666666665,447.72499999999997,451.44,450.66833333333335,456.05333333333334,458.45666666666665,459.96166666666664,458.99500000000006,451.95,450.1016666666667,454.25499999999994,451.145,453.93,450.26500000000004,450.5316666666667,453.10833333333335,451.845,450.8866666666667,450.385,449.72,440.7183333333333,440.166,443.372,444.692,447.8033333333333,446.43333333333334,464.698,451.334,L5
2004-09-25 21:51:43.061,450.2657142857143,446.6857142857143,447.82714285714286,451.73285714285714,444.50714285714287,444.2685714285714,445.17,450.84285714285716,453.53999999999996,460.3614285714286,463.43142857142857,468.18142857142857,469.67571428571426,406.7025,430.90714285714284,422.61,425.41400000000004,437.82142857142856,449.18285714285713,452.62857142857143,451.65142857142854,457.21857142857147,459.93142857142857,462.77714285714285,459.6985714285714,451.57571428571424,450.04714285714283,453.3457142857143,451.1871428571429,453.90285714285716,450.88428571428574,451.7914285714286,453.6871428571429,451.8171428571428,450.40142857142854,450.8085714285714,450.1414285714286,443.8,440.3016666666667,443.5083333333334,448.60999999999996,447.45142857142855,446.24285714285713,464.2483333333333,451.45166666666665,L5
2005-01-15 21:53:45.186,447.65333333333336,443.77,447.6266666666667,449.9666666666667,446.2866666666667,440.7333333333333,439.8166666666666,446.81333333333333,448.59999999999997,454.3766666666666,459.84,465.15000000000003,471.17333333333335,395.83,438.8666666666666,436.59666666666664,435.3633333333333,433.80333333333334,444.96000000000004,446.3766666666667,446.52666666666664,450.6766666666667,452.15333333333336,458.6133333333334,456.6033333333333,445.92333333333335,448.4633333333333,449.6033333333333,448.91,448.9066666666667,443.82666666666665,443.01666666666665,443.9266666666667,440.69,437.92,438.4533333333334,441.81333333333333,443.98,437.7633333333333,441.89000000000004,449.1166666666666,443.36999999999995,444.16333333333336,463.32,457.565,L5
2005-03-04 21:54:27.824,453.95666666666665,450.09999999999997,457.2733333333333,457.54333333333335,457.59,445.7249999999999,456.53000000000003,455.7533333333334,459.4200000000001,460.15333333333336,465.24666666666667,468.56333333333333,473.81333333333333,,458.73,457.7033333333334,454.58666666666664,441.6233333333333,456.3766666666667,449.34,453.95,458.49666666666667,456.16,464.0233333333333,458.1966666666667,451.66,456.08,455.57,455.5466666666666,458.0233333333333,452.2366666666667,451.16,449.22,446.6966666666667,443.09,444.0933333333334,444.99333333333334,450.59999999999997,442.16333333333336,445.1133333333333,457.5333333333333,452.3566666666666,454.57666666666665,466.45666666666665,463.5,L5
2005-04-05 21:54:42.889,455.71999999999997,452.8933333333334,456.46,457.3433333333334,456.3033333333333,442.58500000000004,451.42666666666673,452.11999999999995,457.17,456.51666666666665,460.8533333333333,466.3066666666667,471.3233333333333,431.64,455.7633333333333,455.8966666666667,456.89000000000004,445.18,454.67,448.81333333333333,452.57666666666665,455.09999999999997,451.46333333333337,455.88000000000005,455.16333333333336,451.59666666666664,455.6166666666666,455.83,456.20666666666665,461.2033333333333,452.83,450.3933333333334,451.12999999999994,450.99666666666667,444.98333333333335,447.49666666666667,446.5733333333333,447.81666666666666,449.69666666666666,449.0533333333333,454.73,452.70000000000005,456.48,465.50666666666666,465.96333333333337,L5
2005-04-21 21:54:46.500,453.9075,454.1325,456.4275,456.3675,454.8825,450.6666666666667,451.81500000000005,455.65999999999997,457.77,457.2675,464.895,469.1725,475.925,448.34000000000003,457.455,455.9175,457.25,451.27250000000004,453.55,452.9575,455.4525,456.46999999999997,456.605,458.21500000000003,456.67499999999995,454.265,456.54499999999996,457.865,458.5375,461.83,455.5175,452.8925,453.56,459.85,449.6675,455.97249999999997,455.3875,456.11,454.06,454.38,459.4275,453.72,454.3875,470.96,467.785,L5
2005-06-08 21:55:08.756,449.71000000000004,450.838,453.87199999999996,453.6360000000001,451.36199999999997,449.1575,448.996,453.93199999999996,455.026,456.08000000000004,462.04200000000003,466.922,473.256,448.34000000000003,457.455,448.38,451.48199999999997,451.27250000000004,451.738,453.5559999999999,452.416,454.89799999999997,454.494,455.54800000000006,454.938,451.46000000000004,453.024,456.24799999999993,456.66400000000004,460.334,453.186,451.496,451.64799999999997,459.85,447.462,455.97249999999997,452.256,450.942,450.188,451.98,456.054,451.1,450.65,466.72799999999995,462.42600000000004,L5
