dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0032,nzd0227-0033,nzd0227-0035,nzd0227-0034
2002-03-13 21:48:44.624000,L7,,,,,,,,,,,,,,,,,,,,324.22,336.44,327.28,321.99,329.66,323.41,329.83,318.81,307.15,292.10,286.17,275.72,,346.97,405.52,,,291.93,306.28,378.65,,,289.46,
2002-03-22 21:42:28.269000,L7,368.91,347.57,336.60,358.65,357.45,370.00,371.57,351.37,366.91,376.47,376.62,355.80,351.81,332.67,333.01,333.76,320.42,312.79,310.57,313.97,312.17,302.41,302.45,299.21,311.12,313.60,306.12,293.27,278.59,273.47,265.88,,304.34,299.32,293.69,275.45,277.70,275.06,287.59,,,,
2002-04-14 21:48:38.601000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.97,335.37,322.48,315.33,324.22,328.37,337.20,368.55,348.14,334.52,341.08
2002-05-16 21:48:34.178000,L7,376.97,333.58,339.44,337.34,343.26,359.90,371.15,362.39,363.83,364.08,376.69,357.87,349.78,338.15,335.60,341.47,338.38,322.59,312.22,315.79,307.00,304.52,316.82,309.45,317.85,317.40,305.97,298.79,287.28,287.67,274.97,,,,,,,,,,,,
2002-06-01 21:48:28.245000,L7,,,,,,,,,,,,,,,,400.26,384.53,368.52,359.88,361.46,363.23,378.77,360.99,357.92,362.13,364.81,349.64,339.46,344.07,,,,339.58,347.16,343.08,276.88,320.41,322.11,348.18,355.93,340.80,332.22,337.05
2002-07-19 21:48:09.583000,L7,346.13,348.92,316.81,347.74,365.98,392.42,360.25,397.83,396.98,402.98,398.88,391.73,335.57,365.35,360.30,348.96,321.12,349.49,336.35,333.59,315.46,330.73,328.17,292.92,329.68,338.62,332.28,306.34,313.41,276.43,261.94,,,,,,321.34,,,354.36,345.15,328.46,335.79
2002-08-20 21:47:58.545000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.79,346.99,377.77,361.71,,,338.40,351.86,350.98,355.81,352.89,344.39,348.73
2002-08-29 21:41:39.340000,L7,324.24,315.82,323.23,345.02,308.90,374.78,367.69,377.67,378.21,380.20,385.91,373.45,364.57,322.05,314.76,320.94,317.05,317.43,296.96,299.03,310.68,310.23,300.39,312.84,315.19,318.19,309.74,297.65,286.37,296.18,,,,,,,,,,,,,
2002-10-23 21:47:39.211000,L7,351.78,366.64,362.67,366.27,374.28,394.62,410.82,407.39,412.45,384.69,389.84,399.70,379.28,389.81,379.54,367.34,365.89,386.59,352.88,336.29,338.14,341.76,341.49,347.28,339.23,314.30,310.38,300.88,296.17,286.54,270.52,,321.81,313.79,309.55,303.00,284.47,292.05,294.01,,,,
2003-01-11 21:48:14.464000,L7,,,,,,,,,,,394.68,388.36,310.20,299.65,296.08,304.26,299.93,289.10,281.29,,,,369.66,371.42,379.56,380.69,365.81,348.42,324.73,334.10,341.74,324.90,323.12,,,,373.14,292.60,364.58,295.78,370.79,351.25,391.92
2003-01-27 21:48:21.149000,L7,337.06,320.43,299.38,289.40,292.39,314.44,321.75,316.18,316.55,322.01,316.06,310.73,304.35,289.61,290.72,305.33,298.07,294.08,287.62,278.30,273.31,271.89,280.86,286.42,290.09,288.27,288.14,258.33,251.45,244.82,,,,,,,,,,,,,
2003-02-21 21:42:20.469000,L7,384.23,377.73,383.72,379.66,392.95,,414.37,408.43,405.93,414.49,420.19,409.71,400.69,381.59,386.21,381.97,369.36,356.76,360.30,358.05,357.47,355.89,359.21,350.71,352.58,361.77,370.41,359.18,,,358.58,334.75,347.96,361.41,357.17,335.71,328.60,327.38,331.07,342.94,337.30,330.43,333.00
