dates,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0032
2023-09-07 21:59:49+00:00,378.8966666666667,363.14437499999997,365.28625,372.63,383.04200000000003,397.0142857142857,395.6561538461538,394.5969230769231,392.2921428571429,388.92384615384617,389.17,383.21714285714285,368.9825,358.56999999999994,357.38374999999996,360.468,361.22,326.44733333333335,330.6777777777778,320.0573684210526,325.26095238095235,323.7861904761905,309.2266666666667,297.748,349.360625,343.45928571428567,334.89176470588234,324.8846666666667,334.188,308.914375,318.3607692307692,330.34272727272725,356.553,273.92083333333335,317.70222222222225,332.137,377.6821428571428,380.84399999999994,378.9815384615385,360.2876470588235,350.0653333333333,344.9013333333333,329.99
2023-09-15 21:59:56+00:00,377.0638888888889,360.739375,361.66625,372.6723076923077,383.09357142857147,397.2315384615385,395.6275,394.5969230769231,392.79307692307697,389.52416666666664,388.6858333333334,383.29923076923075,369.4218181818182,359.1081818181818,354.800625,357.48400000000004,361.3228571428572,326.40000000000003,328.04833333333335,318.62,323.95666666666665,322.6747619047619,308.1111111111111,295.7645,346.39375,343.4846153846153,334.57937499999997,322.4266666666666,334.3371428571428,307.7493333333333,313.6023076923077,323.77272727272725,355.30222222222227,271.1984615384615,309.6211111111111,326.884,376.3314285714286,381.2255555555555,375.5253846153846,359.7475,349.2633333333333,344.164,322.7133333333333
2023-10-02 21:53:47+00:00,376.6611764705882,361.21999999999997,362.4714285714286,373.9916666666666,384.63384615384615,399.23,397.81999999999994,397.01833333333326,395.69166666666666,392.50181818181824,390.87727272727267,385.51,373.067,363.20099999999996,356.402,358.29857142857145,363.35846153846154,327.7269230769231,327.5135294117647,316.72499999999997,322.711,321.942,307.1694117647059,293.91,346.924,343.7091666666667,335.6293333333333,322.59285714285716,335.1476923076923,308.7964285714285,312.72272727272724,318.6055555555556,353.71000000000004,271.5438461538462,308.03125,320.6033333333333,374.42461538461544,382.69124999999997,374.3833333333334,360.6933333333334,347.46785714285716,342.5221428571428,317.1881818181818
2023-10-09 22:00:00+00:00,374.2247058823529,359.06066666666663,358.1964285714286,374.4990909090909,385.14416666666665,399.5545454545454,397.81999999999994,397.39909090909083,396.6054545454545,393.46200000000005,391.348,386.1081818181819,373.85,364.28444444444443,356.3514285714286,355.185,363.64916666666664,327.69166666666666,325.0182352941177,315.20222222222225,320.9315,320.615,306.5970588235294,292.2763157894737,346.66214285714284,344.19818181818187,335.3592857142857,321.79538461538465,335.9158333333333,309.6253846153846,308.46272727272725,310.9122222222222,353.71000000000004,263.9307692307692,303.12625,314.84555555555556,373.60666666666674,384.43571428571425,374.78545454545457,361.3771428571429,344.82642857142855,339.5728571428572,313.20099999999996
2023-10-10 21:53:51+00:00,372.8672222222222,357.67312499999997,355.1813333333333,374.4990909090909,385.14416666666665,399.5545454545454,397.81999999999994,397.39909090909083,396.6054545454545,393.46200000000005,391.348,386.1081818181819,373.85,364.28444444444443,356.3514285714286,352.7646666666667,363.64916666666664,327.69166666666666,323.1788888888889,314.74052631578945,320.21238095238095,319.69904761904763,305.7966666666667,291.424,346.66214285714284,344.19818181818187,335.3592857142857,321.79538461538465,335.9158333333333,309.6253846153846,305.2125,308.15,353.71000000000004,257.86071428571427,299.02222222222224,312.623,373.60666666666674,384.43571428571425,371.7866666666667,361.3771428571429,343.15333333333336,337.79600000000005,313.20099999999996
2023-11-03 21:53:52+00:00,373.38894736842104,358.40588235294115,353.5706666666667,373.0918181818182,383.99333333333334,398.54636363636365,397.15363636363634,396.4990909090909,395.95909090909095,392.412,390.616,385.4745454545455,373.37666666666667,363.9266666666666,355.9857142857142,352.10933333333327,362.53,327.25636363636363,322.78333333333336,313.375,319.22190476190474,318.59450000000004,306.04263157894735,289.94473684210527,345.6778571428572,342.72999999999996,334.5057142857143,320.7416666666667,335.56916666666666,309.3707692307692,303.9308333333333,308.218,356.90000000000003,250.70615384615382,297.2925,308.8411111111111,372.01416666666665,387.66571428571433,373.0608333333334,362.52,344.4146666666666,338.7506666666667,312.843
2023-11-11 21:53:51+00:00,373.414,358.49555555555554,353.17375000000004,371.2191666666667,382.7161538461538,396.105,394.84666666666664,394.095,394.69416666666666,390.4527272727273,389.68545454545455,383.42833333333334,370.977,362.27299999999997,355.76,353.00312499999995,361.0615384615385,328.75,324.4068421052632,317.6461111111111,322.44666666666666,319.4533333333334,306.5385,293.1821052631579,345.12933333333336,342.06666666666666,334.08866666666665,321.30384615384617,335.2238461538461,310.4264285714286,303.9308333333333,311.9709090909091,356.0675,250.70615384615382,297.2925,308.8411111111111,372.01416666666665,388.67125,374.6946153846154,363.7486666666666,346.16437499999995,340.77500000000003,316.78727272727275
2023-12-13 21:53:58+00:00,372.5421052631579,359.30111111111114,350.0133333333333,367.3872727272728,379.55750000000006,393.78363636363633,392.7009090909091,392.41249999999997,392.5609090909091,389.2418181818182,387.64500000000004,381.97727272727275,370.00333333333333,360.89000000000004,355.11000000000007,352.02066666666667,358.5291666666667,328.9241666666666,322.9688235294118,320.730625,325.61749999999995,320.5811111111111,306.36315789473684,296.2288235294118,342.4185714285714,340.3281818181818,332.1171428571428,320.7938461538461,334.76666666666665,309.51923076923083,304.86769230769227,313.6475,354.9385714285714,248.54,297.2925,308.8411111111111,371.9623076923077,391.71375,374.4841666666667,363.5692857142857,345.2006666666666,340.32133333333337,313.255
2023-12-20 22:00:11+00:00,374.21210526315787,361.2083333333333,350.815625,365.3281818181818,377.76416666666665,391.71181818181816,390.88000000000005,390.3766666666667,390.6627272727273,387.97545454545457,386.928,381.0981818181818,368.76444444444445,359.81,354.0978571428572,351.47333333333336,357.33166666666665,329.18583333333333,322.9829411764706,322.192,327.02526315789476,321.32411764705876,307.4811111111111,297.90312500000005,340.9564285714286,338.82363636363635,330.76785714285717,320.4561538461539,334.33583333333337,309.9330769230769,306.09285714285716,315.713076923077,356.43,253.89357142857142,297.2925,308.8411111111111,371.9623076923077,392.1022222222222,375.57384615384615,364.0733333333333,346.61562499999997,343.298,316.93454545454546
2024-01-05 22:00:04+00:00,373.2663157894737,359.2283333333333,349.349375,363.71181818181816,375.49499999999995,389.60636363636365,388.67272727272723,388.7166666666667,388.3354545454546,385.88272727272727,385.355,378.81454545454545,366.317,354.29555555555555,351.44357142857143,351.493125,353.21166666666664,327.3861538461539,322.97058823529414,319.8593333333334,325.108947368421,320.01235294117646,305.87166666666667,297.54625,337.7457142857143,336.44083333333333,327.48,316.4015384615385,331.4975,308.5730769230769,305.1107142857143,315.2892307692308,355.1485714285714,250.40285714285716,297.2925,309.146,370.45214285714286,390.856,375.94076923076926,365.24266666666665,347.163125,343.93,316.93545454545455
