dates,satname,nzd0574-0000,nzd0574-0001,nzd0574-0002,nzd0574-0003,nzd0574-0004,nzd0574-0005,nzd0574-0006,nzd0574-0007,nzd0574-0008,nzd0574-0009,nzd0574-0010,nzd0574-0011,nzd0574-0012,nzd0574-0013,nzd0574-0014,nzd0574-0015,nzd0574-0016
2016-04-10 22:12:37.539000,L8,212.55,203.90,213.29,214.39,217.01,47.25,85.81,109.34,73.84,228.36,208.21,220.95,221.40,226.51,226.54,226.98,225.60
2016-04-26 22:12:33.098000,L8,200.69,191.15,197.00,183.39,89.22,190.87,205.75,198.66,220.08,208.65,178.87,176.78,129.36,146.72,41.05,108.92,115.95
2016-05-12 22:12:32.560000,L8,205.72,192.55,196.39,159.71,67.45,194.34,211.73,201.24,219.83,211.23,177.00,143.87,132.83,144.57,216.55,215.45,210.34
2016-06-13 22:12:42.546000,L8,209.10,196.13,200.09,192.62,18.92,205.27,212.47,204.07,166.49,210.60,183.91,127.61,124.76,144.04,219.70,217.81,215.66
2016-07-15 22:12:58.211000,L8,208.85,196.85,201.41,192.32,72.48,206.72,211.10,205.71,224.80,209.01,184.50,129.64,131.84,153.72,79.87,217.29,213.76
2016-08-16 22:13:05.571000,L8,204.30,191.49,196.99,195.25,53.09,194.95,128.71,204.45,214.41,207.96,180.83,123.87,125.53,148.59,217.20,160.82,
2016-10-19 22:13:21.341000,L8,214.61,206.15,220.78,220.59,227.21,235.99,232.18,230.25,237.67,233.53,233.73,229.26,234.77,232.23,233.13,231.48,227.97
2016-11-20 22:13:21.277000,L8,227.57,219.32,245.81,238.62,245.29,246.59,244.26,244.44,250.16,245.70,249.06,243.07,248.16,246.28,244.90,247.88,239.09
2016-12-22 22:13:14.982000,L8,212.88,208.20,225.52,225.03,229.55,232.57,232.26,231.84,237.03,236.69,235.92,231.26,231.95,233.99,233.87,233.00,231.71
2017-01-07 22:13:12.261000,L8,192.63,182.42,184.06,177.79,175.46,183.69,144.82,197.33,,175.40,158.75,171.12,121.48,131.14,47.60,,
2017-01-23 22:13:07.208000,L8,212.61,208.24,222.97,222.50,230.86,232.73,227.99,231.37,235.99,235.57,238.46,232.15,231.89,235.49,235.69,233.34,231.89
2017-02-08 22:12:58.815000,L8,194.81,183.33,188.72,183.14,,184.06,199.56,193.08,,208.32,154.87,142.18,123.69,134.56,200.83,211.30,210.59
2017-02-24 22:12:53.892000,L8,241.21,271.29,280.53,275.57,222.70,228.88,269.92,337.89,275.34,236.39,321.79,258.27,259.96,263.44,239.87,236.04,238.94
2017-04-29 22:12:18.412000,L8,204.68,191.85,202.18,189.63,88.67,190.68,122.71,201.49,221.42,210.44,185.65,128.49,126.51,149.48,29.26,107.03,106.69
2017-07-02 22:12:47.839000,L8,211.78,203.89,209.38,189.87,71.79,217.93,201.04,194.72,212.70,213.23,186.59,184.72,181.09,191.29,224.09,109.67,
2017-09-20 22:13:10.497000,L8,205.82,187.77,194.65,117.96,151.16,136.53,123.44,130.17,173.78,212.05,170.49,130.57,182.91,215.30,81.17,100.81,105.05
2017-10-22 22:13:19.023000,L8,212.45,204.56,219.50,220.37,222.14,42.26,18.51,21.00,54.65,230.10,230.85,225.65,228.96,230.47,228.51,232.13,229.65
2017-11-07 22:13:17.610000,L8,196.64,184.39,190.34,91.38,21.81,59.12,116.59,120.93,163.12,212.26,165.07,173.02,182.69,159.90,216.00,218.11,213.40
2018-02-11 22:12:50.362000,L8,209.99,204.56,217.10,217.94,226.31,229.20,225.84,227.27,232.15,231.54,232.98,223.19,220.96,229.82,228.54,230.39,227.04
2018-03-15 22:12:34.251000,L8,204.92,193.92,199.37,206.50,201.12,219.92,210.53,214.37,225.39,218.12,189.00,184.25,209.00,220.01,219.15,220.26,217.81
2018-03-31 22:12:27.765000,L8,199.18,191.56,197.29,196.30,177.16,192.39,210.76,200.82,,212.51,179.34,142.12,179.26,182.67,28.79,101.60,107.32
2018-05-02 22:12:09.737000,L8,204.78,197.37,200.30,196.59,176.42,198.15,205.05,129.20,216.01,213.01,180.67,142.08,133.76,151.70,27.98,102.36,105.61
2018-06-19 22:11:57.514000,L8,205.71,196.79,205.83,187.25,,203.69,209.89,195.63,,209.31,182.24,109.01,125.34,135.60,37.25,176.96,
2018-07-05 22:12:06.676000,L8,206.78,199.55,203.97,196.48,,,,,,,,,,,,,
2018-08-22 22:12:30.412000,L8,204.48,192.58,200.12,201.36,178.38,194.98,213.43,208.97,220.90,210.64,184.26,165.34,171.37,144.41,28.79,103.90,121.11
2018-09-07 22:12:36.278000,L8,303.08,249.70,245.52,247.06,245.36,248.20,245.60,264.10,262.59,253.92,250.91,250.71,245.66,266.08,241.85,241.40,242.17
2018-09-23 22:12:41.211000,L8,204.19,192.61,197.51,206.12,191.23,204.49,,,,148.70,157.29,179.30,214.20,217.58,217.58,214.67,207.08
2018-11-10 22:12:56.881000,L8,207.68,205.43,216.55,217.88,218.48,229.00,222.95,225.82,232.65,230.78,229.30,228.20,226.76,228.59,228.20,228.78,227.79
2019-01-29 22:12:47.306000,L8,222.52,219.11,240.41,239.06,241.79,244.58,242.89,242.14,244.40,251.32,252.29,238.16,242.39,239.82,251.88,239.08,236.49
2019-02-14 22:12:45.337000,L8,210.36,208.81,219.62,220.92,227.28,229.36,224.70,229.89,233.86,231.67,233.98,229.59,230.76,233.33,235.44,230.39,228.59
2019-03-02 22:12:41.167000,L8,213.74,211.40,223.21,219.09,225.53,233.16,226.09,231.42,235.49,234.03,236.74,229.97,229.58,235.92,236.47,229.38,229.01
2019-04-03 22:12:32.527000,L8,202.46,198.08,197.78,207.40,190.72,65.90,111.40,116.13,83.75,214.80,182.94,183.05,184.14,214.12,37.12,101.64,98.40
2019-04-19 22:12:26.487000,L8,204.45,199.63,199.84,207.18,167.48,195.93,209.01,202.24,217.19,214.55,185.69,177.07,132.60,216.14,41.09,99.88,106.63
2019-05-21 22:12:39.194000,L8,206.61,200.64,203.11,48.33,,199.53,212.49,198.54,165.46,212.60,187.01,171.49,129.35,214.05,90.60,106.08,103.28
2019-06-06 22:12:47.153000,L8,211.36,206.54,210.24,208.12,99.57,219.38,215.43,208.02,226.68,218.41,189.56,179.35,162.08,223.89,223.49,224.59,223.40
2019-09-26 22:13:21.074000,L8,202.86,193.64,200.05,206.63,198.64,190.93,213.92,216.75,224.46,217.52,190.62,212.41,213.94,221.32,220.69,219.63,220.09
2019-10-12 22:13:24.068000,L8,200.62,101.53,169.19,183.33,175.99,183.08,205.00,206.82,213.97,213.56,189.05,213.14,212.01,218.79,80.03,98.84,97.22
2019-10-28 22:13:24.474000,L8,212.62,208.53,221.36,220.31,230.57,50.36,97.41,98.27,8.13,230.24,235.12,229.42,233.36,234.44,229.94,231.83,227.48
2019-11-13 22:13:21.985000,L8,210.77,202.64,215.17,216.14,216.77,225.68,221.95,219.47,223.93,213.06,227.04,182.15,215.92,226.58,223.17,228.12,226.36
2019-11-29 22:13:20.022000,L8,215.27,212.67,225.93,224.94,229.62,232.57,229.67,231.79,236.71,232.86,236.60,232.46,234.76,238.12,236.08,232.01,230.88
2019-12-31 22:13:14.062000,L8,251.24,259.26,275.87,273.03,272.49,274.01,277.60,285.44,288.09,288.19,282.91,289.18,290.03,291.81,292.61,294.83,301.65
2020-01-16 22:13:10.914000,L8,201.24,170.32,179.61,155.84,146.00,158.08,209.30,215.99,225.40,209.24,201.74,216.91,216.29,223.43,229.03,229.65,225.06
2020-03-04 22:12:56.927000,L8,196.00,187.46,193.96,191.33,182.94,64.25,112.01,117.38,81.96,211.31,174.30,172.69,123.59,141.69,216.51,159.86,145.19
2020-04-21 22:12:33.691000,L8,203.80,197.07,200.16,197.75,189.45,193.07,212.99,206.88,221.52,216.56,185.55,179.89,182.25,219.18,219.09,222.09,220.35
2020-05-07 22:12:24.481000,L8,205.33,198.72,199.20,28.80,,195.75,212.04,198.63,219.93,201.39,182.96,176.41,126.29,215.14,83.10,104.62,119.77
2020-06-08 22:12:35.900000,L8,211.41,202.52,209.00,198.23,,219.86,212.07,218.12,225.21,213.77,190.82,175.32,133.27,217.50,81.15,105.97,119.21
2020-07-10 22:12:51.600000,L8,208.63,200.78,197.62,188.68,,,196.07,196.88,,209.25,183.44,167.65,125.42,134.81,219.16,187.08,
2020-07-26 22:12:56.525000,L8,207.34,198.67,166.24,187.63,,198.11,144.28,195.28,,170.99,180.29,139.02,122.56,138.93,216.97,177.37,
2020-08-11 22:12:59.530000,L8,208.43,195.05,204.69,151.26,188.51,217.66,209.99,216.99,222.31,211.53,190.81,175.76,184.62,215.76,219.98,220.15,212.56
2020-08-27 22:13:08.244000,L8,231.31,228.92,242.23,238.25,246.46,250.56,244.48,249.17,253.85,255.29,250.88,239.94,250.37,261.18,263.00,245.35,239.68
