dates,satname,nzd0288-0000,nzd0288-0001,nzd0288-0002,nzd0288-0003,nzd0288-0004,nzd0288-0005,nzd0288-0006,nzd0288-0007,nzd0288-0008,nzd0288-0009,nzd0288-0010
2017-02-03 21:54:05.431000,L8,358.69,349.75,344.32,356.09,277.17,359.42,357.27,357.41,363.86,377.09,373.39
2017-03-30 21:59:50.258000,L8,279.50,287.29,281.62,307.05,274.88,286.36,273.44,271.22,296.84,400.08,387.63
2017-05-01 21:59:31.775000,L8,,193.72,221.91,232.93,248.74,247.81,235.37,205.15,218.07,265.17,265.31
2017-06-11 21:53:45.526000,L8,,,,196.96,247.89,275.41,280.83,270.77,322.61,342.60,364.75
2017-07-04 22:00:02.623000,L8,,,,,,,229.56,236.60,231.85,276.18,314.63
2017-08-21 22:00:19.916000,L8,373.71,344.76,341.01,333.46,345.78,374.32,469.27,455.22,520.94,522.92,522.66
2017-09-22 22:00:25.901000,L8,211.17,207.95,240.53,253.01,241.57,233.38,249.39,231.80,222.26,260.15,
2017-10-01 21:54:18.775000,L8,217.43,274.34,262.91,273.13,262.95,273.23,265.98,275.90,253.80,322.27,320.59
2017-12-04 21:54:13.271000,L8,194.06,270.60,261.64,270.77,259.41,264.17,257.30,250.19,242.48,310.79,350.64
2017-12-11 22:00:24.535000,L8,197.40,271.70,260.92,271.00,259.34,263.21,256.69,231.32,245.87,311.43,380.92
2018-01-28 22:00:10.212000,L8,290.71,281.33,267.23,278.64,266.61,268.18,263.33,280.88,256.32,324.60,373.08
2018-02-22 21:53:49.659000,L8,190.50,277.97,264.97,274.19,262.03,265.89,259.41,275.02,246.51,320.52,360.65
2018-03-26 21:53:33.717000,L8,225.79,278.10,269.62,285.44,265.27,268.76,263.96,277.45,259.89,324.90,332.29
2018-04-11 21:53:25.350000,L8,304.35,305.36,305.89,313.69,307.37,317.86,300.97,278.22,337.77,355.60,368.07
2018-04-18 21:59:31.619000,L8,222.16,243.29,273.40,296.73,266.99,273.84,265.75,271.75,300.96,342.13,343.27
2018-06-05 21:59:01.870000,L8,,,,,,,189.42,240.65,239.37,314.00,315.18
2018-06-30 21:53:07.704000,L8,441.30,449.52,452.16,463.43,243.52,299.83,501.31,510.71,501.30,482.03,375.17
2018-07-16 21:53:15.277000,L8,,,160.37,222.24,266.26,272.45,268.64,264.13,305.22,336.42,339.12
2018-08-01 21:53:22.789000,L8,,160.86,232.75,250.09,258.55,267.75,261.75,269.11,295.04,326.58,330.75
2018-08-17 21:53:31.689000,L8,196.63,242.08,269.11,290.04,271.16,274.42,272.07,266.11,281.77,326.07,369.91
2018-09-09 21:59:51.285000,L8,301.43,298.49,296.29,306.70,280.82,278.98,287.24,265.07,302.01,337.37,328.67
2018-09-25 21:59:56.774000,L8,224.50,276.35,264.39,273.57,259.55,261.02,264.46,243.43,245.28,321.71,315.09
2018-10-04 21:53:50.552000,L8,204.25,265.51,262.60,270.84,259.39,260.12,262.77,237.77,241.33,320.41,313.43
2018-10-20 21:53:56.677000,L8,200.61,277.37,264.51,278.47,260.75,263.62,266.53,244.04,243.89,321.38,348.06
2018-11-05 21:54:00.051000,L8,355.30,273.83,262.39,271.82,259.30,260.66,261.67,235.90,242.46,319.08,376.39
2018-11-12 22:00:11.406000,L8,235.60,280.19,271.64,287.27,276.76,270.73,274.57,261.89,249.36,330.16,324.63
2018-12-07 21:53:57.973000,L8,290.59,275.26,265.24,274.58,261.75,262.24,262.66,238.48,239.64,317.00,252.39
2018-12-14 22:00:07.296000,L8,290.59,284.46,269.16,279.98,265.28,267.00,266.51,243.69,252.69,322.45,316.94
2018-12-30 22:00:07.697000,L8,379.55,359.14,350.59,353.65,371.71,367.22,350.96,375.93,384.95,402.14,403.04
2019-03-04 21:59:54.906000,L8,193.15,265.84,253.04,262.46,247.66,221.31,248.99,229.01,239.10,304.75,244.90
2019-05-23 21:59:54.725000,L8,,,219.79,251.51,251.25,259.72,245.85,262.30,294.40,328.11,336.13
2019-06-08 22:00:02.396000,L8,,,193.33,237.28,275.10,301.24,476.22,495.01,454.73,481.11,505.78
2019-06-17 21:53:54.928000,L8,,,,,,,240.91,265.03,327.73,339.78,372.01
2019-07-10 22:00:11.340000,L8,,,,,,,242.56,255.07,293.81,325.86,332.14
2019-08-04 21:54:09.092000,L8,,171.03,238.11,251.48,269.56,271.38,264.66,264.85,294.97,336.69,348.22
2019-08-27 22:00:26.490000,L8,238.47,314.52,296.86,298.42,283.59,285.61,287.40,268.30,313.22,365.87,358.66
2019-10-07 21:54:27.004000,L8,281.72,275.24,265.95,272.08,270.22,272.15,268.34,258.92,251.34,352.83,318.67
2019-10-30 22:00:38.748000,L8,343.84,323.33,325.50,318.45,320.71,426.21,441.08,448.62,443.70,369.29,514.43
2019-11-08 21:54:26.682000,L8,376.53,507.93,493.89,492.62,518.80,,,,,,
2019-12-26 21:54:19.351000,L8,281.78,270.85,263.72,270.94,259.00,267.36,259.54,230.45,243.27,312.21,271.65
2020-01-02 22:00:27.823000,L8,298.23,288.15,277.70,285.38,279.73,282.17,275.63,265.43,263.93,325.81,322.92
