dates,nzd0071-0000,nzd0071-0001,nzd0071-0002,nzd0071-0003,satname
2021-04-24 22:11:25+00:00,342.48249999999996,351.785,358.08750000000003,347.59000000000003,L8
2021-05-26 22:11:07+00:00,337.22,342.46,352.20750000000004,341.2125,L8
2021-06-11 22:11:38+00:00,336.094,340.63800000000003,350.428,338.15,L8
2021-07-13 22:11:19+00:00,335.83,340.03833333333336,350.4483333333333,336.92,L8
2021-10-01 22:11:46+00:00,335.56399999999996,340.344,350.062,335.356,L8
2021-11-06 22:12:48+00:00,334.772,340.692,351.416,336.166,L9
2021-11-18 22:12:08+00:00,335.695,341.945,352.04833333333335,337.9166666666667,L8
2022-01-21 22:11:59+00:00,340.3533333333333,350.16499999999996,357.66333333333336,352.6775,L8
2022-02-14 22:12:01+00:00,341.055,349.628,356.885,351.474,L9
2022-02-22 22:11:26+00:00,340.846,349.12833333333333,357.386,350.4066666666667,L8
2022-03-26 22:11:11+00:00,340.85499999999996,349.2214285714286,358.73499999999996,350.5585714285714,L8
2022-05-05 22:11:07+00:00,340.34,347.7114285714285,357.47333333333336,347.34714285714284,L9
2022-07-08 22:11:39+00:00,337.46799999999996,344.1033333333333,353.09000000000003,341.8433333333333,L9
2022-07-16 22:12:03+00:00,336.2366666666667,343.32571428571424,352.65166666666664,340.84000000000003,L8
2022-08-09 22:11:58+00:00,337.5128571428572,343.73285714285714,354.55571428571426,338.9657142857142,L9
2023-02-09 22:11:45+00:00,348.31,355.3,370.0,360.06,L8
2023-03-13 22:11:47+00:00,345.18,353.90999999999997,365.365,354.21500000000003,L8
2023-03-21 22:11:31+00:00,343.59,353.06666666666666,364.4766666666667,352.1366666666667,L9
2023-03-29 22:11:37+00:00,339.4475,346.4525,356.4925,343.69,L8
2023-05-16 22:11:04+00:00,338.416,344.252,353.858,341.106,L8
2023-05-24 22:10:53+00:00,339.63,345.7716666666667,355.31166666666667,343.4166666666667,L9
2023-06-09 22:10:48+00:00,339.63,343.83714285714285,352.2114285714286,340.66857142857145,L9
2023-06-17 22:10:53+00:00,338.2285714285714,343.69875,351.66,340.33875,L8
2023-06-25 22:10:44+00:00,338.2285714285714,341.09555555555556,348.31111111111113,337.42333333333335,L9
2023-07-11 22:11:24+00:00,337.38125,341.341,348.524,337.889,L9
2023-07-27 22:11:26+00:00,336.75333333333333,341.0581818181818,348.1336363636364,337.4118181818182,L9
2023-08-20 22:11:23+00:00,335.03444444444443,339.1818181818182,345.20909090909095,334.4918181818182,L8
2023-08-28 22:11:44+00:00,336.20799999999997,340.34999999999997,346.2525,335.81916666666666,L9
2023-09-05 22:11:22+00:00,335.68636363636364,339.7269230769231,344.64,335.0346153846154,L8
2023-09-13 22:11:29+00:00,334.62636363636364,338.60153846153844,343.37,333.7376923076923,L9
2023-10-07 22:11:33+00:00,335.622,339.82666666666665,343.8691666666667,335.22416666666663,L8
2023-10-15 22:12:03+00:00,336.2327272727273,340.76769230769236,345.4315384615384,336.21846153846155,L9
2024-01-11 22:11:32+00:00,335.98999999999995,341.76500000000004,346.82625,336.8025,L8
2024-02-04 22:12:07+00:00,337.82,343.60875000000004,348.39500000000004,339.04375,L9
2024-02-28 22:11:48+00:00,338.78285714285715,344.95,350.44999999999993,340.6742857142857,L8
2024-03-23 22:11:55+00:00,343.08666666666664,349.285,357.615,346.5466666666667,L9
2024-04-16 22:10:55+00:00,344.434,349.038,356.674,346.944,L8
2024-05-10 22:11:24+00:00,344.4533333333334,349.91833333333335,357.81333333333333,347.49166666666673,L9
2024-05-18 22:10:55+00:00,345.04,350.3,358.0671428571428,347.7085714285714,L8
2024-05-26 22:10:48+00:00,342.98875,348.35,356.06125,344.99375000000003,L9
2024-06-11 22:10:42+00:00,342.98875,344.95222222222225,351.5733333333333,339.87888888888887,L9
2024-08-06 22:10:57+00:00,342.0057142857143,344.13249999999994,350.78625,338.3125,L8
2024-08-22 22:11:34+00:00,342.30125,345.04222222222216,352.3288888888889,339.74888888888887,L8
2024-09-07 22:11:43+00:00,341.495,345.11555555555555,352.57222222222225,339.8544444444444,L8
2024-12-04 22:12:00+00:00,336.485,337.826,346.65600000000006,331.546,L9
2024-12-28 22:11:50+00:00,338.274,343.906,355.42,341.324,L8
2025-01-05 22:11:31+00:00,339.47166666666664,343.7316666666666,354.4983333333334,341.40333333333336,L9
2025-01-29 22:11:28+00:00,339.67999999999995,344.14428571428573,354.75857142857143,342.1114285714286,L8
2025-02-06 22:11:55+00:00,342.48285714285714,347.12142857142857,357.51000000000005,345.67571428571426,L9
2025-03-10 22:11:28+00:00,342.2266666666667,345.6666666666667,356.075,344.205,L9
2025-03-26 22:11:41+00:00,340.9785714285714,343.78285714285715,354.2471428571429,341.92571428571426,L9
2025-04-11 22:11:17+00:00,341.8225,345.31,355.91499999999996,343.20500000000004,L9
2025-04-27 22:11:32+00:00,340.6111111111111,343.3355555555556,352.75555555555553,340.70222222222225,L9
2025-05-05 22:10:48+00:00,341.029,344.091,353.966,341.62600000000003,L8
2025-05-13 22:10:58+00:00,341.029,343.24454545454546,353.3127272727273,340.66636363636366,L9
2025-05-21 22:10:52+00:00,341.029,341.715,352.32,338.8866666666667,L8
2025-06-22 22:11:31+00:00,341.99111111111114,341.8033333333333,351.9241666666667,338.4975,L8
2025-06-30 22:11:31+00:00,340.4422222222222,340.69083333333333,350.4533333333334,336.695,L9
2025-07-16 22:11:13+00:00,338.81222222222226,340.7525,350.66416666666663,336.7133333333333,L9
2025-08-01 22:11:18+00:00,337.94444444444446,340.2316666666666,349.76,335.77500000000003,L9
2025-08-09 22:11:49+00:00,336.1733333333334,338.2391666666667,347.24333333333334,333.32166666666666,L8
2025-08-17 22:11:30+00:00,336.1733333333334,336.19153846153847,346.8792307692308,332.9030769230769,L9
2025-09-18 22:11:37+00:00,336.37666666666667,336.37,347.1953846153846,333.3569230769231,L9
2025-11-05 22:12:10+00:00,335.13000000000005,335.772,347.217,333.38,L9
