dates,satname,nzd0071-0000,nzd0071-0001,nzd0071-0002,nzd0071-0003
2016-10-19 22:11:45.519000,L8,335.23,342.29,350.64,337.42
2016-11-04 22:11:45.464000,L8,356.24,389.93,401.24,354.57
2016-11-04 22:12:09.415000,L8,337.78,343.51,352.04,342.97
2016-11-20 22:11:45.458000,L8,340.74,348.08,356.82,346.34
2016-11-20 22:12:09.409000,L8,341.91,349.39,359.12,347.43
2017-07-18 22:11:40.412000,L8,,331.34,337.12,312.22
2017-08-19 22:11:29.174000,L8,339.10,343.47,353.63,346.32
2017-08-19 22:11:53.133000,L8,340.06,340.96,350.82,343.59
2017-09-04 22:11:31.619000,L8,350.09,371.76,364.74,360.57
2017-09-04 22:11:55.578000,L8,348.84,353.40,363.53,357.21
2018-01-10 22:11:30.163000,L8,328.80,323.21,340.97,325.22
2018-01-10 22:11:54.118000,L8,340.56,345.25,352.52,346.18
2018-01-26 22:11:21.264000,L8,337.28,346.42,353.16,344.76
2018-01-26 22:11:45.215000,L8,341.31,352.33,360.15,350.14
2018-03-31 22:10:51.947000,L8,333.67,334.19,345.21,334.33
2018-03-31 22:11:15.901000,L8,326.23,325.83,341.10,324.42
2018-04-16 22:10:42.721000,L8,332.26,333.15,343.86,
2018-04-16 22:11:06.667000,L8,333.26,333.24,344.35,
2018-05-18 22:10:23.040000,L8,333.53,340.49,350.11,337.33
2018-07-05 22:10:30.841000,L8,334.30,338.76,348.39,338.60
2018-07-05 22:10:54.795000,L8,329.38,329.67,343.43,326.28
2018-08-06 22:10:46.333000,L8,337.13,332.96,344.51,328.84
2018-08-06 22:11:10.291000,L8,336.83,332.21,344.25,328.09
2018-09-07 22:11:00.442000,L8,338.56,342.10,354.06,342.53
2018-09-07 22:11:24.397000,L8,345.60,353.07,365.85,351.13
2018-10-09 22:11:13.339000,L8,,,409.38,398.41
2019-02-14 22:11:09.519000,L8,340.88,349.84,357.29,350.39
2019-02-14 22:11:33.473000,L8,340.95,350.66,358.49,351.19
2019-03-02 22:11:05.349000,L8,360.14,355.08,391.02,356.01
2019-03-02 22:11:29.304000,L8,351.03,350.63,356.49,351.30
2019-05-21 22:11:27.314000,L8,334.09,334.17,346.94,330.72
2019-06-22 22:11:17.033000,L8,332.65,341.24,350.83,334.41
2019-06-22 22:11:40.996000,L8,330.27,334.92,343.89,326.07
2019-07-08 22:11:20.766000,L8,332.47,338.62,345.86,332.21
2019-07-08 22:11:44.725000,L8,333.29,341.12,348.02,335.03
2019-07-24 22:11:25.033000,L8,277.53,330.01,341.85,325.80
2019-07-24 22:11:48.987000,L8,327.58,330.10,341.59,325.00
2019-08-09 22:11:31.395000,L8,331.74,330.22,343.05,326.26
2019-08-09 22:11:55.358000,L8,332.59,331.25,343.33,326.72
2019-09-26 22:11:45.238000,L8,346.48,358.56,362.93,356.42
2019-11-29 22:11:44.191000,L8,351.90,371.29,367.30,355.82
2019-12-31 22:11:38.231000,L8,367.91,356.80,358.14,347.54
2020-01-16 22:11:35.087000,L8,340.83,349.35,361.11,347.51
2020-01-16 22:11:59.041000,L8,346.62,352.56,364.19,350.53
2020-02-01 22:11:29.826000,L8,345.62,350.37,357.22,349.77
2020-02-01 22:11:53.781000,L8,340.55,345.05,354.62,345.01
2020-02-17 22:11:26.315000,L8,341.14,345.93,355.54,345.94
2020-04-21 22:10:57.868000,L8,335.57,336.92,346.04,332.42
2020-04-21 22:11:21.823000,L8,332.10,332.41,342.44,326.57
2020-05-07 22:11:12.613000,L8,349.56,356.93,369.34,353.41
2020-06-08 22:11:00.065000,L8,330.73,337.24,348.66,334.54
2020-06-08 22:11:24.028000,L8,331.30,337.31,348.89,333.70
2020-06-24 22:11:08.920000,L8,327.36,333.85,343.43,326.82
2020-07-10 22:11:15.773000,L8,331.61,340.28,350.74,339.15
2020-07-10 22:11:39.723000,L8,331.72,341.09,351.39,339.64
2020-07-26 22:11:44.648000,L8,335.42,340.45,348.22,335.33
2020-08-27 22:11:32.405000,L8,347.38,354.01,363.01,354.90
2020-08-27 22:11:56.368000,L8,348.37,355.10,364.01,356.29
2020-09-12 22:11:38.984000,L8,342.83,350.90,359.57,350.21
2020-11-15 22:11:42.305000,L8,340.61,349.31,361.60,348.21
2021-02-03 22:11:56.237000,L8,328.38,320.57,335.39,323.20
2021-02-19 22:11:27.994000,L8,332.43,330.51,345.16,327.76
2021-02-19 22:11:51.945000,L8,331.48,329.45,344.58,326.45
2021-04-24 22:11:01.432000,L8,347.79,351.84,358.51,351.06
2021-04-24 22:11:25.382000,L8,346.12,350.00,357.13,349.47
2021-05-26 22:11:07.110000,L8,319.62,332.42,344.11,326.59
2021-05-26 22:11:31.065000,L8,325.35,333.64,345.07,327.68
2021-06-11 22:11:14.087000,L8,331.63,334.05,343.28,326.32
2021-06-11 22:11:38.046000,L8,334.08,338.09,348.17,331.67
2021-07-13 22:11:19.559000,L8,332.09,331.01,344.27,324.14
2021-07-13 22:11:43.513000,L8,330.80,331.10,344.49,324.07
2021-07-29 22:11:27.417000,L8,330.12,340.16,348.33,330.82
2021-08-30 22:11:38.264000,L8,,,327.69,331.34
2021-10-01 22:12:10.732000,L8,339.61,350.48,357.92,348.33
2021-10-17 22:11:50.671000,L8,351.71,359.36,364.30,353.89
2021-10-17 22:12:14.625000,L8,345.52,353.47,359.17,347.48
2021-11-06 22:12:48.299000,L9,341.03,351.47,362.77,352.97
2021-11-18 22:11:44.821000,L8,341.41,349.29,355.69,347.16
2021-11-18 22:12:08.776000,L8,340.31,348.21,355.21,346.67
2022-01-13 22:12:02.740000,L9,326.65,325.19,341.11,324.56
2022-01-21 22:11:35.958000,L8,338.72,347.40,361.19,343.78
2022-01-21 22:11:59.917000,L8,337.37,345.74,359.05,342.56
2022-02-14 22:11:37.090000,L9,341.47,346.52,354.29,345.82
2022-02-14 22:12:01.049000,L9,342.30,346.82,354.19,346.06
2022-02-22 22:11:26.680000,L8,340.43,347.20,360.01,345.88
2022-02-22 22:11:50.626000,L8,349.38,387.10,401.48,382.54
2022-03-26 22:11:11.888000,L8,340.90,349.78,365.48,351.47
2022-05-05 22:11:07.160000,L9,340.62,342.62,352.56,325.22
2022-05-05 22:11:31.114000,L9,340.48,341.31,351.46,323.96
2022-05-21 22:11:19.594000,L9,334.24,340.72,349.52,
2022-07-08 22:11:15.271000,L9,329.70,334.02,343.10,324.62
2022-07-08 22:11:39.226000,L9,329.53,333.73,342.71,324.30
2022-07-16 22:11:39.057000,L8,328.27,335.96,347.62,331.18
2022-07-16 22:12:03.012000,L8,,327.95,338.67,318.02
2022-08-09 22:11:34.517000,L9,334.74,342.90,351.18,339.93
2022-08-09 22:11:58.475000,L9,331.00,333.58,343.19,327.56
2022-10-20 22:11:59.771000,L8,348.65,352.87,365.67,357.71
2022-11-13 22:11:53.247000,L9,329.45,329.27,344.55,317.64
2022-11-13 22:12:17.201000,L9,331.10,336.00,347.48,325.61
2023-02-09 22:11:45.094000,L8,402.19,395.82,407.93,392.97
2023-02-09 22:12:09.040000,L8,342.24,351.39,364.71,352.62
2023-03-13 22:11:23.206000,L8,342.56,352.64,359.89,347.56
