dates,satname,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
2001-05-20 21:55:53.025000,L7,365.14,330.11,307.88,,,,,,,301.41,349.39,355.23,352.14,347.21,354.51,356.37,350.95,346.55,331.43,341.64,345.07,324.81,334.32,345.59,342.30,343.47,337.46,333.51,316.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.11,422.76,404.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-12 22:01:48.945000,L7,,,,,,,,,,,,,,,,,,,,322.36,351.28,370.34,365.49,359.34,377.68,,,,,,,,301.24,318.42,328.57,337.08,337.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.55,337.55,310.90,,,,,,,,,,,,,,,,303.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-21 21:55:29.297000,L7,355.42,323.26,313.63,294.38,260.93,293.59,316.80,327.33,316.24,333.89,357.87,360.50,362.45,359.69,358.46,356.82,349.85,343.75,328.47,333.64,345.15,323.56,336.37,334.37,332.62,336.75,327.53,323.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:55:01.113000,L7,357.05,325.43,311.76,,,,,,305.20,337.35,352.26,360.33,354.20,355.71,354.15,350.99,348.90,341.91,328.77,341.91,326.02,,323.03,344.58,340.95,345.19,336.70,328.60,317.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.95,340.02,341.33,336.97,365.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15 22:01:02.634000,L7,,,,,,,,,,,,,,,,,,,,,,,,423.88,418.29,405.21,409.69,395.60,,,,,,314.20,329.81,342.48,349.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.29,334.00,312.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-24 21:54:48.593000,L7,,,,,,,,,,338.15,349.00,356.79,349.57,353.47,350.51,344.83,344.16,354.64,399.91,390.54,,,,345.76,346.49,344.83,327.42,322.16,308.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.01,375.16,,,,,322.44,337.39,351.31,339.01,305.48,,,,,,,338.03,337.91,317.25,,,,,,,,,,,,,,,,,,301.33,364.99,309.66,335.33,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,356.68,341.48,328.26,307.80,280.97,299.69,313.30,309.29,332.23,343.86,357.46,365.14,365.31,363.78,361.94,357.22,352.70,347.16,341.71,345.76,351.26,330.03,347.64,350.11,347.27,348.27,341.11,333.99,324.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.90,334.82,351.78,355.35,344.62,374.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:54:28.694000,L7,357.15,338.19,328.97,313.29,289.63,309.34,333.97,336.89,346.75,354.34,360.61,366.34,370.99,363.49,363.48,359.93,356.30,351.29,332.58,336.51,353.82,339.17,349.68,348.89,344.64,346.39,343.13,334.25,323.64,,,,,,297.07,321.06,356.80,348.98,344.18,308.88,,,,,,,,,,,,,,317.87,340.24,,,,,,,,,,,323.64,338.64,315.76,349.68,337.68,359.99,360.66,354.05,375.48,310.96,328.33,348.54,331.45,347.86,306.37,,,,308.21,300.75,,,,,,319.10,356.91,333.89,348.39,303.46,,,,,,303.01,371.55,375.08,336.54,357.94,317.03,315.83,,,,,,,
2001-10-11 21:54:09.862000,L7,363.22,347.42,339.69,322.34,300.67,326.63,342.82,346.30,358.72,358.95,370.13,376.68,372.46,370.19,371.18,366.96,365.32,359.09,332.78,338.28,358.74,341.81,355.94,356.58,351.09,353.86,343.90,341.32,330.07,297.30,324.30,344.58,303.35,308.94,324.17,346.27,363.66,360.06,395.76,384.46,373.45,385.91,381.97,392.43,396.48,407.26,398.22,388.56,369.43,,371.19,341.04,339.01,358.66,353.53,346.90,361.38,379.36,376.30,386.54,,304.26,338.31,380.15,372.46,338.88,364.87,345.58,367.11,355.86,372.75,374.59,373.63,377.49,340.33,348.00,368.87,342.69,363.26,338.38,366.26,363.24,321.24,341.74,339.82,336.41,336.92,352.73,385.48,383.30,371.54,369.73,355.25,360.70,387.56,350.80,339.57,368.76,375.52,332.49,325.47,382.22,390.74,375.06,367.30,340.23,335.46,313.57,311.57,305.21,306.08,310.65,319.66,369.43
2001-12-21 22:00:53.965000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.04,375.16,340.92,355.87,343.80,352.63,384.86,372.56,382.07,316.21,,,,,404.69,403.18,424.47,421.94,,,,314.64,296.75,,,,,,,,,,,408.48,,,,,,,,,,,,,382.51,324.86,,,,,339.07,,,,,,,,,,,,,,
