dates,nzd0166-0000,nzd0166-0001,nzd0166-0002,nzd0166-0003
2024-06-28 22:05:19+00:00,275.3,243.27400000000003,259.87,287.0890909090909
2024-07-22 22:05:04+00:00,275.3,241.709,259.8390909090909,287.4218181818182
2024-07-30 22:05:39+00:00,275.3,242.033,260.98,288.5363636363636
2024-09-08 22:05:24+00:00,275.3,244.79333333333332,261.31800000000004,289.00200000000007
2024-09-24 22:05:25+00:00,269.895,244.19375,262.4811111111111,289.51
2024-10-26 22:06:12+00:00,274.005,242.94875000000002,261.38666666666666,287.9125
2024-12-05 22:05:45+00:00,274.005,244.75166666666664,261.12285714285713,286.9533333333333
2024-12-13 22:05:46+00:00,272.2133333333333,245.28285714285713,260.945,286.7
2025-01-06 22:06:06+00:00,276.49,247.82999999999998,263.955,288.88
2025-01-14 22:05:49+00:00,273.758,248.13555555555553,263.8411111111111,288.69375
2025-01-22 22:06:01+00:00,271.56333333333333,249.53111111111107,263.66555555555556,288.17875000000004
2025-02-07 22:05:41+00:00,273.6985714285714,251.54222222222222,264.6633333333333,288.395
2025-02-23 22:05:31+00:00,275.4,253.677,268.12199999999996,291.47222222222223
2025-03-19 22:05:54+00:00,275.4,253.79899999999998,267.775,291.50555555555553
2025-04-04 22:05:51+00:00,276.9585714285714,253.71099999999996,267.37600000000003,291.76666666666665
2025-04-20 22:05:25+00:00,276.9585714285714,253.19636363636363,267.1872727272727,291.726
