dates,satname,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038
2003-11-28 21:32:34.027000,L5,303.67,165.53,197.52,210.94,206.29,278.66,309.48,272.99,335.60,357.38,351.51,354.12,324.33,316.24,314.43,322.03,319.32,321.47,334.98,344.26,348.24,352.96,356.53,355.98,346.72,334.01,342.05,346.32,343.33,339.45,354.01,362.91,367.34,367.53,381.66,374.40,379.88,356.32,339.75
2003-12-14 21:32:38.364000,L5,,168.21,189.69,196.97,187.34,209.82,250.54,261.19,278.95,296.56,317.93,322.67,303.37,294.26,293.73,303.47,304.67,307.64,310.53,330.62,340.17,338.22,343.76,347.39,341.55,320.54,328.38,331.32,317.16,327.49,339.79,347.59,355.06,352.63,356.24,355.32,366.75,353.05,327.09
2004-01-15 21:32:50.035000,L5,151.01,174.94,197.46,195.75,187.93,200.81,234.90,244.27,273.67,290.28,317.91,322.53,320.95,312.63,299.63,304.96,307.83,307.41,306.70,312.90,335.08,335.89,343.48,344.53,342.26,340.23,341.33,337.16,315.96,331.03,338.04,334.06,338.52,353.71,363.22,355.25,368.03,359.67,346.18
2004-02-16 21:33:00.436000,L5,,,,170.66,161.18,189.01,214.21,230.74,233.55,239.25,236.73,,,,,226.90,277.47,265.60,267.86,263.44,,,,,,257.78,236.48,235.01,260.10,208.16,297.07,287.04,296.86,283.08,306.06,320.13,341.36,329.98,316.44
2004-03-19 21:33:10.985000,L5,,178.78,208.83,203.45,202.67,206.58,241.87,252.21,265.03,280.42,301.42,308.92,309.60,304.33,304.92,309.44,310.95,311.86,315.41,315.49,330.28,327.58,332.57,328.87,328.67,333.04,338.93,345.32,323.76,330.95,349.24,341.89,345.06,345.60,358.17,348.81,369.40,355.21,346.84
2004-05-06 21:34:22.023000,L5,,175.21,201.94,218.02,209.03,226.02,237.13,281.18,290.50,342.43,341.84,332.85,335.56,325.36,324.01,324.14,333.69,327.12,344.80,337.34,352.07,347.55,364.33,356.00,360.08,353.40,354.85,359.04,353.77,342.89,361.97,357.26,364.30,371.28,375.92,374.37,374.27,370.62,357.81
2004-06-07 21:35:18.585000,L5,,180.45,213.86,226.48,214.54,229.14,247.50,271.71,319.56,332.76,335.90,336.92,336.39,341.53,320.49,323.22,338.15,335.77,335.67,335.02,349.22,348.93,349.89,341.99,345.69,351.75,351.01,363.62,358.85,346.45,363.03,359.47,363.20,373.50,375.97,370.28,377.43,369.17,358.28
2004-06-23 21:35:46.683000,L5,,179.93,211.24,216.46,214.96,227.69,250.91,275.84,277.26,324.26,331.41,335.03,323.62,323.07,314.92,320.57,333.79,341.48,333.55,331.36,348.78,346.59,353.89,343.24,345.29,346.68,356.83,359.09,344.24,349.17,362.45,362.17,361.20,366.64,375.98,377.27,375.35,364.70,363.27
2004-07-25 21:36:37.854000,L5,,177.14,197.71,215.65,201.79,225.90,235.37,249.33,266.15,286.75,305.72,316.26,312.84,306.27,305.01,310.66,316.07,317.78,315.61,314.67,331.78,321.48,332.52,329.60,327.08,336.45,343.96,350.52,334.70,336.45,358.53,351.27,348.73,355.86,363.66,358.01,369.17,363.43,358.84
2004-08-10 21:36:56.635000,L5,,167.57,200.37,209.91,196.59,217.69,248.19,257.05,266.75,287.01,307.79,308.21,307.46,293.38,296.51,307.48,315.57,315.99,323.53,323.35,335.98,327.01,333.34,333.06,325.10,332.00,332.20,344.30,328.25,337.55,352.10,347.92,350.61,354.93,361.58,353.22,367.76,358.47,353.78
