dates,satname,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0013,nzd0372-0014,nzd0372-0021,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067
2005-06-15 22:00:58.430000,L5,224.27,194.94,216.83,202.08,206.23,227.90,263.80,272.37,261.02,250.79,254.28,255.95,248.37,264.46,263.33,269.90,269.53,267.16,261.80,269.49,273.03,271.17,274.76,275.14,271.33,266.40,269.73,266.95,274.01,280.14,279.14,281.61,274.56,284.72,274.06,275.78,268.22,268.13,265.69,267.04,271.46,268.48,273.67,267.89,275.25,272.15,259.16,256.41,270.87,279.06,277.68,278.58,274.71,279.80,272.77,270.41,267.82,268.19,267.06,269.67,270.43,280.47,275.25,258.05,247.20,,,
2005-09-10 22:07:43.789000,L5,240.09,217.18,221.63,209.82,219.09,241.24,272.16,274.45,269.62,271.55,272.63,273.68,276.02,270.44,271.51,272.61,278.84,279.50,278.21,289.09,292.36,292.67,290.01,294.48,280.66,286.15,287.83,289.71,298.84,296.61,297.00,288.09,283.31,285.01,283.99,279.01,278.27,278.95,288.21,287.83,291.29,290.00,291.42,291.70,283.62,277.23,272.71,276.24,279.82,296.18,290.67,281.81,287.98,282.44,281.74,282.69,277.89,279.15,271.16,277.84,283.01,281.43,285.28,270.35,263.23,,,
2005-09-19 22:01:32.820000,L5,257.38,251.17,250.74,236.96,243.59,268.27,284.70,290.24,282.60,279.95,277.59,268.78,274.73,281.99,283.76,292.18,306.96,292.09,302.28,306.21,294.46,291.17,290.93,302.67,304.17,294.59,287.74,286.83,295.48,299.41,296.93,306.06,299.84,303.29,301.61,302.20,299.53,300.24,298.68,292.99,294.47,295.90,294.74,292.58,292.62,290.79,277.65,272.57,295.13,294.03,297.40,298.71,298.86,298.92,303.04,299.09,296.30,294.50,293.19,301.17,300.11,302.10,300.05,287.35,200.37,266.33,,
2005-10-05 22:01:29.249000,L5,243.08,226.60,231.56,218.69,234.17,255.67,282.18,284.03,279.66,266.74,274.43,272.33,272.64,278.91,272.89,275.68,281.56,285.80,291.18,298.30,290.84,287.71,272.26,282.35,265.28,261.07,274.82,256.50,275.73,270.81,265.70,271.50,265.15,277.05,288.31,281.71,280.66,281.77,280.02,265.08,279.58,281.47,282.37,289.78,293.02,292.93,274.64,281.12,295.74,290.10,294.55,291.95,296.00,289.21,293.39,278.12,275.99,288.43,284.16,289.58,290.21,292.23,281.41,289.24,271.67,,,
2005-11-22 22:01:58.720000,L5,242.72,228.50,231.08,221.08,228.85,255.21,280.21,284.79,266.89,258.73,260.89,262.40,261.52,276.86,279.60,280.81,284.37,283.84,286.11,278.06,278.59,279.59,278.36,283.18,273.43,272.05,275.17,273.51,283.17,281.00,289.82,295.43,293.12,292.46,293.77,290.79,286.03,279.92,276.05,278.10,277.90,281.73,277.95,280.72,287.52,286.26,262.60,266.95,284.76,280.97,288.57,294.18,291.93,294.75,290.82,290.62,283.65,285.06,278.83,281.25,287.43,286.67,272.16,254.08,,,,
2006-01-25 22:03:29.142000,L5,313.21,325.65,256.81,254.04,258.92,320.79,307.67,307.40,304.68,300.45,292.31,294.84,283.80,288.83,296.64,298.57,311.31,304.52,309.19,311.36,310.02,304.90,301.60,305.36,301.67,306.25,300.14,298.46,308.73,306.17,307.71,306.54,310.15,310.95,309.21,310.10,304.29,307.20,306.80,314.30,302.88,302.03,306.82,302.65,307.05,302.81,282.72,291.48,307.05,312.37,305.58,308.97,305.00,312.02,307.31,314.47,308.34,303.13,308.06,311.01,325.32,314.59,310.50,317.18,301.17,293.45,256.85,213.12
2006-02-17 22:10:10.858000,L5,243.66,229.85,231.99,219.92,225.74,251.08,278.12,285.30,278.27,266.57,271.14,270.51,266.85,270.70,276.27,274.83,278.17,273.89,279.74,282.95,287.92,286.69,290.27,287.67,276.87,277.70,280.83,276.93,288.91,290.69,286.28,287.13,284.45,283.64,286.35,280.45,281.93,277.48,282.48,283.48,283.80,287.43,286.19,285.92,284.53,280.86,270.00,268.18,284.96,286.78,284.83,282.04,282.67,282.80,282.12,282.03,277.68,280.70,273.85,279.82,284.46,285.93,175.56,270.04,257.26,,,
2006-06-25 22:12:20.185000,L5,259.81,245.73,241.03,219.84,220.70,249.06,276.54,280.30,270.54,270.80,272.47,274.46,271.49,279.67,271.68,277.50,282.55,271.68,281.16,284.60,285.87,286.38,289.80,289.13,277.17,282.13,283.66,284.37,290.78,288.42,297.25,293.95,281.76,280.70,281.96,281.68,277.79,278.90,279.14,285.51,291.47,284.26,287.71,285.90,290.81,280.03,268.61,273.33,280.34,286.94,289.35,291.52,285.39,287.59,285.31,279.85,283.12,280.12,281.52,283.26,282.52,283.21,291.19,282.52,291.19,277.13,257.72,214.71
2006-08-21 22:06:55.521000,L5,243.07,240.27,250.12,230.96,227.43,256.04,290.17,285.72,273.22,263.08,268.21,265.10,266.31,276.86,279.09,283.05,282.75,292.93,282.33,280.33,282.49,276.27,281.46,283.52,268.50,273.03,275.11,271.16,285.54,286.23,291.44,300.74,290.23,288.58,292.86,291.30,286.50,281.83,281.19,282.93,281.50,281.78,280.34,288.85,288.49,288.48,265.02,269.23,280.44,287.24,288.01,290.05,287.74,289.10,289.63,287.96,275.02,284.93,281.93,291.09,287.43,284.70,284.64,284.48,279.92,264.90,247.36,168.26
2006-08-28 22:13:11.682000,L5,,,,,,197.26,234.06,237.13,239.64,221.62,229.76,209.50,219.42,174.65,191.17,213.01,206.36,208.01,229.06,197.71,239.66,201.62,197.78,,229.49,,,207.99,245.86,234.52,240.56,242.98,199.43,,,,,,,,,,,,,,211.34,207.45,244.39,,178.88,250.20,242.62,258.70,250.68,246.87,244.06,,,,,,,,,,,
2006-09-13 22:13:23.482000,L5,263.32,260.98,250.88,227.82,236.50,265.25,284.50,281.16,274.54,262.73,266.92,281.92,281.90,288.39,293.97,285.99,279.86,282.27,284.72,285.65,284.02,298.65,302.27,304.35,276.40,284.93,285.08,302.89,306.50,306.42,308.94,307.49,305.83,290.59,283.88,284.42,282.75,280.36,286.48,286.65,301.04,303.14,300.77,303.58,300.62,302.68,282.01,284.75,284.84,302.75,302.77,306.33,301.70,284.29,286.06,279.48,277.71,288.37,273.76,281.09,284.39,283.42,270.92,268.29,268.44,,,
2006-10-08 22:07:29.137000,L5,245.78,239.06,240.38,223.51,228.02,254.18,277.33,285.83,279.32,265.11,262.05,263.44,262.93,268.93,274.99,283.61,277.58,246.39,253.74,172.35,,262.87,278.44,273.25,272.34,265.94,275.38,273.84,282.39,281.23,291.09,282.74,291.33,291.57,289.40,287.93,286.15,289.43,284.77,284.64,281.25,282.75,279.88,283.73,281.08,281.62,261.56,264.79,279.09,260.09,278.03,264.08,194.21,235.80,278.84,272.91,274.19,283.23,279.59,281.68,284.03,289.07,282.50,267.13,265.73,,,
2006-10-24 22:07:38.411000,L5,210.04,191.33,182.13,172.41,181.05,200.77,233.83,243.13,233.62,225.17,230.87,228.78,234.65,238.56,237.85,248.49,241.87,243.41,244.36,247.30,255.23,249.74,247.21,256.33,237.46,242.91,240.45,236.48,250.13,248.74,259.50,252.30,252.39,247.91,250.10,248.55,247.58,241.63,245.96,245.33,246.12,246.63,247.77,248.13,243.39,239.98,234.38,233.63,254.42,260.38,259.94,262.18,260.47,260.08,256.90,249.98,244.35,241.24,,,,,,,,,,
2007-02-04 22:14:33.490000,L5,247.00,237.76,234.98,234.25,241.76,266.46,290.11,292.33,285.21,274.72,280.24,263.96,264.96,270.18,273.10,280.89,289.25,287.23,287.17,295.09,299.90,285.20,282.40,284.82,284.16,288.22,280.34,271.11,285.31,282.05,288.27,285.61,284.53,297.84,297.52,295.34,292.97,295.62,294.05,299.97,280.05,280.77,282.38,282.64,278.03,280.96,262.87,268.92,297.27,286.83,282.93,287.24,284.24,298.80,296.02,293.61,285.92,282.13,288.60,288.63,295.27,292.13,291.86,278.62,257.85,,,
2007-02-13 22:08:23.117000,L5,247.23,237.68,239.99,224.07,230.74,253.83,275.35,281.18,277.75,273.43,269.52,274.00,273.58,269.88,275.79,274.07,278.05,276.23,276.75,290.95,292.50,295.31,296.04,298.15,279.69,284.43,283.54,284.72,295.07,295.88,290.97,283.74,286.48,282.95,284.78,278.72,278.71,288.71,288.98,290.28,289.67,291.92,291.46,291.07,280.88,281.06,272.46,275.81,290.46,295.05,285.14,282.90,285.34,281.15,284.43,278.43,278.81,274.85,275.81,277.14,280.79,286.12,290.25,279.45,278.28,,,
2007-09-09 22:06:33.244000,L5,300.81,315.21,292.63,292.83,285.39,285.66,293.06,289.56,285.61,277.65,280.42,280.42,279.57,286.67,291.25,290.53,287.90,286.30,289.23,288.08,297.12,296.15,295.93,299.81,288.50,291.39,288.59,297.20,299.33,295.08,304.55,301.20,301.10,305.42,299.34,294.21,306.98,297.33,300.50,301.83,302.43,303.54,305.69,310.79,300.24,305.70,278.58,284.16,295.11,296.59,295.72,297.51,295.33,294.46,287.92,297.59,288.68,302.34,301.56,295.06,317.09,305.75,300.01,301.72,299.25,315.52,323.19,309.39
2007-10-02 22:12:30.868000,L5,257.19,256.48,258.69,218.39,222.49,253.08,273.39,271.54,266.84,259.12,267.17,274.18,275.89,281.58,285.53,268.15,270.46,269.56,266.42,264.24,273.09,286.10,268.30,257.74,233.60,240.04,263.08,269.65,296.89,299.62,300.12,301.52,299.69,282.86,280.59,281.68,277.62,278.51,278.43,289.47,298.02,295.35,295.41,296.32,296.21,296.16,273.28,282.23,265.02,262.26,267.47,268.51,255.69,262.67,253.66,257.29,239.74,268.59,268.07,275.30,276.60,277.00,169.21,270.15,278.66,,,
2008-10-29 21:57:00.343000,L5,,,,,,,,,,,,,214.04,234.29,243.22,246.76,235.53,223.76,227.50,229.45,233.13,231.90,262.60,260.06,228.77,229.58,229.33,231.75,168.86,,,,,,,,,,,,,,,,,,232.30,231.99,243.23,261.54,261.99,266.27,264.33,252.86,248.63,248.44,234.22,,,,,,,,,,,
2009-01-24 22:04:54.778000,L5,272.59,271.89,265.99,245.29,248.21,264.67,281.34,280.57,271.53,265.42,272.31,286.55,279.75,289.19,292.94,278.28,275.59,275.91,277.71,282.85,284.56,300.59,304.49,300.89,266.31,279.20,281.63,282.08,300.01,300.71,304.46,303.40,302.95,287.42,288.44,284.65,281.24,285.72,284.37,289.93,296.41,296.98,297.01,299.84,298.60,296.17,279.19,286.34,279.51,298.18,300.03,298.14,286.63,279.30,280.68,276.18,272.59,275.26,276.25,280.69,280.88,278.17,278.56,273.56,281.24,,,
2009-02-09 22:05:19.855000,L5,322.31,328.00,325.21,304.23,295.98,294.28,298.55,297.13,296.49,291.94,286.02,288.19,286.75,283.95,287.03,290.88,290.59,289.36,292.63,306.97,311.47,312.24,306.58,302.59,298.76,301.04,301.44,296.58,311.37,311.21,304.65,307.09,304.21,300.36,299.67,302.64,301.90,308.75,308.55,307.02,308.25,311.67,310.74,307.44,305.15,302.54,288.22,282.03,303.06,300.94,298.21,299.58,299.92,293.59,294.63,292.15,293.82,306.80,300.21,308.77,313.34,312.41,317.75,308.37,309.96,303.89,320.81,334.90
2010-02-21 22:04:20.664000,L5,266.46,263.84,265.75,254.97,259.69,273.59,289.21,289.88,280.97,275.60,274.83,277.26,273.78,277.99,274.71,281.99,280.42,278.35,282.75,292.11,289.69,296.38,294.59,288.33,271.64,283.75,279.74,269.39,294.15,283.93,290.33,287.51,289.18,285.81,286.25,285.28,289.05,289.17,289.34,290.21,291.66,289.77,282.94,285.12,287.42,282.41,265.68,267.59,287.98,282.54,286.45,280.97,285.44,281.18,283.19,288.02,282.87,279.59,275.92,280.50,286.07,173.79,289.12,286.66,284.12,231.20,,
2010-12-29 22:09:29.646000,L5,269.38,269.60,275.93,274.89,272.41,281.37,292.34,291.82,281.62,275.62,271.66,265.40,271.83,274.29,281.81,289.94,290.62,283.64,285.81,295.09,285.90,289.42,287.40,291.31,266.12,282.29,277.54,264.78,289.87,288.82,292.12,291.82,298.92,296.35,294.68,294.11,292.99,293.53,287.68,285.62,285.20,287.27,285.65,286.50,288.09,289.89,267.75,270.03,296.41,286.73,290.41,293.07,289.02,291.27,286.17,287.86,284.63,285.60,285.00,285.09,291.44,289.71,288.59,277.49,274.72,246.03,,
2011-01-07 22:03:20.155000,L5,276.23,273.75,270.32,266.78,270.50,277.48,289.23,285.68,281.63,274.88,274.71,276.93,278.48,288.88,283.12,283.51,291.06,280.38,282.96,291.28,296.02,298.59,296.02,297.25,270.92,291.89,285.80,270.53,299.91,300.19,300.64,300.16,298.48,295.37,295.40,292.61,291.66,294.31,293.81,293.40,293.58,297.32,297.44,297.59,296.64,290.30,278.48,280.46,290.17,297.70,297.89,295.23,289.97,293.05,288.08,287.16,282.86,287.98,178.28,187.97,178.12,174.28,172.52,194.15,213.63,221.86,248.98,
2011-01-23 22:03:20.850000,L5,271.71,271.17,276.52,270.68,270.57,280.60,292.92,288.34,281.22,275.03,279.82,278.27,277.60,287.52,285.12,288.68,287.93,284.93,287.15,293.17,292.16,298.67,297.06,297.46,275.03,291.62,284.77,271.87,298.86,298.83,299.36,301.92,299.66,298.12,299.10,295.50,295.33,294.55,295.67,294.95,295.68,293.64,295.34,295.15,296.33,294.78,278.07,277.75,292.31,292.83,297.21,293.24,297.13,296.14,296.48,290.95,287.42,292.32,177.67,186.37,173.49,174.63,174.31,191.67,209.03,218.52,163.67,
2011-02-08 22:03:23.241000,L5,275.34,277.87,282.10,263.53,261.20,271.57,279.90,282.06,270.08,265.90,272.76,272.08,277.89,282.37,288.16,278.97,272.30,270.82,274.62,280.71,289.96,292.59,295.85,297.43,263.82,286.28,285.04,271.93,294.82,297.27,302.37,300.29,293.92,284.05,288.43,282.65,282.63,282.88,281.46,292.58,295.53,296.11,295.71,294.74,296.53,292.80,273.17,276.24,282.82,297.46,293.49,292.25,285.04,280.68,285.64,279.92,275.79,278.89,275.09,279.71,283.53,285.62,283.03,285.61,286.66,275.26,256.30,
2011-02-15 22:09:34.535000,L5,321.75,320.36,325.18,324.36,298.74,290.74,296.80,288.69,282.50,275.26,278.27,286.64,299.34,301.26,302.92,301.99,287.59,281.85,290.13,291.62,298.58,298.80,312.09,313.16,282.88,292.88,287.11,297.48,313.71,311.36,315.14,311.04,314.75,310.13,297.92,299.26,295.95,298.33,299.06,299.92,307.88,310.29,310.68,311.14,310.80,311.62,299.22,303.44,295.94,311.31,307.99,309.34,309.02,296.50,286.07,291.91,285.02,172.96,182.04,180.67,168.38,176.05,176.49,195.02,202.79,196.01,283.97,239.54
2011-03-12 22:03:19.303000,L5,268.08,268.98,273.40,263.26,262.40,273.63,285.17,275.71,272.49,269.42,268.70,273.18,267.82,273.03,274.02,281.10,278.26,276.30,278.00,286.53,285.72,290.15,287.05,290.53,268.40,282.04,280.83,265.97,290.52,289.43,291.06,292.46,285.58,288.50,287.19,288.00,281.91,287.91,289.37,289.36,290.20,291.34,290.57,286.26,286.54,283.68,267.71,265.98,283.94,286.92,283.14,286.52,285.02,286.72,284.05,283.82,274.77,281.46,279.71,283.30,287.53,286.30,286.81,282.00,281.56,271.70,252.89,
2013-05-11 22:21:31.047000,L8,285.95,302.87,316.30,291.09,283.17,283.33,283.93,283.59,278.69,274.25,274.27,280.45,270.11,276.61,276.90,278.88,283.55,281.95,282.55,284.10,286.37,285.90,285.88,286.70,283.06,286.70,284.70,281.58,296.10,293.84,292.64,294.79,292.01,294.04,290.67,289.33,289.27,287.67,293.64,291.72,291.76,295.30,292.61,293.86,293.29,290.91,272.61,272.25,284.51,285.10,285.84,286.87,285.94,289.60,286.23,285.58,286.08,164.68,291.24,293.50,193.00,302.26,303.94,302.17,301.12,297.37,301.54,
