dates,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0012,nzd0372-0015,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0022,nzd0372-0023,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0013,nzd0372-0014,nzd0372-0021,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067,satname
2014-05-30 22:19:10+00:00,286.77,305.1175,299.59250000000003,286.14,291.89,287.03749999999997,288.5725,284.8675,279.8475,275.96,272.7975,275.27250000000004,275.385,278.3,281.02,285.25,287.4675,283.8025,284.15999999999997,288.875,288.78000000000003,289.09749999999997,288.65,290.1625,284.805,289.325,292.82500000000005,293.45500000000004,297.9475,296.72499999999997,298.22,293.87,301.89,295.0925,293.1725,295.01000000000005,294.77250000000004,295.95000000000005,297.36,296.78,298.7725,298.155,299.415,297.0425,295.215,296.89500000000004,274.3625,277.7875,289.135,287.765,290.5375,287.7925,287.5425,287.3025,287.945,288.7225,286.23249999999996,291.635,291.325,292.985,298.295,301.46999999999997,303.065,302.43666666666667,297.65000000000003,290.37666666666667,,,L8
2014-07-26 22:13:18+00:00,283.8675,303.998,298.86400000000003,285.71999999999997,288.32,285.246,286.788,283.478,277.178,273.434,271.078,273.898,273.662,276.882,280.018,284.512,286.444,283.946,283.398,287.254,287.616,288.07399999999996,287.61,289.122,284.07,287.29200000000003,290.488,290.684,295.15,294.61199999999997,295.394,293.98,299.434,294.04,292.806,294.21200000000005,295.51200000000006,297.01800000000003,295.71000000000004,295.03200000000004,296.714,296.668,298.642,295.47200000000004,293.91999999999996,295.786,272.554,275.95,288.048,287.23,289.07800000000003,287.052,287.646,287.604,287.358,288.26599999999996,285.344,290.264,289.81,291.788,297.702,300.81,303.065,301.2975,296.61,290.5625,,,L8
2014-09-03 22:19:42+00:00,283.8675,310.8075,301.522,288.1425,289.08000000000004,285.76599999999996,286.82399999999996,283.444,277.058,273.582,270.71000000000004,273.55,273.27,276.052,279.372,284.204,285.55,284.242,283.144,287.23,286.772,287.834,287.20400000000006,288.336,284.12,286.09,290.654,290.608,294.032,293.938,294.066,292.974,298.668,293.032,292.182,292.35200000000003,294.08000000000004,296.228,294.50199999999995,294.632,295.996,295.3,298.17199999999997,294.41600000000005,293.938,295.288,271.908,275.994,287.178,287.394,288.40999999999997,287.124,287.72999999999996,286.71999999999997,287.63,287.78999999999996,285.228,290.46799999999996,289.822,292.158,297.62600000000003,300.9925,302.34999999999997,300.53499999999997,296.735,297.46250000000003,268.54,,L8
2014-09-28 22:13:32+00:00,283.445,305.9375,303.024,288.9225,289.098,287.01599999999996,287.326,283.29200000000003,277.898,273.588,271.3,274.058,273.642,275.776,280.162,284.242,284.988,285.0,283.142,288.878,287.594,287.57,288.27200000000005,287.464,284.062,287.258,289.988,290.254,294.15600000000006,294.122,294.066,293.702,299.046,292.69800000000004,292.22799999999995,292.538,294.476,297.266,294.974,295.66999999999996,296.71999999999997,296.27200000000005,299.19199999999995,295.236,294.19,296.07,272.732,276.71400000000006,286.996,287.396,289.28799999999995,287.022,288.716,287.918,287.068,288.75999999999993,285.446,291.174,290.68,293.606,297.544,302.53249999999997,303.765,301.196,299.23,297.71500000000003,268.54,,L8
2014-10-14 22:13:38+00:00,282.894,301.87399999999997,301.31333333333333,287.956,286.855,287.31666666666666,287.95666666666665,284.2,278.04333333333335,273.6766666666667,271.5833333333333,274.18333333333334,274.1566666666667,276.75333333333333,280.18,284.0066666666667,284.8566666666667,284.77500000000003,283.4316666666667,288.87,287.845,287.9533333333333,288.42833333333334,288.0083333333333,284.515,287.5833333333333,290.0133333333333,288.9733333333333,294.19,294.4433333333333,294.9816666666667,294.74666666666667,298.8183333333333,293.79333333333335,293.2633333333333,293.1666666666667,294.4116666666667,296.9066666666667,295.10166666666663,295.6983333333333,296.3483333333333,296.3533333333333,298.96666666666664,295.895,294.7233333333333,296.14166666666665,273.4483333333333,276.72333333333336,287.3,287.95166666666665,289.3183333333333,287.53999999999996,289.08333333333337,288.12999999999994,288.2083333333333,289.25333333333333,286.2083333333333,292.2133333333333,291.2816666666667,294.08,297.955,302.32599999999996,304.048,301.4166666666667,299.566,296.88,268.54,,L8
2014-11-06 22:19:49+00:00,282.894,304.99,301.31333333333333,287.956,286.855,287.31666666666666,287.95666666666665,284.2,278.04333333333335,273.6766666666667,271.5833333333333,274.18333333333334,274.1566666666667,281.46,285.7114285714286,287.6228571428572,284.8566666666667,284.77500000000003,287.93857142857144,292.8285714285715,291.9842857142857,293.5885714285714,288.42833333333334,288.0083333333333,289.33714285714285,292.8514285714286,295.36857142857144,293.34999999999997,294.19,298.2042857142857,294.9816666666667,299.21857142857147,298.8183333333333,293.79333333333335,293.2633333333333,293.1666666666667,297.7542857142857,296.9066666666667,295.10166666666663,295.6983333333333,296.3483333333333,296.3533333333333,298.96666666666664,295.895,294.7233333333333,296.14166666666665,273.4483333333333,276.72333333333336,292.61285714285714,287.95166666666665,289.3183333333333,287.53999999999996,292.8328571428571,288.12999999999994,293.8,289.25333333333333,286.2083333333333,292.2133333333333,291.2816666666667,294.08,297.955,302.32599999999996,309.08666666666664,306.8385714285714,299.566,301.9766666666667,287.61,280.3,L8
2014-12-01 22:13:36+00:00,279.03333333333336,300.3575,296.365,286.8975,279.29,286.21250000000003,283.762,280.892,272.33599999999996,266.466,267.3,269.78200000000004,269.548,279.47999999999996,282.7183333333333,283.93833333333333,279.50800000000004,280.62399999999997,284.2866666666667,293.85800000000006,289.75,291.49,285.43600000000004,284.62600000000003,291.41999999999996,288.67,289.6366666666667,289.448,284.44,293.3233333333333,290.54200000000003,302.934,295.5325,295.125,295.205,286.658,295.08166666666665,291.618,288.65,289.13,288.45,295.125,297.72749999999996,295.60499999999996,295.01,295.1525,269.72999999999996,270.832,289.185,284.57000000000005,283.772,284.532,291.625,285.822,293.12833333333333,283.78999999999996,280.6,292.6025,291.295,294.055,297.9575,302.7925,312.09749999999997,308.888,300.4025,302.412,287.61,280.3,L8
2015-01-25 22:19:32+00:00,280.5466666666667,299.4475,299.975,291.30499999999995,284.895,290.9525,286.558,282.918,275.606,268.616,270.182,271.692,271.86400000000003,281.51666666666665,283.99,284.39833333333337,280.872,280.616,285.1716666666667,295.298,291.3,292.7816666666667,287.332,286.754,292.78999999999996,291.0833333333333,290.935,291.204,287.68600000000004,295.44166666666666,293.946,303.57399999999996,297.5025,296.8075,296.2675,288.118,294.1533333333333,291.224,290.364,291.346,290.61199999999997,297.145,297.5125,297.66249999999997,296.6275,297.185,272.942,272.852,289.69,285.45200000000006,285.71999999999997,285.242,291.95,286.828,293.62166666666667,285.94199999999995,282.0,297.4825,293.81,297.19,299.04,304.2125,311.45799999999997,310.014,301.21999999999997,301.354,287.61,280.3,L8
2015-02-19 22:13:13+00:00,280.5466666666667,299.4475,299.975,291.30499999999995,284.895,290.9525,286.558,282.918,275.606,268.616,270.182,271.692,271.86400000000003,281.51666666666665,283.99,284.39833333333337,280.872,280.616,285.1716666666667,295.298,291.3,292.7816666666667,287.332,286.754,292.78999999999996,291.0833333333333,290.935,291.204,287.68600000000004,295.44166666666666,293.946,303.57399999999996,297.5025,296.8075,296.2675,288.118,294.1533333333333,291.224,290.364,291.346,290.61199999999997,297.145,297.5125,297.66249999999997,296.6275,297.185,272.942,272.852,289.69,285.45200000000006,285.71999999999997,285.242,291.95,286.828,293.62166666666667,285.94199999999995,282.0,297.4825,293.81,297.19,299.04,304.2125,311.45799999999997,310.014,301.21999999999997,304.22166666666664,287.25,280.3,L8
2015-02-26 22:19:22+00:00,278.75,296.698,300.658,290.89799999999997,285.23199999999997,289.802,287.2833333333333,283.41333333333336,276.22499999999997,269.33666666666664,270.9066666666667,272.735,272.12166666666667,281.12,283.74,284.0557142857143,281.5266666666667,281.135,285.0257142857143,293.6933333333333,290.80571428571426,292.2657142857143,287.4316666666667,287.465,291.2466666666666,290.62571428571425,290.2242857142857,289.695,288.84666666666664,294.7757142857143,294.53000000000003,302.4933333333333,296.952,296.696,295.652,289.08166666666665,293.70714285714286,291.52666666666664,291.00666666666666,291.715,291.1816666666667,296.964,296.906,297.262,296.056,296.122,273.325,273.19666666666666,289.4142857142857,285.67333333333335,286.1666666666667,285.715,291.2657142857143,287.4733333333333,292.6571428571429,286.295,283.0133333333333,295.704,292.14750000000004,296.38599999999997,298.224,304.12,309.9833333333333,308.0516666666667,299.72799999999995,304.22166666666664,287.25,280.3,L8
2015-03-14 22:19:11+00:00,277.78200000000004,296.6933333333333,301.44199999999995,291.088,285.406,289.23,287.58833333333337,283.66499999999996,276.285,269.1316666666666,271.535,273.4033333333333,272.45666666666665,281.48999999999995,283.8742857142857,284.1114285714286,282.02500000000003,280.875,285.1842857142857,293.7616666666667,291.19,292.25857142857143,287.8883333333333,287.975,291.2466666666666,290.9714285714286,290.0857142857143,289.99833333333333,288.65166666666664,294.63571428571424,295.00000000000006,302.61499999999995,297.244,296.96400000000006,295.736,290.0733333333333,293.7942857142857,291.8016666666667,291.19666666666666,291.98,291.3033333333333,297.758,297.372,297.92600000000004,295.942,296.356,273.81333333333333,273.34499999999997,289.62142857142857,285.56,286.54333333333335,285.6716666666666,291.1257142857143,288.03666666666663,292.4971428571429,286.75333333333333,282.9916666666666,296.835,292.36000000000007,297.41249999999997,298.16999999999996,304.78249999999997,311.796,309.496,300.04499999999996,305.03,296.605,280.3,L8
2015-04-15 22:18:58+00:00,275.6566666666667,298.41600000000005,305.575,293.555,298.115,296.7625,291.20799999999997,290.394,280.21,268.79,269.84499999999997,271.84749999999997,270.41,280.5183333333334,283.09,283.65666666666664,281.3,278.968,284.51500000000004,293.096,290.4866666666667,296.445,291.918,291.512,291.846,289.94166666666666,289.4633333333333,291.582,287.426,294.9166666666667,293.38800000000003,306.79,296.14000000000004,295.75000000000006,294.21,286.495,292.69,288.7375,288.3125,288.49,288.29749999999996,296.6166666666666,295.17,296.1433333333334,294.48,295.21333333333337,272.498,271.316,289.08166666666665,284.162,285.004,284.502,293.00166666666667,292.976,291.93666666666667,284.466,280.832,296.44499999999994,287.16,296.35499999999996,296.71666666666664,302.06333333333333,311.1475,310.4475,295.94,310.6166666666666,296.605,280.3,L8
2015-09-06 22:19:26+00:00,269.17,293.4433333333333,303.24666666666667,290.1333333333334,296.65333333333336,295.05333333333334,295.8466666666667,296.7233333333333,284.86333333333334,271.24333333333334,273.595,275.03,274.73,273.29333333333335,274.0333333333333,276.60999999999996,278.7733333333333,277.91333333333336,281.26,286.67,286.88000000000005,295.16,297.5333333333333,295.41,283.7833333333333,285.1666666666667,285.32666666666665,281.83,290.11333333333334,294.41333333333336,294.66333333333336,300.9433333333333,290.44,289.68,291.055,289.33000000000004,288.07,287.365,287.095,290.36,290.745,292.055,292.76,292.42,292.99,290.58000000000004,275.1566666666667,272.2233333333333,284.6466666666667,287.12333333333333,287.51,287.99333333333334,293.21666666666664,298.10999999999996,287.6133333333333,286.6933333333333,286.1133333333333,284.72,276.56,271.44,280.16999999999996,278.26,298.8,300.67,297.3,,,,L8
2015-12-27 22:19:43+00:00,266.225,283.72,301.22,287.13,280.105,279.185,283.685,278.21,272.35,265.83,272.17,274.135,274.97,271.715,270.97,271.59000000000003,273.34000000000003,273.97,278.135,284.73,284.935,286.11,287.95,287.16499999999996,282.92499999999995,285.985,284.565,278.94000000000005,290.29999999999995,293.91999999999996,295.88,292.53,291.54499999999996,291.26,290.905,289.15,286.955,287.03,286.225,289.145,290.985,291.94,291.975,292.57,291.75,288.295,275.27,271.625,283.33000000000004,286.425,287.005,286.72,287.935,286.455,287.525,288.645,286.29999999999995,281.08500000000004,273.34000000000003,266.265,262.345,257.995,,,,,,,L8
2016-01-05 22:13:29+00:00,272.09666666666664,287.2366666666667,304.375,289.1666666666667,282.83,282.04333333333335,286.37666666666667,283.1,276.52,270.49,274.37,275.88666666666666,276.68,274.64,274.06666666666666,275.43333333333334,276.33,277.17333333333335,280.49666666666667,286.0733333333333,287.0733333333333,287.76,289.3,290.61999999999995,284.17333333333335,287.83,287.89000000000004,280.91,293.24666666666667,295.61999999999995,297.49666666666667,294.99666666666667,294.75666666666666,294.2866666666667,294.4066666666667,292.42333333333335,290.39,290.37666666666667,289.61333333333334,290.8233333333333,292.26666666666665,293.84666666666664,293.38666666666666,294.2366666666667,293.76,288.74,276.5233333333333,274.56666666666666,285.15000000000003,287.87333333333333,288.7,289.0933333333333,289.23,289.6766666666667,289.81666666666666,289.86999999999995,289.56333333333333,281.01666666666665,273.78000000000003,266.5333333333333,262.26,257.78666666666663,,,,,,,L8
2016-02-06 22:13:25+00:00,272.09666666666664,287.2366666666667,310.62,295.3075,287.51,285.0225,289.99,289.6066666666666,281.0266666666667,279.38,276.2366666666667,281.48,277.96000000000004,277.9,277.3425,278.3025,279.1175,284.4525,285.48,288.99,292.5675,292.865,293.8675,295.6275,285.8425,291.64750000000004,292.555,283.89500000000004,297.7975,298.585,299.4,296.7625,298.62,300.96000000000004,300.7875,296.305,294.3125,294.395,293.08500000000004,295.46,297.60249999999996,298.435,298.155,297.90999999999997,299.2725,294.73,283.455,282.6475,288.235,292.77750000000003,292.4875,294.7025,293.7925,295.8725,293.90749999999997,294.5775,293.765,283.8125,274.89,270.0725,263.29499999999996,259.955,,,,,,,L8
2016-02-13 22:19:32+00:00,274.3825,288.15999999999997,311.12,294.178,286.63,284.38199999999995,289.43600000000004,288.3575,280.5725,278.66499999999996,276.1875,280.898,278.092,278.102,277.884,278.77200000000005,279.482,283.93,284.95799999999997,288.62199999999996,291.394,292.246,293.078,294.96,285.822,290.86800000000005,292.998,283.716,298.568,299.02799999999996,299.832,298.01599999999996,298.33000000000004,300.536,300.654,295.726,294.414,294.02799999999996,292.998,294.748,296.196,297.702,297.322,297.254,298.964,293.9,282.596,281.948,288.13,292.066,291.688,293.48400000000004,292.776,294.604,292.87199999999996,293.312,293.48999999999995,283.026,275.184,270.332,262.996,257.62,233.38,,,,,,L8
2016-04-17 22:19:09+00:00,275.48749999999995,287.9925,310.0725,293.36600000000004,285.668,283.39,288.622,288.6975,280.4325,278.8625,275.3175,279.258,276.456,278.224,277.84000000000003,279.61,279.22,284.248,284.812,287.476,290.742,291.538,292.628,294.558,285.33599999999996,290.724,292.398,284.012,298.866,297.91999999999996,298.91400000000004,297.65,298.454,301.518,299.76000000000005,295.36600000000004,293.488,293.90600000000006,292.982,293.67600000000004,295.76599999999996,297.842,296.27599999999995,297.716,297.46,292.95200000000006,281.244,281.76800000000003,286.588,291.302,291.412,292.74,292.158,294.446,291.61,293.05,292.806,280.744,272.75200000000007,267.86199999999997,260.62399999999997,255.82200000000003,229.67000000000002,,,,,,L8
2016-04-26 22:12:57+00:00,275.48749999999995,287.9925,310.0725,293.36600000000004,285.668,274.705,282.735,282.06,273.204,268.39,268.6,279.258,276.456,278.224,277.84000000000003,279.61,279.22,284.248,284.812,287.476,290.742,283.53833333333336,287.7266666666667,287.76666666666665,278.0683333333333,283.4866666666667,284.9066666666667,277.16333333333336,298.866,292.09999999999997,293.41333333333336,292.78333333333336,293.2283333333333,294.9883333333333,294.02000000000004,289.9916666666667,287.7583333333333,287.75,287.48333333333335,286.97499999999997,289.39,297.842,296.27599999999995,297.716,297.46,292.95200000000006,281.244,281.76800000000003,286.588,286.27833333333336,286.405,287.98833333333334,287.37166666666667,289.6116666666667,286.8883333333333,288.17833333333334,286.6816666666667,280.744,272.75200000000007,267.86199999999997,260.62399999999997,255.82200000000003,229.67000000000002,,,,,,L8
2016-06-13 22:13:06+00:00,274.296,288.302,307.8,291.8733333333334,284.32666666666665,274.0785714285715,281.5442857142857,280.7083333333333,272.95,267.3016666666667,268.0883333333333,277.60999999999996,274.77666666666664,276.43333333333334,275.815,277.34499999999997,277.625,282.455,282.90500000000003,286.6566666666667,289.29833333333335,283.45142857142855,287.4485714285714,287.6871428571429,278.77,283.82714285714286,285.3,277.96714285714285,296.8666666666667,292.0928571428571,292.85714285714283,292.5728571428572,293.1471428571428,294.2471428571429,293.2371428571428,289.94,287.1614285714286,287.10857142857145,287.1385714285714,286.29285714285714,288.98571428571427,296.09999999999997,294.46166666666664,295.95666666666665,294.985,291.00500000000005,279.1983333333333,279.41333333333336,285.25166666666667,285.9271428571429,286.4371428571429,287.7757142857143,287.0057142857143,289.25,286.6942857142857,287.67571428571426,286.84142857142854,280.09666666666664,272.2033333333333,266.7183333333333,260.5,254.26833333333335,229.67000000000002,,,,,,L8
2016-07-06 22:19:29+00:00,273.2066666666667,290.06666666666666,315.01599999999996,292.25800000000004,283.482,270.554,278.7783333333333,277.91166666666663,271.14166666666665,265.16333333333336,266.62,277.03799999999995,276.91,280.87800000000004,280.93,281.51800000000003,277.334,282.702,282.446,286.7,289.976,281.9633333333333,285.91333333333336,285.87,277.39500000000004,281.745,283.715,276.82166666666666,293.85,288.7866666666667,289.16333333333336,291.26,289.93666666666667,291.68333333333334,291.28833333333336,286.885,285.8566666666667,283.8616666666667,284.5416666666667,284.77166666666665,287.7766666666667,295.54200000000003,292.608,294.62199999999996,294.402,289.264,283.23400000000004,287.12199999999996,284.4,284.8283333333334,284.80333333333334,286.885,285.685,287.90166666666664,285.4483333333333,285.91333333333336,285.004,280.37,272.61800000000005,267.262,259.806,252.342,229.67000000000002,,,,,,L8
2017-01-23 22:13:31+00:00,283.55,304.42,304.28,291.29,283.78,285.52,285.65,277.87,269.6,266.24,270.74,273.51,275.32,278.14,277.38,279.36,278.9,280.11,282.95,285.95,287.78,296.46,290.69,298.78,292.7,293.43,292.36,290.42,296.96,298.03,299.26,296.22,296.26,296.1,293.63,294.49,292.73,290.1,289.64,289.43,288.13,290.69,288.24,287.1,282.73,278.49,275.07,278.34,286.72,297.93,290.49,294.34,294.03,289.5,293.34,291.36,290.3,270.36,263.26,260.21,254.84,249.62,,,,,,,L8
