dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
2001-06-03 22:09:16+00:00,257.685,,,299.07000000000005,303.6,352.49,357.8875,358.775,342.90333333333336,348.40000000000003,339.67,335.66999999999996,,328.095,344.17499999999995,362.45,321.55999999999995,317.15999999999997,373.14500000000004,316.71500000000003,305.845,307.69500000000005,283.31,303.95500000000004,282.51,343.8333333333333,302.525,373.78,293.28,307.25,307.74,275.095,295.155,311.31,317.02,320.55,311.26,301.78,297.45,270.82,365.97499999999997,275.43,,349.46500000000003,370.61,373.09,390.635,387.63750000000005,361.76,363.42,373.65333333333336,383.6766666666667,414.9,371.345,413.745,408.2,368.87,,L7
2001-06-19 22:09:05+00:00,257.685,,,299.07000000000005,303.6,352.49,357.726,359.3066666666667,353.7925,357.9166666666667,339.67,335.66999999999996,,328.3566666666666,338.25666666666666,338.5,324.21,318.8866666666666,355.8433333333333,317.7366666666667,313.2,308.00666666666666,299.53499999999997,307.23333333333335,298.135,335.64,306.52,346.89333333333326,299.81666666666666,308.26,304.5,284.43666666666667,299.70666666666665,305.95666666666665,324.61,334.515,310.7233333333333,302.4,316.995,270.82,358.73333333333335,291.725,348.32,354.5233333333333,379.635,380.855,391.05999999999995,387.63750000000005,361.76,344.42,361.1575,383.6766666666667,414.9,355.30333333333334,413.745,408.2,368.87,,L7
2001-07-05 22:08:57+00:00,257.685,,,299.07000000000005,303.6,352.49,351.615,352.1975,353.7925,357.9166666666667,339.67,326.95,303.7,320.26,325.62,323.04333333333335,324.21,318.8866666666666,355.8433333333333,317.7366666666667,307.065,302.85,294.59,294.4125,282.02666666666664,335.64,306.52,329.78499999999997,295.62,302.1566666666667,297.7966666666667,284.635,296.47,300.0075,324.61,334.515,303.4275,294.08666666666664,316.995,273.56666666666666,337.4625,291.725,348.32,354.5233333333333,379.635,346.34666666666664,391.05999999999995,387.63750000000005,361.76,344.42,361.1575,383.6766666666667,414.9,355.30333333333334,413.745,408.2,368.87,,L7
2001-07-14 22:02:45+00:00,253.93,,,304.0,303.6,352.49,342.622,349.164,353.7925,357.9166666666667,339.67,323.80999999999995,305.41499999999996,315.412,318.916,314.0625,324.21,318.8866666666666,355.8433333333333,317.7366666666667,300.748,300.182,294.59,292.46,281.2575,327.46,303.0025,320.628,294.77599999999995,298.56,294.935,283.414,291.844,292.988,324.61,334.515,303.4275,294.08666666666664,307.57666666666665,277.255,318.6925,291.725,348.32,354.5233333333333,388.66,316.3433333333333,393.2049999999999,388.44000000000005,361.76,344.42,361.1575,383.6766666666667,414.9,355.30333333333334,413.745,408.2,368.87,,L7
2001-08-15 22:02:14+00:00,253.93,,,304.0,303.6,344.9066666666667,347.32,349.72,361.90999999999997,354.6325,340.43,327.16999999999996,311.36999999999995,319.215,318.465,328.18,335.04499999999996,336.1875,355.8433333333333,331.58500000000004,303.8425,304.668,304.5133333333333,297.15600000000006,288.6175,323.8966666666667,310.89,315.025,298.21999999999997,298.56,294.935,287.22249999999997,291.844,292.988,320.93333333333334,328.04333333333335,305.024,295.64,307.075,286.1425,315.87600000000003,307.525,328.67499999999995,354.5233333333333,388.66,316.3433333333333,393.2049999999999,382.1825,361.76,344.42,361.1575,383.6766666666667,414.9,353.675,404.92333333333335,408.2,368.87,,L7
2001-08-31 22:02:05+00:00,,,,,303.6,340.94000000000005,345.75666666666666,350.16285714285715,360.33399999999995,354.912,340.6375,328.0833333333333,315.385,320.46000000000004,318.71999999999997,336.61833333333334,335.04499999999996,336.1875,355.8433333333333,331.58500000000004,303.8425,304.668,304.5133333333333,305.135,303.6,323.50857142857143,311.346,313.88,299.2371428571428,300.572,298.21,294.224,295.58166666666665,294.1433333333334,315.95,322.6125,304.96666666666664,297.628,305.502,289.446,301.224,307.525,328.67499999999995,357.11249999999995,369.33000000000004,316.1725,354.31,366.4475,361.905,344.42,351.4533333333334,381.78333333333336,387.745,357.238,381.45,357.205,333.58500000000004,,L7
2001-09-23 22:08:02+00:00,,,,,303.71500000000003,344.6775,347.95666666666665,351.88714285714286,367.87199999999996,367.188,360.25,338.87833333333333,330.23199999999997,325.3457142857143,317.95285714285717,334.36999999999995,343.3975,346.0925,346.47,331.58500000000004,303.8425,304.668,304.5133333333333,305.135,303.6,317.6033333333333,311.346,304.14666666666665,297.26,298.9025,295.8275,294.224,295.58166666666665,292.264,315.95,322.6125,305.32399999999996,296.59,307.515,289.446,301.224,307.525,328.67499999999995,358.0033333333333,369.33000000000004,316.1725,354.31,359.3125,363.70666666666665,345.54333333333335,340.73,366.72,349.375,350.404,364.34,347.72666666666663,326.57666666666665,329.89,L7
2001-10-02 22:01:40+00:00,,,,,288.0,332.1875,342.6266666666667,352.4414285714285,371.054,375.146,373.65999999999997,351.16,340.26666666666665,332.9814285714286,316.92,337.2042857142857,347.4725,348.725,336.52666666666664,326.29,305.794,306.4483333333333,308.38,307.9357142857143,308.56,314.27500000000003,314.0,295.5683333333333,300.5957142857143,302.71,299.694,298.18,298.65714285714284,296.02000000000004,316.034,321.796,305.50333333333333,307.98,313.08599999999996,292.61833333333334,301.71,307.7966666666666,323.44666666666666,350.26666666666665,361.72333333333336,325.47400000000005,353.6566666666667,350.86249999999995,352.1133333333334,334.46999999999997,331.36999999999995,354.69000000000005,350.73333333333335,353.284,340.34499999999997,318.94,304.28000000000003,313.43,L7
2001-11-03 22:01:46+00:00,,,,,288.0,331.95799999999997,344.0814285714286,354.58,375.50333333333333,373.6433333333334,379.566,356.92285714285714,346.8885714285714,338.2725,323.8985714285714,337.2042857142857,347.4725,348.725,336.52666666666664,326.29,305.794,314.1242857142857,308.38,307.9357142857143,308.56,314.27500000000003,314.0,295.5683333333333,300.5957142857143,302.71,299.694,298.18,298.65714285714284,296.02000000000004,316.034,321.796,305.50333333333333,307.98,313.08599999999996,292.61833333333334,301.71,307.7966666666666,323.44666666666666,350.26666666666665,361.72333333333336,325.47400000000005,347.8625,346.47999999999996,345.47,332.8075,331.585,358.59250000000003,345.25,353.284,334.75,315.1925,299.0675,299.15000000000003,L7
2001-12-21 22:02:05+00:00,,,,,288.0,331.95799999999997,342.3985714285714,353.935,369.11833333333334,367.305,383.2083333333333,362.3325,355.02875,339.6142857142857,337.7157142857142,350.45,364.24,357.52000000000004,358.2233333333333,315.7,292.58000000000004,322.03333333333336,305.92,303.842,318.705,312.855,311.765,296.058,303.164,301.07,314.338,306.136,297.87,290.4475,322.4175,322.8125,303.90600000000006,315.712,316.7,305.22166666666664,296.625,314.67333333333335,311.01,340.35999999999996,342.1466666666667,315.746,333.3925,344.67333333333335,344.832,338.92,336.195,355.8,345.25,360.8,336.925,322.822,299.0675,299.15000000000003,L7
