dates,nzd0538-0000,nzd0538-0001,nzd0538-0002,nzd0538-0003,nzd0538-0004,nzd0538-0005,nzd0538-0006,nzd0538-0007,nzd0538-0008,nzd0538-0009,nzd0538-0010,nzd0538-0011,nzd0538-0012,nzd0538-0013,nzd0538-0014,nzd0538-0015,nzd0538-0016,nzd0538-0017,nzd0538-0018,nzd0538-0019,satname
2016-03-25 22:14:20.047,312.625,278.86,246.79,265.84,166.63,286.505,282.80333333333334,306.55,308.98,299.8,297.9733333333333,300.32666666666665,307.3066666666666,300.06,274.86,274.91333333333336,278.475,289.65,273.2733333333333,236.51,L8
2016-04-17 22:20:21.343,312.625,278.86,246.79,265.84,166.63,286.505,282.80333333333334,306.55,308.98,299.8,297.9733333333333,300.32666666666665,300.21,291.885,274.86,271.4525,273.5366666666667,284.546,271.62,226.64000000000001,L8
2016-04-26 22:14:08.933,309.41,282.595,239.32999999999998,278.445,166.63,290.7166666666667,287.26,308.8025,312.25,302.5775,299.87,303.06,304.176,295.134,281.94,274.88800000000003,276.9775,284.64833333333337,274.43,233.145,L8
2016-05-03 22:20:25.006,307.0675,281.77666666666664,235.04,277.68666666666667,166.63,292.1275,289.54,309.834,314.12800000000004,303.51,300.65999999999997,304.414,307.14666666666665,297.115,283.51,276.77,278.748,284.3357142857143,275.545,236.692,L8
2016-05-12 22:14:08.416,312.028,281.77666666666664,235.04,277.68666666666667,166.63,292.1275,289.54,316.90333333333336,314.12800000000004,303.51,300.65999999999997,304.414,307.14666666666665,297.115,283.51,282.62142857142857,284.2916666666667,287.8,280.85571428571427,241.4,L8
2016-06-04 22:20:28.125,312.028,281.77666666666664,235.04,277.68666666666667,165.01999999999998,292.2925,289.47400000000005,316.2766666666667,314.17400000000004,302.97400000000005,300.15,303.812,307.0316666666667,294.02500000000003,278.1925,281.8985714285714,281.45,286.96375,280.10857142857145,234.6142857142857,L8
2016-07-06 22:20:41.229,316.09000000000003,270.5333333333333,224.41,283.61,164.49666666666667,290.20000000000005,287.616,314.93666666666667,311.332,299.95200000000006,296.51599999999996,301.342,306.30833333333334,290.2,275.696,278.93857142857144,278.48,277.7642857142857,277.2314285714286,226.75428571428571,L8
2016-07-15 22:14:34.059,316.09000000000003,270.5333333333333,224.41,283.61,162.9,288.166,287.265,312.5285714285714,309.68,297.56,293.32,299.9833333333333,306.3914285714286,288.5257142857143,273.40166666666664,276.54,276.31,270.865,277.2314285714286,222.4925,L8
2016-07-31 22:14:37.742,316.09000000000003,270.5333333333333,224.41,283.61,163.246,284.96,286.7942857142857,310.53875,308.9357142857143,294.99857142857144,290.6128571428571,298.74285714285713,305.98375,287.36,273.40166666666664,271.40333333333336,268.49,263.06666666666666,277.2314285714286,215.99222222222224,L8
2016-08-16 22:14:41.427,316.09000000000003,270.5333333333333,224.41,283.61,163.29666666666665,283.17285714285714,286.15749999999997,309.5777777777778,307.7725,291.84625,287.82374999999996,296.66125,305.78222222222223,286.2077777777778,267.8357142857143,267.48699999999997,265.014,256.503,277.2314285714286,211.244,L8
2016-09-01 22:14:48.072,316.09000000000003,270.5333333333333,224.41,283.61,163.29666666666665,283.04375,285.72,308.40999999999997,306.5311111111111,290.47555555555556,286.4888888888888,295.5444444444445,305.668,285.771,265.15125,264.8463636363636,264.67636363636365,256.8190909090909,271.84125,208.69727272727275,L8
2016-09-08 22:21:00.541,311.338,266.4575,221.51000000000002,283.61,163.29666666666665,283.4177777777778,285.85699999999997,308.1363636363636,306.099,290.806,285.82,295.04699999999997,305.9054545454546,285.92545454545456,265.0,264.505,264.5783333333333,257.1775,270.28,207.04916666666668,L8
2016-11-27 22:21:07.723,292.33,249.67999999999998,213.85500000000002,,162.63,279.64,282.9525,300.99625,301.355,284.8025,280.4325,290.7825,305.82714285714286,281.2728571428571,253.69285714285712,248.05374999999998,253.235,242.04,256.25200000000007,186.12624999999997,L8
2017-01-30 22:20:50.623,292.33,254.23,212.81,,163.55,277.42600000000004,276.28000000000003,301.582,299.74,284.19599999999997,281.122,289.27000000000004,305.7575,285.20000000000005,251.35399999999998,245.58,259.684,250.336,255.895,192.85999999999999,L8
2017-02-08 22:14:34.654,295.115,265.71500000000003,244.39500000000004,278.05,163.55,280.59,279.3433333333333,303.6566666666667,302.4433333333333,287.555,285.0316666666667,292.205,306.88599999999997,289.262,256.53333333333336,250.60833333333335,263.5733333333333,255.70833333333334,260.794,192.85999999999999,L8
2017-04-04 22:20:20.280,297.9,277.2,275.98,278.05,,279.95500000000004,273.3425,302.9625,304.835,291.08000000000004,293.96,296.8375,306.19666666666666,295.0933333333333,265.475,259.09000000000003,273.135,270.85249999999996,268.695,206.6833333333333,L8
2017-04-20 22:20:11.117,297.9,277.2,275.98,278.05,,279.78000000000003,275.31800000000004,302.028,304.006,290.31800000000004,293.31,296.328,305.1325,292.8875,266.306,260.41999999999996,271.844,269.884,267.358,203.7025,L8
2017-05-06 22:20:07.089,297.9,277.2,275.98,278.05,164.28,280.1333333333333,276.84166666666664,302.375,303.9783333333333,290.93833333333333,293.33166666666665,296.2866666666667,304.762,291.37199999999996,266.715,261.3616666666667,271.2416666666667,269.505,267.36499999999995,202.882,L8
2017-06-23 22:20:32.508,297.9,277.2,275.98,278.05,164.28,279.78799999999995,277.1266666666667,300.34666666666664,299.57666666666665,292.41600000000005,290.9433333333333,294.43,304.15333333333336,286.9783333333333,271.782,267.004,271.38800000000003,270.42600000000004,268.34799999999996,203.1,L8
2017-07-09 22:20:35.589,301.80499999999995,282.52,277.39500000000004,286.40999999999997,164.28,283.9983333333333,282.24142857142857,300.34666666666664,299.57666666666665,292.41600000000005,290.9433333333333,294.43,304.15333333333336,286.9783333333333,271.782,267.004,271.38800000000003,270.42600000000004,268.34799999999996,203.1,L8
2017-08-03 22:14:35.682,301.80499999999995,282.52,277.39500000000004,286.40999999999997,162.68,285.4533333333333,285.15285714285716,299.9683333333333,298.69,289.26,287.385,293.355,304.03,284.7033333333333,267.552,262.044,271.89,270.97,268.12749999999994,191.6,L8
2017-09-27 22:21:00.343,298.01,279.24,280.46000000000004,289.79499999999996,162.68,285.8516666666667,285.64,299.93333333333334,299.1166666666666,289.538,286.75666666666666,292.54833333333335,304.82166666666666,284.96,267.36,262.52200000000005,271.09000000000003,269.61249999999995,266.3125,198.19,L8
2017-11-30 22:20:56.190,295.24666666666667,278.43666666666667,270.2033333333334,287.0133333333333,161.08,294.16,292.354,304.50250000000005,302.0625,297.47999999999996,289.5925,295.555,309.33,290.4425,273.5066666666667,267.39,283.605,281.145,278.04499999999996,216.63666666666666,L8
