dates,satname,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048
2002-02-09 21:48:45.674000,L7,328.01,320.81,320.64,306.96,301.02,300.07,300.40,304.60,304.98,303.55,297.97,316.32,309.38,305.45,311.83,316.47,316.93,316.74,313.70,314.34,319.04,320.85,324.54,324.85,321.58,316.00,313.51,313.45,321.79,317.77,306.60,306.36,306.22,308.08,308.73,310.61,322.12,340.75,321.93,323.11,315.40,314.29,308.63,291.06,282.05,288.28,,230.62,228.57
2002-02-18 21:42:30.251000,L7,339.10,322.79,324.87,317.19,315.09,323.62,340.70,325.86,346.77,337.08,321.83,335.69,331.87,342.43,347.92,339.56,342.39,345.40,334.32,326.51,335.11,348.38,352.04,350.28,337.00,334.55,334.24,341.25,341.88,328.70,317.13,316.39,324.50,328.05,328.70,322.85,324.44,328.01,329.61,329.33,320.69,317.77,307.59,295.38,295.86,292.72,283.49,238.42,238.61
2002-02-25 21:48:47.943000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.54,363.51,361.06,364.73,357.50,350.32,358.44,362.10,362.00,365.88,359.72,354.26,355.21,359.87,352.34,361.57,354.64,357.89,,,
2002-03-22 21:42:28.269000,L7,345.47,333.79,337.89,331.96,345.96,341.00,345.15,338.81,338.02,341.74,340.83,341.04,345.07,336.43,338.00,342.05,356.56,357.68,357.66,346.76,347.44,354.80,358.47,345.41,359.97,341.51,347.68,361.46,334.20,334.08,333.19,324.10,345.41,351.44,336.38,330.30,324.84,331.06,328.63,339.91,330.31,330.97,313.92,300.71,297.71,295.72,295.59,,
2002-04-07 21:42:28.931000,L7,348.93,340.16,346.38,339.09,341.67,303.32,305.24,311.63,309.82,308.10,308.34,314.74,312.68,310.96,316.24,321.81,319.54,320.98,326.77,323.17,322.34,329.24,330.14,334.38,327.80,323.47,321.12,321.66,335.14,319.74,309.78,313.04,312.30,314.40,316.62,325.64,347.52,350.25,348.00,340.28,345.38,318.43,308.72,333.59,303.81,316.89,219.95,,
2002-04-14 21:48:38.601000,L7,349.79,354.75,331.69,328.44,324.55,341.20,353.02,,,347.17,315.47,317.77,322.93,320.58,351.55,,349.69,364.73,367.17,356.22,353.71,358.37,365.49,356.07,351.15,347.63,345.74,344.25,341.87,344.55,343.95,342.86,350.95,350.16,322.41,347.51,348.77,349.19,352.16,343.47,343.65,332.09,331.93,326.69,319.15,311.87,294.73,,
2002-05-16 21:48:34.178000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.07,367.35,364.76,371.44,369.18,366.21,363.94,370.91,361.92,359.59,353.91,341.86,332.23,331.11,328.23,,
2002-06-01 21:48:28.245000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.67,356.57,368.96,364.99,367.66,366.64,370.61,374.12,359.37,367.68,354.98,341.17,342.50,336.46,337.14,,
2002-07-19 21:48:09.583000,L7,,,,,350.18,301.73,295.33,298.32,294.32,299.84,306.55,321.05,320.47,311.13,330.52,350.28,319.14,323.53,308.78,323.39,329.77,277.00,280.42,301.11,313.72,,,,,,,,,,276.25,309.15,306.88,307.60,309.33,311.94,308.11,317.78,308.22,292.87,286.54,299.46,324.88,,
2002-08-20 21:47:58.545000,L7,350.11,326.41,326.23,316.86,307.86,310.82,310.71,322.28,316.69,318.15,313.47,326.44,329.77,333.56,320.86,328.32,338.66,333.74,340.70,344.80,336.57,345.22,346.03,348.21,339.21,330.39,327.86,328.59,329.44,324.07,322.58,322.68,326.50,328.53,336.31,335.86,335.84,336.70,337.11,340.61,331.94,328.14,319.55,327.25,305.46,308.75,284.54,,
2002-08-29 21:41:39.340000,L7,339.50,326.23,323.55,318.30,321.01,315.61,318.21,319.02,328.85,330.00,334.09,352.29,344.69,337.11,343.26,350.75,356.98,346.54,361.00,350.62,353.32,345.79,346.03,354.27,350.63,345.53,344.67,340.49,338.27,332.69,331.55,334.31,336.84,333.42,334.54,342.11,335.89,343.01,339.16,335.61,330.11,324.81,321.26,309.74,304.11,290.97,288.13,269.07,229.46
2002-09-14 21:41:31.043000,L7,345.41,325.56,330.75,298.43,296.84,300.13,299.56,306.51,306.01,315.10,306.82,305.69,310.28,306.00,307.39,312.77,301.21,300.68,302.13,302.28,309.83,309.82,307.25,314.42,304.29,309.20,290.50,291.85,308.96,305.10,301.93,305.33,324.34,,,374.83,313.39,320.96,324.75,331.87,331.63,316.88,339.26,324.53,319.13,,,,
2002-10-23 21:47:39.211000,L7,336.56,339.57,357.04,351.90,319.35,320.80,319.81,320.62,320.58,317.01,351.27,,,,,328.25,332.49,339.93,336.10,337.21,344.50,358.59,358.46,373.64,363.16,348.35,349.95,328.66,337.64,348.25,341.51,329.55,332.15,331.49,337.64,347.71,350.86,348.22,334.30,341.43,330.44,325.20,310.60,304.59,298.12,294.61,286.86,275.77,309.90
2003-01-11 21:48:14.464000,L7,,,347.86,352.07,360.53,365.01,356.24,,,373.42,376.10,379.93,345.85,346.44,,,,,,,,,,,,,,357.98,342.15,346.88,349.53,348.76,351.61,366.71,362.89,360.31,368.12,368.58,368.50,367.49,366.84,357.17,350.40,335.38,331.97,330.02,318.76,280.47,285.90
2003-01-20 21:42:09.421000,L7,337.38,331.97,324.60,326.69,,355.27,344.06,304.41,313.72,319.17,352.74,353.02,354.00,311.15,316.04,316.97,317.73,317.22,325.79,316.05,350.16,356.55,356.81,363.48,322.68,318.30,314.54,335.79,342.92,344.06,327.81,317.02,343.30,321.12,348.08,347.55,348.76,347.10,331.37,350.86,347.03,318.04,290.59,304.17,298.08,316.42,294.00,232.14,223.38
2003-02-21 21:42:20.469000,L7,329.98,314.77,320.45,301.54,302.77,302.41,303.37,311.15,321.04,308.78,315.29,324.84,323.72,310.11,315.16,317.72,323.22,324.43,325.47,323.44,330.38,341.25,355.22,356.38,329.20,316.34,316.15,313.91,338.04,346.76,336.45,320.18,316.49,314.14,313.69,318.86,324.55,316.69,318.60,317.28,317.29,311.27,306.98,305.18,288.80,292.47,274.52,,
2003-04-26 21:42:25.606000,L7,359.28,333.94,330.24,323.00,321.12,319.60,320.66,323.88,315.90,312.03,314.97,326.94,332.90,330.58,336.01,337.28,334.10,334.80,342.63,341.34,349.35,344.13,350.45,352.85,344.96,343.63,331.42,327.82,329.19,331.22,324.21,318.98,329.96,327.89,332.83,338.95,335.78,337.50,340.06,341.25,336.17,331.10,328.15,325.44,306.01,300.73,289.36,264.69,220.46
2003-05-28 21:42:22.600000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.70,373.15,366.27,375.73,372.12,379.33,372.76,362.12,351.63,338.28,333.75,329.50,323.59,,
2003-07-23 21:30:14.355000,L5,328.28,314.78,311.53,297.16,285.56,290.35,284.30,290.29,295.80,295.50,293.70,300.89,306.74,300.16,301.98,308.20,308.19,308.18,310.51,311.83,312.52,318.10,317.34,317.31,321.73,311.02,310.74,313.19,314.31,309.38,307.99,315.01,311.63,317.77,321.82,321.18,330.82,325.26,335.38,328.44,328.64,319.76,316.89,309.61,302.34,300.24,302.26,,
2003-08-15 21:36:48.503000,L5,319.26,303.58,305.25,294.14,283.20,281.89,283.76,288.12,291.37,289.83,292.20,296.41,297.83,300.56,301.70,298.00,303.60,306.75,306.11,306.47,312.62,313.07,311.66,314.70,308.69,309.29,301.07,301.07,303.42,304.19,299.46,300.24,305.90,310.68,309.59,310.19,318.98,318.89,318.91,317.95,316.07,313.06,306.54,287.56,280.31,283.71,272.13,,
2003-08-24 21:30:48.871000,L5,308.79,295.81,297.39,284.01,279.96,282.53,291.61,308.60,303.27,326.24,330.28,291.97,288.93,301.31,313.62,312.49,314.86,334.80,333.96,357.68,337.35,343.67,335.11,334.71,321.67,315.98,311.68,298.57,304.60,305.52,295.68,304.50,298.89,302.23,303.28,304.78,304.04,314.72,322.93,312.92,312.28,307.47,304.82,292.93,283.42,287.98,,,
2003-08-31 21:37:06.588000,L5,304.54,290.65,290.79,282.36,275.94,284.58,290.52,283.00,295.25,298.23,294.02,308.29,298.03,304.35,299.86,300.95,293.77,298.83,304.38,311.76,309.95,314.68,309.21,312.16,312.99,309.50,304.83,304.85,311.15,295.60,299.03,301.64,301.06,305.77,312.10,322.05,314.33,320.29,323.01,319.93,321.62,316.26,312.35,300.76,333.22,303.69,326.11,269.69,248.78
2003-10-18 21:37:48.406000,L5,315.53,298.53,286.56,269.53,265.70,268.46,268.46,280.89,282.11,281.97,277.20,288.77,290.29,288.48,293.56,292.81,297.47,302.93,311.78,291.31,297.15,299.66,301.14,304.89,298.84,296.50,296.72,290.94,294.53,299.43,303.08,305.58,304.36,303.32,312.34,318.14,319.05,323.65,326.61,305.92,301.11,297.58,306.68,286.70,269.80,282.50,258.34,,
