dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
2003-11-19 21:38:14+00:00,354.21333333333337,341.96333333333337,339.05,335.68,318.46500000000003,313.63,312.11,314.75,313.125,313.20500000000004,312.21500000000003,320.57,324.0,325.34000000000003,325.94,327.03499999999997,330.65,335.725,331.40999999999997,339.44,346.015,353.11000000000007,346.305,351.025,343.15500000000003,343.84000000000003,337.67499999999995,340.225,349.33666666666664,341.78999999999996,325.33000000000004,339.87,345.05,343.83666666666664,346.20666666666665,346.43666666666667,351.51666666666665,352.5833333333333,358.08666666666664,355.3033333333333,356.39000000000004,350.51666666666665,345.74,335.40333333333336,346.94,328.56333333333333,344.76,329.05,336.07,L5
2003-12-30 21:32:24+00:00,354.21333333333337,341.96333333333337,339.05,338.2875,326.40333333333336,313.63,324.28,328.8666666666667,328.0966666666667,313.20500000000004,312.21500000000003,320.57,324.0,325.34000000000003,325.94,341.47333333333336,330.65,335.725,331.40999999999997,339.44,346.015,353.11000000000007,346.305,351.025,343.15500000000003,343.84000000000003,346.59999999999997,346.1133333333333,349.33666666666664,341.78999999999996,335.28333333333336,339.87,345.05,343.83666666666664,346.20666666666665,346.43666666666667,351.51666666666665,352.5833333333333,358.08666666666664,355.3033333333333,356.39000000000004,350.51666666666665,345.74,335.40333333333336,345.93666666666667,332.03,340.70666666666665,328.81333333333333,334.855,L5
2004-01-22 21:38:40+00:00,346.14500000000004,331.52000000000004,330.745,333.55333333333334,326.40333333333336,313.63,324.28,328.8666666666667,328.0966666666667,313.20500000000004,312.21500000000003,320.57,324.0,325.34000000000003,338.15000000000003,341.47333333333336,330.65,335.725,331.40999999999997,339.44,346.015,345.81500000000005,346.305,351.025,343.15500000000003,343.84000000000003,346.59999999999997,346.1133333333333,338.455,335.54999999999995,335.28333333333336,330.09000000000003,341.18333333333334,340.50333333333333,342.20666666666665,344.54333333333335,338.80999999999995,344.265,353.8766666666667,345.69999999999993,352.17333333333335,349.0,337.765,326.08500000000004,341.76,329.05,334.28333333333336,326.51,325.585,L5
2004-04-04 21:33:01+00:00,349.19,337.66,341.68,342.4200000000001,338.7366666666667,333.135,339.38333333333327,343.81666666666666,339.2866666666667,336.845,312.06,341.31,338.54999999999995,343.475,348.6566666666667,347.7766666666667,343.66499999999996,347.45500000000004,340.58500000000004,355.755,357.89,355.92,354.61,368.595,352.725,352.09000000000003,355.40333333333336,353.9866666666667,351.15,350.64,342.58,344.435,345.32,346.15333333333336,348.68333333333334,350.69000000000005,344.135,352.65,359.28,352.615,359.04999999999995,352.8766666666667,344.31,336.275,335.57666666666665,332.6325,329.7825,313.6525,325.585,L5
2004-06-23 21:35:22+00:00,,,347.26,343.1450000000001,347.84,340.74,347.56499999999994,354.91,351.345,356.25,,359.98,362.7,361.405,361.8633333333333,362.09,365.205,359.985,362.305,370.65,364.93,363.30500000000006,348.87,376.265,363.08000000000004,346.38,357.255,358.30999999999995,360.355,354.45,354.33,357.155,352.76666666666665,356.28,357.8933333333334,360.3,359.06,361.575,369.48,360.91999999999996,357.84499999999997,355.1566666666667,348.95500000000004,338.88,335.40000000000003,332.915,331.545,305.8733333333333,325.585,L5
2004-06-30 21:41:46+00:00,343.51,332.51,338.99,326.18,334.66,318.16,316.78999999999996,325.22,326.49,328.635,290.37,333.19,344.75333333333333,342.41,349.125,344.3533333333333,349.8433333333333,344.9066666666667,345.4166666666667,351.6766666666667,349.6133333333334,349.95000000000005,334.695,357.93666666666667,347.88000000000005,332.87,332.35,340.61333333333334,347.79333333333335,336.38,341.3633333333334,343.16,343.515,343.1875,346.2075,348.5325,344.41,348.56333333333333,358.36,352.46999999999997,351.1433333333334,349.0275,339.29333333333335,324.6133333333333,317.9533333333333,321.68,319.6875,294.64,317.53,L5
2004-08-26 21:36:59+00:00,344.475,331.135,334.76,320.1466666666667,326.2375,310.77333333333337,307.95,317.54333333333335,318.33,319.24333333333334,293.735,324.4266666666667,336.47,332.7625,336.9175,336.6775,341.775,338.275,337.3275,342.87,341.9225,343.08750000000003,328.9866666666667,348.765,340.70000000000005,327.93,325.2133333333333,333.82,341.5575,331.24666666666667,335.93,336.7225,334.225,332.805,336.87249999999995,337.2575,339.975,343.0425,350.2025,349.35249999999996,344.7933333333333,343.84999999999997,335.8475,317.72749999999996,310.16749999999996,312.08,307.8025,261.38,,L5
2004-09-18 21:43:46+00:00,340.80333333333334,327.42,330.545,315.245,320.26800000000003,306.6325,304.61,314.1625,314.955,315.10249999999996,294.49333333333334,320.1325,331.55,328.954,331.952,332.164,338.02799999999996,334.694,333.044,337.438,337.418,338.04,327.6,343.69,336.496,325.5375,322.52750000000003,330.776,337.75,328.8,332.32399999999996,332.81000000000006,331.164,329.732,334.34,334.762,337.556,340.594,347.604,347.15,341.57,340.448,332.738,313.696,305.39799999999997,308.85,302.66999999999996,261.38,,L5
2004-10-20 21:44:28+00:00,342.9375,331.1275,324.97333333333336,315.435,315.16,295.2633333333333,290.6433333333334,301.31,305.0566666666667,301.3866666666666,294.49333333333334,306.84999999999997,326.9475,321.44,326.48749999999995,330.645,340.18199999999996,335.616,335.322,331.71750000000003,332.23,333.535,320.51000000000005,344.732,341.946,318.59000000000003,313.3500000000001,327.4975,334.745,320.25,330.155,334.71000000000004,328.9525,324.8825,330.205,331.20000000000005,335.03499999999997,336.9425,350.23999999999995,348.914,341.5275,342.41999999999996,334.96200000000005,316.82599999999996,310.17999999999995,314.114,299.2675,247.68,,L5
2004-12-07 21:45:24+00:00,342.9375,332.148,327.0125,318.63599999999997,318.92400000000004,303.895,300.94,301.31,305.0566666666667,301.3866666666666,294.49333333333334,306.84999999999997,326.9475,321.44,326.48749999999995,330.645,340.18199999999996,335.616,335.322,331.71750000000003,332.23,338.10600000000005,329.195,346.38166666666666,344.69000000000005,318.59000000000003,313.3500000000001,332.67199999999997,337.664,327.11,333.632,337.3283333333334,328.9525,324.8825,330.205,338.54800000000006,341.924,342.976,354.55,348.914,341.5275,342.41999999999996,334.96200000000005,319.375,313.055,316.695,299.2675,282.9,,L5
