dates,nzd0567-0000,nzd0567-0001,satname
2023-11-25 22:07:32+00:00,180.06875,183.53428571428572,L9
2023-12-10 22:13:09+00:00,179.79500000000002,182.11833333333334,L8
2024-01-11 22:13:32+00:00,180.92,182.32285714285715,L8
2024-01-12 22:07:30+00:00,180.967,182.32285714285715,L9
2024-02-21 22:07:17+00:00,179.9477777777778,182.11333333333334,L8
2024-02-28 22:13:00+00:00,181.00555555555556,182.64833333333334,L8
2024-02-29 22:07:23+00:00,178.302,182.71714285714285,L9
2024-04-17 22:07:03+00:00,181.316,183.25875000000002,L9
2024-05-03 22:06:49+00:00,181.24599999999998,183.98375,L9
2024-05-11 22:06:27+00:00,182.40454545454543,184.67888888888888,L8
2024-06-03 22:12:29+00:00,183.618,184.94,L8
2024-07-06 22:06:32+00:00,184.099,185.41857142857143,L9
2024-08-06 22:12:57+00:00,184.88333333333333,185.92428571428567,L8
2024-08-23 22:06:59+00:00,188.55444444444444,186.23333333333332,L9
2024-08-31 22:07:03+00:00,192.79857142857142,186.494,L8
2024-11-19 22:07:19+00:00,193.342,184.9366666666667,L8
2024-12-05 22:07:21+00:00,190.084,183.88750000000002,L8
2024-12-13 22:07:21+00:00,189.03333333333333,184.356,L9
2025-01-22 22:07:13+00:00,182.48166666666668,184.356,L8
2025-02-14 22:13:00+00:00,181.11,183.07999999999998,L8
2025-02-22 22:13:09+00:00,180.26999999999998,183.07999999999998,L9
2025-03-02 22:13:16+00:00,180.64285714285714,182.952,L8
2025-03-10 22:13:04+00:00,181.48624999999998,182.81166666666664,L9
2025-03-19 22:07:06+00:00,182.16222222222223,182.99285714285716,L9
2025-03-26 22:12:53+00:00,179.64399999999998,182.99285714285716,L9
2025-04-12 22:06:48+00:00,180.45545454545456,182.99285714285716,L8
2025-05-29 22:12:51+00:00,180.72545454545454,183.47857142857143,L9
2025-05-30 22:06:42+00:00,180.72545454545454,183.73,L8
2025-06-07 22:06:40+00:00,181.31272727272727,184.43375,L9
2025-06-14 22:12:35+00:00,178.79181818181817,184.17714285714285,L9
2025-06-22 22:13:07+00:00,180.135,184.72375,L8
2025-07-24 22:13:17+00:00,182.05499999999998,184.72375,L8
2025-07-25 22:07:06+00:00,179.8669230769231,184.72375,L9
2025-08-09 22:13:01+00:00,179.8669230769231,185.24,L8
2025-08-10 22:07:16+00:00,180.40214285714288,185.303,L9
2025-08-25 22:13:03+00:00,177.58538461538458,185.81333333333333,L8
2025-08-26 22:07:21+00:00,175.92428571428567,185.81333333333333,L9
2025-09-10 22:13:08+00:00,175.9107692307692,187.5225,L8
2025-09-19 22:07:27+00:00,175.92076923076925,188.0142857142857,L8
2025-09-26 22:13:14+00:00,175.54153846153847,187.35125,L8
