dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
2003-08-29 21:49:50.063000,L5,278.13,265.08,246.56,234.08,222.19,200.12,202.54,207.46,213.07,208.59,208.82,213.90,213.39,223.13,223.77,225.45,232.49,212.92,214.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-16 21:50:31.880000,L5,279.64,257.26,229.69,219.35,207.69,186.55,178.63,203.92,210.67,198.82,197.89,204.37,212.08,259.26,257.77,204.67,201.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-17 21:50:57.255000,L5,286.04,269.62,246.12,234.87,218.02,207.40,180.82,200.00,195.36,193.41,195.50,201.33,211.41,223.33,225.88,226.07,226.45,216.43,215.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-04 21:51:22.075000,L5,282.19,270.89,257.68,246.29,225.46,213.47,213.56,224.71,218.99,202.85,201.90,208.85,214.30,213.74,221.65,237.57,249.42,234.72,234.42,232.73,235.42,237.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-30 21:55:15.803000,L5,291.06,273.55,266.83,242.55,227.67,211.18,227.28,214.96,232.94,217.30,234.93,232.20,224.74,245.94,239.09,252.13,241.60,234.03,241.40,225.49,243.72,243.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-16 21:56:29.381000,L5,275.27,259.54,238.42,226.03,209.55,206.36,199.44,201.32,195.87,202.22,201.88,205.00,207.59,213.05,215.71,223.28,223.60,218.90,220.22,210.60,219.73,217.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-02 21:56:50.765000,L5,285.20,277.96,253.32,236.96,226.91,215.31,204.01,209.10,202.98,201.85,210.42,207.35,217.24,242.12,246.72,254.40,254.21,236.84,226.46,219.90,220.34,235.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-03 21:57:30.637000,L5,248.99,219.26,,,,,,,,135.11,196.04,197.18,203.17,204.51,199.97,192.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-23 21:59:19.281000,L5,,,,,,,,,184.22,167.76,189.12,184.16,196.00,188.65,192.16,191.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11 21:59:31.818000,L5,298.25,285.85,266.87,262.15,282.73,,,,,255.08,251.63,233.41,272.43,250.64,279.27,270.30,263.22,278.56,271.98,286.47,273.21,306.73,,,,61.17,40.25,112.91,189.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15 22:00:10.341000,L5,277.45,260.69,240.78,234.21,220.63,204.79,204.71,211.64,206.52,192.92,209.92,204.84,213.17,216.15,213.74,220.52,212.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-19 22:00:44.731000,L5,265.67,246.87,225.92,220.90,208.33,201.14,199.72,204.86,202.89,200.72,209.58,196.36,204.50,202.08,207.54,208.36,215.41,207.83,211.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-22 22:01:10.774000,L5,,,,,,,,,,172.11,182.29,191.63,199.96,194.82,196.99,191.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-25 22:02:41.053000,L5,267.40,243.85,221.85,220.11,205.00,196.23,183.52,182.04,175.99,173.65,183.45,183.00,195.89,191.86,193.97,199.24,213.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-11 22:07:16.008000,L5,,,,,,,,,,,164.00,183.42,198.41,196.43,203.87,206.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-13 22:07:35.029000,L5,278.50,253.93,236.16,227.90,209.64,203.27,205.22,203.36,202.50,202.71,206.89,213.03,217.73,210.23,222.59,217.66,216.71,209.48,210.27,209.99,212.89,214.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-29 21:56:12.254000,L5,292.14,269.76,250.95,232.59,224.72,216.64,212.71,212.05,210.74,222.60,220.54,220.94,229.77,241.02,248.18,243.60,234.30,253.40,234.46,254.25,230.08,238.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-17 21:57:44.534000,L5,276.25,253.19,230.52,216.85,202.30,197.72,196.04,201.77,201.65,201.72,203.02,210.38,218.45,219.65,226.79,224.28,212.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-05 22:03:29.711000,L5,283.52,266.88,251.21,236.90,227.05,214.19,212.88,210.44,211.45,201.58,207.54,207.09,213.68,218.53,226.94,225.73,226.43,221.16,223.60,222.34,219.79,222.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-20 22:02:24.878000,L5,266.98,239.13,226.65,211.36,197.35,189.07,188.54,188.29,182.75,180.06,188.98,195.86,202.66,209.07,213.56,216.43,217.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
