dates,nzd0090-0000,nzd0090-0001,nzd0090-0002,nzd0090-0003,nzd0090-0004,nzd0090-0005,nzd0090-0006,nzd0090-0007,nzd0090-0008,nzd0090-0009,nzd0090-0010
2020-08-27 22:11:56+00:00,235.33499999999998,224.43,216.745,216.615,242.95000000000002,254.91750000000002,184.03,270.75,285.1625,288.0675,273.80499999999995
2020-12-17 22:12:09+00:00,235.33499999999998,217.08666666666667,216.745,209.92999999999998,238.72,242.62750000000003,182.16,253.82000000000002,277.34999999999997,276.54249999999996,261.0125
2021-01-18 22:11:57+00:00,234.2733333333333,216.875,214.64333333333335,211.1225,229.27,234.26750000000004,190.07000000000002,243.61333333333334,271.2275,269.6475,253.21
2021-02-03 22:11:56+00:00,237.575,217.26666666666665,221.20000000000005,211.98333333333335,231.37333333333333,237.47000000000006,193.09000000000003,243.61333333333334,269.43,266.8975,249.8125
2021-02-19 22:11:51+00:00,237.575,217.26666666666665,221.20000000000005,211.98333333333335,242.3625,248.69250000000005,225.17,243.61333333333334,275.71400000000006,266.8975,249.8125
2021-05-26 22:11:31+00:00,232.15,209.32,210.44,205.63,244.2966666666667,249.49333333333342,225.17,222.0466666666667,272.846,261.29999999999995,243.06
2021-06-11 22:11:38+00:00,232.15,209.32,210.44,205.63,244.2966666666667,249.49333333333342,225.17,213.0925,270.54833333333335,259.658,240.612
2021-07-13 22:11:43+00:00,232.15,216.24,210.44,214.7,253.43000000000004,260.0700000000001,247.60999999999999,203.01749999999998,271.36333333333334,259.13,239.81599999999997
2021-11-06 22:12:48+00:00,273.26,249.99,260.51,248.86,253.87,263.57,265.54,189.5333333333333,269.73999999999995,264.56,245.66
2022-01-13 22:12:02+00:00,272.38,248.85500000000002,257.195,245.62,253.11000000000007,261.095,269.54,,289.1,307.20500000000004,274.88
2022-02-14 22:12:01+00:00,279.13666666666666,256.8766666666667,257.18,252.81333333333336,256.52333333333337,266.25000000000006,272.08666666666664,,291.3433333333333,306.20666666666665,279.02000000000004
2022-05-05 22:11:31+00:00,279.13666666666666,256.8766666666667,257.18,252.81333333333336,256.52333333333337,266.25000000000006,272.08666666666664,184.57,284.35249999999996,306.20666666666665,279.02000000000004
2022-05-21 22:11:19+00:00,282.075,260.32000000000005,255.515,254.79000000000002,257.8500000000001,267.59000000000003,275.36,184.57,279.88750000000005,314.945,271.11333333333334
2022-06-14 22:11:59+00:00,285.93,264.78333333333336,262.0566666666667,259.28,264.5466666666667,272.5166666666667,278.87000000000006,184.57,283.85600000000005,312.04333333333335,271.11333333333334
2022-07-08 22:11:39+00:00,285.93,264.78333333333336,262.0566666666667,259.28,251.76000000000005,259.08000000000004,256.17,190.26999999999998,280.7683333333334,298.09000000000003,264.54
2022-07-16 22:12:03+00:00,270.5133333333333,252.44333333333336,243.50666666666666,246.76666666666665,243.86000000000004,251.17000000000004,237.51,204.46666666666667,276.515,281.7925,257.71500000000003
2022-08-09 22:11:58+00:00,259.21,242.9925,233.7475,236.5425,239.52000000000004,246.65400000000005,228.012,211.18,275.7042857142857,277.634,256.354
2023-02-09 22:12:09+00:00,226.72,213.52,202.02,207.38,226.0,233.08,185.87,231.97,263.97,254.47,241.47
2023-03-05 22:12:01+00:00,235.84,220.8,213.52,214.49,231.445,237.945,201.505,237.4,270.81500000000005,265.8,252.37
2023-03-13 22:11:47+00:00,237.98333333333335,221.95333333333335,217.31333333333336,215.76666666666665,232.32000000000002,235.90333333333334,205.14333333333332,229.09666666666666,266.3966666666667,265.8,250.34333333333333
2023-03-21 22:11:55+00:00,246.76,232.27,227.755,224.7575,238.88,242.4875,220.51749999999998,239.66250000000002,272.34250000000003,274.46333333333337,257.14
2023-03-29 22:11:37+00:00,250.56799999999998,236.388,230.44,228.544,240.488,246.06400000000002,227.31,244.93,274.954,276.9475,260.45799999999997
