dates,satname,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125,nzd0106-0012
2001-02-04 22:02:14.384000,L7,,44.62,119.54,129.48,,,,,354.34,344.76,344.99,314.38,292.71,289.58,,,,,346.12,340.61,336.65,309.34,341.17,341.43,348.67,344.13,341.28,342.76,349.01,347.12,348.70,346.73,347.67,352.57,348.93,342.16,315.23,339.28,340.11,340.82,343.47,344.49,348.78,343.12,345.79,344.56,347.01,346.99,342.70,340.54,340.92,343.59,337.04,333.53,333.70,336.71,333.84,331.71,332.63,334.00,331.87,329.25,334.30,332.91,343.05,314.58,,,,,,403.22,395.77,389.64,383.08,353.26,357.80,,,,358.58,367.03,371.59,333.14,336.86,364.64,380.44,341.48,342.25,284.35,344.43,341.21,350.25,349.66,343.86,361.42,339.19,347.33,343.65,342.39,341.55,343.87,344.72,340.79,342.27,341.08,342.65,345.65,341.64,341.27,340.04,348.61,349.11,352.54,,,,,,,313.95,297.46,292.64,279.32,315.39
2001-03-24 22:01:59.719000,L7,,,368.24,354.49,88.91,276.11,300.80,299.39,276.34,298.23,292.97,315.38,311.94,305.22,310.04,317.29,316.73,314.24,313.84,313.11,310.69,307.88,306.58,306.64,308.53,314.54,313.25,312.71,313.44,317.64,317.98,315.91,311.32,314.54,318.52,314.13,312.56,310.07,311.34,313.30,314.89,310.21,319.28,311.14,339.97,332.70,337.99,336.27,334.51,309.59,329.02,333.36,330.28,325.73,325.98,328.99,321.35,361.07,356.73,349.13,360.48,325.48,363.86,329.79,351.74,365.66,362.90,364.79,362.22,357.22,357.19,361.28,359.63,354.10,356.79,363.31,354.78,356.90,353.38,346.27,353.14,353.66,349.98,343.43,303.79,304.07,299.60,298.06,294.62,287.74,279.30,298.65,299.58,300.05,294.91,299.67,286.78,289.77,367.97,346.85,356.17,369.46,361.22,354.41,357.58,330.34,360.69,345.63,348.43,327.95,373.36,349.18,360.66,354.61,,,,294.80,295.20,302.39,300.20,303.45,299.61,289.25,277.45
2001-08-15 22:00:38.680000,L7,246.82,220.04,189.93,344.74,102.00,282.20,292.37,301.56,289.31,299.47,301.28,320.73,310.34,310.93,311.85,314.32,314.43,312.44,315.40,310.70,314.27,314.36,311.65,311.17,309.15,318.88,317.05,317.42,316.33,323.11,321.50,318.65,316.10,317.62,315.16,311.72,317.44,310.86,315.04,309.36,314.44,307.24,317.32,312.54,312.81,300.89,314.67,315.72,313.00,313.86,311.16,311.76,310.40,304.76,306.41,307.18,305.11,305.64,301.99,304.12,298.26,297.23,300.21,305.07,309.03,312.84,309.97,305.43,308.27,309.51,303.39,308.11,300.93,293.46,302.06,300.31,297.89,292.63,297.08,292.80,293.99,295.95,298.21,298.45,302.27,301.21,300.58,295.20,298.09,290.58,276.22,298.82,303.35,305.94,297.66,299.10,288.71,291.18,328.73,330.39,338.29,337.42,334.04,330.21,332.86,335.84,341.76,339.11,333.08,327.12,331.58,338.46,347.38,348.69,336.76,338.18,342.37,335.56,328.72,331.70,328.03,331.84,354.93,389.40,290.45
2001-10-02 22:00:04.650000,L7,,336.62,372.18,355.64,339.54,258.48,282.44,290.38,266.13,283.98,293.98,308.77,305.44,387.12,388.59,391.37,391.78,383.74,393.48,380.94,377.57,386.53,380.42,382.74,387.93,387.26,392.20,405.86,311.15,310.54,307.76,312.69,308.71,311.06,308.94,305.02,302.32,306.25,308.49,303.44,323.18,338.79,345.96,333.42,329.63,337.81,340.01,308.53,338.79,339.26,,337.70,332.63,326.89,327.78,322.83,323.39,323.73,326.05,315.88,318.13,320.75,322.04,300.11,326.26,335.77,331.49,326.29,332.73,333.30,330.00,334.62,332.13,329.27,297.82,333.95,322.77,317.19,320.66,324.36,318.96,310.31,322.85,320.14,331.77,333.69,329.16,290.20,327.37,331.06,327.07,330.32,328.83,,,,,,,,,323.51,336.28,360.68,406.41,370.35,343.85,334.00,,,361.85,366.82,402.63,420.39,407.04,327.38,410.35,383.12,305.25,330.71,353.19,332.52,343.39,339.79,260.94
2001-11-03 22:00:10.954000,L7,,354.97,360.17,344.53,337.78,328.79,324.18,325.57,320.92,316.06,319.26,375.61,370.31,369.72,370.54,370.14,368.55,374.72,370.59,365.42,365.32,366.70,367.49,318.44,320.77,319.78,326.64,326.35,324.83,336.23,332.00,332.58,333.90,333.03,329.36,359.49,390.91,335.12,320.10,325.79,,327.30,319.90,331.24,325.29,323.87,304.30,325.62,326.68,329.12,326.09,322.30,322.07,319.47,320.25,317.51,316.18,320.21,312.49,303.70,358.62,353.47,354.56,358.75,356.37,365.31,369.62,361.87,366.19,364.53,355.92,362.51,365.84,356.37,360.57,366.55,355.33,350.97,356.31,359.45,364.65,368.40,351.81,347.33,340.22,386.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.34,328.81,326.88,318.24
2001-12-05 22:00:18.987000,L7,,,360.66,341.15,336.18,328.03,325.43,302.08,317.85,316.37,314.97,,314.85,320.35,324.48,327.55,,,,,,,,,,,,,,,,,379.04,375.68,369.54,378.01,324.46,340.54,325.06,,,355.93,380.38,314.40,406.94,321.33,,,,,,,,,,,,,,,,,,,,,,,,,322.88,309.72,322.56,318.21,323.93,316.45,309.32,374.34,289.25,293.19,356.17,308.17,305.28,307.13,306.30,320.46,324.94,315.99,312.19,316.66,275.37,299.06,302.46,304.84,295.86,300.79,285.91,290.46,332.94,322.87,356.20,353.85,443.60,424.78,419.34,347.77,330.34,373.38,371.10,315.38,323.66,320.53,359.81,334.35,343.14,325.45,355.34,422.63,321.07,,348.05,306.05,334.66,336.47,324.55
2002-01-06 22:00:31.992000,L7,,,,,,,,,,,,,,,,,,,,,,,337.91,339.94,340.53,344.86,344.95,349.80,350.08,353.49,352.90,350.99,348.30,342.69,342.23,347.39,336.76,347.52,344.42,345.64,340.27,343.67,316.18,343.80,340.41,340.63,329.16,,,,,,,,,,,,,,,,365.95,363.83,394.45,310.88,324.35,,,,,,,,,,,,,,,,,,,,351.39,333.60,340.48,336.15,330.94,374.31,378.64,373.93,379.06,367.42,363.37,366.85,362.52,370.81,364.05,368.05,364.35,364.65,366.00,368.04,373.69,372.40,372.88,364.12,367.84,367.47,373.97,371.06,367.57,360.77,357.26,358.61,360.62,363.19,367.83,368.41,376.71,373.16,
2002-01-22 22:00:40.906000,L7,266.43,222.08,361.94,344.32,284.67,295.77,298.44,302.77,294.88,297.70,299.70,308.82,306.95,308.80,311.35,315.05,315.13,312.45,309.75,306.92,312.17,313.46,310.43,310.90,308.11,310.29,307.22,315.45,315.72,314.58,319.13,317.56,313.36,313.23,309.89,309.48,314.65,310.03,314.70,308.85,313.81,306.05,312.04,312.78,314.71,301.80,305.96,316.79,313.65,309.18,309.32,308.88,304.43,300.46,299.49,301.48,300.42,300.64,302.27,305.05,297.62,298.26,301.57,306.42,309.55,312.69,305.93,303.44,300.16,307.85,301.68,308.02,301.86,294.75,303.17,302.94,296.43,291.88,291.30,291.27,291.85,292.16,294.75,297.73,301.67,301.02,303.59,294.89,293.12,289.13,278.53,297.75,302.59,303.57,294.03,296.80,294.05,420.93,406.32,405.47,397.92,400.32,388.02,396.11,417.81,396.48,398.12,410.77,423.03,420.71,329.44,333.22,337.46,336.82,327.89,423.47,408.56,395.42,393.32,368.94,375.31,332.01,342.86,344.83,301.48
2002-02-23 22:00:43.620000,L7,,,,,42.68,31.56,,,,,356.65,341.92,336.21,336.97,338.67,342.64,351.27,347.77,344.78,340.97,338.72,338.00,336.71,337.04,339.98,342.32,343.09,342.72,345.92,349.28,348.19,350.68,349.49,351.26,350.82,347.15,344.58,344.57,341.94,342.53,341.26,343.10,346.41,346.31,344.14,341.65,344.29,342.14,341.99,342.38,339.86,338.70,337.61,338.70,334.17,334.33,330.92,335.59,336.97,334.71,334.77,326.34,335.68,340.65,307.44,,,,,,,,,,,,,,,,,,,,,,359.47,382.30,288.16,280.50,336.91,336.86,343.88,347.27,341.19,340.81,323.19,319.63,379.19,400.91,405.44,406.07,395.99,399.99,408.93,420.94,416.76,397.59,374.57,406.88,394.21,364.19,354.74,322.96,341.25,332.92,336.27,357.56,364.77,373.07,376.37,363.93,357.94,372.74,332.85
2002-03-27 22:00:37.575000,L7,,,382.37,371.73,348.64,361.57,359.21,354.93,354.41,350.60,,297.48,292.84,286.66,290.28,293.61,303.32,299.60,297.85,295.37,292.80,294.63,299.53,300.56,298.04,298.21,296.01,291.97,292.09,298.55,297.87,296.62,288.84,297.00,274.01,,,,,,,,,,,,,,,290.38,290.34,288.44,286.67,285.82,285.84,286.53,285.43,287.68,290.26,282.44,283.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-28 22:00:38.357000,L7,,,368.10,341.27,101.03,330.33,333.66,326.93,326.17,323.69,324.70,335.47,309.91,329.70,331.98,325.56,334.53,324.44,328.56,326.72,322.44,321.15,312.73,323.84,328.20,328.89,327.34,333.52,335.59,336.48,331.51,335.87,337.26,333.98,330.44,335.78,326.67,332.17,324.93,328.71,329.18,328.54,331.17,333.41,310.80,298.65,304.43,314.16,310.91,311.07,308.06,309.22,303.01,302.32,295.16,298.77,302.39,300.09,301.19,302.78,306.44,298.31,301.87,304.37,306.77,310.71,307.42,302.64,301.01,306.44,301.35,298.74,298.47,293.45,301.60,297.24,290.95,286.81,315.73,376.29,389.09,376.52,,,395.67,395.44,341.81,,,,,,,,393.04,389.79,,384.89,392.99,398.22,391.52,398.96,394.82,327.79,339.66,367.58,375.96,370.31,323.07,342.09,,,,,,327.84,338.24,376.73,355.69,398.90,406.24,402.07,,,320.96
2002-06-15 22:00:19.658000,L7,,,,,,,,,,,,356.07,359.92,364.60,352.46,293.57,,,,,305.33,304.37,305.19,309.79,348.64,343.97,355.81,313.35,310.04,362.91,377.21,400.29,388.17,393.32,383.25,379.77,373.12,376.78,376.08,372.41,374.21,375.12,377.96,367.61,373.35,355.63,360.36,360.61,366.39,370.25,379.53,340.64,334.60,332.86,333.56,331.37,319.30,365.79,372.10,381.73,,,,,391.76,369.88,341.05,332.48,332.35,338.25,343.90,344.73,336.73,,,,,,,,,,,,,,293.13,301.53,293.50,293.44,350.33,360.55,362.41,356.82,362.76,350.85,349.52,292.74,,,,345.02,348.69,349.67,,,,,,,,,,,,,303.18,299.63,299.51,297.21,294.58,297.95,300.14,291.29,
2002-07-01 22:00:15.186000,L7,,,,357.01,94.28,54.39,350.89,341.76,374.95,372.34,371.36,377.34,376.22,375.84,376.91,381.37,380.28,378.64,375.59,371.21,372.25,368.96,370.03,367.68,368.55,367.28,370.47,378.12,373.67,378.06,377.96,375.23,377.20,379.14,383.78,376.75,372.16,371.41,380.60,369.02,368.21,365.42,369.25,369.11,359.35,360.97,,366.67,365.27,369.46,354.56,362.84,358.69,303.30,296.61,299.97,304.04,304.25,293.94,344.63,351.30,328.58,347.84,355.22,356.97,365.58,341.60,355.04,301.16,368.22,363.59,366.27,369.59,364.37,358.12,360.90,354.17,344.23,289.48,293.37,290.00,285.49,292.39,293.45,300.53,362.21,363.68,357.88,353.79,353.65,357.35,340.85,368.95,358.52,359.57,354.32,351.23,350.70,349.94,348.86,350.57,355.24,,,,,,,,,,,,396.06,333.41,351.76,327.75,332.92,341.18,376.15,368.35,,,,367.85
2002-07-17 22:00:08.747000,L7,269.85,239.29,206.06,,99.09,282.59,297.20,302.40,286.35,300.89,302.85,315.99,310.26,310.85,314.49,315.90,314.68,312.95,318.29,315.99,314.31,314.29,312.59,312.30,312.47,319.58,317.70,316.90,317.34,318.96,321.31,316.94,315.58,318.92,317.30,320.08,316.79,311.37,316.98,315.14,316.28,315.31,318.23,313.64,334.60,336.16,337.32,338.61,337.61,336.36,333.35,333.91,330.41,331.99,331.07,328.24,328.99,322.50,321.98,324.90,320.06,319.84,321.85,327.91,332.25,336.27,330.64,328.82,323.85,330.51,332.31,332.98,336.55,333.00,337.31,330.95,324.13,314.89,320.48,325.24,318.41,320.68,320.30,326.59,331.89,333.58,330.14,329.89,326.89,324.38,325.11,330.88,333.72,334.77,333.64,331.43,327.93,327.18,325.17,326.35,327.80,328.35,327.92,337.56,333.77,328.69,328.68,333.20,334.12,327.04,330.33,334.61,335.95,336.28,336.08,335.62,330.62,338.63,340.21,337.90,346.33,349.26,347.68,339.17,300.98
2002-08-18 21:59:57.690000,L7,280.16,245.89,210.56,,370.88,354.16,346.08,299.55,333.41,336.51,336.61,341.76,342.77,331.48,336.32,,,,,340.47,336.73,334.25,334.11,335.26,338.94,338.81,340.16,339.13,338.71,339.02,344.56,341.73,344.45,343.19,340.22,342.32,342.03,339.69,337.79,341.34,335.56,309.52,345.29,335.90,336.01,338.94,341.24,317.17,339.57,340.90,333.77,310.52,332.02,331.42,328.92,328.28,326.88,323.90,322.53,323.25,300.80,318.51,324.83,331.59,333.52,338.82,336.54,329.47,304.04,333.02,335.46,335.60,328.71,,339.70,340.56,335.07,318.71,322.70,331.33,321.52,324.20,321.55,,,,322.72,333.52,337.20,,,,404.34,378.92,363.48,357.81,360.95,365.75,386.13,395.78,323.38,328.22,329.01,362.76,332.95,331.42,337.79,332.32,333.99,331.55,331.75,336.80,308.54,339.03,328.57,,337.49,334.68,337.93,296.28,338.22,,,,296.08
2002-09-19 21:59:35.083000,L7,284.17,249.82,216.00,372.07,365.57,354.28,347.05,338.27,332.46,340.52,330.43,332.22,337.81,337.45,337.24,349.81,341.81,337.49,343.44,338.86,337.72,336.05,335.17,339.28,337.76,342.63,340.08,339.53,339.14,341.73,344.27,341.23,341.20,343.33,338.67,343.77,340.29,344.49,339.04,341.30,335.09,338.39,343.90,334.88,335.60,342.67,338.87,340.34,337.91,338.20,335.06,334.20,332.40,332.55,329.70,323.82,326.67,320.67,322.61,324.65,317.51,317.53,321.64,330.86,330.92,338.97,336.89,328.60,331.39,332.33,337.24,336.65,338.26,334.80,335.12,333.44,324.59,314.86,319.44,326.87,317.57,319.86,323.09,328.21,331.72,334.45,329.76,332.55,324.97,329.89,326.81,334.32,340.13,333.37,331.68,332.52,333.09,325.95,328.30,322.61,325.88,336.71,334.76,332.19,327.24,331.75,326.62,323.82,329.04,328.13,329.94,334.66,338.67,332.94,329.06,331.74,331.91,330.53,326.16,328.38,335.37,332.83,357.77,326.12,333.36
