dates,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,satname
2004-06-10 22:08:17.839,280.79999999999995,268.12,249.76999999999998,248.055,236.51999999999998,225.885,234.45,219.98000000000002,215.21499999999997,203.8,204.13000000000002,190.45499999999998,197.685,193.125,199.66,193.425,193.295,189.74,206.88,216.93,240.66,230.775,233.37,245.60500000000002,260.16999999999996,254.88,260.015,258.2,281.89,282.40333333333336,284.49666666666667,249.7525,258.1725,361.1650000000001,378.56,387.445,393.94999999999993,389.015,385.975,383.53,392.705,391.6400000000001,358.495,310.65000000000003,351.24666666666667,341.0466666666666,357.67,353.22333333333336,361.77,356.43500000000006,389.42333333333335,384.34,386.4533333333333,379.0933333333334,389.195,297.73,296.85999999999996,298.4066666666667,291.36,272.65333333333336,291.535,288.43,313.58500000000004,345.68999999999994,L5
2004-07-12 22:09:13.408,280.79999999999995,268.12,249.76999999999998,248.055,236.51999999999998,225.885,234.45,219.98000000000002,215.21499999999997,203.8,204.13000000000002,190.45499999999998,197.685,193.125,199.66,193.425,193.295,189.74,206.88,216.93,240.66,230.775,233.37,245.60500000000002,260.16999999999996,254.88,260.015,258.2,281.89,282.40333333333336,284.49666666666667,249.7525,258.1725,361.1650000000001,378.56,387.445,393.94999999999993,389.015,385.975,374.7825,392.705,391.6400000000001,358.495,310.65000000000003,351.24666666666667,341.0466666666666,357.67,345.8125,361.77,356.43500000000006,389.42333333333335,377.7325,380.4025,372.415,389.195,297.73,296.85999999999996,298.4066666666667,291.36,272.65333333333336,291.535,288.43,313.58500000000004,345.68999999999994,L5
2004-08-29 22:10:22.051,281.40666666666664,269.4833333333333,251.39666666666665,250.64666666666668,238.33,230.2833333333333,242.58666666666667,219.98000000000002,225.9,215.65,204.13000000000002,199.79,197.685,193.125,199.66,193.425,208.00333333333333,189.74,223.13,230.61666666666667,249.01333333333332,247.76,244.12,254.15666666666667,265.03,260.59,267.25,265.4575,287.79333333333335,286.41749999999996,291.54499999999996,261.27200000000005,266.688,365.99,383.0133333333333,391.8333333333333,398.5566666666666,392.24,393.8066666666667,374.7825,397.1366666666667,395.08666666666676,358.495,310.65000000000003,350.0,349.16749999999996,361.58666666666664,352.506,368.02,356.35999999999996,387.5425,382.11800000000005,384.014,377.71000000000004,390.93333333333334,302.6825,305.195,305.4075,297.7575,280.1375,295.6,288.43,326.40000000000003,355.64000000000004,L5
2004-11-01 22:11:49.961,279.8033333333333,268.78999999999996,250.44666666666663,250.01666666666665,237.20666666666662,229.67,243.84,222.185,226.81000000000003,217.63666666666666,206.16500000000002,203.74333333333334,201.12,197.28,199.45,194.01,210.04,195.01999999999998,225.58333333333334,230.51333333333332,246.75666666666666,252.61333333333334,245.42999999999998,250.8066666666667,261.47666666666663,259.58666666666664,265.2866666666667,261.03000000000003,280.39000000000004,281.84749999999997,288.24,285.1825,288.0475,361.3566666666666,377.59666666666664,388.32666666666665,394.48333333333335,389.59666666666664,392.9433333333333,367.3400000000001,394.6000000000001,393.3233333333333,353.855,312.23,351.32500000000005,350.42499999999995,363.21333333333337,353.258,369.25333333333333,349.6566666666667,387.16249999999997,380.652,380.66,374.154,384.1066666666666,299.2825,314.3433333333333,315.81,308.37666666666667,283.08666666666664,289.79333333333335,282.43,333.645,361.65000000000003,L5
2005-05-12 22:14:14.883,258.12,258.67,238.31,239.96,232.67,220.71,232.97,211.08,209.93,189.11,187.82,164.68,176.22,169.62,166.1,162.97,169.83,172.84,177.75,197.29,214.1,209.35,213.12,238.77,258.47,283.12,277.4,,292.75,300.15,300.59,293.44,304.7,377.39,391.05,396.39,402.0,413.87,408.83,,396.85,402.34,363.67,330.36,352.71,359.82,364.12,371.22,377.43,367.53,403.88,398.65,404.99,393.08,397.45,315.64,322.17,321.68,322.97,290.04,312.17,,341.71,369.12,L5
2005-06-13 22:14:31.246,258.12,258.67,238.31,239.96,232.67,220.71,232.97,211.08,209.93,189.11,187.82,164.68,176.22,169.62,166.1,162.97,169.83,172.84,177.75,197.29,214.1,209.35,213.12,238.77,258.47,283.12,277.4,,292.75,300.15,300.59,293.44,304.7,377.39,391.05,396.39,402.0,413.87,408.83,,396.85,402.34,363.67,330.36,352.71,339.91499999999996,364.12,351.415,351.94,367.53,403.88,398.65,384.895,393.08,397.45,315.64,322.17,321.68,322.97,290.04,312.17,,341.71,369.12,L5
2005-07-15 22:14:43.392,267.56,262.01,245.79000000000002,246.685,238.425,228.815,244.63,228.025,211.135,199.34500000000003,193.11,178.435,192.25,180.555,171.415,172.345,179.085,174.995,183.505,206.73,213.635,218.52499999999998,217.41500000000002,229.32,249.83,282.96000000000004,283.32,289.79,298.115,297.08,299.775,292.66999999999996,307.705,376.225,388.175,394.28999999999996,396.51,404.70500000000004,403.755,403.23,396.17,399.095,367.015,331.68,346.89,348.96999999999997,367.815,358.6166666666666,356.0233333333333,362.71,393.15,398.41999999999996,389.95,395.105,397.64,318.77,322.83500000000004,324.58000000000004,320.15,281.045,311.855,307.54,337.71,369.805,L5
2005-08-09 22:08:46.932,267.56,262.01,245.79000000000002,246.685,238.425,228.815,244.63,228.025,203.26666666666665,199.34500000000003,195.79999999999998,180.83,187.83,186.27666666666667,177.06333333333336,178.29,187.45333333333335,181.1966666666667,196.09666666666666,206.73,213.635,218.52499999999998,217.41500000000002,229.32,249.83,282.96000000000004,283.32,289.79,298.115,297.08,299.775,292.66999999999996,307.705,376.225,388.175,394.28999999999996,396.51,404.70500000000004,403.755,403.23,396.17,399.095,367.015,331.68,346.89,348.96999999999997,367.815,358.6166666666666,356.0233333333333,362.71,393.15,398.41999999999996,389.95,395.105,397.64,318.77,322.83500000000004,324.58000000000004,320.15,281.045,311.855,307.54,337.71,380.1966666666667,L5
2005-08-16 22:15:00.645,267.56,262.01,245.79000000000002,246.685,238.425,228.815,244.63,228.025,203.26666666666665,199.34500000000003,195.79999999999998,180.83,187.83,186.27666666666667,177.06333333333336,178.29,187.45333333333335,181.1966666666667,196.09666666666666,199.39,210.3133333333333,218.16666666666666,215.42333333333332,225.90666666666667,239.79666666666665,263.77,264.68,261.95500000000004,281.71,281.56,286.99333333333334,281.3,292.0733333333333,364.2633333333333,378.17333333333335,384.7366666666667,387.33,392.28000000000003,393.74333333333334,392.68,389.1966666666667,389.6366666666667,356.42,321.63,339.26666666666665,346.89,358.7733333333333,356.1625,352.9275,353.5,382.3233333333333,392.10999999999996,387.375,389.1066666666666,390.12999999999994,299.3333333333333,307.8,311.09,309.20666666666665,265.91333333333336,295.50666666666666,307.54,337.71,380.1966666666667,L5
2005-09-10 22:08:55.708,267.56,262.01,245.79000000000002,246.685,238.425,228.815,244.63,228.025,203.26666666666665,199.34500000000003,195.79999999999998,180.83,187.83,186.27666666666667,177.06333333333336,178.29,187.45333333333335,181.1966666666667,196.09666666666666,193.35,203.8275,213.3725,211.31,219.435,231.2975,251.6175,253.935,252.49666666666667,272.1875,272.7,281.09,276.98,286.8975,364.2633333333333,378.17333333333335,384.7366666666667,387.33,392.28000000000003,393.74333333333334,392.68,389.1966666666667,389.6366666666667,356.42,321.63,339.26666666666665,346.89,358.7733333333333,356.1625,352.9275,353.5,382.3233333333333,392.10999999999996,387.375,389.1066666666666,390.12999999999994,295.3175,305.68,311.9275,309.20666666666665,265.91333333333336,295.50666666666666,307.54,337.71,380.1966666666667,L5
