dates,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018,satname
2014-09-19 22:20:54+00:00,,326.26,323.798,323.435,325.344,323.87,304.31,319.91,328.55499999999995,293.18,,,,,323.8,318.9166666666667,331.36,,,346.59,341.13,336.92333333333335,342.17,,332.105,323.92,321.63,315.25,314.765,316.23333333333335,317.434,319.65333333333336,326.502,325.27833333333336,326.695,329.1257142857143,329.5857142857143,334.46166666666664,339.18142857142857,344.24142857142857,341.56857142857143,345.2528571428571,341.24285714285713,341.2583333333333,338.5683333333333,331.1116666666667,323.0228571428571,317.2,315.3933333333333,319.59,322.81666666666666,329.585,325.02833333333336,316.31857142857143,304.6171428571429,303.36285714285714,301.46571428571434,299.5957142857143,299.8442857142857,313.9483333333333,303.9,L8
2014-09-28 22:14:44+00:00,,326.03499999999997,323.80833333333334,323.4771428571429,325.40333333333336,323.87,304.31,319.91,332.4533333333333,306.97,,,,,323.8,319.065,330.38000000000005,,340.32,345.37,340.95,336.7675,342.83000000000004,338.74,332.34666666666664,324.09000000000003,321.85,315.29499999999996,315.1933333333333,316.505,317.7266666666667,319.65333333333336,326.502,325.27833333333336,327.13714285714286,329.2275,329.6875,334.46166666666664,339.39375,344.03875000000005,341.4775,345.14,341.08,340.7242857142857,338.42,331.07,323.48249999999996,317.57571428571424,316.0728571428571,320.26714285714286,323.3542857142857,329.33714285714285,324.53000000000003,316.4275,304.94625,303.88,301.6175,300.24,300.44875,314.36428571428576,303.9,L8
2015-04-15 22:20:10+00:00,,,,,,,,317.52,316.12,314.9,309.61,304.88,306.97,303.02,,,,,,,,319.09,325.62,321.71,307.15,299.1,296.27,290.69,,,,,,314.35,,316.05,314.73,311.23,327.07,330.75,326.95,330.89,,328.41,315.97,313.26,309.26,305.17,305.2,305.55,308.08,307.56,310.65,303.68,298.01,294.05,284.29,284.98,286.67,292.12,,L8
2015-05-01 22:20:00+00:00,,333.84,324.59,326.77,327.59,329.65,,317.52,316.12,314.9,309.61,304.88,306.97,303.02,,319.36,,,,,342.09,319.09,325.62,321.71,307.15,299.1,296.27,290.69,,,,,,314.35,,316.05,314.73,311.23,327.07,338.91499999999996,335.375,330.89,,328.41,315.97,313.26,309.26,305.17,314.78,314.62,317.23,320.555,317.87,311.48,305.66499999999996,302.935,293.64,294.69500000000005,296.76,304.42,,L8
2015-06-27 22:13:58+00:00,,333.84,324.59,326.77,327.59,329.65,,317.52,316.12,314.9,309.61,304.88,306.97,303.02,,319.36,,,,,342.09,319.09,325.62,321.71,307.15,299.1,296.27,290.69,,,,,312.18,312.20000000000005,316.0,311.93,305.62,304.355,327.275,335.21666666666664,333.76666666666665,330.89,,328.41,315.97,313.26,309.26,305.17,310.79,310.8833333333334,309.88666666666666,316.21,313.84,299.40333333333336,294.45,296.62666666666667,291.28000000000003,291.1666666666667,294.10333333333335,299.26666666666665,,L8
2015-07-04 22:20:14+00:00,,333.84,324.59,326.77,327.59,329.65,284.18,318.27,304.18,300.57,309.315,305.97,307.295,302.73,,319.36,,,,,342.09,319.09,325.62,321.71,307.15,299.1,296.27,290.69,,,,,312.18,312.20000000000005,316.0,311.93,305.62,304.355,327.275,335.21666666666664,333.76666666666665,330.89,,328.41,315.97,313.26,309.26,305.17,310.79,310.8833333333334,309.88666666666666,316.21,313.84,299.40333333333336,294.45,296.62666666666667,281.9425,288.3175,291.045,297.365,,L8
2015-07-29 22:14:13+00:00,,333.84,324.59,326.77,327.59,329.65,284.18,318.27,304.18,300.57,309.315,305.97,307.295,302.73,,319.36,,,,,342.09,319.09,325.62,321.71,307.15,299.1,296.27,290.69,,,,304.2,311.495,311.94666666666666,315.88,311.82,307.78000000000003,306.84666666666664,327.275,333.4575,333.76666666666665,330.89,,328.41,315.97,313.26,309.26,305.17,310.52750000000003,309.3725,308.21,314.3075,312.77,296.3025,294.485,294.8775,282.494,288.61800000000005,290.716,295.698,,L8
2015-08-21 22:20:33+00:00,,330.46,323.605,325.48,327.44,326.655,311.51,325.07,314.87333333333333,311.29,316.56,312.45666666666665,313.39000000000004,310.2633333333333,322.91,318.44,328.86,345.29,334.85,341.32,341.025,327.32,333.78499999999997,329.58,307.15,311.33500000000004,307.91499999999996,302.37,316.87,315.91,,304.2,311.495,316.1125,321.04333333333335,311.82,307.78000000000003,306.84666666666664,327.275,333.4575,333.76666666666665,330.89,,328.41,315.97,313.26,309.26,305.17,310.52750000000003,311.57399999999996,311.236,318.01,314.496,296.3025,294.485,294.8775,285.94166666666666,291.47,293.6333333333334,299.36333333333334,,L8
2016-03-16 22:20:36+00:00,,327.27,327.36,328.13,330.59,331.24,340.06,340.99,341.03,338.52,335.31,330.88,330.1,329.66,327.3,322.41,332.53,347.28,343.05,347.64,343.82,340.7,342.87,342.38,335.25,328.82,325.97,322.46,,,,,,331.55,,,,331.89,,,,,,,,,,,,326.16,328.04,328.05,,,,310.62,304.22,304.74,305.33,317.25,,L8
2016-04-26 22:14:08+00:00,,327.39,325.28,326.37,328.88,330.405,340.755,340.57,341.12,338.515,335.13,330.625,329.645,328.725,326.21500000000003,321.685,332.18499999999995,346.83,343.70000000000005,347.315,343.28999999999996,339.83,342.895,342.38,335.25,328.82,325.97,322.46,,,321.63,326.56,,330.495,334.33,,334.77,331.5,342.82,347.66,,,,,,,,,,324.92,325.69,328.425,328.66,322.21,313.89,309.9,305.52,305.28,306.78999999999996,319.75,,L8
