dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018
2003-02-01 22:09:21.746000,L7,,356.85,361.90,345.31,339.53,359.26,,,,,,,,,,,,,380.87,373.34,373.83,366.23,,,,348.00,325.07,341.49,345.99,383.91,389.38,385.90,354.91,357.50,388.24,350.09,345.27,370.76,354.12,401.10,389.17,390.41,383.45,382.88,381.03,376.75,382.30,371.27,378.31,380.52,378.46,375.34,357.26,348.32,339.92,332.12,302.42,335.31,335.78,341.09,372.73
2003-08-13 21:51:32.649000,L5,395.43,327.88,339.67,339.63,326.14,341.78,344.39,345.96,345.64,346.26,341.92,331.79,339.03,341.94,327.41,323.58,357.96,333.14,354.03,364.33,353.77,358.69,357.59,353.39,350.16,335.99,337.27,329.62,326.74,334.36,335.72,344.39,347.60,343.20,344.22,352.27,356.84,352.68,365.88,370.89,363.74,361.24,359.60,363.93,357.76,352.83,343.60,338.60,346.33,341.53,354.62,353.58,343.73,341.94,326.07,317.64,325.62,319.16,320.96,349.63,
2003-08-29 21:51:49.928000,L5,369.88,341.40,346.13,343.78,330.89,341.55,348.00,346.27,352.58,346.71,341.87,335.01,335.07,339.32,326.65,330.23,355.67,333.45,352.52,295.22,353.62,354.23,354.68,351.99,349.11,341.62,339.93,334.61,332.13,333.06,338.83,343.61,344.52,343.28,348.66,346.56,353.63,353.43,362.68,368.60,359.82,362.51,360.72,360.74,352.68,346.01,344.31,336.78,342.02,343.64,346.19,355.76,346.30,342.86,322.94,316.93,325.58,316.75,315.51,339.10,
2003-10-07 21:58:35.519000,L5,388.71,350.21,353.55,355.39,348.68,348.02,356.53,352.28,357.11,355.55,348.23,345.76,346.77,346.97,344.10,341.07,368.71,353.02,365.37,375.51,369.82,370.43,368.13,367.01,360.64,351.47,343.13,340.66,339.62,338.32,338.11,345.80,349.04,345.09,351.20,352.63,362.83,363.70,376.03,381.93,376.57,377.39,372.84,370.81,362.13,358.37,352.25,343.21,340.10,345.73,346.69,356.05,352.76,342.96,338.56,339.73,338.64,332.30,336.81,356.28,
2003-11-17 21:52:57.120000,L5,393.64,373.24,376.84,376.20,374.52,368.72,368.69,367.50,371.46,366.18,363.66,363.96,360.93,365.17,365.56,360.88,383.05,382.81,390.12,397.56,398.42,390.85,387.65,385.64,378.37,372.72,370.77,371.44,360.51,358.94,357.90,359.23,365.72,363.25,370.03,373.43,378.81,378.88,391.61,401.91,405.19,398.72,398.60,400.35,389.72,391.92,385.65,388.66,378.77,371.96,376.74,376.40,367.97,356.72,353.06,348.50,351.43,362.31,368.69,369.64,380.00
2003-12-26 21:59:30.091000,L5,,,,,,,,,,,,,,,,,,,,,,,,419.99,417.89,392.23,389.84,383.87,379.28,379.03,397.81,395.16,382.59,385.71,388.21,390.13,400.22,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-20 21:53:24.777000,L5,373.72,347.54,357.03,356.98,353.40,355.14,357.51,357.51,361.49,359.19,353.68,350.65,349.93,349.94,346.43,341.00,358.89,347.27,357.54,364.93,361.00,362.27,359.31,354.33,354.57,348.13,343.97,344.68,345.34,345.67,346.05,357.89,358.74,352.70,359.98,365.80,366.57,358.16,374.43,378.33,374.24,364.75,364.42,367.22,357.29,354.32,352.52,347.15,351.30,352.90,359.06,360.38,353.42,347.61,342.79,329.05,324.06,323.95,326.45,337.96,
2004-01-27 21:59:38.149000,L5,365.90,342.18,351.57,355.16,347.77,345.89,351.18,351.10,358.13,358.41,352.71,348.70,349.01,346.92,344.35,342.66,363.21,341.28,361.22,372.05,355.73,358.34,354.74,355.07,351.36,345.55,341.61,337.77,337.68,340.06,340.69,358.88,360.01,352.67,359.30,365.11,376.96,360.11,327.70,305.37,,,,,,,,,,,,,,,,,,,,329.04,325.10
2004-03-31 21:59:59.745000,L5,385.53,361.47,371.14,371.97,364.16,364.62,364.80,365.45,364.55,366.90,360.46,359.87,363.46,366.18,359.77,361.22,379.49,359.99,386.03,387.67,385.14,382.99,382.68,368.58,365.87,355.05,350.94,344.38,345.89,347.59,346.58,354.25,361.39,356.15,365.88,370.71,375.86,374.98,387.58,391.62,389.92,387.09,381.08,381.91,374.76,360.48,360.57,359.88,359.48,354.96,359.51,360.63,359.29,363.83,356.15,350.32,341.55,344.49,344.88,356.62,373.83
2004-05-02 22:00:57.398000,L5,385.66,361.91,370.19,366.78,352.74,365.07,363.13,365.37,366.51,360.83,358.91,358.46,356.63,355.92,347.85,351.10,372.29,369.93,381.35,382.58,383.57,376.64,372.97,370.55,366.85,357.58,354.23,342.17,346.09,343.62,345.49,353.03,354.32,353.20,361.20,356.68,363.65,364.42,377.91,386.99,384.10,383.04,374.16,378.01,369.43,363.59,359.05,365.75,361.15,364.14,364.82,364.15,367.31,357.41,354.60,351.74,349.17,346.56,355.20,377.03,358.99
