dates,satname,nzd0578-0000
2016-12-15 22:07:29.991000,L8,171.99
2016-12-22 22:13:14.982000,L8,169.64
2017-01-07 22:13:12.261000,L8,108.09
2017-01-23 22:13:07.208000,L8,173.68
2017-01-23 22:13:31.167000,L8,169.85
2017-02-08 22:12:58.815000,L8,125.19
2017-02-08 22:13:22.774000,L8,125.27
2017-03-28 22:13:00.546000,L8,105.26
2017-04-06 22:06:45.830000,L8,102.40
2017-04-22 22:06:36.244000,L8,111.69
2017-04-29 22:12:18.412000,L8,51.93
2017-05-24 22:06:46.292000,L8,112.03
2017-06-09 22:06:54.260000,L8,113.57
2017-06-16 22:13:07.683000,L8,341.89
2017-06-25 22:06:59.518000,L8,106.34
2017-11-16 22:07:28.249000,L8,115.35
2017-12-02 22:07:22.770000,L8,114.60
2018-01-19 22:07:14.526000,L8,127.53
2018-02-11 22:12:50.362000,L8,126.90
2018-02-11 22:13:14.321000,L8,118.20
2018-02-20 22:07:00.077000,L8,139.98
2018-03-15 22:12:34.251000,L8,113.65
2018-03-24 22:06:44.096000,L8,183.67
2018-03-31 22:12:27.765000,L8,109.10
2018-03-31 22:12:51.719000,L8,167.67
2018-04-25 22:06:26.771000,L8,114.84
2018-05-02 22:12:09.737000,L8,180.55
2018-05-02 22:12:33.692000,L8,108.21
2018-05-18 22:12:22.813000,L8,102.85
2018-05-27 22:06:04.650000,L8,117.36
2018-06-19 22:11:57.514000,L8,102.15
2018-06-19 22:12:21.473000,L8,229.30
2018-06-28 22:06:16.147000,L8,224.89
2018-08-22 22:12:30.412000,L8,99.75
2018-08-22 22:12:54.367000,L8,100.11
2018-08-31 22:06:47.157000,L8,122.78
2018-09-07 22:12:36.278000,L8,111.56
2018-09-07 22:13:00.241000,L8,226.71
2018-09-23 22:12:41.211000,L8,115.45
2018-10-02 22:06:59.122000,L8,118.69
2018-10-18 22:07:05.594000,L8,226.91
2018-11-03 22:07:09.298000,L8,179.89
2018-11-10 22:12:56.881000,L8,121.22
2018-11-10 22:13:20.844000,L8,116.31
2018-12-21 22:07:06.566000,L8,118.01
2019-02-07 22:06:59.544000,L8,119.18
2019-02-14 22:12:45.337000,L8,223.63
2019-02-14 22:13:09.296000,L8,212.69
2019-03-02 22:12:41.167000,L8,200.38
2019-03-02 22:13:05.126000,L8,226.94
2019-03-18 22:12:35.978000,L8,120.66
2019-03-18 22:12:59.932000,L8,121.50
2019-03-27 22:06:47.460000,L8,118.08
2019-04-03 22:12:32.527000,L8,118.30
2019-04-03 22:12:56.485000,L8,115.36
2019-04-19 22:12:26.487000,L8,97.30
2019-05-05 22:12:52.815000,L8,119.60
2019-05-21 22:12:39.194000,L8,187.92
2019-05-30 22:06:57.095000,L8,115.52
2019-06-06 22:12:47.153000,L8,104.20
2019-06-06 22:13:11.112000,L8,189.70
2019-08-02 22:07:17.867000,L8,115.26
2019-08-18 22:07:23.116000,L8,114.24
2019-08-25 22:13:11.637000,L8,108.90
2019-08-25 22:13:35.591000,L8,108.21
2019-09-10 22:13:15.713000,L8,226.92
2019-09-19 22:07:32.145000,L8,131.69
2019-09-26 22:13:21.074000,L8,97.26
2019-10-05 22:07:36.198000,L8,164.73
2019-10-21 22:07:37.761000,L8,168.26
2019-10-28 22:13:24.474000,L8,196.01
2019-10-28 22:13:48.433000,L8,160.58
2019-11-29 22:13:20.022000,L8,119.38
2019-11-29 22:13:43.981000,L8,115.52
2019-12-08 22:07:32.611000,L8,124.60
2019-12-31 22:13:14.062000,L8,182.59
2019-12-31 22:13:38.020000,L8,236.43
2020-01-09 22:07:25.588000,L8,100.29
2020-01-16 22:13:10.914000,L8,167.48
2020-01-16 22:13:34.872000,L8,223.13
2020-01-25 22:07:21.445000,L8,121.40
2020-02-01 22:13:05.644000,L8,110.47
2020-02-10 22:07:16.756000,L8,123.72
2020-02-26 22:07:12.690000,L8,90.53
2020-03-04 22:12:56.927000,L8,125.54
2020-03-04 22:13:20.890000,L8,103.61
2020-03-13 22:07:06.074000,L8,196.93
2020-04-14 22:06:50.036000,L8,111.90
2020-04-21 22:12:33.691000,L8,107.71
2020-05-07 22:12:24.481000,L8,107.04
2020-05-07 22:12:48.436000,L8,106.48
2020-05-16 22:06:39.488000,L8,180.52
2020-06-01 22:06:44.481000,L8,118.53
2020-06-08 22:12:35.900000,L8,90.44
2020-06-08 22:12:59.859000,L8,112.75
2020-07-10 22:12:51.600000,L8,184.70
2020-07-10 22:13:15.559000,L8,184.31
2020-07-19 22:07:07.773000,L8,97.74
2020-07-26 22:12:56.525000,L8,105.00
2020-07-26 22:13:20.488000,L8,109.01
2020-08-11 22:12:59.530000,L8,227.72
2020-08-11 22:13:23.493000,L8,102.14
2020-08-27 22:13:08.244000,L8,230.34
2020-08-27 22:13:32.207000,L8,123.82
2020-09-21 22:07:30.724000,L8,114.27
2020-10-14 22:13:20.968000,L8,178.98
2020-10-14 22:13:44.927000,L8,178.89
2020-10-23 22:07:33.943000,L8,202.33
2020-11-15 22:13:18.132000,L8,124.79
2021-01-11 22:07:26.124000,L8,112.81
2021-02-03 22:13:08.109000,L8,167.31
2021-02-03 22:13:32.068000,L8,166.22
2021-02-12 22:07:19.216000,L8,170.43
2021-02-19 22:13:27.767000,L8,225.29
2021-03-07 22:12:56.281000,L8,212.58
2021-04-17 22:06:54.118000,L8,108.56
2021-04-24 22:12:37.250000,L8,112.67
2021-05-03 22:06:44.632000,L8,109.72
2021-05-19 22:06:52.116000,L8,39.73
2021-05-26 22:13:06.904000,L8,105.63
