dates,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2013-05-11 22:21:55+00:00,196.12,178.59,177.49,178.1,182.23,168.0,205.18,227.89,220.81,,218.23,,,,,215.29,203.51,198.09,200.51,202.36,204.81,202.66,202.2,211.66,210.39,228.15,,,,,,,,,,,,,,,246.28,274.06,269.54,,,,,254.27,251.81,253.64,,,,,
2013-05-27 22:22:02+00:00,200.085,184.19,185.51,186.61,185.70499999999998,170.31,209.24,231.20499999999998,225.405,,224.82,,,,,224.615,219.92000000000002,206.29500000000002,212.5,208.28500000000003,210.45499999999998,208.865,212.3,216.825,216.485,234.07999999999998,248.57,248.4,,,,245.9,249.51,246.89,246.08,260.32,264.66,270.5,283.87,283.66,264.265,277.095,272.22,,,,,257.36,254.05,254.61,,,267.75,277.86,292.1
2013-06-28 22:21:56+00:00,200.085,184.19,185.51,186.61,185.70499999999998,170.31,209.24,231.20499999999998,225.405,,224.82,,,,,224.615,219.92000000000002,206.29500000000002,212.5,208.28500000000003,208.40666666666667,205.9,209.34666666666666,215.75333333333333,215.37333333333333,231.76,232.945,248.4,,,,245.9,249.51,246.89,246.08,260.32,264.66,270.5,283.87,269.92,267.18666666666667,276.29,270.6133333333333,,,,,257.36,254.05,254.61,,,267.75,277.86,292.1
2013-07-14 22:21:58+00:00,200.37666666666667,185.97333333333333,184.36333333333334,186.92333333333332,185.85,170.1,210.85666666666668,230.32333333333335,225.405,223.56,224.82,221.54,225.42,225.8,,224.615,219.92000000000002,206.29500000000002,212.5,208.28500000000003,208.82,207.29,210.565,215.385,216.1875,231.2975,236.25333333333333,246.64,240.46,246.47,239.48,244.91500000000002,248.925,246.89,246.405,257.9,265.08000000000004,262.12,282.055,274.2766666666667,270.745,266.855,271.0,267.18,,264.67,257.46,257.9266666666667,254.05,254.61,,,267.75,277.86,292.1
2013-07-30 22:21:59+00:00,200.37666666666667,185.97333333333333,184.36333333333334,186.92333333333332,185.85,169.48250000000002,209.4575,229.675,223.87666666666667,219.21,222.54333333333332,219.02499999999998,221.32999999999998,222.04500000000002,229.29,222.03666666666666,219.92000000000002,206.29500000000002,212.5,208.28500000000003,208.238,206.342,209.11399999999998,214.72600000000003,215.046,230.612,236.1825,244.99,240.46,246.47,239.48,244.91500000000002,248.925,246.89,246.405,257.9,265.08000000000004,262.12,282.055,275.255,272.07,268.274,264.81,267.18,,264.67,257.46,256.685,253.0666666666667,246.71333333333334,,,267.75,277.86,292.1
2013-09-16 22:21:57+00:00,208.645,194.1525,191.565,194.3225,195.0,177.07999999999998,214.92,234.60399999999998,223.87666666666667,219.21,222.54333333333332,219.02499999999998,221.32999999999998,222.04500000000002,229.29,222.03666666666666,219.92000000000002,206.29500000000002,222.40333333333334,217.62333333333333,208.238,211.65166666666667,209.11399999999998,217.75833333333333,219.63333333333333,234.29666666666665,241.76399999999998,250.2125,250.69,257.46,252.28499999999997,251.61333333333334,254.67666666666665,255.58499999999998,252.85666666666665,262.4066666666667,270.19,272.3433333333333,288.5933333333333,275.255,277.045,272.4683333333333,268.97166666666664,279.01,284.61,280.665,265.625,260.274,257.78499999999997,246.71333333333334,273.78,275.53,278.37,288.86,298.475
2013-12-21 22:21:27+00:00,217.205,204.115,197.62,202.03499999999997,204.29500000000002,181.59333333333333,215.2625,232.9675,219.355,216.29333333333332,208.84,214.29333333333332,217.21333333333334,218.31333333333336,224.845,213.84,198.77,193.93,217.35500000000002,218.36,205.2675,210.392,205.02249999999998,215.006,218.37199999999999,231.07,238.88600000000002,247.1775,244.32000000000002,249.56000000000003,246.85666666666665,245.6266666666667,250.39333333333332,249.58999999999997,250.77999999999997,257.46000000000004,266.5133333333334,270.8566666666667,285.8666666666667,274.225,282.11800000000005,270.244,267.31399999999996,271.80333333333334,270.07,272.61,259.23,257.685,255.69666666666663,237.515,255.84999999999997,262.49,269.925,277.785,290.915
2014-07-01 22:19:46+00:00,,,,,,,,,,,,,,248.0,247.1,245.88,233.07,229.62,230.8,217.85,212.47,218.14,219.07,220.03,224.87,232.46,206.96,201.04,219.67,203.34,215.94,213.0,,218.08,210.82,,262.37,273.09,283.87,283.89,287.31,280.95,274.24,269.64,265.0,231.12,253.66,,,,,,,,
2014-07-17 22:19:52+00:00,,,,,,,,,,,,,,239.14,242.24,238.20499999999998,226.05,220.255,221.955,215.405,210.695,214.14999999999998,216.22,218.47,221.595,230.645,226.865,201.04,230.625,225.39499999999998,226.875,214.3,248.77,228.925,230.005,255.14,263.57,260.585,268.29,266.34,263.81,280.95,273.97,269.06,264.87,248.115,253.785,253.59,252.91,253.37,,,,,
2014-09-03 22:20:06+00:00,,,,,,,205.97,220.09,220.03,213.36,204.12,209.96,214.06,231.56333333333336,236.50333333333333,229.4766666666667,218.38,213.16333333333333,213.77666666666667,211.58666666666667,208.13666666666666,210.40666666666667,211.93666666666664,215.41333333333333,217.8033333333333,227.42333333333332,229.82333333333335,189.905,231.24333333333334,229.0233333333333,230.9333333333333,221.62666666666667,245.305,231.65666666666667,234.82333333333335,252.63,261.77,263.82,271.12,271.87666666666667,268.36333333333334,277.805,272.56333333333333,267.62,264.49333333333334,252.15,252.38666666666666,250.15,249.38,250.42000000000002,,,,,280.38
2014-09-19 22:20:06+00:00,236.92,234.62,243.56,227.32,236.11,243.26,223.69,243.14499999999998,247.77499999999998,240.1,229.135,235.7,241.71,237.45,245.0325,236.0825,218.38,227.97,226.3475,224.615,221.595,210.40666666666667,219.1575,215.41333333333333,217.8033333333333,239.6375,239.47750000000002,215.1,240.7225,238.5625,238.6925,232.9,253.12,242.0025,244.5875,262.57666666666665,268.27,271.5725,279.2025,281.13,278.7025,284.81666666666666,278.925,272.83,270.035,260.615,259.26750000000004,258.00333333333333,256.96666666666664,257.98,275.79,300.54,310.45,287.48,292.48
