dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0011,nzd0381-0010
2022-04-27 22:13:10+00:00,276.7516666666667,249.75,231.82833333333335,334.2854545454545,172.308,332.4188888888889,322.6144444444444,316.0014285714286,304.78933333333333,294.64444444444445,,,,,,
2022-05-28 22:19:06+00:00,276.7516666666667,249.75,231.82833333333335,333.81444444444446,172.308,332.8925,322.96624999999995,315.24,302.7613333333333,295.71857142857147,,,,,,
2022-08-09 22:13:34+00:00,273.0475,248.2175,219.51749999999998,338.46999999999997,172.59999999999997,336.752,325.19599999999997,310.9375,301.071,298.095,,,,,,
2022-09-09 22:20:11+00:00,277.0625,251.26250000000002,222.84499999999997,340.41999999999996,175.01,331.78,317.1099999999999,305.41428571428565,293.98625,299.91,,,,,,
2022-11-13 22:13:53+00:00,300.4866666666667,281.24666666666667,254.83666666666667,336.94,259.025,329.06,324.56,307.40000000000003,293.46,265.85,,,,,,
2023-01-08 22:13:48+00:00,312.0425,296.0475,273.645,337.76,285.87666666666667,329.805,322.685,312.57750000000004,301.57,276.105,,,,,,
2023-01-15 22:19:53+00:00,318.592,304.03000000000003,285.276,337.75,298.97249999999997,329.0233333333333,321.85999999999996,314.946,303.844,279.5466666666667,,,,,,
2023-01-16 22:13:46+00:00,323.5416666666667,309.4916666666667,293.6483333333333,339.475,308.07,330.2975,322.2025,317.35333333333335,306.1033333333333,283.49,287.24,290.3,290.38,,,
2023-01-23 22:19:56+00:00,323.7442857142857,309.4916666666667,293.3757142857143,333.854,308.07,330.2975,322.2025,317.35333333333335,306.1033333333333,283.49,287.24,290.3,290.38,,,
2023-02-08 22:20:06+00:00,332.585,323.2766666666667,313.2,334.745,312.91833333333335,329.798,321.152,322.03000000000003,310.1166666666667,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-02-16 22:19:49+00:00,332.585,314.01000000000005,313.2,329.39142857142855,312.91833333333335,329.798,321.152,322.03000000000003,310.1166666666667,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-02-24 22:19:51+00:00,332.585,306.24,313.2,324.815,312.91833333333335,329.798,321.152,322.03000000000003,310.1166666666667,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-03-05 22:13:37+00:00,333.4042857142857,301.28333333333336,313.23125,322.7111111111111,310.86571428571426,324.375,306.6716666666667,322.03000000000003,308.06,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-03-13 22:13:22+00:00,330.6028571428572,300.0888888888889,311.81874999999997,311.706,309.8,324.375,306.6716666666667,326.142,307.3357142857143,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-03-21 22:13:31+00:00,323.16625000000005,295.31600000000003,303.0822222222222,304.01272727272726,293.36375,318.6328571428571,300.1385714285715,326.142,305.2225,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-03-29 22:13:12+00:00,313.52000000000004,290.51545454545453,295.139,296.2583333333333,279.7111111111111,318.6328571428571,300.1385714285715,326.142,305.2225,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-04-06 22:13:21+00:00,309.379,286.8933333333334,289.28818181818184,289.8253846153846,269.482,315.0925,294.5775,321.5133333333333,303.60999999999996,285.47400000000005,332.92,343.42,336.6,,375.68,
2023-04-13 22:19:26+00:00,309.379,286.8933333333334,289.28818181818184,289.8253846153846,269.482,316.5755555555555,294.5775,321.1657142857143,304.548,287.38000000000005,332.92,343.42,336.6,,375.68,
2023-04-14 22:12:57+00:00,306.1427272727273,283.6776923076923,283.95416666666665,283.91785714285714,260.57545454545453,313.622,294.5775,318.19125,302.76181818181817,287.38000000000005,332.92,343.42,336.6,,375.68,
2023-06-16 22:18:54+00:00,302.10900000000004,279.09,279.4790909090909,279.83923076923077,252.81099999999998,311.9066666666667,290.2942857142857,313.36,299.0172727272727,291.68600000000004,332.92,343.42,336.6,,375.68,
2023-08-28 22:13:20+00:00,276.0566666666667,249.23833333333332,242.35,229.38833333333332,194.77499999999998,295.78000000000003,253.34,300.93199999999996,289.1075,296.91,,,,,,
2023-09-29 22:13:26+00:00,272.8066666666667,247.58000000000004,230.89,213.33333333333334,175.8733333333333,288.19,258.60999999999996,300.93199999999996,283.98,296.91,,,,,,
2023-10-07 22:13:32+00:00,269.96666666666664,247.60000000000002,229.05333333333337,213.63666666666668,175.58,287.66,260.09,301.5725,278.34999999999997,296.91,,,,,,
2023-10-31 22:13:33+00:00,268.05999999999995,248.85500000000005,230.94000000000005,216.89500000000004,177.615,267.58000000000004,260.09,306.8866666666667,278.31600000000003,296.67,,,,,,
2023-11-24 22:13:39+00:00,268.05999999999995,248.85500000000005,230.94000000000005,216.89500000000004,177.615,267.58000000000004,260.09,316.26750000000004,284.185,290.05,,,,,,
2023-12-18 22:13:44+00:00,278.29999999999995,250.89666666666668,230.94000000000005,216.63,177.615,255.70666666666668,254.94333333333336,321.985,287.30333333333334,290.05,,,,,,
2024-02-12 22:13:30+00:00,275.7525,247.46000000000004,227.85000000000002,216.63,174.7033333333333,255.70666666666668,254.94333333333336,321.985,287.30333333333334,290.05,,,,,,
2024-02-19 22:19:39+00:00,275.7525,247.46000000000004,227.44750000000002,214.8825,174.7033333333333,255.70666666666668,254.94333333333336,321.985,287.30333333333334,290.05,,,,,,
2024-02-20 22:13:31+00:00,273.71799999999996,247.22600000000003,227.53400000000002,214.41199999999998,173.59249999999997,255.70666666666668,254.94333333333336,321.985,287.30333333333334,290.05,,,,,,
2024-02-27 22:19:43+00:00,273.71799999999996,247.22600000000003,227.53400000000002,214.41199999999998,173.59249999999997,239.835,251.16500000000002,326.6275,291.4066666666667,287.84666666666664,,,,,,
2024-02-28 22:13:24+00:00,266.8,247.22600000000003,227.53400000000002,214.41199999999998,173.59249999999997,239.835,251.16500000000002,326.6275,291.4066666666667,287.84666666666664,,,,,,
2024-03-15 22:13:13+00:00,266.6485714285714,246.41166666666666,226.49833333333333,213.455,173.59249999999997,239.835,251.16500000000002,320.548,291.15857142857146,287.84666666666664,,,,,,
2024-04-07 22:19:11+00:00,260.28833333333336,245.19,224.27749999999997,211.735,169.56999999999994,231.96,244.65,320.548,304.564,287.84666666666664,,,,,,
2024-06-03 22:12:29+00:00,260.28833333333336,245.19,224.27749999999997,211.735,169.56999999999994,231.96,252.81500000000003,309.17,294.33,283.44,,,,,,
2024-07-05 22:12:45+00:00,252.59,241.92666666666665,224.27749999999997,210.28,169.56999999999994,,253.72500000000002,308.125,293.2625,283.44,,,,,,
2024-07-20 22:19:02+00:00,252.59,244.25750000000002,224.27749999999997,210.28,169.56999999999994,,253.72500000000002,303.07,292.01,283.44,,,,,,
2024-07-21 22:13:00+00:00,252.59,244.25750000000002,224.27749999999997,215.3175,173.92666666666665,268.46,256.74,301.115,291.71666666666664,283.44,,,,,,
