dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
2018-10-02 22:06:59.122000,L8,344.70,349.50,340.21,343.43,331.67,326.74,,,,,,,,,,,,,
2018-12-21 22:07:06.566000,L8,353.52,352.29,345.74,344.18,331.79,329.14,324.73,,,,,,,,,,,,
2019-01-22 22:07:02.132000,L8,340.24,337.00,331.86,333.59,322.93,320.50,,,,,,,,,,,,,
2019-02-07 22:06:59.544000,L8,345.82,339.81,335.33,334.37,325.11,321.92,,,,,,,,,,,,,
2019-05-14 22:06:48.150000,L8,347.41,367.53,362.34,353.39,336.44,334.09,329.17,,,,,,,,,,,,
2019-05-30 22:06:57.095000,L8,343.60,351.28,346.58,345.72,330.05,327.27,321.52,,,,,,,,,,,,
2019-06-15 22:07:03.775000,L8,345.86,359.38,358.79,351.19,338.24,335.89,328.04,,,,,,,,,,,,
2019-07-17 22:07:10.971000,L8,341.13,353.23,346.89,340.78,331.93,326.57,320.09,,,,,,,,,,,,
2019-08-02 22:07:17.867000,L8,349.75,364.52,358.61,349.71,338.64,334.49,327.63,,,,,,,,,,,,
2019-08-18 22:07:23.116000,L8,344.55,354.05,348.20,339.81,331.45,325.66,319.44,,,,,,,,,,,,
2019-10-21 22:07:37.761000,L8,342.33,341.08,330.17,330.60,323.73,316.19,,,,,,,,,,,,,
2020-02-10 22:07:16.756000,L8,400.22,385.97,377.94,375.58,371.36,337.79,351.67,334.56,,,,319.70,322.71,327.00,309.49,342.13,349.28,365.46,348.15
2020-02-26 22:07:12.690000,L8,347.89,343.27,340.86,338.01,327.93,324.01,,,,,,,,,296.81,329.15,303.89,322.39,320.19
2020-03-13 22:07:06.074000,L8,350.85,351.75,345.56,338.44,334.48,333.45,323.62,,,,,,,316.20,304.53,333.42,336.87,360.57,340.47
2020-04-14 22:06:50.036000,L8,347.03,355.94,352.53,357.57,327.75,321.81,,,,,,,,,,325.46,298.58,359.88,319.56
2020-05-16 22:06:39.488000,L8,345.75,352.26,344.53,339.94,331.58,325.11,,,,,,,,,297.26,324.94,296.03,360.25,336.94
2020-06-01 22:06:44.481000,L8,403.84,388.89,376.09,372.91,358.63,361.40,358.51,348.78,342.81,334.60,330.92,334.35,335.00,343.23,325.85,348.25,351.86,373.64,388.79
2020-07-19 22:07:07.773000,L8,387.20,384.09,374.69,369.74,361.32,356.28,353.98,349.00,339.57,334.44,331.64,335.02,341.69,337.71,329.86,346.90,347.91,371.47,363.03
2020-08-04 22:07:11.601000,L8,339.77,349.61,340.84,334.62,327.22,320.49,,,,,,,,,,,,,
2020-09-21 22:07:30.724000,L8,346.03,352.41,342.01,334.67,328.83,321.41,,,,,,,,,,,,,
2021-01-11 22:07:26.124000,L8,,429.19,362.42,358.09,344.93,347.61,341.94,335.94,,329.35,321.91,321.84,332.29,334.50,317.79,338.80,353.68,370.17,356.37
2021-02-12 22:07:19.216000,L8,425.44,348.96,345.23,336.93,332.41,384.37,356.97,414.27,,,,,,318.42,311.30,329.68,343.49,363.84,341.14
2021-03-16 22:07:03.784000,L8,352.79,346.32,344.15,336.25,332.38,325.30,,,,,,,316.67,322.24,312.64,329.51,324.78,361.11,343.68
2021-04-17 22:06:54.118000,L8,350.90,347.73,346.06,337.60,332.38,325.88,,,,,,,,315.27,309.99,324.73,300.37,358.67,341.49
2021-05-03 22:06:44.632000,L8,386.65,375.73,374.44,375.30,360.93,365.05,354.24,353.49,340.73,327.22,319.10,323.30,334.84,336.78,321.06,333.35,350.12,368.33,355.49
2021-07-06 22:07:08.299000,L8,359.59,375.12,368.43,360.61,351.34,344.51,334.34,,,328.69,323.57,325.79,323.69,435.12,420.70,366.09,304.27,361.35,346.43
