dates,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040,satname
2013-09-16 22:21:57+00:00,247.53,235.99,287.75,293.87,294.7366666666667,297.645,306.16499999999996,303.81,302.38666666666666,309.64,309.72,294.47,279.25,283.375,266.95500000000004,227.52,211.76,244.29000000000002,246.89999999999998,261.925,261.35,270.52,270.05,272.63,240.15333333333334,280.655,260.51,269.78333333333336,269.9733333333333,257.87,268.2866666666667,265.25,254.76666666666665,255.23,249.79,249.8,253.14,296.115,324.685,334.185,241.56,,263.095,290.04,305.945,335.14750000000004,307.45,314.1166666666667,319.6775,290.66,240.09,194.56,,,L8
2013-10-18 22:21:49+00:00,244.88333333333333,239.46,287.64000000000004,302.9,303.745,310.98333333333335,315.3066666666667,312.0475,312.78499999999997,320.51666666666665,329.4,294.47,279.25,283.375,266.95500000000004,227.52,211.76,252.46666666666667,257.06333333333333,266.65333333333336,268.1066666666666,275.09666666666664,273.14000000000004,273.81333333333333,249.505,281.60999999999996,265.18,269.78333333333336,269.9733333333333,257.87,268.2866666666667,265.25,254.76666666666665,255.23,249.79,249.8,253.14,296.115,327.42,334.185,241.56,,263.095,309.08500000000004,314.1933333333333,335.548,312.35749999999996,315.09000000000003,320.31800000000004,290.66,240.09,194.56,,,L8
2013-12-21 22:21:27+00:00,246.25333333333333,254.305,295.095,310.02500000000003,309.03249999999997,322.8625,324.8925,326.10249999999996,318.69,329.04,325.34999999999997,293.83000000000004,289.945,290.41999999999996,284.94000000000005,,,271.56666666666666,277.54333333333335,278.25666666666666,283.24,284.57666666666665,281.84,275.43666666666667,265.02750000000003,284.22,273.65000000000003,286.175,286.635,265.19,271.02750000000003,268.2,257.8875,260.995,253.495,259.42,256.91999999999996,298.68,318.09,323.70500000000004,241.56,,247.5,323.41333333333336,324.97999999999996,335.74666666666667,319.04999999999995,332.17333333333335,333.15000000000003,,243.025,203.575,,,L8
2014-03-02 22:26:45+00:00,244.86,252.62666666666667,292.7133333333333,319.4725,322.2125,335.34250000000003,334.4675,336.71999999999997,335.2325,330.575,332.09749999999997,293.83000000000004,289.945,290.41999999999996,284.94000000000005,,,271.56666666666666,277.54333333333335,278.25666666666666,283.24,284.57666666666665,292.0825,275.43666666666667,280.0033333333334,284.22,284.1566666666667,286.175,300.31666666666666,276.81999999999994,278.77500000000003,275.2,264.46999999999997,260.995,253.495,259.42,256.75333333333333,298.68,315.46,323.82,276.895,,247.5,326.7875,326.46666666666664,342.4266666666667,337.67333333333335,331.71,330.98333333333335,,241.16333333333333,204.10333333333332,,,L8
2014-07-01 22:19:46+00:00,240.68,249.27,287.95,322.78,337.25,331.76,332.98,337.34,348.24,323.07500000000005,322.515,,,,,204.77,191.65,,,,,,322.81,,,248.58,,,327.68,250.49,252.46,254.06,,,,,256.42,,307.57,324.05,312.23,,,336.91,329.44,332.13,337.26,330.32,327.12,289.86,237.44,205.16,,,L8
2014-07-17 22:19:52+00:00,240.68,249.27,287.95,322.78,337.25,331.76,332.98,337.34,348.24,315.8233333333333,310.1666666666667,,,,,203.09,189.055,,,,,,322.81,,,243.085,,,327.68,249.38,252.24,252.185,,,,,256.42,,307.57,324.05,312.23,,,336.91,329.44,328.3433333333333,337.26,330.32,327.12,289.86,237.44,205.16,,,L8
2014-09-03 22:20:06+00:00,249.21,257.69,288.45,310.09,308.25,313.26,316.16,318.89,320.54,311.0733333333333,296.67,296.55,291.54,297.43,291.07,231.08,218.63333333333335,274.93,279.85,281.15,286.09,286.0,285.71,275.31,281.38,257.17333333333335,283.44,283.65,284.65,257.3433333333333,261.1766666666667,259.9766666666667,259.92,256.42,256.03,258.32,252.39,294.88,310.58,327.19,313.09,208.45,242.57,277.24,318.8,332.88,337.68,322.66,,289.86,234.17,,,,L8
2014-11-06 22:20:13+00:00,255.745,262.46999999999997,288.14,305.92499999999995,306.005,318.96500000000003,317.3,317.40999999999997,321.155,313.12,300.25750000000005,297.86,293.28499999999997,299.615,291.32,244.85250000000002,233.31,276.22999999999996,280.21000000000004,282.875,285.66499999999996,286.595,284.87,275.38,281.41999999999996,264.7075,281.80500000000006,284.195,286.35,262.9125,266.865,265.1725,264.355,259.23,258.27,263.095,255.95999999999998,298.56,313.11,329.40999999999997,316.51,256.91999999999996,262.53999999999996,284.96500000000003,324.625,336.455,339.18,326.37,330.46,289.86,238.425,183.58,175.99,180.85,L8
2014-12-24 22:20:05+00:00,256.8833333333334,261.46999999999997,288.26666666666665,305.6566666666667,304.27666666666664,316.09,315.1066666666667,316.6133333333333,320.54,315.07399999999996,301.956,297.23333333333335,293.55333333333334,298.41333333333336,291.41333333333336,253.052,242.642,276.5933333333333,280.74333333333334,282.2633333333333,285.0466666666666,285.4266666666667,283.34,276.9633333333333,280.5333333333333,269.184,280.99,284.3433333333333,284.7,265.86199999999997,270.03200000000004,267.91999999999996,265.6333333333334,261.3733333333334,260.03666666666663,262.89000000000004,257.7966666666667,300.37333333333333,315.8633333333333,330.1933333333333,318.75333333333333,274.13,276.4166666666667,290.2633333333333,325.48,338.168,337.94,327.3066666666667,330.705,289.86,238.98666666666668,185.05,184.60500000000002,193.89999999999998,L8
2014-12-31 22:26:11+00:00,257.56,261.84749999999997,288.26666666666665,314.8075,312.555,321.6775,320.95500000000004,321.715,324.165,322.704,312.896,297.23333333333335,293.55333333333334,304.58500000000004,291.41333333333336,265.1225,255.39000000000001,276.5933333333333,280.74333333333334,282.2633333333333,285.0466666666666,285.4266666666667,284.91999999999996,276.9633333333333,280.5333333333333,274.33500000000004,280.99,284.3433333333333,285.145,272.164,274.425,271.385,265.6333333333334,261.3733333333334,259.54999999999995,262.525,259.425,300.37333333333333,315.8633333333333,330.1933333333333,318.75333333333333,274.13,276.4166666666667,290.2633333333333,325.48,340.8975,337.94,327.3066666666667,330.705,,238.71,185.05,184.60500000000002,193.89999999999998,L8
2015-01-25 22:19:56+00:00,255.262,259.938,287.085,312.82599999999996,309.666,318.022,318.63,319.966,323.496,325.794,317.162,296.32,292.6625,301.932,289.2475,286.35999999999996,278.3666666666667,270.53499999999997,279.1925,281.2175,283.815,284.9,283.70799999999997,275.59000000000003,280.11,285.45,280.66,283.88,284.154,277.284,280.69,277.895,265.02750000000003,261.48,259.23799999999994,261.79,258.07,299.5825,314.5525,328.525,317.765,279.605,279.2,287.575,325.6575,348.795,338.1275,327.3,332.50666666666666,,237.38400000000001,185.05,184.60500000000002,187.00666666666666,L8
