dates,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047,satname
2017-06-07 22:19:15+00:00,,321.3425,288.0566666666667,318.98,279.5725,262.79999999999995,259.74333333333334,250.72,237.55666666666664,251.02999999999997,241.70666666666668,255.66,252.73333333333335,222.1,277.62,266.23333333333335,262.57,268.89000000000004,274.21,273.1566666666667,260.81,263.96000000000004,262.12,271.60333333333335,278.93,289.72666666666663,287.54,284.7233333333333,281.81,276.05333333333334,258.37999999999994,251.97333333333336,249.48999999999998,258.43333333333334,249.21,253.9,252.51,256.86,247.75333333333333,249.93999999999997,257.6533333333333,262.6333333333334,274.87333333333333,262.99,238.71666666666667,246.10666666666668,272.56666666666666,347.0366666666667,L8
2017-06-16 22:13:07+00:00,388.17,321.3425,275.955,318.98,279.5725,262.79999999999995,247.71,241.67749999999998,224.1625,251.02999999999997,241.70666666666668,242.06,252.73333333333335,222.1,277.62,255.885,251.56999999999996,258.38250000000005,263.4025,261.3875,260.81,263.96000000000004,262.12,271.60333333333335,278.93,278.315,279.855,273.47749999999996,270.0175,261.5625,258.37999999999994,251.97333333333336,249.48999999999998,258.43333333333334,249.21,253.9,252.51,256.86,247.75333333333333,249.93999999999997,257.6533333333333,262.6333333333334,274.87333333333333,262.99,238.71666666666667,246.10666666666668,272.56666666666666,347.0366666666667,L8
2017-07-25 22:19:30+00:00,370.93,316.93666666666667,259.4625,327.89,280.18666666666667,258.93999999999994,230.14499999999998,230.15749999999997,207.8425,246.90999999999997,234.65499999999997,229.6725,234.29666666666665,217.51,271.73,249.1233333333333,244.1533333333333,251.6066666666667,256.3633333333333,254.2033333333333,260.81,263.96000000000004,262.12,267.65,273.79499999999996,267.28000000000003,268.37,262.46,259.035,252.195,238.14333333333332,247.815,241.005,255.31499999999997,242.37,247.14,245.50500000000002,252.65000000000003,238.03500000000003,245.77499999999998,252.73,259.22,276.865,262.6233333333334,231.40999999999997,238.64000000000001,261.99,361.25500000000005,L8
2017-08-03 22:13:23+00:00,376.5466666666666,316.93666666666667,256.4,327.89,280.18666666666667,258.93999999999994,230.14499999999998,230.15749999999997,207.8425,246.90999999999997,234.65499999999997,229.6725,234.29666666666665,217.51,271.73,245.60999999999999,242.02749999999997,249.9375,250.40499999999997,245.5575,260.81,263.96000000000004,262.12,267.65,273.79499999999996,265.602,267.014,260.224,255.97200000000004,247.248,238.14333333333332,247.815,241.005,255.31499999999997,242.37,247.14,245.50500000000002,252.65000000000003,238.03500000000003,245.77499999999998,252.73,259.22,276.865,262.6233333333334,231.40999999999997,238.64000000000001,261.99,361.25500000000005,L8
2017-11-30 22:19:44+00:00,376.5466666666666,317.16,250.4075,,280.3,259.06,221.67666666666665,225.1233333333333,196.85,245.13,226.09,221.28,225.54,214.43,260.63,238.1933333333333,234.6233333333333,243.59333333333333,260.19,236.64333333333335,256.65,261.49,258.5,266.31,270.32,260.0,262.625,254.90999999999997,251.4325,242.29500000000002,227.73499999999999,242.25,227.3,251.94,234.09,238.42,232.5,248.9,221.51,239.53,245.67,253.4,,239.0,224.25,225.87,258.78,,L8
2018-01-26 22:13:21+00:00,387.78,309.35,263.665,283.22,262.3,257.14,254.72,244.29,237.22,248.06,237.51,255.73,251.32,225.85,285.27,251.785,250.005,258.33500000000004,274.3966666666667,248.54500000000002,267.59,271.41,269.18,277.87,285.46,275.27,273.235,267.93999999999994,257.14,248.79,259.84,250.37,259.44,261.65,256.43,260.28,248.63,257.81,257.21,248.27,257.26,260.98,258.69,245.43,239.62,253.23,264.14,274.6,L8
2018-04-07 22:18:58+00:00,,308.025,273.32500000000005,276.135,257.23,257.75,256.67999999999995,246.07999999999998,224.14,251.81499999999997,225.54,256.65999999999997,251.355,212.39999999999998,278.36,268.57,263.78,271.905,288.15333333333336,278.915,266.595,272.95500000000004,268.57,274.485,282.88,291.28,285.21000000000004,282.46,270.845,268.58000000000004,258.15,250.26999999999998,257.035,262.575,255.245,253.45999999999998,249.16,256.73,254.29500000000002,252.72500000000002,257.48,264.44,258.46000000000004,245.185,235.255,249.115,262.255,271.13,L8
2018-05-02 22:12:33+00:00,,308.025,268.51666666666665,273.96333333333337,255.70666666666668,258.3966666666667,256.67999999999995,246.07999999999998,224.14,251.81499999999997,217.15666666666667,253.07333333333335,250.4433333333333,212.39999999999998,278.36,268.57,263.78,271.905,288.15333333333336,278.915,266.595,272.95500000000004,268.57,273.46000000000004,279.8633333333333,288.3966666666667,285.21000000000004,282.46,270.845,268.58000000000004,258.15,250.26999999999998,257.035,262.575,255.245,253.45999999999998,249.71,254.3466666666667,254.29500000000002,252.72500000000002,257.48,262.31,258.46000000000004,245.185,235.255,249.115,262.255,272.0833333333333,L8
2018-08-22 22:12:54+00:00,,307.78,259.34,267.6666666666667,252.41,259.02500000000003,258.64,245.42499999999995,222.55,252.59499999999997,217.35,250.10666666666665,248.26666666666665,216.315,267.54999999999995,266.225,259.93999999999994,267.76,269.125,272.61,262.065,267.64,262.64,269.52333333333337,275.45666666666665,286.77000000000004,285.54,280.32,271.13,267.04,249.89500000000004,243.345,251.115,259.57,247.59,244.90499999999997,246.03666666666666,249.9166666666667,242.73000000000002,249.61,251.93,260.06666666666666,255.63,243.715,230.20499999999998,242.60500000000002,262.075,273.21333333333337,L8
2018-08-29 22:19:08+00:00,,306.6166666666667,259.9975,269.5625,251.50666666666666,258.6333333333334,256.11499999999995,245.98,226.9466666666667,251.7733333333333,224.70499999999998,249.945,247.78,220.37333333333333,267.03,266.225,259.93999999999994,267.76,269.125,270.96333333333337,261.77666666666664,266.79333333333335,262.7366666666667,269.435,275.53749999999997,285.91333333333336,281.515,276.245,270.14,265.45000000000005,250.83666666666667,242.67999999999998,251.3766666666667,259.54333333333335,247.01666666666665,246.04999999999998,246.9975,249.96750000000003,245.5966666666667,249.38666666666666,251.82333333333335,259.71,258.24,243.715,230.20499999999998,246.7266666666667,267.58666666666664,275.4075,L8
