dates,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0022,nzd0007-0023,nzd0007-0010,nzd0007-0024,nzd0007-0004,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0005,nzd0007-0006,satname
2023-10-14 22:17:45+00:00,,,,,,278.61,233.02,328.385,,,167.11,218.62,208.43,,,,,,,,,,,,,,,,,,,,,,,,L8
2023-10-22 22:17:50+00:00,,,,,,278.61,233.02,328.25,,,165.22000000000003,216.75,206.99,,,,,,,,,,,,,,,,,,,,,,,,L9
2023-11-15 22:17:47+00:00,,,,,,278.61,224.51,328.25,,,165.22000000000003,216.75,206.99,,,,,,,,,,,,,,,,,,,,362.9,,,,L8
2024-01-10 22:17:52+00:00,,,,,,278.61,225.97,328.25,,,165.22000000000003,216.75,206.99,,,,,,,,,,,,,,,,,,,,362.9,,,,L9
2024-02-11 22:17:53+00:00,,,,,,278.61,257.9066666666667,328.25,,,165.22000000000003,216.75,206.99,,,,,,,,,,,,,,,,,,,,362.9,,,,L9
2024-04-07 22:17:11+00:00,,,,,,278.61,268.68,328.52,,,165.22000000000003,216.75,206.99,,,,,,,,,,,,,,,,,,,,362.9,,,,L8
2024-05-09 22:16:51+00:00,,,,,,,274.01599999999996,,,,,,,,,,,,,,,,,,,,,,,,,,362.9,,,,L8
2024-11-25 22:17:51+00:00,,,,,,,245.76,327.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2024-12-03 22:17:45+00:00,,,,,,,239.945,327.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2025-03-01 22:17:39+00:00,,,,,,,226.76,327.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
2025-03-25 22:17:16+00:00,,,,,,,226.76,327.0233333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2025-07-23 22:17:27+00:00,,,,,,280.93,200.39,325.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L9
