dates,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034,satname
2005-09-10 22:08:55.708,354.4333333333334,357.06333333333333,361.43,364.93333333333334,373.42,375.6933333333333,379.15000000000003,387.2133333333333,388.90333333333336,387.49666666666667,392.67333333333335,392.42333333333335,390.6266666666667,389.2166666666667,394.3833333333334,387.58,376.815,393.1766666666667,391.9433333333333,390.67333333333335,389.1066666666666,384.1766666666667,380.8633333333334,378.71000000000004,376.5533333333333,370.62999999999994,365.83,374.0533333333333,378.27666666666664,376.29333333333335,365.25666666666666,369.935,396.26,392.59,394.24333333333334,L5
2005-11-13 22:09:08.414,349.97,353.6375,357.7075,361.0825,369.5525,373.40500000000003,378.2625,385.5225,387.6075,390.985,395.66499999999996,391.9375,390.4375,388.6725,392.24,385.8375,378.73,389.93,389.8675,387.1425,386.52,381.04,378.0575,376.21500000000003,373.3825,368.56,364.245,371.73,374.3725,371.99,361.515,366.8933333333334,378.4925,392.59,394.24333333333334,L5
2006-02-17 22:11:22.491,349.51000000000005,357.3333333333333,359.34999999999997,362.96666666666664,370.01,374.8833333333334,380.26666666666665,380.425,381.4825,384.14250000000004,390.7875,387.52000000000004,387.65999999999997,386.1025,385.8775,381.245,370.3533333333333,385.7875,385.2875,384.865,382.98,377.795,374.025,372.25,368.85249999999996,366.0125,362.7525,367.7625,368.6275,365.855,351.14,365.33000000000004,370.6975,384.27666666666664,384.81,L5
2006-03-14 22:05:42.635,341.235,350.025,353.43,356.05999999999995,365.64,369.68,377.765,373.06333333333333,375.8866666666666,382.74666666666667,387.85999999999996,384.1000000000001,383.08666666666664,381.94,378.1499999999999,374.43333333333334,373.73333333333335,377.78000000000003,380.6666666666667,376.3833333333334,376.85666666666674,370.3433333333333,366.1033333333333,366.29333333333335,360.08,356.0333333333333,354.49,360.69666666666666,359.07666666666665,354.2833333333333,339.3566666666666,366.36,353.4166666666667,367.62,368.14,L5
2006-04-15 22:06:18.610,344.08,351.43333333333334,355.91,357.95,365.9633333333333,371.1033333333333,378.9066666666667,375.3575,378.79499999999996,382.895,388.865,386.63750000000005,385.0525,383.43,379.91249999999997,375.5175,376.1775,379.4125,382.2925,378.34749999999997,379.3525,372.975,369.505,369.525,362.065,358.685,357.4325,362.95,362.31,356.96500000000003,343.7675,368.70666666666665,359.1975,373.9766666666667,372.51,L5
2006-04-22 22:12:36.093,348.395,357.1875,361.3225,364.175,372.18,374.55,383.3275,381.48400000000004,384.38,388.08399999999995,393.084,392.66,390.73400000000004,389.838,387.54799999999994,383.68600000000004,376.1775,386.362,387.502,383.206,384.51,377.65,374.696,375.62399999999997,368.02799999999996,364.544,363.8,368.768,367.874,362.5,351.094,374.05,369.256,383.23,383.5725,L5
2006-06-25 22:13:31.961,352.3333333333333,361.7966666666666,366.25,369.0566666666667,376.92333333333335,377.22,385.90333333333336,374.36,384.545,377.64399999999995,390.19500000000005,393.20500000000004,383.608,381.04,375.582,374.22,364.6625,378.76599999999996,380.936,374.668,375.584,370.256,367.312,369.036,362.144,356.23799999999994,351.71799999999996,369.77,369.1775,363.355,351.295,378.46333333333337,380.2725,383.23,383.5725,L5
2006-07-27 22:13:58.731,352.3333333333333,361.7966666666666,366.25,369.0566666666667,376.92333333333335,377.22,385.90333333333336,367.3883333333333,384.545,371.09999999999997,390.19500000000005,393.20500000000004,376.25,374.71000000000004,368.92333333333335,367.465,360.32800000000003,374.04,375.1766666666667,366.33666666666664,369.4666666666667,365.3066666666667,361.60666666666674,364.1166666666666,357.4166666666667,349.3383333333333,340.5233333333333,369.77,369.1775,363.355,351.295,378.46333333333337,380.2725,383.23,383.5725,L5
2006-08-05 22:07:55.109,352.3333333333333,361.7966666666666,366.25,369.0566666666667,376.92333333333335,377.22,385.90333333333336,364.0042857142857,384.545,366.72428571428566,390.19500000000005,393.20500000000004,371.5314285714286,371.3885714285715,364.4242857142857,363.4414285714286,357.43833333333333,370.9171428571429,371.5585714285714,362.64428571428573,365.0142857142857,362.67571428571426,358.5842857142857,361.39,354.8257142857143,345.6042857142857,334.8,369.77,369.1775,363.355,351.295,378.46333333333337,380.2725,383.23,375.432,L5
2006-08-28 22:14:23.601,352.135,361.56999999999994,364.3825,367.1875,374.53,376.83000000000004,385.38,365.05999999999995,392.235,369.43142857142857,396.0225,399.1475,374.1471428571429,372.9885714285714,365.19833333333327,364.545,358.57800000000003,373.65285714285716,374.5257142857143,364.66857142857145,367.55428571428564,364.9871428571428,361.13571428571424,363.62,357.6642857142857,347.2757142857143,336.6385714285714,374.84000000000003,375.7475,371.67999999999995,362.09499999999997,377.025,387.76,390.2975,380.37800000000004,L5
2006-09-13 22:14:35.259,354.21666666666664,363.19666666666666,365.7366666666667,368.72,374.93,378.1666666666667,376.9175,359.75666666666666,385.06499999999994,364.98857142857145,387.5475,390.885,369.6542857142857,368.0271428571428,359.30333333333334,359.5333333333333,351.956,369.5028571428571,369.77142857142854,359.9057142857143,362.31857142857143,361.38,358.2242857142857,361.00142857142856,355.6157142857142,345.25999999999993,333.13142857142856,368.13250000000005,370.095,366.28249999999997,355.865,370.3375,382.35,382.8675,373.354,L5
2006-10-08 22:08:40.914,348.28,355.68,357.88750000000005,361.40500000000003,368.0875,372.66749999999996,373.908,361.1714285714285,382.554,366.2075,386.202,389.062,369.5625,364.52125,359.30333333333334,359.5333333333333,351.956,369.70875,370.22125,361.9125,363.33375,362.41125,359.19375,361.6275,356.44499999999994,346.8125,335.9925,365.882,367.204,363.3179999999999,352.844,367.558,380.356,377.61,373.354,L5
2006-11-25 22:09:07.763,325.6433333333334,338.59999999999997,340.65000000000003,350.52,357.4549999999999,365.91499999999996,363.92,347.99399999999997,368.14750000000004,357.51714285714286,375.43,376.92749999999995,361.03285714285715,354.17571428571426,342.226,345.806,350.326,361.8314285714286,362.98,351.40333333333336,352.4483333333333,353.67833333333334,349.73,353.32428571428574,350.5157142857143,339.8228571428571,327.2471428571429,357.0475,357.34749999999997,352.5425,340.0925,353.9,365.6975,357.0725,356.25333333333333,L5
2007-01-03 22:15:37.058,331.9475,342.85,345.1675,356.43,361.03999999999996,370.45,369.56,358.6,374.06600000000003,363.8957142857143,380.01800000000003,381.43399999999997,365.65999999999997,359.83857142857147,357.004,359.302,362.688,370.14428571428573,369.7014285714286,363.00666666666666,362.3966666666667,363.16166666666663,359.14000000000004,360.99857142857144,356.96428571428567,347.14571428571423,337.6542857142857,360.846,361.09399999999994,357.284,345.464,358.342,359.53200000000004,352.28000000000003,351.5625,L5
2007-09-09 22:07:45.163,350.23,358.53,359.37,363.32,374.44,377.26,384.78,392.88,393.09,397.13,400.6,401.05,395.59,392.72,394.41,389.24,385.71,389.13,391.89,388.64,388.65,381.6,381.41,379.62,378.1,372.3,369.26,369.64,370.15,369.85,361.62,383.19,388.38,386.35,380.92,L5
2008-11-14 21:57:52.281,359.47,364.11,364.02,372.74,374.51,378.13,378.38,386.35,388.81,391.16,399.11,404.08,400.97,402.99,399.5,393.84,395.8,399.31,394.74,388.99,392.67,385.68,384.64,383.5,381.78,380.7,376.72,377.75,372.84,366.04,358.67,372.45,385.35,383.98,384.58,L5
2008-12-23 22:05:16.170,355.545,361.24,364.37,370.46500000000003,375.79499999999996,377.85,380.615,388.74,388.87,392.415,399.45500000000004,401.42499999999995,399.66,399.945,396.79499999999996,397.245,391.42,396.08000000000004,393.37,388.315,388.15999999999997,381.425,381.17499999999995,379.5,379.26,377.095,373.56500000000005,375.84000000000003,370.125,365.495,357.57000000000005,372.235,384.165,384.72,385.32,L5
2009-01-17 21:59:44.398,355.545,361.24,364.37,370.46500000000003,375.79499999999996,377.85,380.615,388.74,380.8666666666666,383.79,389.62000000000006,393.8033333333333,392.56666666666666,392.4433333333333,389.27,387.9866666666667,384.4466666666667,388.74,388.25666666666666,382.5233333333333,382.2866666666667,373.35666666666674,372.92,372.3533333333333,371.1233333333333,369.75,367.0133333333333,367.80333333333334,363.68333333333334,359.1033333333333,351.3766666666667,364.26666666666665,375.96333333333337,378.6933333333333,378.32666666666665,L5
2010-02-05 22:05:29.575,347.68,353.8,360.18,366.35,373.76,373.69,377.48,383.73,381.51,386.38,392.48,393.49,391.4,389.81,388.26,383.44,386.08,390.01,389.6,386.04,383.39,373.2,371.23,371.57,370.33,365.52,366.63,368.6,366.7,361.74,355.46,367.39,375.12,382.18,380.68,L5
2010-10-26 22:10:38.745,,335.88,338.06,340.58,346.25,347.49,353.76,355.44,356.91,358.86,364.85,375.35,367.14,369.4,367.56,364.85,367.62,369.17,364.18,362.63,361.5,357.83,355.51,355.37,354.18,351.72,348.71,355.96,350.96,334.11,326.73,341.36,349.54,353.55,355.63,L5
2010-12-22 22:04:29.137,347.66,349.45,350.155,355.435,360.235,361.655,367.67499999999995,371.8,374.31,375.315,380.55,385.895,381.07,381.935,380.115,379.21500000000003,379.9,383.71500000000003,380.37,375.89,373.89,368.225,368.17499999999995,367.155,367.08000000000004,362.895,360.4,366.455,360.28999999999996,350.95500000000004,343.90999999999997,357.265,367.405,369.46000000000004,372.255,L5
2011-03-12 22:04:31.079,349.545,354.07,353.6333333333334,360.19,364.05333333333334,365.83,370.82,375.67,377.9266666666667,378.78,384.4533333333334,387.68,384.5,384.49333333333334,382.83,381.03000000000003,381.56333333333333,386.77,383.42,378.3966666666667,376.3033333333333,370.58666666666664,371.14000000000004,369.65333333333336,371.98333333333335,366.25,363.8633333333333,368.82666666666665,364.1433333333334,355.4666666666667,348.59,362.0133333333333,371.4666666666667,374.45,375.77666666666664,L5
2013-05-11 22:22:42.945,,372.3,374.02,375.97,380.67,381.71,380.19,381.33,374.9,370.51,372.21,374.42,370.82,367.71,364.21,363.84,366.57,368.93,370.3,362.82,362.94,353.68,352.89,349.96,349.67,347.38,346.1,348.89,350.54,347.9,341.12,348.76,366.59,373.96,371.85,L8
2013-06-05 22:16:38.960,,372.3,374.02,375.97,380.67,381.71,380.19,381.33,374.9,370.51,372.21,374.42,351.78499999999997,351.475,344.09000000000003,342.67499999999995,342.075,349.82500000000005,358.555,362.82,343.375,335.78,335.775,338.855,338.065,332.225,323.16,348.89,331.70500000000004,347.9,341.12,348.76,366.59,373.96,371.85,L8
2013-06-28 22:22:44.910,,372.3,374.02,375.97,380.67,381.71,380.19,381.33,374.9,370.51,372.21,374.42,351.78499999999997,351.475,344.09000000000003,342.67499999999995,342.075,349.82500000000005,352.01666666666665,362.82,329.34999999999997,322.22333333333336,326.4066666666667,330.20666666666665,330.93333333333334,319.08666666666664,308.52000000000004,348.89,331.70500000000004,347.9,341.12,348.76,366.59,373.96,371.85,L8
2013-07-07 22:16:35.929,,372.3,374.02,375.97,380.67,381.71,362.555,358.08,374.9,370.51,372.21,359.975,349.4866666666667,349.06666666666666,340.2866666666667,339.61999999999995,340.06666666666666,347.46333333333337,352.01666666666665,362.82,329.34999999999997,322.22333333333336,325.26750000000004,329.8075,329.96500000000003,319.0175,306.96250000000003,348.89,328.08666666666664,332.69,328.975,348.76,366.59,354.9,371.85,L8
2013-09-25 22:16:28.938,,368.12,368.475,370.81500000000005,374.83500000000004,376.46500000000003,365.5833333333333,363.48333333333335,373.67499999999995,369.27,373.435,365.02666666666664,355.295,353.9525,347.9475,347.11249999999995,347.96,353.625,357.11,365.34000000000003,329.34999999999997,322.22333333333336,330.986,334.166,334.056,325.13199999999995,315.17600000000004,349.505,334.3225,337.29,332.1166666666666,346.955,361.05499999999995,356.47666666666663,364.44,L8
2013-10-02 22:22:40.460,349.7,364.83,364.83666666666664,368.18,371.96333333333337,373.67333333333335,366.40999999999997,365.4,372.2966666666666,367.5333333333333,372.07,365.895,357.47200000000004,355.76,351.264,350.59,351.28000000000003,356.42400000000004,359.122,364.49333333333334,329.34999999999997,322.22333333333336,333.93833333333333,335.81166666666667,335.9533333333333,328.66833333333335,319.96,348.5133333333333,337.076,338.6775,332.4325,345.0533333333333,356.9266666666667,356.3725,360.7633333333333,L8
2013-10-18 22:22:37.411,349.7,364.83,364.83666666666664,368.18,371.96333333333337,373.67333333333335,359.83000000000004,365.4,365.2325,360.91499999999996,365.2425,361.26,354.0783333333334,350.6033333333333,347.22499999999997,346.4583333333333,351.28000000000003,356.42400000000004,359.122,364.49333333333334,329.34999999999997,322.22333333333336,333.93833333333333,335.81166666666667,332.2742857142857,327.9185714285714,320.4842857142857,342.91999999999996,335.075,333.128,326.392,345.0533333333333,356.9266666666667,356.3725,360.7633333333333,L8
