dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0044,nzd0506-0045,nzd0506-0046,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043
2011-02-08 22:04:35.159000,L5,243.80,258.11,271.14,276.00,278.17,276.03,274.13,270.39,275.30,265.39,,,,,,,273.11,280.51,285.92,291.40,285.84,284.77,299.84,287.81,285.65,281.98,283.23,,,,284.89,279.31,289.49,304.97,309.51,315.76,314.85,315.42,316.68,,,,,,,,
2011-03-12 22:04:31.079000,L5,258.07,275.50,283.76,282.65,283.66,285.46,282.58,286.03,286.04,291.64,288.07,291.27,289.35,288.50,290.57,283.38,288.29,294.63,298.59,299.44,302.15,303.46,304.79,306.91,305.07,300.78,299.62,300.22,298.12,312.33,306.70,309.94,311.16,310.68,316.99,323.62,324.10,322.66,321.86,319.17,320.63,319.84,317.16,314.59,315.40,314.24,311.74
2013-07-07 22:16:35.929000,L8,219.79,235.24,279.30,317.11,319.11,324.50,325.77,325.91,322.92,321.05,319.89,312.58,314.63,310.06,312.56,313.32,318.24,320.56,323.49,320.16,320.50,327.37,342.45,349.53,348.95,344.85,344.01,116.74,140.35,149.36,341.10,335.68,336.31,333.55,340.62,357.82,360.89,356.36,352.77,347.97,349.09,351.74,346.83,337.98,343.84,354.28,61.17
2013-07-23 22:16:34.633000,L8,,,273.49,274.34,273.75,270.27,274.49,276.96,278.38,280.65,282.16,279.26,279.02,284.41,291.10,303.62,302.52,318.89,306.82,310.92,306.67,309.32,311.38,312.35,299.23,300.94,301.32,292.33,293.07,298.24,316.01,321.99,327.34,330.72,358.66,376.20,386.23,,374.24,355.44,353.88,345.17,359.29,334.44,333.96,320.80,301.88
2013-09-25 22:16:28.938000,L8,248.37,295.90,305.20,299.45,297.83,295.60,285.84,276.14,285.39,296.63,298.92,302.18,294.50,284.97,288.62,287.30,296.84,299.65,301.70,309.23,301.39,309.20,305.88,310.30,304.83,300.65,307.77,321.77,303.93,312.80,309.80,318.92,317.89,311.85,316.93,321.57,324.90,327.77,324.27,324.38,322.00,322.37,320.85,313.69,319.73,322.65,322.24
2013-10-11 22:16:29.291000,L8,251.63,294.31,304.06,298.42,296.49,295.83,298.12,294.61,294.99,298.08,289.31,294.33,288.28,295.21,293.18,289.20,297.76,298.52,301.85,289.43,299.09,297.47,303.60,314.63,320.27,307.67,316.26,307.32,305.05,307.61,314.04,315.75,309.75,316.61,321.97,318.17,317.47,316.17,322.67,316.44,318.87,319.45,314.21,308.79,313.33,321.53,311.23
2013-10-27 22:16:19.549000,L8,240.57,258.77,267.08,267.94,267.93,267.00,265.56,268.01,268.02,274.17,271.98,269.64,269.17,,,,,,,,,275.70,277.64,277.75,274.03,271.41,271.09,285.44,279.96,294.15,276.06,283.55,286.76,285.80,288.37,294.61,297.31,296.50,300.91,300.48,302.41,307.31,304.92,293.85,298.66,297.29,290.18
2013-11-19 22:22:25.407000,L8,243.49,256.80,272.91,280.22,276.77,273.25,268.54,270.04,270.47,277.74,272.52,272.92,278.60,292.11,280.49,272.81,274.17,275.87,279.23,277.30,279.58,281.73,291.57,288.41,281.68,277.93,282.48,,,,284.56,284.08,289.91,289.51,290.88,299.77,,,,,,,,,,,
2013-12-30 22:16:01.055000,L8,249.07,267.64,273.98,271.44,271.84,274.06,273.41,271.46,273.72,278.73,280.31,277.60,274.71,277.69,276.92,271.63,274.34,278.57,279.77,280.48,278.40,283.73,285.61,280.30,287.83,281.58,286.18,290.88,286.61,298.10,286.17,293.86,293.64,293.08,298.23,303.27,306.01,306.35,308.19,308.77,308.36,309.26,307.40,303.72,302.90,304.05,298.40
2014-02-23 22:21:32.043000,L8,,257.12,266.16,267.24,265.16,267.01,264.23,264.56,269.44,272.22,271.96,268.86,,,,,,270.08,272.61,272.77,272.98,275.86,278.94,282.40,278.67,275.40,275.10,284.38,280.50,293.79,277.03,283.77,285.45,286.17,287.20,293.31,295.88,300.11,301.62,303.79,303.64,305.30,300.28,298.70,297.54,299.65,290.77
