dates,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0018,nzd0506-0046
2018-04-16 22:13:54+00:00,238.57,252.95,263.085,261.155,263.145,262.075,263.145,263.69666666666666,259.95666666666665,250.4,252.71666666666667,248.03333333333333,248.70000000000002,248.10999999999999,251.17333333333332,249.59666666666666,251.02999999999997,258.42333333333335,263.68666666666667,265.63,266.78000000000003,266.3766666666667,273.0566666666667,277.4266666666667,271.6566666666667,271.6066666666666,277.25666666666666,276.7366666666667,278.28000000000003,281.9066666666667,284.33666666666664,291.06333333333333,290.31666666666666,289.04333333333335,290.0833333333333,293.09666666666664,295.95666666666665,300.4266666666667,301.84666666666664,301.5933333333333,302.45,300.43333333333334,295.23333333333335,290.97666666666663,279.12333333333333,262.46666666666664,290.66333333333336
2018-05-02 22:13:45+00:00,238.57,252.95,263.085,253.06000000000003,252.98666666666665,262.075,255.13666666666668,257.2675,259.95666666666665,250.4,245.5075,241.165,241.7625,239.5275,251.17333333333332,249.59666666666666,251.02999999999997,248.8,263.68666666666667,265.63,266.78000000000003,266.3766666666667,273.0566666666667,277.4266666666667,271.6566666666667,271.6066666666666,277.25666666666666,276.7366666666667,271.84000000000003,277.0525,279.3925,287.3875,286.4425,283.3025,283.3625,287.35749999999996,289.4825,295.40999999999997,294.515,297.115,296.2475,294.135,295.23333333333335,290.97666666666663,279.12333333333333,262.46666666666664,290.66333333333336
2018-05-18 22:13:34+00:00,238.57,252.95,263.085,246.26,248.625,262.075,251.335,253.01399999999998,259.95666666666665,250.4,242.842,238.142,237.788,239.5275,251.17333333333332,249.59666666666666,251.02999999999997,235.35399999999998,258.46,265.63,263.535,262.26,273.0566666666667,277.4266666666667,271.6566666666667,271.6066666666666,277.25666666666666,276.7366666666667,271.84000000000003,275.81800000000004,278.102,287.3875,283.336,283.3025,283.3625,287.35749999999996,289.4825,295.40999999999997,288.066,292.298,296.2475,294.135,295.23333333333335,290.97666666666663,279.12333333333333,262.46666666666664,290.66333333333336
2018-07-21 22:13:49+00:00,238.57,252.95,262.27,257.79200000000003,259.318,274.88,251.335,259.942,275.36,249.90500000000003,241.02,249.55600000000004,235.05,251.6775,264.8666666666667,249.515,266.3433333333333,242.98000000000002,256.19,265.365,263.00000000000006,260.68666666666667,272.21500000000003,290.17333333333335,270.45500000000004,271.79999999999995,277.275,274.86,268.96333333333337,274.21000000000004,276.545,287.1066666666666,281.48,292.72249999999997,280.66333333333336,284.5566666666666,286.65000000000003,293.54999999999995,295.45799999999997,289.615,306.85249999999996,304.96750000000003,307.2133333333333,304.96999999999997,278.225,273.94,303.82666666666665
2019-01-13 22:14:27+00:00,,,260.64,303.92,302.09,300.49,,296.45,303.14,,,304.48,,295.53,292.47,,295.87,299.19,,,,,,304.815,279.96,273.47,279.21,281.12,281.1,283.18,286.84,290.41,292.09,310.865,290.81,296.39,297.26,303.95,323.46500000000003,305.16,325.78,325.21500000000003,317.155,315.995,285.33,297.24,331.0
2019-02-05 22:20:33+00:00,238.09,259.45,267.36,264.21,271.11,265.75,264.24,268.13,266.33,260.71,263.91,264.54,260.88,265.92,261.31,253.44,259.9,264.4,264.93,268.84,268.81,274.02,275.05,282.135,276.38,271.42,277.46,277.735,277.37,281.20500000000004,285.08,289.22,289.79999999999995,291.425,289.695,294.755,296.03499999999997,302.91499999999996,303.53999999999996,303.385,305.46,304.81,301.63,297.87,284.025,265.12,
2019-02-21 22:20:30+00:00,233.275,257.52000000000004,264.65,262.47,266.69,263.48,262.46000000000004,268.13,269.11,253.43,256.41499999999996,252.775,247.485,248.76500000000001,248.61,250.53,254.91499999999996,276.23999999999995,262.93499999999995,265.41999999999996,266.53,270.27,271.91499999999996,279.31,273.13,270.50333333333333,276.25666666666666,275.39000000000004,277.37,281.20500000000004,285.08,289.22,289.79999999999995,291.425,289.695,294.755,291.6166666666666,300.6066666666666,308.19666666666666,299.90333333333336,303.11999999999995,302.4866666666667,298.54,295.16333333333336,281.93,263.40999999999997,287.77
2019-06-22 22:14:28+00:00,233.275,257.52000000000004,264.65,262.62333333333333,266.13666666666666,264.9533333333333,262.4266666666667,265.4,267.06333333333333,256.0566666666667,258.56333333333333,257.2366666666667,252.32333333333335,253.7966666666667,255.81333333333336,249.59333333333333,253.30666666666664,271.44666666666666,263.26666666666665,265.8433333333333,271.25,272.47666666666663,274.5333333333333,281.935,273.2075,270.18,277.4525,276.11,286.45,287.1333333333334,293.19666666666666,299.0466666666667,293.1933333333333,297.05,296.2,303.74666666666667,299.945,307.89,312.625,306.225,309.9225,307.4675,301.115,297.9225,285.4175,261.7633333333333,298.35
2019-09-10 22:14:51+00:00,271.7,257.91,267.47,264.245,266.29499999999996,267.91999999999996,261.375,261.08500000000004,265.41,256.25,260.53999999999996,258.22,255.43,256.21000000000004,263.14,249.995,251.54499999999996,258.315,263.025,265.435,275.45500000000004,273.905,278.35,281.95,274.07,271.315,280.25,281.125,307.78,308.95000000000005,315.18,318.7,299.98,308.3,309.21,312.305,317.22,321.405,319.08500000000004,318.865,322.08,316.265,306.955,303.095,291.225,257.645,303.83500000000004
2019-12-22 22:21:03+00:00,257.05,258.97,267.425,265.57,266.58500000000004,267.71500000000003,261.91499999999996,260.84000000000003,264.435,249.43,260.19499999999994,249.14,250.41000000000003,249.655,256.91499999999996,252.2,256.66999999999996,254.77,262.12,264.18,270.22,270.92,276.93,274.09,274.7,273.42,279.46,283.98,310.95,318.91,320.93,,,,,302.88,309.51,313.07,312.26,312.54,313.83,310.12,305.07,299.99,286.57,256.82,298.74
2020-03-11 22:20:40+00:00,252.39000000000001,268.43,275.975,265.58,277.515,267.49,274.12,275.95500000000004,261.02,247.67,262.17,263.94,266.595,250.75,257.77,252.13,260.34,,,,,,,,,,,,339.35,344.53,344.02,350.76,,,,,,353.56,358.46,348.48,,,,336.18,,,
2020-06-08 22:14:11+00:00,252.39000000000001,268.43,275.975,263.9,271.96000000000004,263.805,270.0133333333333,270.2033333333333,262.83,253.775,259.4749999999999,258.99333333333334,261.16,251.375,258.02,249.675,254.18499999999995,252.56,265.05,266.03,275.92,273.02,277.08,280.29,275.75,270.39,278.07,286.22,315.42,319.085,321.08,330.985,299.66,307.98,305.91,309.82,314.51,336.61,339.245,333.24,315.43,312.06,304.04,317.65999999999997,285.99,260.88,292.16
2020-07-10 22:14:27+00:00,262.38,276.83,284.57,262.505,270.3066666666667,260.17,269.03999999999996,268.86,263.9,259.15,258.05499999999995,258.6066666666666,260.62666666666667,251.43,258.24,247.135,247.09999999999997,251.90499999999997,264.42499999999995,265.65,274.63,270.56,277.08,280.29,275.75,270.39,278.07,293.395,306.02000000000004,313.52,313.77,327.3066666666667,308.015,310.065,311.71500000000003,314.885,319.645,334.3,335.55,330.59666666666664,318.595,316.315,305.37,313.34,287.06,260.61,294.78
2020-07-26 22:14:32+00:00,262.38,276.83,268.975,262.4533333333334,268.0125,259.5266666666667,266.485,265.775,262.9866666666667,258.65000000000003,259.4099999999999,255.87,257.745,249.88333333333333,257.43333333333334,246.10333333333332,246.7933333333333,251.35666666666665,263.6133333333333,265.30333333333334,273.34,269.55,277.08,280.29,275.75,270.39,278.265,290.29,301.2325,308.1775,309.73249999999996,323.43,304.6466666666667,309.42,309.73333333333335,312.0333333333333,317.5133333333333,329.735,331.7625,328.05,317.95666666666665,315.29333333333335,305.05,309.9275,287.2033333333333,259.49666666666667,294.91333333333336
2020-08-27 22:14:44+00:00,262.38,264.415,266.88,262.425,266.764,263.39750000000004,264.906,263.832,261.435,258.9375,259.18249999999995,254.68800000000002,256.162,249.785,256.9525,247.95,248.15249999999997,251.635,263.885,266.7925,275.155,272.0725,280.06,277.185,277.05,271.365,280.06,288.53,298.052,304.752,307.098,319.576,302.7925,308.2175,308.44,309.65749999999997,316.1875,326.296,328.57399999999996,324.79200000000003,316.1675,314.3975,305.0975,307.87199999999996,287.675,259.5225,295.6875
