dates,satname,nzd0043-0000,nzd0043-0001,nzd0043-0002,nzd0043-0003,nzd0043-0004,nzd0043-0005,nzd0043-0006,nzd0043-0007,nzd0043-0008,nzd0043-0009,nzd0043-0010,nzd0043-0011,nzd0043-0012,nzd0043-0013
2016-05-03 22:17:13.318000,L8,367.62,351.36,350.46,365.50,345.41,342.57,347.14,336.86,345.00,346.00,343.88,266.13,301.94,325.83
2016-05-12 22:10:56.720000,L8,,,,,,,,,,,,268.93,264.43,309.00
2016-05-19 22:17:11.230000,L8,,,,,,,,,257.72,311.24,308.50,248.37,267.76,325.22
2016-05-28 22:11:03.859000,L8,,322.21,316.00,301.95,301.18,308.23,283.75,,,,,267.87,263.98,308.55
2016-06-13 22:11:06.720000,L8,305.10,,,,,,,,,,,256.58,259.79,300.72
2016-06-29 22:11:15.136000,L8,,,,,,,,,,310.52,324.37,271.13,267.82,316.92
2016-08-07 22:17:37.552000,L8,278.58,277.66,326.62,306.37,327.25,306.19,300.28,301.88,,,,,,
2016-08-16 22:11:29.744000,L8,326.21,322.20,310.91,305.43,306.09,313.58,303.58,301.18,292.01,324.54,309.16,266.28,260.20,299.42
2016-10-10 22:17:54.274000,L8,354.64,342.38,343.00,351.26,341.02,338.40,342.55,336.40,335.22,340.83,337.69,242.89,266.46,326.27
2016-10-26 22:17:56.874000,L8,343.97,331.61,332.06,314.46,334.37,331.50,334.52,329.24,324.58,331.69,294.63,,257.66,303.80
2016-11-20 22:11:45.458000,L8,327.66,271.23,262.46,,,,,,,,,254.89,254.76,291.67
2017-01-30 22:17:38.957000,L8,292.67,279.64,283.99,,,,,,,,,,,
2017-02-24 22:11:18.074000,L8,328.86,279.61,,,,,,,,,,255.98,255.47,291.17
2017-03-03 22:17:25.727000,L8,288.40,270.90,282.88,,,,,,,,,,,
2017-03-19 22:17:15.956000,L8,285.97,275.31,280.31,,,,,,,,,,,
2017-03-28 22:11:00.765000,L8,327.52,272.99,266.58,,,,,,,,301.95,260.54,257.65,299.98
2017-04-13 22:10:53.080000,L8,320.79,271.96,264.39,,,,,,,,,263.66,259.31,304.94
2017-04-20 22:16:59.468000,L8,285.26,276.98,274.56,,,,,,,,,,,
2017-04-29 22:10:42.581000,L8,327.79,271.12,265.93,,,,,,,,,256.22,257.97,300.36
2017-05-06 22:16:55.401000,L8,360.39,346.96,350.58,360.29,348.76,345.90,349.14,345.38,340.60,345.75,347.77,300.48,295.48,321.87
2017-06-07 22:17:15.240000,L8,338.70,329.70,,,,,,,,,,,,
2017-06-16 22:11:07.889000,L8,,,,,,,,,,,,259.38,260.41,308.76
2017-08-10 22:17:37.375000,L8,280.40,277.67,316.90,305.50,319.56,307.39,284.63,,,,,,,
2017-09-11 22:17:42.311000,L8,340.56,276.44,320.96,305.71,325.14,321.30,321.06,275.07,,,,,,
2017-09-27 22:17:48.664000,L8,,,267.84,315.82,332.83,330.75,333.65,327.78,325.63,331.89,301.47,,264.05,304.63
2017-11-30 22:17:44.511000,L8,349.24,338.88,333.42,313.38,332.71,325.52,332.05,327.65,323.67,327.03,294.46,,262.15,300.58
2018-01-10 22:11:30.163000,L8,351.98,341.20,332.87,337.76,329.70,327.47,336.93,331.75,333.46,341.47,344.87,303.12,282.55,319.52
2018-02-27 22:11:07.813000,L8,319.45,265.34,,,,,,,,310.86,302.85,267.84,264.28,303.97
2018-05-02 22:10:33.919000,L8,314.61,273.70,265.76,,,,,,,,,,,
2018-05-09 22:16:40.331000,L8,280.57,275.52,,,,,,,,,,,,
2018-05-25 22:16:28.178000,L8,,322.54,330.16,306.09,330.98,312.17,,,,,,,,
2018-06-03 22:10:11.794000,L8,328.58,273.46,298.13,291.59,301.50,306.83,280.01,,,,,,,
2018-06-26 22:16:36.823000,L8,,,309.33,308.99,329.28,313.03,,,,,,,,
2018-07-28 22:16:51.607000,L8,,345.72,351.69,359.49,347.96,346.03,350.75,346.82,342.81,346.22,344.81,290.26,293.37,370.92
2018-08-06 22:10:46.333000,L8,349.96,351.63,334.67,343.83,336.22,331.25,343.24,339.45,343.36,345.19,351.89,327.43,283.43,332.65
2018-09-07 22:11:00.442000,L8,334.26,323.38,314.43,310.06,313.99,306.24,323.25,292.50,287.67,324.24,306.07,257.58,262.27,296.22
2018-10-09 22:11:13.339000,L8,333.11,317.23,306.73,305.20,310.78,311.14,307.28,295.12,,,,260.46,261.60,292.76
2018-11-01 22:17:30.804000,L8,287.16,270.74,275.06,,,,,,,,,,,
2018-12-12 22:11:17.117000,L8,323.65,274.18,273.92,285.74,,,,,,,,255.53,261.73,295.05
2018-12-19 22:17:28.292000,L8,285.91,275.90,277.94,,,,,,,,,,,
2019-01-04 22:17:27.803000,L8,285.42,276.68,277.87,,,,,,,,,,,
2019-02-05 22:17:21.574000,L8,376.29,365.61,365.01,363.21,349.52,348.72,357.14,356.30,360.75,357.52,364.84,352.67,363.31,
2019-02-14 22:11:09.519000,L8,332.14,293.81,275.52,,,,,,,,,,264.39,293.42
2019-03-02 22:11:05.349000,L8,338.58,309.52,293.75,289.46,284.34,296.13,304.49,,,297.31,303.07,299.47,274.20,301.93
2019-03-25 22:17:09.739000,L8,283.50,277.64,,,,,,,,,,,,
2019-04-26 22:16:59.330000,L8,283.59,279.04,281.56,310.25,326.85,307.20,299.75,257.95,306.21,321.95,293.72,,,
2019-05-28 22:17:17.913000,L8,,,,284.12,319.90,306.64,294.27,,,,,,,
2019-06-06 22:11:11.322000,L8,326.43,,,,,,,,,,,,,
