dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2003-07-21 21:42:33+00:00,344.98199999999997,333.18,336.23499999999996,314.5866666666667,316.40857142857146,328.55444444444447,326.51714285714286,327.4028571428571,332.2885714285714,331.1325,304.38333333333327,202.238,333.885,307.89666666666665,L5
2003-08-15 21:36:48+00:00,342.94666666666666,332.95,336.48857142857145,309.69,317.22875,325.06333333333333,326.36875,327.72625,332.6975,326.58624999999995,297.2333333333333,197.04833333333332,334.26,304.5,L5
2003-10-18 21:37:48+00:00,344.0725,338.03499999999997,339.03,315.15500000000003,324.538,332.88,334.758,333.65999999999997,337.706,331.854,287.5525,177.56666666666663,334.26,307.5575,L5
2003-10-25 21:44:04+00:00,342.726,337.346,341.02799999999996,312.9633333333333,322.38800000000003,330.2966666666667,334.53666666666663,332.5516666666667,337.24,331.30833333333334,283.278,177.56666666666663,334.26,306.03200000000004,L5
2003-11-19 21:38:14+00:00,339.5175,337.992,339.336,307.79,323.212,326.54800000000006,328.794,327.934,333.712,325.526,285.212,172.62499999999994,,302.17333333333335,L5
2004-02-14 21:44:57+00:00,341.76666666666665,340.0733333333333,340.71000000000004,305.69,319.79999999999995,325.08333333333337,328.04333333333335,324.7966666666666,331.36,324.29,279.73999999999995,,,298.45500000000004,L5
2004-03-01 21:45:02+00:00,340.15749999999997,338.245,339.3125,304.216,318.246,324.7475,327.765,324.67999999999995,330.7025,323.5175,284.35,,,300.31,L5
2004-03-17 21:45:08+00:00,339.428,338.48,339.528,304.835,318.53999999999996,324.224,326.55600000000004,324.66999999999996,329.214,323.486,282.712,,,300.31,L5
2004-04-02 21:45:18+00:00,338.14166666666665,336.9816666666667,338.87166666666667,305.13142857142856,318.9485714285714,324.4533333333333,326.825,324.6716666666667,329.6016666666667,323.1333333333333,284.33833333333337,,,297.0775,L5
2004-04-18 21:45:49+00:00,337.40999999999997,334.50500000000005,337.8183333333333,303.8157142857143,317.6685714285714,323.865,326.45,324.35166666666663,330.795,323.935,289.285,,,297.10999999999996,L5
2004-05-20 21:46:44+00:00,335.256,333.414,336.716,301.7133333333333,315.72166666666664,324.95799999999997,326.202,325.962,331.47200000000004,323.886,295.166,,,302.0933333333333,L5
2004-06-30 21:41:46+00:00,335.7233333333333,334.2033333333333,337.2333333333333,300.61857142857144,314.54285714285714,325.42,326.1016666666667,327.56333333333333,332.535,325.81,295.335,174.14,,304.7725,L5
2004-07-07 21:48:09+00:00,335.0442857142857,334.3142857142857,336.5842857142857,300.645,314.35875,325.74857142857144,326.28285714285715,328.95142857142855,333.0514285714286,325.9714285714286,296.8014285714286,174.14,,304.7725,L5
2004-07-23 21:48:33+00:00,335.5925,334.96875,336.57,300.4588888888889,314.22444444444443,325.76,326.15375,328.28625,333.32375,325.34875,295.27750000000003,174.14,,304.7725,L5
