dates,nzd0462-0000,nzd0462-0001,nzd0462-0002,nzd0462-0003,nzd0462-0004,nzd0462-0005,nzd0462-0006,nzd0462-0007,nzd0462-0008,nzd0462-0009,nzd0462-0010,nzd0462-0035,nzd0462-0036,nzd0462-0037,nzd0462-0038,nzd0462-0039,nzd0462-0040,nzd0462-0041,nzd0462-0042,nzd0462-0043,nzd0462-0044,nzd0462-0045,nzd0462-0046,nzd0462-0047,nzd0462-0048,nzd0462-0049,nzd0462-0050,nzd0462-0051,nzd0462-0052,nzd0462-0028,nzd0462-0029,nzd0462-0030,nzd0462-0031,nzd0462-0032,nzd0462-0033,nzd0462-0034,nzd0462-0053,nzd0462-0054,nzd0462-0055,nzd0462-0056,nzd0462-0057,nzd0462-0058,nzd0462-0059,nzd0462-0060,nzd0462-0061,nzd0462-0062,nzd0462-0063,nzd0462-0064,nzd0462-0065,nzd0462-0066,nzd0462-0067,nzd0462-0068,nzd0462-0069,nzd0462-0070,nzd0462-0071,nzd0462-0072,nzd0462-0073,nzd0462-0074,nzd0462-0075,nzd0462-0076,nzd0462-0077,nzd0462-0078,nzd0462-0079,nzd0462-0080,nzd0462-0081,nzd0462-0082,nzd0462-0083,nzd0462-0084,nzd0462-0085,nzd0462-0086,nzd0462-0087,nzd0462-0088,nzd0462-0089,nzd0462-0090,nzd0462-0091,nzd0462-0092,nzd0462-0093,nzd0462-0094,nzd0462-0095,nzd0462-0096,nzd0462-0011,nzd0462-0012,nzd0462-0019,nzd0462-0020,nzd0462-0021,nzd0462-0022,nzd0462-0023,nzd0462-0024,nzd0462-0025,nzd0462-0026,nzd0462-0027,nzd0462-0013,nzd0462-0014,nzd0462-0015,nzd0462-0016,nzd0462-0017,nzd0462-0018,satname
2005-11-06 22:02:22+00:00,,,,,,,,,,,,336.09999999999997,334.54333333333335,334.96,325.90000000000003,341.15333333333336,,340.04,,,,,,,,291.03333333333336,284.23,,,,333.365,325.2,337.91,322.49,320.50666666666666,337.50666666666666,,341.66,340.83,346.63,344.75,355.58500000000004,364.765,365.82500000000005,374.24,363.1666666666667,366.525,356.81333333333333,354.31,344.3733333333333,344.49,346.92,344.16,350.0,344.72,359.55,356.15,,,357.59,353.74,,,,,,,,,,,,,344.86,352.76,,,,,364.29499999999996,,,301.36,326.46,303.54333333333335,320.6566666666667,,,,,,,,,,307.27,324.36,L5
2006-02-10 22:04:39+00:00,,,,,,,,,,,,329.30333333333334,333.93666666666667,335.68333333333334,312.96000000000004,330.32,,337.555,,,322.61,319.19,312.79,,,293.37333333333333,284.23,312.48,319.36,,333.365,325.2,337.91,322.49,316.83666666666664,331.8433333333333,327.58,336.055,340.83,346.63,344.75,343.355,355.485,353.695,374.24,353.97,370.43,352.47333333333336,346.43666666666667,336.06666666666666,339.81333333333333,341.17,342.23,350.0,339.94000000000005,345.275,345.03,351.84,352.17,356.225,353.74,,,,,,,,,,,,,,,332.08,338.65,341.38,333.17,362.64,,,284.0,323.975,299.245,317.88,,,,,,,,,,,324.36,L5
2006-02-26 22:04:59+00:00,,,,,,,,,,,,329.8425,335.21250000000003,335.9,313.38,328.28000000000003,,337.555,,,322.61,322.1,314.375,317.69,,293.4525,284.23,312.48,319.36,,333.365,325.2,337.91,322.49,316.875,331.0875,327.58,336.055,340.83,341.765,342.03,343.76666666666665,350.84,350.76,356.89,350.5475,362.045,351.455,344.505,336.5425,341.195,343.46333333333337,343.52333333333337,345.77,339.0133333333334,345.9466666666667,344.58,352.7,355.725,348.59,346.76,342.15,336.18,,,335.38,356.33,,340.79,340.6,309.1,336.81,329.85,319.0,340.44,335.83,341.32,341.38,340.005,362.64,,,284.0,323.975,299.245,317.88,,,,,,,,,,,324.36,L5
2006-08-21 22:07:43+00:00,,,,,,,,,,,,335.34000000000003,341.375,341.875,319.19,329.675,,,,,,325.01,315.96,317.69,,283.305,,318.52,321.98,341.32,335.82,337.65,326.51,327.18,324.51,333.45,,338.71,333.89,343.89,342.28,344.59,341.55,344.89,339.54,340.28,353.66,348.4,338.71,337.97,345.34,348.05,346.11,341.54,337.16,347.29,343.68,353.56,359.28,333.32,332.8,342.15,336.18,,,335.38,356.33,,340.79,340.6,309.1,336.81,329.85,319.0,340.44,339.58,343.99,,346.84,,,,304.25,310.96,311.65,310.83,,,,,,,,,,,,L5
2006-10-08 22:08:17+00:00,,,,,,,,,,,,339.22,343.71,347.2,325.22,340.72,,352.42,,,,,,,,288.88,,318.52,321.98,339.46000000000004,335.82,337.65,326.51,327.18,332.03,338.08,,338.71,333.89,350.88,347.265,350.23,351.43,348.66,353.58,,,,,,,,,,,,,,371.5,352.25,352.93,,,,,,,,,,,,,,,,,,,,,,311.96000000000004,319.125,324.12,321.91999999999996,,320.04,274.61,314.26,325.13,,,,,,319.14,L5
2007-02-13 22:09:11+00:00,,,,,,300.93,313.01,67.15,54.19,,,339.22,343.71,347.2,327.83666666666664,341.47333333333336,,352.42,,,,,,,,295.12666666666667,287.48,318.52,321.98,339.46000000000004,311.555,337.65,308.65,308.28,332.03,338.08,,338.71,333.89,350.88,347.265,350.23,351.43,348.66,353.58,,,,,,,,,,,,,,371.5,355.28499999999997,356.3,,,,,,,,,,,,,,,,,,,,,,311.96000000000004,319.125,324.12,321.91999999999996,330.7,320.04,274.61,314.26,305.005,,,,,,320.86,L5
2008-02-16 22:04:45+00:00,,,,,,,,,,,,346.0,350.8,346.71,325.81,336.14,,,,,,,,,,282.51,,324.95,337.61,324.84,321.51,328.28,328.18,,319.68,340.47,,,,,,348.14,338.89,340.81,340.87,343.92,,337.32,335.09,346.48,348.49,348.02,,,,355.59,,,362.56,342.03,339.65,,,,,,,349.33,,,,347.34,344.08,301.93,,,,,,335.86,,,318.61,317.89,330.11,330.36,,,,,322.62,,,,,,,L5
2008-10-29 21:57:48+00:00,,,,,,,,,,,,337.09,343.62,341.78,315.52,340.73,348.2,347.26,,,,,,,,299.37,281.13,334.61,326.58,332.24,297.36,332.24,336.11,339.0,330.11,344.11,,,339.59,343.64,332.14,332.24,346.59,347.24,353.73,349.31,,343.82,345.4,338.73,338.77,,,,,,,,,356.89,351.67,,,,,,,,,,,,,,,,,,,,,,326.66,,323.3,316.7,,,309.45,310.93,312.65,,,,,,,L5
2008-11-14 21:57:28+00:00,,,,,,,,,,,,337.09,343.62,344.82,318.41499999999996,341.78499999999997,349.46500000000003,348.29499999999996,,,,337.85,,,,301.45,279.40999999999997,333.43,326.58,332.90999999999997,312.22,333.135,337.02,339.0,331.33500000000004,343.74,,346.19,341.91499999999996,343.64,338.16499999999996,339.885,345.77,345.13,352.07000000000005,348.96000000000004,350.14,344.275,341.74,338.73,338.77,,,,,,,,,355.04999999999995,351.39,,,,,,,,,,,,,,,,,,,,,,328.95500000000004,325.28,329.37,322.31,,319.21,313.4,313.125,316.84,,,,,,,L5
2009-01-01 21:58:55+00:00,,,,,,,,,,,,336.7,342.575,342.19666666666666,315.79333333333335,331.81,346.75,346.5133333333333,,335.73,323.29,323.23,310.19,312.85,322.02,294.47666666666663,279.40999999999997,328.9533333333333,323.755,332.90999999999997,312.22,333.135,337.02,339.0,318.54333333333335,339.23,332.26,341.36,338.31333333333333,340.405,334.99666666666667,333.6166666666666,337.96999999999997,338.1933333333333,343.44000000000005,340.5233333333333,336.365,334.83,332.84,334.51,337.44,334.92,329.69,346.5,340.26,336.96,338.76,345.74,352.62,355.04999999999995,351.39,,,,,,,,,,,,,303.29,334.9,347.66,351.17,356.18,345.51,313.74,,,328.95500000000004,325.28,329.37,322.31,,319.21,313.4,313.125,316.84,,,,,,,L5
2010-12-22 22:04:05+00:00,,,,,,295.63,314.08,60.72,55.73,,,,,367.0,342.02,350.35,,,,,,,,,,324.85,310.44,328.81,,,342.58,339.51,345.36,,,351.77,,,,,,,,,,,,354.03,350.81,,,,,,,,,,,355.38,357.31,,,,,,,,,,,,,,,,,,,,,,340.36,337.15,341.31,343.88,351.71,348.56,343.98,346.07,348.6,,,,,279.05,333.82,L5
2011-01-07 22:04:08+00:00,,,,,,295.63,314.08,60.72,55.73,,,335.55,344.15,353.03999999999996,329.395,337.95000000000005,345.54,343.81,,,331.66,320.72,320.92,327.74,,305.635,310.44,324.54499999999996,319.44,,342.58,339.51,345.36,,317.66,342.585,331.99,337.9,340.25,339.08,339.76,327.74,332.3,329.81,336.03,330.16,331.42,341.605,337.28499999999997,335.34,336.4,337.4,330.07,347.02,341.58,347.9,343.53,347.11,349.33,355.38,357.31,,,,,,,,,,,,,,,,,,,,,,328.375,330.41999999999996,332.275,343.88,351.71,348.56,343.98,346.07,348.6,,,,,279.05,323.29499999999996,L5
2011-01-23 22:04:08+00:00,,,,,,295.63,314.08,60.72,55.73,,,338.38,345.90999999999997,349.9533333333333,327.41,336.48,345.78,343.81,,,331.66,321.3,321.065,327.74,329.09,296.9766666666667,310.44,322.72666666666663,322.21500000000003,333.7,335.615,334.72,339.21000000000004,337.92,327.87,341.90333333333336,331.99,338.265,340.25,339.03499999999997,339.4,330.795,334.03499999999997,333.88,338.03499999999997,335.125,333.88,340.13666666666666,336.6933333333333,340.30999999999995,339.58,339.83,332.01,347.395,343.17499999999995,345.935,341.875,348.92,349.28,355.38,357.31,,,,,,,,,,,,,,,,,,,,,,326.4066666666667,329.38,331.73,333.8,351.71,348.56,343.98,346.07,348.6,,,,,279.05,317.9733333333333,L5
