dates,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0017,nzd0508-0021,nzd0508-0022,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0011,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0023,nzd0508-0024,nzd0508-0025
2014-09-19 22:20:54+00:00,,,147.53,311.12,303.85,284.41999999999996,293.855,279.98,288.16333333333336,308.58,293.0033333333334,312.61,278.3575,279.4666666666667,282.565,,,255.19000000000003,293.88999999999993,312.72,284.005,284.41999999999996,276.195,287.40999999999997,302.6625,311.31500000000005
2015-01-02 22:14:38+00:00,296.77,306.76,309.21,312.32,304.32500000000005,291.1066666666666,302.565,291.99,297.78666666666663,308.29499999999996,303.31333333333333,313.145,284.28000000000003,287.9733333333333,289.045,288.45,271.38,285.48333333333335,302.10999999999996,312.985,289.4325,290.15333333333336,282.26,293.7375,308.765,316.41
2015-03-14 22:20:23+00:00,291.80499999999995,306.235,307.615,308.46500000000003,304.025,291.19,299.975,290.5233333333333,297.40000000000003,305.305,300.33333333333337,308.62,297.47666666666663,287.6533333333333,292.75,287.28,270.83500000000004,287.84000000000003,300.84,308.095,301.9766666666667,290.41333333333336,283.03,298.45666666666665,313.52,315.54
2015-04-15 22:20:10+00:00,291.80499999999995,306.235,307.615,290.32666666666665,304.025,282.9433333333333,299.975,285.43333333333334,306.87,305.305,308.67,283.46666666666664,285.49333333333334,295.405,292.2633333333333,287.28,270.83500000000004,295.42500000000007,308.28999999999996,287.7133333333333,299.63000000000005,281.6066666666667,293.98999999999995,296.68,313.05,300.6266666666667
2015-05-01 22:20:00+00:00,291.80499999999995,306.235,307.615,281.275,304.025,274.315,299.975,278.73749999999995,306.87,305.305,308.67,257.485,279.5025,295.405,288.0025,287.28,270.83500000000004,295.42500000000007,308.28999999999996,277.9275,295.26,272.5825,293.98999999999995,292.40250000000003,308.985,300.6266666666667
2015-06-27 22:13:58+00:00,291.80499999999995,306.235,307.615,276.756,294.01,268.896,296.53,275.96999999999997,297.9533333333333,305.305,308.67,241.77799999999996,278.42600000000004,295.405,286.974,287.28,270.83500000000004,281.37000000000006,304.33,273.82,295.94,272.5825,284.15000000000003,289.904,306.372,290.7825
2015-07-29 22:14:13+00:00,286.84,305.71,306.02,264.236,288.615,256.354,294.29999999999995,265.608,292.155,302.6,302.91,214.512,265.27799999999996,295.6,279.846,286.11,270.29,272.63,301.81500000000005,260.21,292.565,256.82,255.35333333333332,282.35600000000005,300.326,272.255
2015-08-21 22:20:33+00:00,286.84,305.71,306.02,264.236,288.615,256.354,294.29999999999995,265.608,292.155,302.6,302.91,214.512,265.27799999999996,295.6,273.2866666666667,286.11,270.29,272.63,301.81500000000005,260.21,292.565,253.53599999999997,246.35750000000002,282.35600000000005,298.09333333333336,269.036
2015-10-08 22:20:48+00:00,,,,254.4425,273.98,245.51999999999998,289.64,257.3175,280.12,,,192.25,256.114,259.22,267.42,,,253.26,296.41,249.52749999999997,282.13,242.554,233.00000000000003,272.79400000000004,291.8766666666667,260.354
2016-03-16 22:20:36+00:00,288.09,,,,304.4,,294.6,283.56,292.32,296.28,301.09,,270.68,273.07500000000005,277.335,288.25,264.45,284.36,288.02,,280.94,244.12,240.16,277.04999999999995,296.135,291.95
2016-04-26 22:14:08+00:00,288.09,,,,283.265,242.98,270.875,270.455,278.08,296.28,301.09,176.68,272.74,277.34000000000003,281.905,288.25,264.45,273.02500000000003,263.73,247.05,285.92999999999995,240.14,232.83,287.96500000000003,300.615,297.325
2016-05-12 22:14:08+00:00,288.09,,,,274.81333333333333,238.95499999999998,263.4633333333333,262.2733333333333,273.2733333333333,296.28,301.09,177.44,271.9066666666667,274.42,279.43,288.25,264.45,267.40333333333336,254.76,247.05,283.6666666666667,222.77999999999997,229.03,285.09999999999997,298.84,294.16333333333336
2016-07-15 22:14:34+00:00,288.09,,,,274.81333333333333,238.95499999999998,263.4633333333333,262.2733333333333,273.2733333333333,296.28,301.09,177.44,271.9066666666667,274.42,279.43,288.25,264.45,267.40333333333336,254.76,247.05,283.6666666666667,222.77999999999997,218.39333333333335,285.09999999999997,293.5975,284.8275
2016-08-16 22:14:41+00:00,288.09,,,261.21,270.94,240.38,263.515,263.48749999999995,273.9175,290.87,294.155,202.92,272.4975,274.335,278.25,288.25,260.46000000000004,267.88750000000005,251.285,229.145,283.1525,228.57000000000002,230.335,284.8925,294.402,287.288
2016-12-29 22:21:01+00:00,,,,280.66999999999996,259.32,270.96,279.03000000000003,275.8499999999999,283.855,292.235,294.99,279.31,279.595,281.92499999999995,283.66499999999996,289.27,260.16,280.08500000000004,240.86,257.28499999999997,288.76,240.15,247.96000000000004,292.015,296.34333333333336,288.13333333333327
2017-01-30 22:20:50+00:00,291.04,305.73,307.3,286.88999999999993,279.15,279.27,284.4433333333333,277.2366666666666,285.78000000000003,293.3733333333333,296.5933333333333,286.40333333333336,280.08666666666664,283.26666666666665,286.05333333333334,287.245,260.48,280.89000000000004,240.86,272.25666666666666,289.2966666666667,240.15,275.28000000000003,293.7233333333333,305.99333333333334,304.8566666666666
2017-02-15 22:20:43+00:00,291.04,305.73,307.3,282.0633333333333,298.98,288.04333333333335,286.0833333333333,272.94,284.75333333333333,290.42,294.50333333333333,296.35999999999996,276.09666666666664,280.52,284.26,287.245,262.485,276.7666666666667,,295.20666666666665,284.1666666666667,243.1,271.86,291.59,302.99,300.77666666666664
2017-04-20 22:20:11+00:00,291.04,305.73,307.3,274.10499999999996,298.98,278.56,283.575,269.38249999999994,282.15250000000003,286.0825,291.34749999999997,293.49,272.9525,277.145,281.5975,287.245,262.485,272.7225,237.26,284.4625,280.895,245.59,265.975,288.48,299.5325,297.5275
2017-05-06 22:20:07+00:00,291.04,305.73,307.3,268.158,298.98,278.56,278.9,266.166,282.15250000000003,286.0825,291.34749999999997,293.49,268.122,277.145,279.91400000000004,287.245,262.485,272.7225,237.26,275.616,278.634,243.16,256.72400000000005,286.43,297.878,294.12
2017-07-09 22:20:35+00:00,291.04,305.73,307.3,270.12399999999997,294.33500000000004,278.6675,280.642,267.426,278.9166666666667,281.7733333333333,287.5433333333333,289.74,269.6,277.6875,280.986,285.22,261.12,266.68666666666667,237.26,268.6875,280.318,256.1625,258.59399999999994,286.534,298.26599999999996,297.52599999999995
2017-08-03 22:14:35+00:00,,,,271.904,295.905,279.59250000000003,281.45,267.034,279.98333333333335,283.4266666666667,288.79,290.51,270.702,277.625,280.882,,276.17,263.73333333333335,262.605,270.5525,281.338,262.09000000000003,259.02,286.096,298.41200000000003,297.852
2017-09-27 22:21:00+00:00,,,,278.1975,295.905,282.94000000000005,284.66499999999996,270.2325,283.59000000000003,286.84000000000003,292.71000000000004,293.89,272.8025,281.55333333333334,283.77000000000004,,276.17,267.115,262.605,267.3733333333334,285.1175,266.83750000000003,259.79999999999995,288.1525,300.8625,298.46400000000006
2017-11-30 22:20:56+00:00,296.86,307.09,309.04,308.88333333333327,299.04,300.5,299.9433333333333,283.58,296.37,301.01,304.68,305.135,288.85999999999996,288.77333333333337,293.2266666666667,288.58,271.22,284.1,290.28499999999997,308.375,298.3533333333333,290.83666666666664,285.65999999999997,299.01666666666665,311.14000000000004,308.25
2017-12-25 22:14:47+00:00,293.505,306.135,309.19,308.4675,300.3775,299.92,298.635,282.60249999999996,296.3233333333333,299.9666666666667,303.9066666666667,304.63666666666666,287.825,288.1575,292.755,287.655,267.96,285.17333333333335,290.13666666666666,306.74333333333334,296.2075,290.165,285.03999999999996,298.2025,310.27250000000004,308.184
2018-01-01 22:20:56+00:00,293.505,306.135,309.19,308.4675,300.3775,300.0,298.02,281.998,296.3233333333333,299.9666666666667,303.9066666666667,304.63666666666666,287.182,287.622,292.34000000000003,287.655,267.96,285.17333333333335,290.13666666666666,306.74333333333334,295.02799999999996,289.726,284.88399999999996,297.928,309.546,308.12833333333333
