dates,satname,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0037,nzd0054-0038,nzd0054-0039,nzd0054-0040,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094,nzd0054-0010,nzd0054-0031,nzd0054-0032,nzd0054-0036,nzd0054-0041
2013-05-11 22:19:31.249000,L8,,,,,200.88,211.12,216.64,214.86,212.78,219.04,219.89,233.22,190.41,198.58,198.33,215.25,211.07,203.59,199.23,195.17,200.10,199.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.48,195.12,202.65,202.08,216.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.49,,,,
2013-06-28 22:19:33.252000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.12,351.18,354.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14 22:19:34.707000,L8,452.33,269.04,281.62,280.13,297.26,314.95,321.70,,,,,420.66,418.20,442.23,425.99,427.95,,,,,,,205.41,215.20,215.27,224.84,220.67,,,,223.60,221.39,231.74,265.01,272.84,282.11,253.93,,,,,320.05,321.77,332.41,335.55,334.56,344.21,345.11,356.71,327.41,351.19,361.03,340.21,,,251.50,250.93,235.79,,,,,,,,203.21,223.31,236.18,520.18,523.80,497.48,,,,233.16,224.04,227.93,215.84,233.53,,,,,,,,,552.07,501.85,509.71,,207.83,215.53,249.28,
2013-10-02 22:19:28.820000,L8,,493.44,510.60,500.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.73,335.65,343.98,,,,,,,,,,,,,,,,,,201.30,213.79,208.36,201.65,204.45,217.91,198.95,246.12,237.63,250.14,253.39,,,,,,,,
2013-10-18 22:19:25.762000,L8,198.87,193.52,192.02,194.19,194.70,186.10,187.79,188.23,212.82,222.37,222.29,,,,,,,288.42,289.37,287.32,,,,,,260.08,248.68,250.17,204.47,214.56,192.39,216.94,217.10,208.56,215.92,217.75,221.73,198.25,226.66,,,252.94,258.47,246.59,,,272.78,271.67,273.76,268.26,,,,,,,,,,,,,,190.94,201.25,205.96,219.77,210.48,205.82,209.00,,,,,,,236.15,238.88,204.30,,,,,,,,329.04,341.34,343.37,316.13,227.47,220.46,213.56,208.56,213.96
2013-11-03 22:19:20.378000,L8,,,,188.34,198.74,213.25,212.45,213.43,205.14,196.54,200.12,217.58,226.88,226.95,281.02,277.04,249.84,240.22,264.95,290.18,281.58,312.24,317.01,283.59,269.46,293.03,184.20,223.12,220.04,238.70,226.78,266.24,228.36,225.73,219.13,234.89,259.41,244.63,220.69,228.07,219.00,224.02,265.18,268.30,241.94,231.13,201.45,209.52,214.82,226.93,231.45,228.57,280.71,358.35,300.19,301.63,228.38,310.70,319.85,380.07,391.94,440.27,242.42,260.47,248.09,285.45,326.75,217.50,207.04,213.64,231.65,213.40,204.21,244.73,234.21,223.09,252.13,225.95,252.23,254.66,384.56,333.96,396.58,330.32,276.99,241.88,308.11,298.26,206.86,374.95,205.19,248.10,222.90,232.91,247.50
2013-12-05 22:19:13.005000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.34,304.21,318.01,,,,,,,,,,,,,,,,,
2014-02-23 22:18:20.398000,L8,,,,,,,,,,,,,,,373.69,393.90,392.36,399.51,,,,387.62,390.58,405.88,405.49,,,,,,,,,,,,,454.69,453.85,452.77,,,,,,,443.01,425.20,460.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.50
2014-03-27 22:17:50.001000,L8,,,,,,,,,,,,,,,,,,,,376.48,387.67,385.21,381.63,,,,,,,,,,,,,,,397.06,393.31,408.15,,,,,,,,,,,,,,466.47,452.66,454.87,460.10,,,,,,,,,,390.14,398.83,397.40,391.95,,,,,,,,,,,,,,,,,,,,,,,,,401.74
2014-04-12 22:17:37.464000,L8,,,,,,,,,,,326.85,337.29,354.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.22,,,,
