dates,satname,nzd0517-0000,nzd0517-0001,nzd0517-0002,nzd0517-0003,nzd0517-0004,nzd0517-0005,nzd0517-0006,nzd0517-0007,nzd0517-0008,nzd0517-0009,nzd0517-0010,nzd0517-0011,nzd0517-0012,nzd0517-0013,nzd0517-0014,nzd0517-0015,nzd0517-0016,nzd0517-0017,nzd0517-0018,nzd0517-0019,nzd0517-0020,nzd0517-0021,nzd0517-0022,nzd0517-0023,nzd0517-0024,nzd0517-0025,nzd0517-0026,nzd0517-0027,nzd0517-0028,nzd0517-0029,nzd0517-0030,nzd0517-0031,nzd0517-0032,nzd0517-0033,nzd0517-0034,nzd0517-0035,nzd0517-0036,nzd0517-0037,nzd0517-0038,nzd0517-0039,nzd0517-0040,nzd0517-0041,nzd0517-0042,nzd0517-0043,nzd0517-0044,nzd0517-0045,nzd0517-0046,nzd0517-0047
2006-03-12 22:18:01.902000,L5,,298.40,291.75,259.13,214.66,271.11,273.94,,279.69,285.66,276.93,222.06,279.21,244.29,297.30,302.97,306.91,275.52,309.37,282.41,,,,,,,299.23,299.66,276.60,286.70,291.82,285.77,278.36,288.11,288.05,246.85,305.03,300.43,302.19,253.57,202.10,300.92,306.27,290.10,315.86,312.42,311.30,327.17
2006-04-13 22:18:38.042000,L5,280.61,312.01,298.85,258.77,221.87,279.32,279.01,268.55,289.23,287.62,285.64,237.65,286.43,253.18,288.05,298.92,299.07,268.30,290.33,233.48,,,,,,,305.32,295.33,285.05,288.85,293.75,286.23,269.44,263.60,242.99,253.70,248.56,164.10,,,148.69,293.69,290.48,220.48,306.55,268.52,250.27,170.31
2006-08-03 22:20:15.113000,L5,,299.23,287.86,243.48,208.33,,,,,,241.64,212.30,185.81,218.96,205.99,154.97,,,,,,,,,,,,246.17,238.33,258.19,247.81,171.50,192.04,226.58,198.82,173.86,239.14,,,,,,,,,,,
2006-08-26 22:26:43.606000,L5,,,,,,,,,272.49,282.79,273.54,230.41,266.91,251.31,281.87,294.11,286.13,260.52,272.82,233.40,,217.37,197.77,202.58,197.46,227.72,278.60,274.22,262.72,272.35,275.68,275.03,264.02,248.50,233.84,257.62,253.71,184.56,231.17,,151.94,287.82,278.80,215.63,310.08,295.88,251.38,227.39
2006-09-27 22:27:06.456000,L5,,,,,,,,,275.92,275.31,279.19,268.35,281.32,256.66,296.72,301.83,303.12,287.73,288.68,277.76,276.58,251.03,233.33,231.89,269.32,260.53,290.55,293.66,277.22,284.12,284.06,280.32,275.06,263.22,273.23,276.94,274.89,203.27,287.88,,229.68,272.23,287.27,236.87,304.43,293.74,297.49,305.26
2006-11-30 22:27:42.738000,L5,286.51,311.33,295.02,270.34,266.97,278.26,279.51,280.75,287.89,284.74,277.43,268.20,282.35,262.27,292.60,302.87,305.44,300.83,309.85,295.82,290.34,273.48,230.83,231.59,294.22,281.52,305.18,297.21,288.18,291.35,295.77,299.84,298.80,301.83,307.21,314.72,314.20,313.67,314.22,313.60,303.73,301.02,312.85,317.21,321.01,319.14,327.84,348.58
2006-12-09 22:21:36.590000,L5,332.45,406.78,404.49,309.30,312.60,323.33,325.20,326.80,322.16,321.75,323.74,322.32,327.39,331.77,340.42,345.58,346.62,350.70,344.98,340.53,336.34,327.67,328.49,324.86,335.10,331.04,340.90,331.47,328.16,331.23,336.39,333.26,350.13,342.40,341.72,356.76,352.38,350.26,350.88,352.13,353.46,352.62,355.05,355.97,359.02,362.71,362.22,389.56
2006-12-16 22:27:50.871000,L5,,,,,,,,,,,,,,276.36,295.93,301.96,306.34,308.16,310.18,299.84,292.67,284.62,233.00,273.95,293.70,289.01,304.29,298.84,290.59,293.16,295.53,299.39,293.81,300.14,302.00,316.27,316.39,,,,,307.70,314.75,318.42,323.55,323.30,327.80,353.14
2007-01-26 22:21:54.849000,L5,407.90,407.89,394.37,337.54,350.38,372.37,364.67,360.44,356.23,362.87,360.20,369.30,379.30,390.22,393.77,398.74,394.75,389.31,385.80,375.55,381.57,372.11,372.86,378.13,382.91,386.58,378.17,372.69,369.01,363.02,366.43,372.25,373.51,379.26,383.24,387.29,389.00,388.84,387.47,383.52,380.08,376.35,375.11,383.47,385.11,389.54,393.32,405.08
2007-02-11 22:21:56.518000,L5,295.07,290.90,279.10,254.76,211.72,195.00,151.87,,,,,166.79,209.86,194.52,162.29,262.99,151.34,,,,,,,,268.82,282.35,304.45,311.66,296.93,280.36,284.43,291.45,203.99,304.72,319.18,325.65,288.39,274.29,204.01,186.82,220.80,248.54,199.52,330.41,331.93,333.07,331.89,185.68
