dates,satname,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0028
2021-02-12 22:07:43.180000,L8,364.18,361.84,333.27,334.28,352.13,357.98,339.32,323.51,,304.64,308.70,290.93,288.11,297.26,282.35,273.12,253.95,,,,,,276.54,272.37,,,,,267.90
2021-12-21 22:07:55.088000,L9,367.19,349.49,342.66,343.65,353.27,352.29,340.75,327.53,,,,,,,,,,,,,,,,,,,,,
2021-12-29 22:07:53.106000,L8,357.75,353.99,342.07,334.75,341.78,353.53,338.29,316.51,,,,,,,,,,,,,,,,,,,,,
2022-01-30 22:07:46.196000,L8,365.21,362.83,340.99,341.04,347.05,352.16,338.81,322.61,,283.07,297.12,281.03,280.83,291.19,269.02,262.96,254.05,255.54,257.95,293.84,297.52,,,,,,,,
2022-04-12 22:07:30.258000,L9,345.45,340.89,332.58,350.28,360.26,366.24,331.94,325.20,,303.70,308.38,312.83,347.76,334.06,282.23,297.92,262.72,255.57,,,,,,,,,,,
2022-08-02 22:07:43.151000,L9,320.36,345.80,304.76,336.99,356.93,370.20,322.53,,,,,,,,,,,,,,,,,,,,,,
2022-10-21 22:08:05.375000,L9,348.70,343.84,325.40,329.04,332.98,355.21,329.52,,,282.30,299.75,279.93,284.07,293.12,276.15,263.41,253.49,,,,,,,,,,,,
2022-10-29 22:08:16.390000,L8,359.42,349.64,334.86,336.38,351.39,355.95,338.68,322.75,,292.41,298.60,303.14,297.18,298.57,280.46,272.92,267.55,255.53,244.59,243.12,,,,,,,,,
2022-11-06 22:08:03.924000,L9,368.04,342.64,325.71,325.34,332.23,363.30,330.43,,,,,,,,,,,,,,,,,,,,,,
2022-11-14 22:08:11.017000,L8,359.47,347.98,330.90,332.33,337.94,360.76,334.80,,,283.89,290.58,277.96,282.14,286.92,270.21,261.86,252.02,,,,,,,,,,,,
2022-11-22 22:08:05.589000,L9,349.03,344.34,327.40,326.90,343.58,350.15,332.46,,,,,,,,,,,,,,,,,,,,,,
2022-12-24 22:08:01.921000,L9,363.46,346.94,327.01,327.48,336.50,356.75,333.87,,,282.57,293.95,274.38,274.07,281.61,263.15,254.81,245.55,,,,,,,,,,,,
2023-01-25 22:08:01.087000,L9,358.13,357.42,355.44,353.19,380.07,386.82,362.69,395.90,383.50,292.82,296.35,289.58,284.13,299.48,277.93,269.65,255.87,,,,,,,,384.10,386.46,,,
2023-02-18 22:07:49.813000,L8,360.38,368.25,325.69,325.23,341.48,359.25,330.07,,,,,,,,,,,,,,,,,,,,,,
2023-03-14 22:07:47.070000,L9,352.65,354.58,336.45,339.30,360.54,373.57,335.69,320.96,333.96,289.27,297.49,276.98,273.27,282.74,263.18,255.04,,,,,,,,,,,,,
2023-03-22 22:07:28.676000,L8,351.45,354.45,319.49,326.87,350.17,367.99,327.31,,,,,,,,,,,,,,,,,,,,,,
2023-10-08 22:07:46.156000,L9,387.36,389.76,396.41,408.94,374.59,365.50,352.88,343.84,326.80,291.31,295.07,275.71,279.90,280.33,260.47,257.19,249.35,,,,,,,,,,,,
2023-10-24 22:07:51.936000,L9,365.44,353.93,329.71,326.08,342.75,347.45,327.39,,,,,,,,,,,,,,,,,,,,,,
2023-11-17 22:07:51.092000,L8,378.03,378.45,341.73,341.68,353.51,365.11,346.56,333.12,319.11,299.74,305.68,283.96,285.58,292.58,275.39,263.46,255.53,,,,,,308.03,317.62,,,,,312.86
2023-11-25 22:07:56.439000,L9,377.42,351.19,328.15,322.71,355.86,360.25,340.96,,,285.84,302.71,286.74,285.50,294.59,268.58,261.35,249.84,,,,,,,,,,,,
2023-12-19 22:07:51.036000,L8,367.12,357.85,359.56,351.20,356.57,365.23,349.40,347.66,,300.23,306.22,292.76,284.71,295.87,275.63,263.79,249.33,,,,,,286.54,310.05,,,,,308.27
2024-01-12 22:07:54.756000,L9,358.72,350.44,331.25,344.62,352.52,364.42,334.60,,,312.56,308.39,291.14,285.65,291.84,275.63,262.32,249.07,,,,,,280.64,302.98,,,,,300.45
2024-01-20 22:07:43.131000,L8,357.93,361.20,356.83,353.96,359.21,360.61,353.60,322.78,,305.80,303.25,292.83,286.49,292.42,275.33,265.24,255.95,,,,,,311.50,315.07,,,,,314.11
2024-02-13 22:07:53.770000,L9,350.78,361.66,328.54,338.31,355.20,359.15,320.69,,,285.22,298.18,288.52,281.90,291.48,269.05,257.12,,,,,,,,,,,,,
2024-02-21 22:07:41.296000,L8,363.02,355.40,340.66,342.01,355.54,365.38,355.86,323.56,341.44,289.09,317.59,295.70,289.80,299.68,278.21,264.69,252.24,,,,,,295.91,312.54,,,,,314.80
2024-02-29 22:07:47.311000,L9,361.51,348.35,326.16,334.32,344.81,362.43,320.77,,,282.50,309.04,286.65,284.87,297.23,273.57,255.63,245.79,,,,,,,,,,,,
2024-08-31 22:07:27.249000,L8,334.85,344.39,330.20,332.01,347.95,368.79,324.06,322.04,,,,,,,,,,,,,,,,,,,,,
2024-10-10 22:07:34.230000,L9,347.98,348.82,337.21,334.96,360.87,354.26,337.09,324.17,,,,,,,,,,,,,,,,,,,,,
2024-11-03 22:07:36.412000,L8,384.12,343.90,328.62,323.31,346.40,354.06,330.53,315.70,,,,,,,,,,,,,,,,,,,,,
2024-11-11 22:07:39.523000,L9,384.88,347.48,330.89,326.39,344.44,367.01,333.97,317.24,,,,,,,,,,,,,,,,310.03,,,,,305.32
2025-01-22 22:07:37.432000,L8,314.65,311.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-07 22:07:41.096000,L8,368.20,350.06,324.08,316.77,,,,,,283.61,294.87,282.19,282.04,286.88,273.26,262.93,249.79,,,,,,,,,,,,
2025-02-23 22:07:31.324000,L8,352.50,356.61,331.64,336.69,361.49,365.51,342.43,319.78,,290.66,298.56,288.41,283.94,286.14,272.64,265.43,251.97,,,,,,,,,,,,
2025-09-19 22:07:51.167000,L8,362.64,376.60,319.67,323.95,338.13,382.55,403.05,319.28,,,,,,,,,,,,,,,,,,,,,
2025-10-05 22:07:52.590000,L8,361.15,372.07,329.70,332.63,356.53,359.68,336.79,318.16,,,,,,,,,,,,,,,,,,,,,
2025-10-21 22:07:51.194000,L8,368.39,351.09,318.80,319.11,340.81,356.94,323.16,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 22:07:53.149000,L9,355.64,354.18,323.92,322.10,343.08,358.65,329.16,,,,,,,,,,,,,,,,,,,,,,
2025-11-06 22:07:55.742000,L8,351.42,352.37,316.18,314.68,333.57,348.69,323.25,,,,,,,,,,,,,,,,,,,,,,
