dates,nzd0053-0000,nzd0053-0001,nzd0053-0002,nzd0053-0003,nzd0053-0004,nzd0053-0005,nzd0053-0006,nzd0053-0007,nzd0053-0008,nzd0053-0009,nzd0053-0010,nzd0053-0011,nzd0053-0012,satname
2011-09-11 22:06:09+00:00,339.25,337.59,338.8,346.35,337.09000000000003,361.8333333333333,342.8966666666667,357.745,368.275,370.725,373.26,362.99,339.3966666666667,L5
2013-04-25 22:19:21+00:00,,,,,,,,359.63,362.43,314.07,,312.94,343.65,L8
2013-05-11 22:19:31+00:00,,,,,,,350.49,361.15,365.31,333.16499999999996,,312.94,343.65,L8
2013-06-28 22:19:33+00:00,,,,,,,350.49,361.15,365.31,333.16499999999996,,309.355,336.495,L8
2013-07-14 22:19:34+00:00,,,,,,,350.49,361.15,365.31,333.16499999999996,,309.355,333.92,L8
2013-09-25 22:13:17+00:00,,,,,,,350.49,354.09666666666664,365.31,345.37999999999994,,312.9266666666667,333.92,L8
2013-10-02 22:19:28+00:00,357.18,353.77,,,,,350.49,354.09666666666664,365.31,345.37999999999994,,312.9266666666667,333.92,L8
2013-10-11 22:13:17+00:00,357.18,353.77,,,,,350.49,357.27250000000004,368.18,351.41499999999996,,313.31,333.67499999999995,L8
2013-11-12 22:13:08+00:00,357.18,353.77,,,,,,353.3950000000001,373.92,369.66499999999996,,314.74249999999995,329.435,L8
2013-12-14 22:12:57+00:00,340.93,339.73,324.83,318.9,320.09,334.25,334.19,358.35666666666674,377.675,369.9533333333334,,314.74249999999995,329.435,L8
2014-01-06 22:18:54+00:00,340.93,339.73,317.32,319.01,321.40999999999997,331.58000000000004,316.45,357.6025,371.52,363.33500000000004,,317.885,329.40250000000003,L8
2014-01-15 22:12:33+00:00,337.5833333333333,337.3533333333333,324.7633333333333,330.76,335.18,344.43666666666667,316.45,357.6025,371.52,363.33500000000004,,317.885,329.6133333333334,L8
2014-02-07 22:18:33+00:00,337.5833333333333,337.3533333333333,324.7633333333333,330.76,335.18,344.43666666666667,316.45,357.6025,371.52,363.33500000000004,,312.29799999999994,332.26750000000004,L8
2014-02-23 22:18:20+00:00,337.5833333333333,337.3533333333333,324.7633333333333,330.76,335.18,344.43666666666667,316.45,357.6025,371.52,363.33500000000004,340.05,314.2916666666667,333.338,L8
2014-03-11 22:18:08+00:00,337.5833333333333,337.3533333333333,324.7633333333333,330.76,335.18,344.43666666666667,316.45,357.6025,371.52,363.33500000000004,340.05,312.22999999999996,332.3066666666667,L8
2014-03-27 22:17:50+00:00,337.5833333333333,337.3533333333333,324.7633333333333,330.76,335.18,344.43666666666667,316.45,363.47333333333336,371.52,361.17666666666673,340.05,312.43142857142857,332.8957142857143,L8
2014-04-12 22:17:37+00:00,337.8233333333333,337.11,324.7633333333333,330.76,335.18,344.43666666666667,316.45,361.81,370.31999999999994,357.00500000000005,340.05,312.0933333333333,332.8883333333333,L8
2014-05-14 22:17:08+00:00,337.8233333333333,337.11,324.7633333333333,330.76,335.18,344.43666666666667,316.45,361.81,370.31999999999994,357.00500000000005,340.05,313.8683333333333,335.06,L8
2014-05-30 22:17:11+00:00,337.8233333333333,337.11,324.7633333333333,330.76,335.18,344.43666666666667,316.45,361.81,370.31999999999994,357.00500000000005,340.05,311.1585714285714,332.03714285714284,L8
2014-07-01 22:17:22+00:00,344.395,342.82000000000005,324.73,336.69,342.725,349.53,298.71,355.16999999999996,359.565,347.95000000000005,348.96000000000004,314.84,331.6225,L8
2014-07-17 22:17:28+00:00,357.9,353.04,,,,,,355.0,359.92,352.42,348.96000000000004,316.63625,331.8775,L8
2014-07-26 22:11:19+00:00,357.9,353.04,,,,,,355.0,351.685,342.36,348.96000000000004,316.63625,331.8775,L8
2014-10-14 22:11:38+00:00,,,,,,,,355.0,351.685,342.36,357.87,325.66999999999996,330.204,L8
2014-12-01 22:11:36+00:00,,,,,,,,355.0,351.685,342.36,357.87,330.6975,335.9975,L8
2015-01-09 22:17:38+00:00,,,,,,,,,343.45,332.3,,320.3675,332.53749999999997,L8
2015-01-25 22:17:32+00:00,,,323.55,323.32,323.24,344.52,311.93,318.27,331.96,316.31,,319.32,336.2,L8
2015-02-19 22:11:13+00:00,340.13,334.25,334.47,340.025,323.24,344.52,311.93,318.27,331.96,316.31,,319.32,336.2,L8
2015-04-24 22:10:44+00:00,340.13,334.25,334.47,340.025,323.24,344.52,311.93,318.27,331.96,316.31,,315.3525,337.8025,L8
2015-05-10 22:10:28+00:00,340.13,334.25,334.47,340.025,323.24,344.52,311.93,318.27,331.96,316.31,,315.3525,346.56399999999996,L8
2015-07-20 22:17:10+00:00,340.13,334.25,334.47,340.025,323.24,344.52,311.93,318.27,331.96,316.31,,325.1433333333334,357.1166666666666,L8
2015-07-29 22:11:01+00:00,340.13,334.25,345.39,356.73,,,,,302.29,375.28,,323.45500000000004,367.1966666666667,L8
2015-09-06 22:17:26+00:00,,,,,,,,355.85,302.29,373.335,364.25,334.02000000000004,359.535,L8
2015-10-08 22:17:36+00:00,359.29,353.72,355.15,365.91,,375.62,,366.45500000000004,302.29,378.67,377.015,347.5825,363.03200000000004,L8
2015-10-24 22:17:40+00:00,359.29,353.72,355.15,365.91,317.03,344.83500000000004,305.52,352.88000000000005,319.255,365.72749999999996,377.015,353.13,362.13,L8
2015-12-11 22:17:42+00:00,352.775,349.17,347.99,365.91,335.41499999999996,346.09,322.475,353.4,333.35,363.012,370.0,351.918,351.21,L8
2015-12-20 22:11:33+00:00,346.0833333333333,343.74333333333334,345.75666666666666,359.77,345.10999999999996,352.4275,340.0333333333333,353.4,333.35,363.012,370.0,351.918,351.21,L8
2015-12-27 22:17:43+00:00,346.0833333333333,343.77,345.4025,356.75,348.2375,354.11,344.4675,353.73400000000004,340.245,360.5016666666666,366.64,352.175,349.1333333333334,L8
2016-01-12 22:17:40+00:00,346.0833333333333,343.77,345.4025,356.75,348.2375,354.11,344.4675,353.73400000000004,340.245,360.5016666666666,366.64,352.175,344.18285714285713,L8
2016-03-09 22:11:16+00:00,346.0833333333333,343.77,345.4025,356.75,348.2375,349.6233333333333,341.894,348.60800000000006,352.305,356.876,367.43666666666667,362.51599999999996,341.99333333333334,L8
2016-03-25 22:11:08+00:00,346.0833333333333,343.77,345.4025,356.75,348.2375,349.6233333333333,341.894,348.60800000000006,352.305,356.876,367.43666666666667,354.82,341.18285714285713,L8
