dates,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073
2007-02-13 22:06:47+00:00,,,239.7,196.055,182.425,180.70999999999998,176.795,,,,,234.56,314.405,323.31,337.525,304.655,343.435,334.565,345.74,339.835,316.52,336.18,329.96,340.265,344.89,337.70500000000004,330.28,320.46000000000004,332.36,352.85,341.58,326.595,311.03999999999996,331.095,337.345,324.105,323.255,328.86,334.165,325.84000000000003,332.21500000000003,234.16000000000003,261.8,231.45499999999998,226.675,265.37,239.14499999999998,252.04500000000002,312.3,314.695,276.985,299.475,258.45500000000004,286.545,293.63,274.04,290.78,292.32,294.86,290.88,316.86,344.65,418.61,369.105,334.72,321.745,314.62,322.185,317.03,317.78,226.18,251.35500000000002,213.385,316.20000000000005
2008-10-29 21:55:24+00:00,371.06,351.79,225.18,,,,,,,,,,,,318.96,,,,,,,,,,,,,,,,,,,,,,,,,,,223.65,245.92,224.47,221.13,244.61,232.94,239.0,289.2,304.61,234.17,278.44,268.0,281.63,279.73,271.91,273.92,276.7,283.03,284.05,308.57,337.72,401.44,358.07,319.18,322.05,292.52,304.02,297.01,296.11,198.37,200.79,186.67,293.42
2009-02-02 21:57:22+00:00,377.395,359.43,228.525,180.94,177.39,180.0,171.82,,,,,192.94,293.87,318.18,320.53999999999996,287.76,324.76,318.47,328.5,323.86,313.57,330.01,337.19,332.58,332.32,328.64,318.75,311.26,320.01,338.62,326.11,311.63,298.13,319.48,325.09,306.83,315.49,312.68,317.31,311.51,320.27,224.05,249.74,223.68,217.07,245.895,230.635,238.29000000000002,285.89,301.315,243.58499999999998,283.935,271.65,284.04499999999996,283.70500000000004,277.55,279.275,282.21000000000004,285.92499999999995,285.78999999999996,309.90999999999997,341.005,400.26,358.235,318.46000000000004,318.73,298.53499999999997,307.585,300.02,299.64,206.865,215.92000000000002,193.07999999999998,298.765
2010-02-21 22:02:44+00:00,,,215.65,177.72,164.9,173.1,,,,,,173.44,323.13,336.66,334.11,306.33,329.25,321.1,333.33,328.86,312.43,325.76,333.44,340.81,343.14,337.29,324.9,316.74,330.92,346.59,324.51,307.85,298.77,320.09,325.91,307.4,319.12,322.63,329.16,328.21,,230.92,260.41,223.72,216.86,257.61,231.29,243.95,295.88,303.83,258.68,302.07,294.02,299.88,301.91,287.33,295.86,296.25,280.35,283.41,309.83,344.91,400.24,356.37,317.75,316.82,314.68,330.15,322.41,316.08,215.5,243.95,197.56,303.84
2011-01-07 22:01:44+00:00,377.17,359.14,222.83,176.42,170.35,173.61,,,,,,,,312.09,323.24,290.55,325.67,317.16,327.95,325.29,303.81,320.53,326.4,328.95,331.62,322.94,313.24,309.02,315.71,336.57,324.3,309.64,294.04,317.99,315.2,298.01,303.99,302.72,304.67,302.46,309.36,213.73,238.76,212.88,202.39,237.95,219.88,223.41,271.26,271.97,,280.45,267.39,280.85,276.05,273.02,275.78,282.6,277.92,279.28,303.64,340.91,395.08,348.04,309.72,308.09,290.37,306.26,292.72,290.98,201.07,201.82,,
2011-03-12 22:01:43+00:00,377.17,359.14,222.83,179.57,170.35,173.61,,,,,,,284.4,316.835,324.08000000000004,290.38,325.82000000000005,317.555,330.375,327.71500000000003,307.3,324.53499999999997,329.38,330.075,332.015,324.35,314.03,308.365,316.815,337.845,324.625,310.325,296.605,320.98,320.7,301.83500000000004,307.02,306.70000000000005,307.565,306.46500000000003,290.79,212.07,241.495,212.845,205.345,238.175,223.35500000000002,228.015,274.39,284.18,234.44,281.90999999999997,269.615,283.01,280.125,275.005,277.245,282.04,280.23,279.815,304.885,339.37,399.21500000000003,352.155,312.405,312.29499999999996,293.845,309.445,296.91,294.78,200.47,205.38,,
2013-04-11 22:07:51+00:00,348.63,335.12,217.67,169.84,,,,,,,,176.98,277.47,309.79,294.58,242.85,294.16,298.36,310.92,304.98,288.1,299.33,312.38,309.2,312.67,302.19,297.05,291.68,277.61,318.67,304.4,289.86,274.77,299.08,307.19,295.84,297.9,306.15,303.52,285.38,302.79,209.66,226.1,203.74,193.25,220.88,195.71,227.79,252.42,303.79,,266.21,259.78,289.02,279.42,278.5,264.72,268.04,288.87,276.48,307.27,325.53,369.73,325.76,310.73,293.52,309.12,307.41,302.89,288.84,,,,
2013-05-20 22:13:50+00:00,348.1,334.95,219.82999999999998,169.84,,,,,,,,186.405,276.235,310.295,301.34000000000003,243.385,299.13,299.44,311.515,306.89,289.555,301.575,315.695,311.87,313.62,303.925,298.615,293.53,285.79,319.025,305.905,291.01,277.6,301.21,308.91499999999996,298.52,300.82,305.975,305.08,291.52,302.79,208.20999999999998,226.73000000000002,203.78,194.64499999999998,220.63,195.025,228.035,252.42,305.395,218.21,284.07,272.77,289.21,278.29,278.8,268.09000000000003,277.885,288.235,277.07500000000005,308.05499999999995,327.355,369.73,327.11,310.885,293.92999999999995,303.685,303.175,300.27,286.22,,,200.93,298.67
2013-06-05 22:13:51+00:00,349.16,334.43333333333334,220.39666666666668,171.54000000000002,,,,,,,,184.57000000000002,273.26,308.54333333333335,299.6466666666667,243.51,298.6466666666667,299.0733333333333,310.8866666666667,306.67333333333335,289.80333333333334,301.3666666666666,315.95,312.26,313.38,304.2633333333333,298.7766666666667,293.43333333333334,285.63000000000005,318.41,306.38,291.40333333333336,278.2,300.8666666666666,309.1566666666667,294.38666666666666,299.69666666666666,303.5366666666667,301.23333333333335,291.84999999999997,302.935,208.43666666666664,225.92,203.01666666666665,194.12,219.07333333333335,193.33333333333334,227.40333333333334,250.925,302.6566666666667,218.21,276.18,266.52,288.72666666666663,275.0833333333333,277.48333333333335,264.75,273.94666666666666,286.14000000000004,274.74333333333334,306.7366666666667,327.27,370.375,326.28666666666663,308.8066666666667,290.02,296.22333333333336,300.17333333333335,294.78,283.71666666666664,,,200.93,298.67
2013-06-21 22:13:43+00:00,348.5275,335.265,218.84,172.39333333333335,,,,,,,,192.8475,272.745,308.7575,300.455,243.26999999999998,299.4525,299.565,311.0825,307.0625,289.89250000000004,301.895,316.34749999999997,312.855,313.78,304.9275,299.1225,293.99,286.4575,318.57,306.6175,291.58500000000004,278.09749999999997,301.3375,309.53999999999996,291.8825,300.335,302.7625,301.745,291.605,303.6033333333333,208.16,226.10250000000002,202.7825,193.4625,220.125,193.32,227.39499999999998,251.16,302.495,218.21,277.4525,264.11249999999995,288.5575,274.71500000000003,278.1,263.0425,274.5725,286.6175,275.9475,306.78499999999997,328.0025,370.375,326.405,308.475,291.4,295.14750000000004,299.24,294.31,283.5425,,,199.74,296.055
