dates,satname,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073
2001-01-03 22:02:12.432000,L7,,,,,,,,335.61,338.93,334.32,329.83,323.47,294.44,328.72,337.50,324.69,326.59,332.33,330.20,319.41,,327.55,328.51,324.93,339.51,328.14,324.60,305.83,328.24,335.50,345.37,331.89,317.87,333.27,331.81,342.38,337.86,336.87,333.55,331.02,339.32,332.31,335.08,331.77,326.96,330.51,330.45,331.80,332.37,343.86,334.83,333.37,326.18,322.01,309.66,318.23,311.00,315.02,316.23,328.28,334.86,349.91,,343.53,336.53,350.04,343.66,333.82,336.79,342.66,336.23,320.42,316.83,325.70
2001-03-24 22:01:59.719000,L7,,,,,,,,309.15,295.00,299.83,,,,,,,,,,,,,,,,,,,,,,,,,412.23,370.47,422.38,411.74,403.52,375.87,331.84,367.53,329.80,316.22,344.10,316.01,319.08,323.59,339.78,335.02,325.16,321.74,300.51,319.99,311.55,,,,,,,,,,331.76,340.10,339.20,332.36,332.99,334.87,409.09,,,
2001-08-15 22:00:38.680000,L7,,,,,,,,,,,,,,,,,320.24,332.31,333.20,337.84,324.60,339.35,347.06,324.52,322.60,325.44,331.42,314.96,331.26,344.51,345.07,314.64,308.76,321.88,330.84,331.62,339.26,344.71,344.53,312.92,330.43,334.72,338.45,331.07,326.95,326.12,322.91,330.63,344.52,352.16,337.54,331.29,309.83,312.73,313.04,314.97,314.96,307.74,311.30,325.44,328.16,,,346.69,337.69,359.48,342.85,342.02,339.87,333.28,335.75,330.83,331.78,336.50
2001-10-02 22:00:04.650000,L7,,,,,,,259.14,302.31,271.67,296.21,310.52,322.78,322.36,330.17,,309.52,325.38,318.97,324.78,319.75,308.45,330.75,336.91,318.69,322.30,326.38,325.76,321.75,339.69,,,312.99,302.71,360.15,348.14,374.03,369.73,,,,,,,,,,,,,335.02,324.32,323.11,312.74,309.66,307.61,300.33,301.73,314.23,310.76,315.47,323.80,333.27,,,,,,,422.62,387.00,376.15,367.68,350.38,
2001-12-05 22:00:18.987000,L7,,,,,,,,376.09,389.28,360.73,367.88,391.50,387.63,356.10,389.49,337.38,390.15,349.08,353.62,340.49,298.94,416.89,406.73,400.94,,,373.92,340.35,336.45,361.64,357.12,310.93,346.00,333.14,,417.69,414.19,351.99,356.67,339.76,,,,,,,,395.28,415.19,418.47,347.84,370.93,316.44,378.78,393.92,317.68,348.64,330.31,350.04,308.27,324.10,338.75,,388.58,351.85,357.57,391.83,,,,,,,397.89
2002-01-06 22:00:31.992000,L7,,,,,,,,332.75,343.95,347.74,315.82,355.14,350.87,347.73,334.44,325.90,338.57,338.54,337.01,335.75,323.09,342.63,352.70,347.28,352.43,341.92,340.03,315.40,340.53,,,,,,,,,,343.28,360.63,339.15,341.29,344.03,337.60,338.37,338.29,340.24,350.28,353.90,359.63,344.75,341.07,328.43,330.36,318.99,316.30,323.05,326.71,327.88,329.82,346.54,359.63,442.62,393.13,384.95,392.60,392.97,388.78,386.88,406.98,393.03,376.20,375.09,406.44
2002-01-22 22:00:40.906000,L7,,,,324.83,345.28,346.86,347.93,351.17,356.34,372.62,371.61,367.65,362.59,356.75,337.53,329.22,341.66,337.89,344.19,300.50,287.40,298.40,305.92,304.20,305.86,299.61,339.65,329.57,342.52,355.82,345.56,331.75,331.04,335.93,337.33,355.00,361.26,359.45,356.34,342.34,350.69,352.57,361.38,359.08,360.25,362.10,351.46,363.56,367.01,375.87,366.77,352.72,336.25,338.20,325.53,317.54,326.80,328.56,334.33,344.05,357.21,371.32,,342.64,341.76,348.44,343.31,336.77,332.19,350.19,346.97,332.01,338.41,346.75
2002-02-23 22:00:43.620000,L7,,,,,,,,,305.88,350.48,274.68,356.90,406.83,381.49,363.92,366.12,389.11,407.13,419.82,300.93,286.57,299.05,308.55,308.85,312.70,299.50,340.24,331.37,354.10,358.59,347.08,328.92,329.85,341.17,340.64,350.18,361.34,354.80,350.35,334.49,338.77,340.68,344.46,339.64,340.83,346.85,346.95,353.87,363.43,365.60,348.88,342.69,328.75,330.40,328.11,316.39,320.66,327.04,,,,,,,338.12,355.52,354.72,341.01,338.51,356.30,352.15,338.74,337.23,338.43
2002-03-27 22:00:37.575000,L7,374.26,345.89,264.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.11,341.90,,,,,,,,,,
2002-04-28 22:00:38.357000,L7,409.94,419.57,412.14,,,,363.20,255.00,263.00,302.24,301.94,309.12,315.07,310.10,,325.93,379.59,348.87,,,,,390.09,386.84,383.99,385.86,373.41,383.90,407.62,,,376.69,356.16,369.28,399.81,428.22,,362.52,347.94,355.36,364.46,352.03,372.95,,,,,382.10,388.82,389.04,318.84,349.49,316.12,319.66,345.29,341.29,341.39,344.82,372.26,397.81,447.13,,,,,,,,,,,,,
2002-06-15 22:00:19.658000,L7,,,,289.72,265.17,386.47,,,380.51,388.98,391.94,388.57,391.46,409.29,406.63,393.07,399.60,400.17,419.66,348.27,327.58,343.53,359.63,341.33,350.45,346.55,339.29,336.40,365.35,372.61,345.25,323.56,323.06,326.07,336.32,329.00,393.16,388.99,384.97,329.55,337.89,337.72,339.07,349.73,325.14,337.92,336.83,333.95,364.77,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01 22:00:15.186000,L7,397.83,372.21,278.57,267.64,279.56,278.11,289.06,326.10,311.71,344.80,400.65,385.65,,,,,399.69,406.81,380.45,404.09,386.93,392.93,425.50,,,,,,,,,,,,,,,,,,,,,,309.68,318.25,322.11,328.45,419.36,417.60,383.09,382.18,375.95,372.93,407.45,309.48,310.72,318.58,307.14,,,,,,,,,,,,,,,
2002-07-17 22:00:08.747000,L7,,,,,,,,,,,,,373.78,351.07,372.09,,,,364.66,366.36,352.27,363.47,375.21,375.57,370.30,347.29,354.81,334.13,351.52,384.12,380.76,345.64,335.28,354.06,360.76,368.87,378.11,395.78,360.87,358.38,347.90,367.83,379.79,,,376.24,383.29,420.24,419.45,,,,,343.83,342.38,340.95,343.29,349.85,,,377.99,384.36,415.70,383.11,375.54,381.67,,,,,,,,
2002-08-02 22:00:01.321000,L7,384.86,359.46,262.28,,,,,340.21,350.29,348.13,356.47,353.09,,,,,,356.36,390.34,372.44,356.24,363.27,391.17,374.43,375.94,378.52,364.28,354.03,380.28,384.67,379.29,368.55,362.66,378.73,361.48,355.99,383.81,369.96,375.29,364.74,367.57,367.65,379.40,348.65,,,,,,,,,,360.99,343.66,341.79,347.15,357.49,356.82,361.62,376.70,397.84,452.67,,,,376.89,353.84,351.03,410.26,406.29,334.79,337.02,330.44
2002-12-24 22:00:09.147000,L7,415.69,380.38,347.16,347.20,348.86,360.07,357.74,360.55,325.00,328.94,330.49,327.03,,362.71,368.02,328.95,348.25,350.71,347.68,349.83,330.33,354.49,362.73,353.60,350.05,349.42,359.83,302.29,356.17,366.32,355.20,339.96,341.85,358.69,355.27,360.80,364.34,354.79,,,,,,,371.04,346.48,350.96,359.27,364.67,365.73,349.31,349.14,329.85,329.44,326.47,383.66,332.25,324.89,328.39,335.33,347.67,358.58,433.60,409.65,392.77,402.79,406.52,337.69,432.81,337.99,352.83,327.54,,
2003-01-25 22:00:18.779000,L7,,,,,,,,,,,,352.42,349.02,358.86,369.00,359.93,,,,,394.08,409.15,405.35,389.73,386.64,375.24,386.66,413.46,,,,,,,,344.90,361.24,358.41,364.32,355.12,359.86,360.31,351.11,337.68,338.62,347.05,352.58,359.02,365.90,365.68,358.38,358.48,346.25,340.03,338.41,322.59,324.30,,,,,,,,,,,297.63,337.83,363.53,389.52,389.06,416.79,
2003-03-30 22:00:31.029000,L7,,,,,,,287.05,303.50,310.99,328.58,333.05,337.50,341.59,409.28,405.20,395.34,407.07,344.64,389.12,403.61,375.72,402.71,409.24,413.12,406.40,398.93,393.74,386.45,405.80,347.57,343.74,393.50,391.81,400.39,330.97,328.81,337.36,294.76,,,,,,,394.99,413.02,388.26,314.39,369.44,377.89,351.11,327.48,303.23,360.69,,,,,,,,,,336.90,326.30,411.16,400.89,386.54,389.82,409.57,375.37,351.58,333.06,336.11
2003-08-13 21:48:45.123000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.87,313.21,296.14,286.38,305.29,309.09,305.26,309.96,304.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-14 21:49:18.766000,L5,,,,,,,,,,,,,,,,,311.30,307.05,321.11,315.03,301.83,318.18,321.73,325.72,333.46,326.85,313.69,306.14,318.75,331.57,318.69,302.16,291.80,309.54,326.63,305.43,303.94,311.48,307.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30 21:49:30.432000,L5,,,,,,,,,,,,,,,,,316.49,318.33,328.70,311.80,302.19,322.69,332.37,326.76,328.04,320.61,310.71,300.42,316.49,341.87,330.28,309.86,301.97,321.03,325.41,316.27,316.02,310.11,312.17,329.65,332.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-03 21:50:19.675000,L5,,,,,,,,,,,,,,,,,326.71,318.85,332.28,327.29,301.14,320.02,320.50,315.18,321.70,310.30,303.45,313.54,329.83,342.69,333.61,312.34,303.11,324.84,312.44,298.07,296.22,302.30,287.45,,,,,,,,,,,,,,,,,,,,,,311.01,335.43,392.27,341.87,306.43,312.91,,,,,,,,
2004-02-21 21:50:47.082000,L5,,,,,,,,,,,,,,,,,315.02,315.23,322.80,310.96,298.98,314.47,325.10,386.29,419.90,388.62,353.21,299.63,315.45,335.79,324.36,306.93,289.54,310.23,311.52,301.68,304.47,304.19,300.87,,,,,,,,,,,,,,,,,,,,,,299.12,353.06,415.36,354.20,314.94,318.44,,,,,,,,
2004-07-30 21:54:28.143000,L5,,,,,,,,,,,,,,,,,312.94,308.92,325.42,320.06,305.32,322.10,325.13,323.52,332.94,328.04,315.41,305.84,319.30,334.30,327.13,304.67,288.67,305.43,317.79,307.95,308.45,311.71,311.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-16 21:55:41.721000,L5,,,,,,,,,,,,,286.17,318.07,322.89,313.91,316.87,316.41,328.49,322.78,303.07,321.18,325.76,319.65,328.54,316.15,309.63,305.17,318.78,326.95,325.65,308.29,296.78,314.52,313.81,301.93,305.70,308.74,307.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-18 21:56:23.891000,L5,,,,,,,,,,,,,,,,,308.66,311.85,331.39,324.12,310.28,328.35,332.44,328.47,321.99,313.08,302.16,296.69,307.45,321.78,321.55,309.47,298.32,315.94,322.72,316.54,314.30,307.02,298.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-03 21:56:42.977000,L5,,,,,,,,,,,,,,,,,308.06,300.36,332.83,325.14,311.56,331.66,337.73,328.37,338.08,313.65,304.53,298.49,310.15,324.75,316.55,309.33,301.55,318.16,324.09,320.82,317.06,318.56,299.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,,,,,,,306.95,301.47,320.17,307.99,298.35,327.31,338.19,329.02,342.76,335.03,320.28,314.62,305.21,323.45,314.84,298.49,284.72,300.77,309.00,322.92,323.66,325.71,317.65,310.57,329.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-23 21:58:31.621000,L5,,,,,,,,,,,,,,,,,320.93,299.26,316.71,311.90,296.57,314.00,324.37,320.73,333.27,327.63,312.49,304.83,317.33,332.79,312.04,297.36,285.20,308.42,311.49,297.91,300.53,308.20,309.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11 21:58:44.158000,L5,,,,,,,,,,,,,,,,,317.76,309.68,328.59,319.29,305.09,320.14,322.54,319.82,329.39,321.80,304.79,299.73,315.50,329.39,319.38,304.04,289.45,307.50,310.62,305.15,305.30,309.13,311.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-12 21:58:55.193000,L5,,,,,,,,,,,,,306.90,317.96,321.09,294.56,318.87,311.93,330.51,314.16,305.63,327.47,328.59,324.21,334.25,328.26,316.42,309.00,312.81,330.53,321.36,305.34,290.36,310.16,320.89,331.26,337.05,338.05,335.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-30 21:59:15.499000,L5,,,,,,,,,,,,,,,,,,,,287.66,284.19,299.23,319.26,315.70,328.33,314.36,305.79,295.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-17 21:59:35.576000,L5,,,,,,,,,,,,,302.26,328.86,332.32,303.12,326.46,307.34,321.71,316.34,302.46,319.98,324.63,320.47,337.08,331.02,316.92,306.12,318.73,335.55,325.85,302.04,284.45,304.32,318.11,304.74,306.62,311.12,315.59,302.54,322.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-19 21:59:56.928000,L5,,,,,,,,,,,,,295.60,320.90,330.94,310.29,327.46,320.37,334.84,328.15,313.08,319.98,327.05,320.27,329.33,321.20,312.22,311.23,327.99,337.11,331.77,314.34,302.36,318.24,318.13,321.45,313.05,313.10,315.69,300.60,314.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-22 22:00:23.113000,L5,,,,,,,,,,,,,283.88,325.78,327.31,302.16,330.98,318.16,333.28,317.47,,,,,313.92,306.23,315.16,313.18,333.42,333.59,327.65,310.99,289.58,297.21,303.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-17 22:03:57.969000,L5,389.64,357.89,286.31,,,,,,,,,,,,,,318.52,312.10,325.11,316.81,304.86,324.66,329.98,324.85,334.78,324.57,313.08,307.38,319.00,331.01,322.34,306.73,292.55,308.21,317.06,309.65,305.68,312.30,310.69,297.28,316.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-02 22:04:12.415000,L5,367.02,345.80,271.39,,,,,,,,,,,,,,315.98,311.00,329.04,316.10,307.02,322.81,328.14,311.54,322.63,312.56,298.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-04 22:04:41.660000,L5,,,,,,,,,,,,,308.07,324.39,322.03,296.72,325.05,320.76,336.76,327.19,311.38,330.00,334.82,327.79,337.89,329.58,320.81,310.82,321.02,335.59,327.70,311.22,301.45,314.55,322.48,315.93,312.26,315.27,314.82,298.22,319.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25 22:06:19.953000,L5,318.50,293.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 22:00:28.480000,L5,,,,,,,,,,,,,308.24,341.14,342.31,315.69,342.94,326.96,340.21,335.60,321.44,335.60,343.38,341.82,351.81,342.90,333.62,324.92,335.60,352.71,334.56,323.27,307.63,327.10,330.07,315.74,322.17,333.64,338.78,328.30,339.91,,,,,,,,,,,,,,,,,,,,316.68,348.44,407.11,368.49,333.86,329.96,313.52,325.00,319.69,321.42,,,,
2007-02-13 22:06:47.368000,L5,,,,,,,,,,,,,292.28,314.53,319.10,299.81,327.41,321.53,336.87,327.46,307.30,330.53,321.88,317.58,327.02,320.29,309.38,297.65,311.53,331.45,325.42,311.66,300.24,315.82,321.71,315.21,304.03,307.19,312.40,301.19,311.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-29 21:55:24.451000,L5,,,,,,,,,,,,,,,,,311.43,307.62,324.40,317.83,303.30,319.60,,,,,,,,311.13,317.12,291.62,289.47,308.52,315.74,300.70,304.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01 21:56:31.615000,L5,,,,,,,,,,,,,,,,,,293.35,309.56,313.39,304.43,324.23,328.52,323.05,331.08,326.98,311.44,300.91,309.50,332.83,324.43,291.81,297.40,286.87,294.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-02 21:57:22.411000,L5,,,,,,,,,,,,,,,,,318.20,309.60,324.01,313.96,306.97,322.51,331.51,321.21,330.04,321.96,311.02,301.61,314.40,327.47,319.24,303.18,290.85,309.80,316.89,302.42,308.30,307.96,306.09,301.79,312.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-21 22:02:44.773000,L5,,,,,,,,,,,,,320.24,327.93,327.45,315.30,323.98,312.59,324.31,322.45,306.37,321.15,326.95,329.88,334.47,332.22,319.36,306.13,324.67,335.36,317.46,300.04,291.88,312.10,316.45,301.39,308.76,317.46,317.72,320.95,321.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-07 22:01:44.406000,L5,,,,,,,,,,,,,,308.62,322.27,302.08,323.49,314.20,326.05,322.10,306.68,318.88,320.85,320.94,329.65,322.23,308.85,303.55,318.10,329.61,321.80,305.52,291.92,313.27,310.01,298.71,303.62,302.12,303.85,299.94,314.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-12 22:01:43.554000,L5,,,,,,,,,,,,,,315.17,323.58,301.39,321.07,312.15,329.42,324.38,307.91,324.99,327.56,322.74,331.13,322.40,309.80,300.43,316.48,329.62,320.96,305.65,296.08,317.31,317.37,306.41,305.82,307.18,305.26,305.10,318.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-28 22:01:38.376000,L5,,,,,,,,,,,,,,,,,,,,,,,323.91,318.76,330.37,321.33,308.94,300.40,313.83,320.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-13 22:01:34.017000,L5,,,,,,,,,,,,,,,,,,300.09,324.73,318.76,307.24,322.77,327.32,322.39,330.85,319.65,302.57,294.70,310.64,321.60,313.91,297.77,287.51,309.35,314.47,303.26,305.34,303.81,298.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11 22:07:51.092000,L8,,369.62,372.59,372.51,370.94,,,,,,,,,,,,,298.36,308.30,369.01,356.70,353.95,306.42,305.09,309.33,299.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.59,378.47,,,,,,,,,,
2013-05-20 22:13:50.559000,L8,,,,,,,,,,,,,,,,,297.36,296.97,308.90,304.53,286.81,299.20,314.72,309.88,311.13,302.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05 22:13:51.261000,L8,360.59,334.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21 22:13:43.313000,L8,,,,,,,,,,,,,,,,,299.82,301.49,309.40,305.10,287.33,301.17,367.51,374.86,371.31,374.96,370.99,355.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.03,331.11,303.82,,,,,,,,,
2013-07-07 22:13:48.209000,L8,,,,,,,,,,,,,,,,,294.28,299.24,308.49,303.16,285.70,298.67,313.73,309.82,309.47,303.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.61,323.33,302.36,,,,,,,,,
2013-08-08 22:13:49.700000,L8,360.91,333.53,,,,,,,,,,,,,,,297.83,302.48,309.81,303.26,284.13,300.75,311.57,308.29,308.58,303.34,297.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-09 22:13:49.699000,L8,396.22,372.93,242.06,,,,,,,,,,,,,,297.58,297.49,307.22,301.31,283.25,297.81,309.99,305.51,307.32,300.82,364.36,354.45,374.54,377.12,375.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-25 22:13:41.239000,L8,,,,,,,,,,,,,,,,,,341.22,321.01,300.52,279.56,301.24,316.28,311.42,312.44,304.52,299.00,,,,,,,,,,380.72,379.73,,,,,,,,,,,,,,,,,,,,,,,302.92,357.96,395.29,329.28,303.29,,,,,,,,,
2013-10-27 22:13:31.854000,L8,401.53,385.54,261.65,,,,,,,,,,,,,,300.40,306.53,308.51,302.06,284.33,302.50,309.52,307.92,307.94,301.69,297.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.18,324.64,301.99,,,,,,,,,
