dates,satname,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0003,nzd0243-0012,nzd0243-0013,nzd0243-0014,nzd0243-0015,nzd0243-0018,nzd0243-0019,nzd0243-0020,nzd0243-0023,nzd0243-0024,nzd0243-0026,nzd0243-0027,nzd0243-0028,nzd0243-0029,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034,nzd0243-0010,nzd0243-0011,nzd0243-0016,nzd0243-0017,nzd0243-0021,nzd0243-0022,nzd0243-0025,nzd0243-0030
2002-02-18 21:42:30.251000,L7,,,,,326.86,336.04,331.93,305.58,340.19,,346.10,348.89,359.39,365.91,358.87,350.86,343.09,358.35,338.63,362.80,357.89,356.07,333.45,315.98,311.63,315.29,326.02,337.46,338.16,348.47,358.86,369.54,360.33,358.06,297.01
2002-04-07 21:42:28.931000,L7,,,,,,,,,,,,,,,,,,,,,,,,375.94,349.86,349.08,350.81,,,,,,,,392.50
2002-08-29 21:41:39.340000,L7,360.89,348.17,364.25,339.43,357.34,374.76,368.20,352.90,378.11,303.00,381.60,369.29,392.76,380.03,388.99,394.16,,,,404.38,399.00,386.81,356.45,342.38,327.47,329.64,333.24,390.83,382.14,383.52,379.33,,,400.24,358.20
2002-09-14 21:41:31.043000,L7,374.71,369.41,381.24,360.30,379.71,394.31,399.79,406.14,403.17,350.66,387.01,389.43,406.28,408.37,405.53,405.22,,,,,,,,337.54,327.11,317.08,338.22,403.73,398.65,397.61,393.64,,,,
2003-01-20 21:42:09.421000,L7,,,,,380.99,392.56,390.47,392.98,368.46,,405.44,406.41,344.68,355.94,358.69,347.91,343.65,362.22,347.68,359.43,341.58,348.67,332.01,306.05,305.90,296.87,331.91,382.90,401.33,347.53,351.50,368.58,362.75,356.81,297.70
2003-02-21 21:42:20.469000,L7,301.05,315.87,304.17,,327.49,374.50,381.56,380.01,358.89,,345.17,352.21,344.52,360.13,387.09,388.41,392.46,367.95,360.05,359.53,367.56,353.82,334.27,302.73,299.97,300.44,325.84,382.27,344.67,350.80,353.12,364.56,376.14,358.90,306.68
2003-05-28 21:42:22.600000,L7,,,,,,,,,,,,,,,,,,,,,,419.81,406.44,367.75,352.01,352.31,357.66,,,,,,,,381.19
2003-09-25 21:31:19.142000,L5,351.77,344.28,355.90,319.39,343.38,360.46,370.00,363.55,370.05,,382.05,367.28,375.75,370.10,372.91,373.62,379.59,369.84,375.27,382.02,371.41,369.04,354.96,309.14,294.74,303.50,297.50,372.05,379.49,370.19,369.93,382.76,378.09,370.86,329.27
2003-11-28 21:32:10.197000,L5,309.20,332.10,351.51,330.46,345.27,368.06,398.89,388.14,392.47,,404.44,394.55,404.38,396.67,391.52,399.53,,,,397.32,393.43,387.61,378.73,344.95,329.52,333.11,337.18,396.21,400.13,395.80,396.10,,,,357.07
2003-12-14 21:32:14.677000,L5,,,,273.75,328.80,351.57,369.52,366.41,370.90,,379.44,344.76,363.08,358.40,356.07,367.86,381.63,366.24,369.19,357.40,347.66,349.10,334.45,307.49,294.09,302.07,297.33,374.38,375.44,343.61,351.24,384.99,380.56,364.72,320.88
2004-04-04 21:33:01.582000,L5,379.07,369.61,384.90,349.10,382.85,401.33,407.09,396.13,407.61,347.62,,,,,,,,,,414.69,414.58,402.10,396.52,346.45,334.46,332.38,341.88,,,,,,,,364.85
2004-05-06 21:33:58.336000,L5,358.27,348.54,353.40,325.94,355.83,374.68,378.13,379.21,383.52,,384.81,377.53,379.43,364.89,377.48,377.97,393.74,387.93,385.47,392.35,389.46,375.98,363.01,325.70,309.48,312.33,311.66,384.10,385.28,377.69,380.66,396.36,396.27,383.42,343.64
2004-06-07 21:34:54.755000,L5,372.33,371.25,371.52,356.84,373.29,393.47,400.41,396.57,399.75,320.45,403.33,401.04,400.84,394.56,402.31,399.32,,,,411.99,413.04,403.05,386.71,343.54,326.08,332.68,326.73,402.62,400.29,397.41,400.35,,,,361.41
2004-07-25 21:36:14.167000,L5,359.16,337.71,359.81,334.75,358.14,368.87,376.77,371.62,379.37,,377.62,367.28,365.22,325.43,375.94,367.16,391.87,383.07,376.09,387.69,382.18,372.09,362.79,324.52,303.62,307.98,305.34,379.70,378.42,354.44,367.76,386.04,383.12,377.57,336.80
2004-08-10 21:36:32.804000,L5,,,,,,,,,,,,,,,,,,,,,,410.32,398.56,357.48,337.77,339.05,344.76,,,,,,,,378.02
2005-03-22 21:40:41.327000,L5,346.22,316.67,345.79,296.68,342.44,364.30,368.21,363.12,371.37,,371.95,363.64,365.96,350.56,368.01,363.65,380.55,373.25,375.19,378.02,375.46,365.85,348.78,318.43,303.81,308.13,301.49,373.51,376.43,350.20,369.55,378.76,381.19,366.94,332.60
2005-05-09 21:40:56.205000,L5,,,,,,,,,,,,,,,,,,,,,416.14,410.85,398.25,355.24,336.72,340.54,341.47,,,,,,,,369.33
2005-06-10 21:41:12.271000,L5,352.79,327.79,356.07,330.47,354.77,365.11,366.18,367.48,374.61,,380.92,372.44,382.08,351.83,377.11,372.12,388.49,377.65,380.72,387.57,387.42,380.93,365.33,326.04,309.37,311.52,303.53,378.08,377.55,373.32,384.31,389.95,389.17,378.63,342.17
2005-07-12 21:41:23.560000,L5,,,,,,,,,,,,,,,,,,,,,,417.74,402.29,356.15,334.69,339.07,342.89,,,,,,,,373.02
2005-07-28 21:41:34.002000,L5,,,,,,,,,,,,,,,,,,,,,,,411.73,359.32,344.54,347.42,348.89,,,,,,,,378.50
2005-08-29 21:41:46.875000,L5,,,,,,,,,,,,,,,,,,,,,,412.32,401.55,358.52,343.51,352.88,363.90,,,,,,,,370.92
2005-09-14 21:41:48.852000,L5,,,,,,,,,,,,,,,,,,,,,,418.97,407.00,359.35,344.65,345.84,353.67,,,,,,,,372.62
2006-01-20 21:43:37.291000,L5,,,,283.74,336.48,352.82,360.24,355.74,362.28,,373.35,368.67,380.63,370.38,365.05,364.73,377.07,376.05,375.80,379.77,376.95,374.70,354.52,317.17,292.27,299.64,293.49,371.16,376.39,360.41,364.30,374.76,378.43,372.97,337.90
2006-04-10 21:45:17.175000,L5,362.31,348.65,365.10,338.64,363.88,373.06,380.94,376.53,382.40,315.39,392.53,393.77,399.29,386.55,390.76,381.64,400.42,396.04,391.66,399.06,397.55,389.09,373.63,332.98,313.81,316.48,314.83,385.09,388.24,392.27,399.31,402.94,400.56,389.37,350.02
2006-06-13 21:46:13.914000,L5,347.23,326.69,352.07,326.62,351.82,365.02,371.95,369.46,373.69,,370.94,349.74,289.40,311.92,370.57,357.54,386.81,374.28,378.71,380.67,379.99,377.91,363.88,330.43,298.93,308.10,297.78,378.51,377.47,317.08,370.73,376.98,381.04,373.02,339.31
2006-06-29 21:46:28.892000,L5,355.54,326.94,354.27,331.24,346.91,359.66,313.41,363.34,365.81,,,,,,,,,384.40,384.76,386.59,381.65,378.82,361.81,330.84,303.33,314.90,285.53,373.45,339.39,,,,,380.15,339.50
2006-09-01 21:47:19.401000,L5,347.43,333.28,351.93,329.78,353.18,369.51,376.35,374.71,376.83,,370.53,366.54,372.25,362.50,386.16,374.59,389.52,373.24,378.55,379.69,374.37,372.20,354.13,318.74,297.33,306.67,299.55,369.92,373.78,373.57,390.75,399.56,392.91,376.00,332.02
2006-09-17 21:47:31.164000,L5,348.77,333.49,351.45,336.93,355.32,375.65,376.91,378.25,379.22,294.08,375.44,371.89,380.14,368.96,389.66,381.49,394.40,380.42,379.09,377.86,373.40,373.52,357.04,319.46,305.00,310.58,311.54,370.46,372.96,382.81,399.81,405.06,396.25,373.34,338.26
2006-10-03 21:47:41.787000,L5,,,,331.49,347.84,355.94,360.33,371.52,373.72,,390.35,365.23,350.93,,,,361.89,393.70,392.33,390.77,389.61,382.28,358.28,326.03,309.96,316.02,318.31,382.43,389.77,,,402.04,394.80,386.55,339.97
2006-12-06 21:48:41.029000,L5,360.85,348.87,347.60,356.16,365.46,380.02,368.17,374.32,382.17,347.89,389.23,387.82,392.80,378.74,373.95,370.16,382.70,385.21,386.31,385.19,386.36,386.84,371.40,362.74,357.36,357.02,370.18,381.61,390.94,376.20,380.92,389.96,386.86,385.39,364.43
2007-01-07 21:48:55.368000,L5,,,,259.44,319.34,337.75,345.79,345.33,349.01,,356.66,354.03,357.88,358.01,355.79,355.29,355.95,358.05,358.63,360.55,357.89,352.08,338.97,305.40,283.54,,,355.68,356.89,342.38,358.89,368.05,360.71,354.13,326.34
2007-02-08 21:48:38.839000,L5,340.51,288.89,329.12,299.04,341.96,358.18,369.03,370.93,373.83,,382.46,356.68,,,343.82,353.49,377.61,367.71,368.56,371.14,365.04,356.72,344.21,317.25,295.41,299.07,296.69,379.35,381.40,277.45,354.62,373.78,379.21,368.73,332.07
2011-01-02 21:43:35.332000,L5,,,,285.22,336.14,355.63,369.29,366.61,371.78,,379.72,370.66,369.97,366.59,366.47,360.57,386.75,382.53,375.46,378.53,365.32,360.93,345.56,313.76,297.59,305.01,300.05,372.82,375.16,360.35,369.69,390.66,383.55,376.97,332.45
2011-03-07 21:43:36.874000,L5,343.23,321.46,346.59,318.54,347.42,364.02,368.48,366.81,367.48,,377.39,375.31,369.52,353.70,364.63,362.69,382.68,378.28,377.63,375.81,380.91,360.80,348.83,320.05,306.76,303.11,300.04,374.86,374.55,352.92,364.79,388.14,380.79,370.47,335.48
2013-05-31 21:55:43.729000,L8,284.58,314.84,333.94,312.72,336.10,360.34,357.54,356.89,354.31,,361.04,354.97,342.04,347.08,,,380.39,361.84,368.62,368.88,374.13,360.05,340.74,327.11,311.00,319.01,328.72,364.10,358.27,345.91,,379.24,343.45,357.02,341.57
2013-08-19 21:55:42.209000,L8,,,,313.92,336.51,350.35,357.14,359.64,351.17,,366.93,357.51,361.67,349.94,362.99,343.38,381.11,352.93,364.98,365.19,372.58,,,324.51,312.11,315.49,316.90,359.65,357.29,349.53,346.56,388.88,338.44,362.90,338.60
2013-09-04 21:55:42.619000,L8,,,,311.93,331.75,348.61,353.89,354.33,351.80,,367.11,357.50,359.34,350.58,363.67,362.18,380.12,359.04,367.27,371.10,370.52,355.70,339.56,323.76,311.21,315.33,325.15,360.98,354.25,351.31,360.82,388.14,339.51,359.82,337.06
2013-10-06 21:55:33.702000,L8,276.13,,,301.21,321.49,346.12,351.67,338.90,346.11,,360.71,358.41,362.22,353.31,363.91,365.05,377.08,354.43,363.79,326.34,,,,316.15,309.13,310.36,318.27,349.49,347.37,357.49,362.89,383.02,375.63,354.80,331.10
2013-12-09 21:55:16.438000,L8,,,345.08,333.40,345.27,358.99,377.41,369.20,368.58,335.13,382.81,381.92,390.19,384.04,387.49,355.80,,,379.38,384.21,388.97,378.86,367.61,335.49,323.79,326.83,337.05,374.31,373.97,380.56,394.53,,,378.77,348.90
2014-01-10 21:54:55.235000,L8,349.37,322.06,347.58,333.78,351.87,372.69,399.75,370.71,368.93,309.77,389.65,379.06,390.33,379.68,377.55,379.25,394.10,384.63,380.34,386.55,385.09,379.91,369.00,335.26,324.58,327.53,339.39,379.61,378.18,382.41,383.60,395.04,388.94,376.89,349.39
2014-02-11 21:54:32.873000,L8,,,,,386.90,396.96,398.63,397.36,385.39,,404.81,,,,,,,,,410.52,404.06,407.92,387.51,353.32,333.25,338.41,352.74,399.77,404.47,,,,,400.82,363.86
2014-03-15 21:54:10.286000,L8,368.16,344.86,372.16,345.44,367.25,384.66,393.53,387.06,380.38,310.51,392.64,402.11,406.71,382.91,393.64,394.53,,336.09,331.20,399.37,391.15,387.56,377.44,343.09,327.58,315.70,308.66,393.38,395.73,399.74,407.84,369.80,338.89,398.54,352.65
2014-03-31 21:53:53.631000,L8,344.50,311.73,347.40,371.78,351.26,375.35,389.81,377.14,,349.29,,,,,,,,,,,,352.44,382.21,338.63,324.95,331.88,343.92,,,,,,,,354.33
2014-05-02 21:53:22.380000,L8,365.99,361.45,377.57,371.95,378.28,386.16,402.62,,411.94,333.47,395.54,396.37,409.04,414.96,,,,,,,,,,360.52,341.66,345.57,359.25,390.69,392.66,,,,,,375.49
2014-05-18 21:53:11.680000,L8,,,,,330.30,349.56,354.66,354.94,352.30,,340.23,,,,297.95,307.19,,353.99,357.88,322.85,283.01,,,321.38,301.62,307.99,315.46,360.53,351.95,343.30,313.31,376.10,338.38,349.86,334.70
2014-06-19 21:53:23.387000,L8,,,,316.48,334.47,351.51,354.76,357.52,353.35,,343.46,351.74,339.30,344.13,299.03,294.18,,355.07,361.13,359.87,295.77,,,327.72,307.82,313.65,315.53,365.83,358.22,347.45,351.85,378.08,341.89,355.37,341.15
2014-07-05 21:53:29.728000,L8,,,,313.34,334.75,353.67,356.26,359.50,357.33,,343.70,356.84,350.09,,301.92,310.10,,360.79,363.17,362.05,373.95,356.67,333.78,323.30,302.97,312.31,321.12,367.35,362.52,349.40,316.65,381.42,345.33,355.94,342.37
2014-07-21 21:53:33.067000,L8,,,,314.39,336.09,353.39,355.49,359.00,355.77,,358.55,358.99,361.91,355.00,359.94,318.49,381.70,359.95,363.46,366.37,343.97,,,325.77,311.80,316.88,320.66,365.01,359.91,348.55,361.03,385.83,346.12,358.47,341.27
2014-08-06 21:53:41.801000,L8,,,,314.97,332.77,352.09,356.14,357.40,354.77,,318.07,352.74,350.60,346.71,301.55,309.23,378.53,354.28,359.20,359.36,303.03,,,322.31,305.84,303.47,323.35,364.97,357.18,348.12,355.50,378.05,342.38,357.49,335.17
2014-09-07 21:53:48.789000,L8,333.55,316.27,335.47,313.86,334.59,351.96,356.06,355.81,353.63,257.39,362.97,356.29,365.10,358.55,364.38,357.69,378.34,361.19,366.55,366.21,372.41,,,322.80,309.39,313.37,324.21,360.86,358.22,347.74,366.01,379.31,347.49,360.61,333.17
2014-09-23 21:53:45.463000,L8,331.25,309.64,330.61,309.08,325.03,342.23,353.10,342.90,348.56,,358.02,353.94,361.47,352.39,360.86,341.66,374.66,359.15,363.37,357.28,366.03,350.35,332.14,320.12,305.80,308.59,323.28,355.34,350.69,347.70,335.24,376.04,341.35,356.67,329.04
2014-10-25 21:53:52.818000,L8,,,,296.08,321.55,342.88,348.40,337.50,342.00,,350.24,355.62,352.77,353.80,360.61,356.31,367.46,357.56,360.96,361.72,368.31,,,308.33,306.08,306.87,315.59,351.61,345.42,349.64,358.63,372.15,357.34,354.26,
2014-11-10 21:53:54.574000,L8,,,,297.54,319.96,340.56,348.93,337.73,342.93,,355.63,356.51,365.84,358.05,362.53,358.96,370.10,361.24,361.75,361.73,371.21,351.85,336.89,313.37,306.70,306.94,316.65,350.71,345.38,357.78,361.18,373.48,370.77,355.36,331.50
2015-01-13 21:53:42.692000,L8,323.17,304.95,,292.46,317.33,348.59,355.03,349.80,349.33,,360.02,365.14,374.28,362.53,365.33,361.40,378.09,365.45,364.53,370.99,371.38,364.21,352.92,322.07,313.29,318.82,326.17,357.30,356.31,361.59,371.57,377.22,372.54,361.88,337.40
2015-01-29 21:53:37.750000,L8,344.12,322.19,346.28,330.61,340.10,369.76,368.47,367.90,366.22,319.06,385.23,380.15,385.89,378.45,377.45,375.95,387.39,378.47,378.05,385.20,385.81,379.82,367.85,337.02,327.00,329.31,343.96,373.03,373.59,381.74,390.60,391.76,385.84,378.40,348.09
2015-04-03 21:53:02.921000,L8,,,,,321.99,340.65,349.69,336.34,345.07,,340.28,,,,,,320.75,330.23,347.39,327.93,299.89,,,,,,,352.68,347.55,,,340.61,331.55,339.41,
2015-04-19 21:53:02.761000,L8,342.77,327.78,343.34,331.64,350.20,372.92,381.99,369.87,370.97,286.41,292.24,319.41,319.17,361.46,376.81,378.59,388.91,386.21,383.68,397.39,395.67,393.55,374.83,343.10,332.77,335.43,343.11,369.32,359.66,345.89,344.99,394.22,388.67,389.03,354.25
2015-05-05 21:52:48.765000,L8,304.44,314.44,330.74,307.86,334.42,356.04,358.88,359.52,354.54,,360.85,361.01,358.77,350.69,353.23,353.12,378.37,361.66,367.97,374.12,374.84,360.47,351.01,322.34,308.82,312.68,322.29,364.90,360.13,352.41,350.02,374.76,342.33,364.64,335.17
2015-06-06 21:52:52.670000,L8,,,,307.00,332.01,351.36,353.94,354.93,354.30,,350.33,,,,,,,350.88,363.80,327.87,291.26,,,,,,,363.31,353.31,,,333.94,334.68,351.29,
2015-07-08 21:53:09.931000,L8,,,,324.42,339.80,360.21,361.87,367.69,361.51,,368.06,353.98,356.62,356.22,303.37,319.00,303.60,363.29,371.38,374.43,379.10,366.62,355.14,329.77,312.40,314.31,320.77,372.45,367.06,353.31,326.16,382.77,342.07,366.06,339.33
2015-08-25 21:53:27.637000,L8,,,,316.09,333.96,356.21,357.95,356.64,356.10,,369.17,357.46,360.47,356.65,357.24,355.10,379.31,,366.33,374.04,375.55,360.32,342.37,322.49,310.65,311.78,328.60,363.73,358.63,354.01,365.33,379.22,,364.66,313.09
2015-10-12 21:53:41.053000,L8,357.65,323.40,348.29,327.67,337.70,360.34,363.29,362.63,360.21,315.10,379.02,379.04,382.34,377.05,382.85,374.53,389.91,377.27,377.30,381.97,384.73,376.69,364.23,334.33,323.27,325.03,335.95,366.66,366.22,378.04,403.64,388.73,385.98,379.45,341.96
2015-11-13 21:53:46.761000,L8,328.63,313.47,334.26,307.60,330.59,350.02,355.18,354.71,350.50,292.66,364.23,367.50,378.15,353.14,363.50,364.55,380.59,369.28,368.42,376.09,376.65,366.31,357.05,325.68,317.00,317.13,326.25,357.58,355.39,,,382.70,378.73,371.71,337.04
2016-01-16 21:53:45.577000,L8,342.41,324.08,344.99,331.88,344.09,369.13,398.38,370.36,366.79,308.42,398.28,384.13,394.66,378.66,372.40,374.28,388.82,379.03,376.37,383.99,383.99,378.94,365.30,329.28,322.71,324.63,335.78,372.20,376.08,376.94,398.53,388.94,385.70,376.96,342.35
2016-02-01 21:53:43.370000,L8,318.64,306.18,323.80,284.64,328.15,344.63,352.09,347.75,347.73,,356.72,355.99,365.98,348.54,356.28,351.39,365.21,355.95,352.66,360.74,357.05,355.27,329.08,309.21,292.05,298.51,320.09,356.16,354.96,349.59,358.85,370.24,340.05,352.96,326.05
2016-03-04 21:53:33.647000,L8,314.94,307.43,308.06,,327.78,346.05,351.83,348.55,346.62,,353.70,355.15,353.51,346.71,355.60,353.03,369.80,353.91,351.45,,,,,319.93,307.52,310.18,314.70,355.13,351.13,348.70,348.35,370.22,338.48,,331.03
2016-04-05 21:53:18.618000,L8,,,,,,,351.43,333.54,328.69,,,,,,,,,,,,,,,,,,,350.52,335.57,,,,,,
2016-07-26 21:53:40.722000,L8,,,,303.67,331.99,352.04,354.85,359.30,356.95,,352.65,355.48,344.03,,,,,318.10,336.47,,,,,321.80,305.01,307.16,294.95,366.79,363.14,,,371.61,336.15,,334.23
2016-08-27 21:53:50.127000,L8,327.87,317.30,334.26,306.42,325.24,346.88,351.06,352.75,351.65,,351.57,353.06,345.76,342.81,303.49,311.70,375.85,336.86,355.19,,,,,318.74,305.70,310.84,324.68,359.20,352.81,348.39,347.65,371.25,336.10,331.44,326.18
2016-09-12 21:53:54.163000,L8,331.19,317.82,335.60,309.26,326.16,346.90,354.27,353.61,352.16,,354.58,354.16,344.60,346.51,356.48,317.01,376.80,345.62,359.48,,,,,314.64,298.63,309.76,323.41,356.86,351.45,349.95,361.12,371.41,337.00,340.15,324.60
2016-12-17 21:53:55.739000,L8,,,,292.52,323.51,344.54,352.86,336.29,347.46,,356.30,343.32,334.93,356.80,356.11,359.83,374.34,365.11,360.64,367.52,366.79,357.78,342.79,321.79,311.84,313.71,326.27,352.41,346.15,354.34,354.98,376.02,372.78,361.82,334.92
2017-02-03 21:53:41.480000,L8,334.48,316.23,334.21,326.79,341.05,358.77,362.30,365.47,361.99,310.28,367.53,376.88,384.89,370.18,363.76,371.06,383.62,375.93,370.26,382.62,378.98,379.98,363.13,328.69,319.47,322.36,338.20,370.25,367.77,373.04,389.71,383.03,384.47,374.75,345.29
2017-06-11 21:53:21.571000,L8,325.61,318.55,334.64,324.63,333.63,356.91,358.44,362.62,359.47,,365.19,360.97,337.23,355.65,357.18,371.21,387.53,368.55,368.74,376.91,380.09,365.47,338.42,329.72,317.73,319.88,327.95,367.30,362.30,356.38,357.31,389.74,379.65,367.50,344.65
2017-06-27 21:53:26.500000,L8,,,,,,,,358.12,358.37,,370.32,349.50,328.73,,,,,,,,,,,322.95,311.67,319.29,325.10,364.54,355.04,,,,,,341.20
2017-08-14 21:53:43.292000,L8,332.68,320.13,341.98,319.23,334.79,355.99,360.06,361.33,357.37,,368.12,355.69,338.91,352.79,309.58,361.06,382.39,357.67,365.00,,,,,323.14,311.44,316.82,325.90,365.47,362.03,352.06,364.01,384.68,349.91,355.66,337.39
2017-08-30 21:53:46.660000,L8,329.44,318.88,333.97,317.23,329.04,351.86,354.25,355.47,353.20,266.11,363.37,356.05,339.60,354.17,361.94,362.19,379.71,357.86,362.42,365.11,374.02,354.91,334.68,323.56,317.04,318.95,328.10,361.23,354.68,352.61,370.73,384.74,347.13,360.76,336.07
2017-10-01 21:53:54.824000,L8,328.95,312.75,329.51,306.67,322.70,342.71,352.07,343.34,343.64,285.25,357.25,350.16,335.06,357.16,367.34,364.13,378.11,357.96,362.15,365.30,371.82,354.93,333.01,321.95,311.81,313.90,326.61,357.65,350.40,356.94,381.23,381.61,369.27,358.40,330.94
2017-10-17 21:53:58.321000,L8,,,,,,,,,,,359.95,373.28,376.78,362.78,362.78,360.41,376.86,,,305.44,370.40,349.18,328.16,313.07,305.68,,,,339.56,358.15,381.34,376.08,,,332.66
2017-12-04 21:53:49.317000,L8,,,,272.15,322.96,347.92,351.56,342.53,345.36,,359.40,370.76,374.30,361.65,369.13,362.78,377.21,363.17,361.82,364.84,371.55,360.17,347.52,321.03,311.91,311.73,324.47,354.08,348.32,359.53,381.35,380.24,369.30,359.42,334.46
2018-04-11 21:53:01.396000,L8,325.53,318.44,335.49,298.81,331.63,354.58,359.19,356.77,352.91,285.61,357.89,356.35,339.59,350.89,359.79,361.25,378.04,360.14,361.30,365.89,372.97,363.53,340.63,326.04,314.55,320.14,326.69,360.81,359.16,356.96,360.57,378.62,352.92,363.56,338.24
2018-05-29 21:52:29.440000,L8,327.97,322.70,344.01,320.63,339.15,356.81,360.08,361.25,353.95,,364.05,368.32,357.88,358.49,367.01,366.83,383.33,364.27,368.97,372.91,380.06,368.69,348.14,331.09,322.17,322.00,331.87,366.46,364.15,359.66,363.41,384.79,376.65,365.86,344.70
