dates,satname,nzd0025-0000,nzd0025-0014,nzd0025-0015,nzd0025-0058,nzd0025-0059,nzd0025-0001,nzd0025-0002,nzd0025-0003,nzd0025-0004,nzd0025-0005,nzd0025-0006,nzd0025-0007,nzd0025-0008,nzd0025-0009,nzd0025-0010,nzd0025-0011,nzd0025-0012,nzd0025-0013,nzd0025-0023,nzd0025-0024,nzd0025-0025,nzd0025-0026,nzd0025-0027,nzd0025-0028,nzd0025-0029,nzd0025-0030,nzd0025-0031,nzd0025-0032,nzd0025-0033,nzd0025-0034,nzd0025-0035,nzd0025-0036,nzd0025-0037,nzd0025-0038,nzd0025-0039,nzd0025-0040,nzd0025-0041,nzd0025-0042,nzd0025-0043,nzd0025-0044,nzd0025-0045,nzd0025-0046,nzd0025-0047,nzd0025-0089,nzd0025-0090,nzd0025-0091,nzd0025-0092,nzd0025-0093,nzd0025-0016,nzd0025-0017,nzd0025-0018,nzd0025-0019,nzd0025-0020,nzd0025-0021,nzd0025-0022,nzd0025-0071,nzd0025-0072,nzd0025-0073,nzd0025-0074,nzd0025-0075,nzd0025-0085,nzd0025-0086,nzd0025-0087,nzd0025-0048,nzd0025-0049,nzd0025-0050,nzd0025-0051,nzd0025-0052,nzd0025-0053,nzd0025-0054,nzd0025-0055,nzd0025-0056,nzd0025-0057,nzd0025-0060,nzd0025-0061,nzd0025-0062,nzd0025-0063,nzd0025-0076,nzd0025-0077,nzd0025-0078,nzd0025-0079,nzd0025-0080,nzd0025-0081,nzd0025-0082,nzd0025-0083,nzd0025-0084,nzd0025-0088,nzd0025-0094,nzd0025-0095,nzd0025-0064,nzd0025-0065,nzd0025-0066,nzd0025-0067,nzd0025-0068,nzd0025-0069,nzd0025-0070
2021-11-25 22:17:57.047000,L8,283.74,,,,,297.73,380.36,377.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.17,333.81,310.91,,,,,,,,,,,,,,,,,,317.56,,,,,,,,,,,,,,,,,,
2022-05-04 22:17:26.026000,L8,307.08,305.07,307.29,340.72,324.67,318.13,333.85,,,,297.72,292.72,304.21,286.01,283.11,283.17,282.23,299.35,303.11,300.12,309.08,301.29,292.44,299.24,300.62,309.94,300.34,295.06,302.39,304.85,318.21,308.46,308.93,296.50,297.50,344.00,325.99,303.16,300.38,297.06,295.96,309.16,306.60,385.02,390.99,393.98,390.03,412.05,311.93,305.56,291.82,283.09,280.44,286.90,301.04,,,,302.11,295.95,331.74,,,299.62,307.48,315.10,310.51,308.82,304.96,306.74,310.18,316.29,319.57,374.15,334.18,321.47,327.63,310.64,309.32,316.68,321.91,320.64,317.18,322.75,318.62,421.69,381.23,403.88,403.15,330.99,431.56,432.57,399.52,,,
2022-06-21 22:17:48.970000,L8,377.59,344.39,348.42,368.90,370.94,379.73,376.41,378.57,378.77,376.21,369.18,368.36,374.09,371.42,369.10,357.63,350.60,368.47,367.58,361.82,,,,,,,,362.53,359.00,354.32,360.88,364.68,369.98,366.62,361.59,356.99,366.20,362.01,365.53,367.47,365.65,367.32,367.65,392.79,393.84,389.45,386.78,385.78,350.74,351.20,343.78,353.71,356.33,354.67,368.69,379.64,394.82,404.80,403.00,402.90,380.10,388.39,390.87,367.91,362.83,353.78,356.78,360.29,367.30,368.81,371.66,372.89,363.47,370.15,377.32,375.52,374.71,388.81,386.25,387.55,396.11,403.33,407.51,412.86,396.52,396.10,397.23,390.96,387.04,380.59,392.57,390.02,383.87,380.67,373.79,378.58
2022-09-09 22:18:11.619000,L8,390.57,313.75,322.29,,,381.99,383.31,380.44,339.05,,326.62,353.18,347.06,346.45,298.28,308.18,328.24,348.29,272.92,278.49,282.00,260.75,,,330.39,323.97,272.45,275.02,290.53,,323.56,326.60,378.28,343.29,291.71,314.54,312.45,324.34,,,,321.59,380.74,339.11,,,,,318.69,321.13,298.40,281.29,269.09,269.78,269.54,,,368.96,349.51,,,,392.35,,,,,,,,,316.31,362.20,342.76,319.06,329.91,,,,,,,,,,,337.61,,,,,321.56,430.22,368.18,,
2022-10-27 22:18:13.761000,L8,,260.73,358.92,,,,,,,,,,,,373.75,299.03,256.21,261.23,337.41,283.94,314.72,375.10,319.09,359.74,372.09,,,,,,,,,,,,,,,,,,,,,,,,354.56,,,,,,,,,,,,,,,378.52,307.96,322.83,310.72,314.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04 22:18:00.514000,L9,348.69,305.84,302.50,352.64,339.11,346.04,345.54,338.51,336.35,338.11,342.77,346.93,355.26,344.72,340.92,327.10,316.95,310.47,358.00,341.35,332.31,343.39,363.73,357.77,358.26,352.41,339.95,340.91,353.34,366.03,362.37,359.52,374.40,399.65,347.67,337.91,333.77,338.66,341.09,332.17,341.08,317.55,332.49,357.07,362.32,362.18,360.75,360.70,306.14,318.40,316.60,321.19,327.08,346.08,374.56,356.51,355.77,358.80,357.44,359.61,384.19,389.02,388.63,347.03,353.28,344.31,337.80,341.72,342.92,332.39,335.38,343.89,362.58,341.43,340.19,339.28,362.45,363.85,360.46,364.56,376.98,386.95,379.88,388.32,396.47,397.94,396.24,379.94,362.18,378.48,379.83,380.89,375.02,383.02,372.16,372.13
2023-01-15 22:17:53.980000,L8,,265.72,265.11,,,,,,,,265.99,270.86,268.56,271.80,273.95,271.40,319.61,263.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.64,258.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16 22:17:50.035000,L8,358.59,346.40,348.52,353.73,330.42,351.76,345.95,357.89,368.53,358.95,332.69,320.31,318.44,313.55,309.30,324.68,338.16,340.25,312.82,312.33,354.55,346.67,341.90,340.31,347.04,356.13,343.45,320.34,322.47,321.71,329.94,339.91,336.23,337.69,364.19,363.28,360.66,343.08,340.35,336.89,327.77,337.44,338.53,361.82,361.45,352.95,353.90,349.22,353.75,348.53,345.29,353.54,344.35,325.53,317.37,351.40,392.82,352.37,355.32,366.45,373.76,364.33,364.31,355.76,359.14,350.96,343.28,325.60,340.47,341.35,345.73,347.57,359.98,317.90,319.40,318.89,325.32,358.39,352.87,354.18,359.17,379.32,371.58,358.96,344.78,339.24,367.80,346.05,343.65,329.50,354.69,361.79,353.54,348.81,383.77,369.48
2023-07-26 22:17:23.328000,L8,319.69,327.59,336.70,362.82,357.78,319.85,327.40,334.48,359.34,366.35,362.24,360.30,328.54,348.22,338.50,324.01,313.84,311.21,310.50,320.93,334.10,335.88,327.70,346.22,331.32,316.37,308.89,288.92,290.29,341.56,319.17,322.56,312.42,318.95,368.89,357.26,348.07,341.18,333.94,344.09,334.81,341.53,343.34,339.42,358.78,356.49,362.67,364.22,321.15,321.29,314.78,311.69,308.99,307.95,296.88,322.30,328.57,339.69,343.44,340.74,,,335.47,329.94,308.28,299.52,287.45,,,,,,,338.41,321.25,343.22,352.24,412.42,391.32,385.40,403.42,393.98,389.86,,,,322.39,399.88,411.42,345.15,347.28,327.66,,309.35,299.36,312.24
2023-12-09 22:17:50.740000,L9,309.99,281.22,288.56,332.63,318.57,308.56,313.31,309.22,301.31,298.16,298.47,299.10,297.24,302.73,293.29,281.71,277.00,275.09,295.41,283.95,287.92,,288.92,292.50,295.78,300.02,300.58,303.25,306.63,302.73,303.36,301.51,308.61,,,,,,,,,316.78,307.24,,,,,,289.33,300.87,285.20,305.73,300.43,316.92,301.02,388.61,421.72,350.12,340.34,330.42,404.05,373.26,418.40,318.14,310.59,326.89,316.98,304.67,295.98,,,303.78,305.72,316.28,317.22,310.68,,331.80,331.89,313.83,335.15,328.10,323.11,338.25,405.65,,345.44,,,,334.80,329.10,316.26,308.15,310.06,384.40
2025-05-04 22:17:17.676000,L9,,,,378.28,377.65,,,,,,,,,,,,,,370.06,362.34,362.85,361.90,381.14,380.41,374.87,364.63,,360.23,357.83,358.97,357.69,362.02,374.34,376.92,387.01,,,,,371.57,365.40,368.85,386.05,,,,,,,,,,378.53,379.26,377.53,,,424.17,417.04,409.36,408.84,418.77,411.30,350.49,361.59,372.26,387.34,408.09,,,419.62,411.13,397.09,383.65,408.84,417.74,418.53,400.62,394.12,387.71,386.51,394.97,408.10,395.24,388.38,385.99,414.68,,,,,,,,,
2025-06-13 22:17:12.853000,L8,,,,,,,,366.97,337.60,327.96,357.53,343.93,,,,,,,376.51,283.36,298.55,,,,,,,,,,,263.58,329.55,323.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 22:17:27.519000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.90,446.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.14,,,,,,,,
2025-07-31 22:17:29.909000,L8,376.10,,,360.64,353.25,369.45,362.91,364.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.62,368.57,348.19,344.17,,,,,,,,,376.48,384.47,390.59,367.87,362.39,394.23,388.01,354.50,,,,,,,,,363.03,365.72,366.99,385.64,380.64,387.24,361.53,380.18,,,,,,411.59,399.45,388.64,,,399.41,390.37,383.97,394.25,381.48,374.93,375.83
2025-09-25 22:17:52.465000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.88,280.71,376.71,353.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
