dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0022,nzd0490-0023,nzd0490-0034,nzd0490-0012,nzd0490-0013,satname
2013-11-03 22:22:32+00:00,,341.03,279.5942857142857,265.9042857142857,268.4875,273.79375,287.15555555555557,301.48777777777775,310.20500000000004,299.9036363636364,300.31363636363636,296.6309090909091,291.87,296.4227272727273,295.691,314.63444444444445,306.512,334.54,339.2125,337.93375,331.89875,332.4271428571429,324.91,333.6275,327.14,322.42999999999995,314.0585714285714,320.925,325.846,320.122,317.18600000000004,312.65999999999997,307.31125,301.2633333333333,305.88,298.55555555555554,325.5016666666666,310.75374999999997,303.2611111111111,298.70000000000005,L8
2013-11-19 22:22:01+00:00,,341.03,278.6625,265.4275,268.84375,273.965,287.0777777777778,301.62666666666667,310.016,300.14454545454544,300.75636363636363,296.2372727272727,292.25545454545454,297.0145454545455,296.957,313.7622222222222,306.571,333.738,338.385,337.45,332.12375,331.3971428571429,324.27777777777777,332.64625,326.43874999999997,321.06714285714287,313.1857142857143,320.185,325.62166666666667,319.75166666666667,316.5266666666667,312.17571428571426,307.5075,302.3011111111111,306.6166666666667,300.4522222222222,323.7366666666667,310.08125,303.83444444444444,299.2122222222222,L8
2013-12-21 22:21:51+00:00,,341.03,277.8911111111111,264.42555555555555,268.5577777777778,273.92777777777775,285.2577777777778,299.73333333333335,307.008,298.57363636363635,299.7854545454545,294.7627272727273,292.21363636363634,296.7945454545454,297.108,312.13666666666666,306.29900000000004,331.76800000000003,338.385,336.53499999999997,331.48499999999996,329.23857142857145,322.7322222222222,330.18,324.8025,320.365,312.76125,319.67857142857144,325.6542857142857,319.5942857142857,316.40285714285716,311.99875,307.24666666666667,302.0233333333333,306.45799999999997,301.01666666666665,321.9485714285714,308.7125,303.48699999999997,298.576,L8
2014-02-23 22:21:08+00:00,,,269.45666666666665,261.31666666666666,266.29777777777775,271.53333333333336,283.1622222222222,296.6333333333333,304.25666666666666,297.555,298.54,293.26000000000005,293.195,297.356,297.53999999999996,311.39,305.56100000000004,331.00333333333333,337.246,335.9288888888889,331.19555555555553,328.70875,320.6611111111111,327.92375,324.52000000000004,319.9222222222222,312.66333333333336,319.50625,325.49875,319.1875,315.985,311.6922222222222,305.605,302.4925,305.82444444444445,301.55222222222227,320.4175,308.2922222222222,302.86333333333334,296.8822222222222,L8
2014-03-11 22:21:19+00:00,,,270.11888888888893,261.7522222222222,266.7811111111111,271.7344444444444,283.3777777777778,297.12,304.50666666666666,296.71099999999996,297.728,291.68600000000004,292.726,296.896,297.35699999999997,309.457,305.3,329.25166666666667,336.172,335.1011111111111,330.82222222222225,327.46625,320.0822222222222,327.03999999999996,323.55222222222227,318.98333333333335,312.1455555555556,318.66125,325.27250000000004,318.89124999999996,314.78,311.3911111111112,304.97625,302.03999999999996,305.46333333333337,301.8744444444444,317.28375,307.9111111111111,302.5577777777778,296.0622222222222,L8
2014-03-20 22:15:01+00:00,,,270.915,261.731,266.475,271.527,283.141,296.906,304.31000000000006,296.4981818181818,297.16636363636366,291.59090909090907,292.47727272727275,296.9918181818182,296.9154545454545,309.16818181818184,304.86454545454546,329.05285714285714,335.76500000000004,334.966,330.541,327.23,319.892,326.48333333333335,323.39,318.58299999999997,312.03000000000003,318.4933333333333,324.8422222222223,318.98222222222216,314.31888888888886,311.15200000000004,304.7488888888889,301.9122222222222,305.51000000000005,301.165,316.80111111111114,307.607,302.661,296.05100000000004,L8
2014-04-21 22:14:29+00:00,,,270.88,262.44875,267.14125,272.33625,283.8,296.95125,302.87874999999997,297.96624999999995,298.56874999999997,290.4875,293.21125,298.73625,296.70124999999996,307.91999999999996,303.935,329.44714285714286,336.3233333333333,333.43874999999997,328.67375,326.5025,319.41125,325.3225,322.8525,317.5475,311.34375,320.21125,324.42,318.79875,314.09375,310.505,304.61125,301.40500000000003,308.20125,298.48625000000004,315.9225,307.35125,305.1357142857143,296.72749999999996,L8
2014-05-30 22:19:58+00:00,,,271.28200000000004,262.954,267.512,273.082,284.572,297.696,303.202,294.46166666666664,292.49666666666667,287.885,289.9666666666667,294.30333333333334,295.23999999999995,308.1619999999999,302.53999999999996,329.79,335.9325,333.022,328.354,326.704,318.81666666666666,325.415,322.3066666666667,317.7383333333333,311.84833333333336,320.05,323.13800000000003,318.355,314.71166666666664,308.3283333333333,305.2,302.53200000000004,304.54,296.60400000000004,316.566,306.39833333333337,299.904,293.09499999999997,L8
2014-07-01 22:20:10+00:00,,,274.632,266.10600000000005,270.156,274.92400000000004,285.02200000000005,297.178,305.96400000000006,297.12666666666667,292.312,287.918,290.01166666666666,294.885,294.03999999999996,309.20249999999993,303.27799999999996,330.115,335.9325,334.712,329.21,330.11800000000005,321.185,328.31666666666666,324.0366666666667,318.19599999999997,312.26000000000005,320.73199999999997,325.386,319.6683333333333,318.0966666666667,308.93833333333333,305.21,304.17400000000004,304.442,294.386,317.90250000000003,307.89500000000004,299.78999999999996,296.82666666666665,L8
2014-08-11 22:14:39+00:00,,,272.26500000000004,264.8283333333334,268.71666666666664,274.00500000000005,283.54833333333335,296.01,304.91833333333335,298.3157142857143,294.02833333333336,290.67833333333334,290.4657142857143,295.54714285714283,293.8383333333333,309.20249999999993,303.8016666666667,330.58599999999996,336.364,334.92333333333335,329.28,330.38000000000005,321.4414285714286,329.04,323.86857142857144,319.025,312.43833333333333,321.6116666666666,325.575,319.4428571428571,318.4342857142857,309.5357142857143,305.174,303.9116666666667,305.1566666666667,293.9583333333333,317.90250000000003,307.9757142857143,299.78999999999996,298.00714285714287,L8
