dates,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0010,nzd0276-0011,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0052,nzd0276-0053,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058
2015-04-01 22:05:49+00:00,246.3066666666667,234.75333333333333,231.22333333333333,231.53333333333333,257.93666666666667,285.16,276.43666666666667,273.0233333333333,277.29333333333335,269.99333333333334,261.07,260.46999999999997,260.13,261.38,275.13,269.18666666666667,284.1366666666667,269.3,288.90000000000003,276.7966666666667,273.17,263.445,257.075,261.7033333333333,270.5466666666667,246.78333333333333,254.385,272.625,257.82,255.63,269.4266666666667,286.46000000000004,314.3233333333333,306.82,294.22666666666663,292.19666666666666,296.03,310.3733333333334,299.20500000000004,278.1666666666667,257.9666666666667,266.49666666666667,276.6933333333333,270.25,254.58666666666667,253.85999999999999,227.46666666666667,241.26999999999998,230.0,228.925,232.35,286.53,241.67999999999998,246.79999999999998,260.27666666666664,268.1666666666667,280.90333333333336,286.76666666666665,307.9866666666667
2015-06-04 22:05:36+00:00,247.59000000000003,238.975,236.90999999999997,221.73,256.195,267.5133333333333,261.98,258.96666666666664,262.84,272.19,248.76999999999998,262.635,260.94,267.16499999999996,278.66999999999996,280.085,285.92500000000007,,303.06500000000005,260.77333333333337,278.43,246.46,242.56,274.2,271.27000000000004,256.07500000000005,256.9,288.58,266.595,255.125,273.01,281.32,326.525,280.7866666666667,283.91,292.26,299.96999999999997,318.32000000000005,318.24,281.695,259.67500000000007,270.5,279.8,276.22,260.49,260.525,231.54,247.25499999999997,233.555,228.4,234.91,305.17,245.885,249.795,263.465,263.27333333333337,272.3333333333333,276.50666666666666,291.90000000000003
2015-07-22 22:06:01+00:00,244.58666666666667,236.95666666666668,234.72333333333333,224.54999999999998,258.15000000000003,267.905,265.33500000000004,262.505,265.7725,272.2366666666667,250.6575,261.3333333333333,265.04,264.97999999999996,278.14333333333326,280.085,285.92500000000007,,303.06500000000005,257.90500000000003,266.94,248.64666666666668,236.84666666666666,274.2,271.27000000000004,256.07500000000005,250.0,263.11999999999995,253.10666666666668,255.35333333333332,282.10999999999996,281.32,326.525,280.7866666666667,291.525,286.79333333333335,292.70666666666665,306.9766666666667,296.195,277.9433333333333,256.91,264.3666666666667,271.0833333333333,276.22,260.49,260.525,231.54,247.25499999999997,225.4766666666667,220.96,223.5,305.17,245.885,249.795,253.46,252.175,267.9225,277.025,290.2575
2015-09-24 22:06:25+00:00,249.42999999999998,239.70666666666668,232.73000000000002,232.845,271.38,273.41499999999996,273.1475,270.515,268.1275,272.2633333333333,253.39499999999998,262.2966666666667,271.0733333333333,277.3966666666667,285.96999999999997,285.21500000000003,301.18,285.51,313.71,243.98333333333335,265.9066666666667,254.5375,236.84666666666666,279.3,283.76,250.36,250.0,263.11999999999995,252.875,256.205,287.40999999999997,281.32,328.07,271.095,295.49,280.93000000000006,286.625,301.76,296.195,273.715,254.42499999999998,260.475,266.065,281.44,244.5,255.22,224.12,229.99,213.84500000000003,220.96,223.5,,243.9,252.32999999999998,253.55666666666664,247.0,268.9625,276.7625,290.9225
2015-10-26 22:06:31+00:00,248.36999999999998,232.95333333333335,239.58666666666667,238.74499999999998,272.15000000000003,274.6975,278.34749999999997,275.15000000000003,269.1075,271.55,254.90249999999997,260.0733333333333,268.05,274.29333333333335,275.23333333333335,271.19,297.89,274.12,,246.88333333333335,265.8933333333334,253.0725,225.59666666666666,266.55,278.37,255.77,256.055,253.96499999999995,245.32999999999998,258.88,299.96000000000004,267.06,311.25,268.105,301.5425,281.53499999999997,284.8,296.755,280.485,272.91499999999996,257.195,265.155,259.59,284.77,252.52,250.2,252.93,247.34,232.72,229.575,212.09,304.71,242.48,248.77499999999998,248.23999999999998,236.12,267.0075,279.385,291.615
2016-06-06 22:06:07+00:00,,,,,,,,,238.32,,,225.45,,,,,,,,,230.44,,213.56,,,,,,,,,,,249.62,,250.36,,270.23,259.96,256.63,227.12,,226.29,,,,,,,,,,,,,199.98,245.2,,
2016-08-09 22:06:27+00:00,267.78,262.44,250.55,264.12,282.45,293.98,298.35,287.51,257.98,274.44,265.31,245.275,268.71,266.72,277.15,283.03,301.5,305.74,309.08,312.71,262.375,289.06,251.715,296.66,,290.72,,,,,,,,249.62,332.35,295.565,333.32,270.23,259.96,256.63,258.69,302.76,226.29,313.73,300.73,295.0,282.12,294.42,296.86,300.17,,,,267.23,277.82,242.04000000000002,270.19,300.56,306.81
2016-09-10 22:06:39+00:00,265.64,261.43,258.03,269.39,285.86,301.255,305.925,289.41499999999996,267.30333333333334,275.54499999999996,266.89,252.45333333333335,274.395,279.94500000000005,285.64,285.465,296.32,305.74,309.08,312.71,281.66333333333336,294.03499999999997,264.58666666666664,304.475,,290.72,,,,,,,,249.62,327.65,305.06,338.41999999999996,270.23,259.96,256.63,268.87666666666667,300.985,226.29,315.20000000000005,303.52,294.685,282.505,297.07500000000005,314.105,302.07000000000005,,,289.71,268.725,279.315,255.17,277.69,301.105,306.805
2016-10-12 22:06:45+00:00,265.64,261.43,258.03,251.63333333333335,285.86,289.08,305.925,277.78,263.705,266.24666666666667,258.15000000000003,248.035,274.395,279.94500000000005,285.64,276.0833333333333,296.32,305.74,309.08,312.71,281.66333333333336,294.03499999999997,264.58666666666664,304.475,,290.72,,,,,,,,249.62,327.65,305.06,338.41999999999996,270.23,267.205,265.81,266.96,300.985,235.37,315.20000000000005,303.52,294.685,282.505,297.07500000000005,314.105,302.07000000000005,208.99,225.08,270.92499999999995,262.8833333333334,272.32666666666665,257.46750000000003,276.355,293.37666666666667,303.5733333333333
2016-12-15 22:06:42+00:00,256.84,253.46,255.5233333333333,249.02,285.86,286.63,305.66,277.78,276.9225,272.53499999999997,265.9575,255.81000000000003,274.395,281.87000000000006,289.53999999999996,280.315,297.42333333333335,305.74,309.08,309.72,307.06333333333333,294.03499999999997,290.1,305.1766666666667,,290.72,332.2,,,,,,,,327.65,332.41,338.41999999999996,,274.45,277.855,287.095,303.31333333333333,257.19,305.91,303.52,304.01666666666665,282.505,297.07500000000005,314.105,303.02333333333337,208.99,225.08,284.0833333333333,255.7375,265.7375,271.5325,286.74,293.37666666666667,303.5733333333333
2017-01-16 22:06:35+00:00,263.7625,253.46,262.7475,253.64600000000002,285.56,286.63,305.66,284.83,280.156,275.308,268.872,260.266,274.395,281.87000000000006,287.8175,285.476,297.42333333333335,303.245,309.08,309.72,307.06333333333333,294.03499999999997,290.1,305.1766666666667,,290.72,332.2,,,,,,,,327.65,332.41,338.41999999999996,,274.45,277.855,287.095,300.96500000000003,257.19,308.7125,303.52,304.01666666666665,280.48333333333335,297.07500000000005,314.105,303.02333333333337,208.99,225.08,283.27,255.7375,265.7375,271.5325,286.74,293.37666666666667,303.5733333333333
2017-04-06 22:05:57+00:00,266.88,237.52,263.78333333333336,249.1425,284.865,272.005,305.13,290.195,285.3825,279.125,272.9275,264.8275,284.43,294.375,289.995,288.96500000000003,303.0,300.75,,315.5,306.64,299.33,307.65,308.80499999999995,,,332.2,,,,,,,,,,,,274.45,277.855,284.43500000000006,300.94500000000005,273.43333333333334,307.45666666666665,289.7,322.68,272.43,300.5,297.9,303.45000000000005,208.99,225.08,281.1233333333333,250.27999999999997,252.16000000000003,260.30000000000007,272.35,277.92,297.11
2017-04-22 22:05:48+00:00,261.6925,234.60000000000002,255.4925,254.13750000000002,275.03,284.605,300.63,297.2075,292.09749999999997,285.1725,278.155,271.595,266.915,294.375,281.5733333333333,291.46250000000003,292.48,288.3,302.41,304.2366666666667,292.73,285.6,292.015,300.19,280.04,302.73,321.65,276.04,301.56,304.22,,,,,323.29,323.62,311.05,,,292.04,289.56,292.4766666666667,289.11999999999995,305.0575,291.735,314.83500000000004,270.5566666666667,285.18,277.855,294.31333333333333,,,284.93,251.99333333333334,257.335,266.77,279.59,277.29,309.16
2017-05-24 22:05:58+00:00,259.91999999999996,234.81000000000003,253.71200000000005,252.21800000000002,270.3975,282.20666666666665,295.12333333333333,293.73,289.456,282.378,275.704,270.088,260.48,294.375,274.2525,282.372,285.5675,283.49,279.70000000000005,295.15999999999997,286.08,278.73,283.1033333333333,289.465,273.07500000000005,291.56,306.9533333333333,272.32000000000005,284.28999999999996,284.545,282.12,281.33,297.21,294.17,316.89,314.12,307.32,295.53,293.29,288.89000000000004,280.76666666666665,286.0575,284.215,296.032,278.8833333333333,314.83500000000004,261.12,269.08,265.92,280.09250000000003,233.28,262.67,276.9475,252.98,257.1333333333333,266.3566666666666,286.55999999999995,278.83500000000004,310.56500000000005
