dates,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,satname
2020-03-13 22:05:54.202,349.16999999999996,339.8616666666667,395.98857142857145,377.9116666666667,336.8833333333333,329.87666666666667,368.895,367.47333333333336,362.956,321.765,347.21777777777777,334.9485714285715,340.7657142857143,337.6242857142857,349.24666666666667,347.44444444444446,345.58000000000004,341.6844444444444,341.1622222222222,353.09,340.83888888888885,332.9883333333333,331.8085714285714,325.232,312.3542857142857,280.56166666666667,227.8033333333333,204.11333333333334,255.275,289.40333333333336,294.8833333333334,298.8066666666667,311.71857142857147,310.82142857142856,306.18833333333333,264.875,348.05833333333334,359.99333333333334,368.53000000000003,370.42400000000004,369.79999999999995,365.12000000000006,381.9316666666667,L8
2020-04-21 22:11:45.778,353.275,342.11400000000003,385.73499999999996,377.9116666666667,337.194,335.8833333333333,367.9714285714286,365.4614285714286,367.50499999999994,322.698,346.90285714285716,335.59333333333336,340.8442857142857,340.84000000000003,351.72375,342.78125,342.935,342.58625,338.1475,341.96500000000003,333.77125,332.13142857142856,331.38,326.57166666666666,314.57,281.14750000000004,228.72499999999997,206.012,254.82799999999997,288.47125,295.78375000000005,301.314,313.045,308.4533333333333,303.09,251.5,351.52799999999996,363.61400000000003,362.1475,366.08000000000004,368.746,366.21000000000004,381.24600000000004,L8
2020-05-07 22:11:36.568,355.5466666666666,342.9775,384.8942857142857,377.9116666666667,337.6725,346.2866666666667,370.22875,365.15,369.17,324.78999999999996,350.69,339.305,342.09000000000003,340.7728571428571,351.83625,341.71750000000003,341.85875,342.07625,337.0575,341.01875,333.89,328.8171428571428,328.23857142857145,324.45,312.36999999999995,283.94,231.64499999999998,210.76999999999998,250.834,282.31875,288.23375,287.774,303.61499999999995,299.65833333333336,295.7271428571429,247.23666666666668,355.32,365.3725,364.16,366.08000000000004,367.78999999999996,364.925,376.04750000000007,L8
2020-05-16 22:05:27.607,355.5466666666666,335.294,378.715,372.4240000000001,335.86,346.2866666666667,364.69,361.31142857142856,368.1016666666667,314.486,349.508,339.305,342.09000000000003,335.305,338.47375000000005,336.21125,341.5475,341.255,335.4775,340.47625000000005,332.98875,327.22428571428566,327.5814285714286,321.28285714285715,310.0828571428571,280.2975,230.48333333333335,210.76999999999998,251.22799999999998,282.58375,287.88625,288.0083333333333,295.40142857142854,296.5842857142857,292.2625,247.23666666666668,356.408,365.746,366.96500000000003,365.346,368.158,364.12399999999997,371.494,L8
2020-06-01 22:05:32.600,343.28,332.9016666666667,370.3733333333333,361.51500000000004,335.86,346.2866666666667,362.75857142857143,352.15142857142865,368.6716666666667,314.486,343.356,333.6716666666667,337.3566666666666,329.9271428571428,326.83875,324.26,337.52000000000004,337.34875,331.96375,336.8725,333.09857142857135,324.83,326.2466666666667,322.1333333333334,312.29,271.65333333333336,229.02249999999998,205.9525,248.666,283.2725,288.11875000000003,286.8457142857143,292.76,294.925,297.77125,244.33500000000004,356.408,360.1666666666667,361.746,361.605,366.29833333333335,358.4216666666666,367.2166666666667,L8
2020-07-26 22:12:08.603,338.2233333333333,321.17,365.3,343.9050000000001,334.3233333333334,357.502,372.16499999999996,346.6366666666666,381.34250000000003,302.4933333333333,331.205,329.644,329.83599999999996,322.024,317.96166666666664,316.00166666666667,329.77833333333336,327.71666666666664,324.4166666666667,330.1266666666667,328.33,323.98799999999994,316.73499999999996,311.605,309.34333333333336,273.32500000000005,229.02249999999998,206.92666666666662,248.666,268.5133333333333,270.2033333333334,281.92,289.89142857142855,285.375,285.24666666666667,244.33500000000004,340.1,356.355,360.6375,357.79,367.99,343.236,358.542,L8
2020-08-04 22:05:59.720,338.2233333333333,328.548,363.925,351.65333333333336,334.3233333333334,359.3983333333333,378.27714285714285,346.6366666666666,382.92999999999995,302.4933333333333,338.97799999999995,330.9016666666667,330.02833333333336,323.88333333333327,317.96166666666664,316.00166666666667,329.77833333333336,327.71666666666664,324.4166666666667,330.1266666666667,328.33,323.98799999999994,316.73499999999996,311.605,310.46857142857147,273.32500000000005,229.02249999999998,206.92666666666662,248.666,268.5133333333333,270.2033333333334,281.92,295.59875,285.375,285.24666666666667,244.33500000000004,340.1,357.322,360.718,357.442,366.47400000000005,343.236,359.8966666666667,L8
2020-08-20 22:06:05.973,307.6,328.185,367.34600000000006,352.50500000000005,332.42500000000007,363.816,383.9583333333333,345.49199999999996,389.515,292.7049999999999,341.18999999999994,332.236,332.858,324.246,313.81,310.974,326.142,315.295,313.93666666666667,321.4266666666667,317.682,312.12800000000004,306.24833333333333,296.17333333333335,304.535,273.32500000000005,229.02249999999998,210.44499999999994,248.666,257.58599999999996,260.33600000000007,274.37833333333333,291.81857142857143,277.696,276.894,246.19333333333336,341.65000000000003,357.1975,360.2275,352.12600000000003,357.248,325.03200000000004,353.24333333333334,L8
2020-09-21 22:06:18.848,305.3533333333333,328.5375,366.08000000000004,350.38,331.83000000000004,364.238,395.906,345.344,389.515,292.875,348.28666666666663,333.172,333.696,323.998,314.11199999999997,317.036,325.97200000000004,315.3183333333333,314.23499999999996,319.754,315.28999999999996,307.765,303.068,293.46799999999996,304.22,270.28499999999997,228.395,210.22,249.69400000000002,257.96,253.48250000000007,269.71000000000004,296.90000000000003,277.968,276.206,246.19333333333336,345.33,353.5666666666666,359.09666666666675,348.2425,353.65,314.13750000000005,347.934,L8
2020-10-07 22:06:21.789,309.6225,326.654,359.02,340.0,330.5833333333333,357.65500000000003,395.906,340.855,389.515,289.91,348.28666666666663,326.1566666666667,333.696,323.998,314.11199999999997,317.036,325.97200000000004,314.01714285714286,314.6714285714285,320.27666666666664,315.504,310.32599999999996,304.8566666666666,293.64666666666665,299.87666666666667,262.38,225.996,202.88333333333333,247.39166666666665,260.14,258.60600000000005,272.2566666666667,298.92,280.47333333333336,282.475,246.19333333333336,335.38666666666666,348.395,356.98,346.38800000000003,353.65,314.13750000000005,347.934,L8
2020-12-01 22:12:33.941,310.67,335.92333333333335,346.0825,340.0,331.57,347.43250000000006,410.61999999999995,328.48,393.33,298.23,361.9166666666667,327.498,334.565,332.1933333333333,333.57,349.78,336.915,302.49666666666667,320.46000000000004,321.93666666666667,315.39666666666665,313.87333333333333,301.4275,283.7125,294.48,267.35999999999996,234.1833333333333,203.37,234.21,265.0066666666667,267.67500000000007,280.14500000000004,336.4175,303.06500000000005,314.59000000000003,249.155,322.7,347.035,355.83500000000004,342.21000000000004,343.985,277.51,346.8533333333334,L8
2020-12-26 22:06:20.557,318.745,337.78499999999997,346.312,341.34749999999997,334.6766666666667,344.842,410.61999999999995,328.73,387.8833333333334,298.23,355.5475,328.48333333333335,336.802,339.16499999999996,344.1466666666667,355.24333333333334,346.06333333333333,302.49666666666667,332.706,334.72499999999997,330.6725,330.40250000000003,301.4275,283.7125,294.48,272.4425,235.3975,203.37,234.21,265.0066666666667,267.67500000000007,288.73,336.4175,303.06500000000005,314.59000000000003,249.155,331.13666666666666,347.035,363.97,342.21000000000004,343.985,277.51,346.8533333333334,L8
2021-01-11 22:06:14.248,323.95799999999997,334.226,342.4816666666666,336.864,332.445,340.815,410.61999999999995,325.36,387.8833333333334,300.2033333333333,346.39399999999995,325.40000000000003,332.105,332.114,334.84000000000003,344.125,337.975,305.205,332.706,331.22999999999996,330.6725,327.544,303.54200000000003,285.856,297.67,263.43199999999996,233.57399999999998,204.1575,233.555,266.64000000000004,265.7066666666667,279.5025,323.37800000000004,295.04,309.94,249.155,332.325,347.23,360.02000000000004,337.8225,349.0833333333333,277.51,352.01750000000004,L8
2021-01-18 22:12:21.414,323.95799999999997,334.226,342.4816666666666,336.864,332.445,340.815,399.66249999999997,325.36,380.9325,300.2033333333333,346.65000000000003,327.36625,333.04285714285714,332.765,334.466,340.93600000000004,341.09000000000003,313.358,339.5,334.05,335.614,325.73,300.27833333333336,286.22499999999997,289.04200000000003,254.56499999999997,233.57399999999998,204.1575,233.555,270.29200000000003,257.12,268.076,315.75166666666667,289.5325,298.7625,240.9766666666667,332.325,347.23,360.02000000000004,337.8225,349.0833333333333,276.145,352.01750000000004,L8
2021-02-03 22:12:20.196,323.95799999999997,328.26750000000004,332.1525,329.2925,332.445,327.82000000000005,384.2933333333333,320.2,373.975,300.2033333333333,344.21799999999996,327.13,334.205,332.63166666666666,334.02333333333337,338.55,338.40333333333336,313.8983333333333,335.5814285714286,330.75857142857143,329.34499999999997,322.32000000000005,300.73,284.7033333333333,276.526,248.79857142857142,233.57399999999998,204.1575,233.555,270.29200000000003,249.67200000000003,257.62800000000004,300.5225,289.5325,284.978,239.73250000000002,333.1333333333333,340.25,359.68,320.87750000000005,343.41999999999996,278.0025,350.71000000000004,L8
2021-02-12 22:06:07.348,323.95799999999997,321.58000000000004,332.1525,329.2925,332.445,323.168,384.2933333333333,315.058,373.975,296.755,344.21799999999996,327.13,334.205,332.63166666666666,328.49142857142857,332.63714285714286,332.2785714285714,311.86285714285714,330.65250000000003,327.62874999999997,324.2085714285714,317.1025,300.73,284.7033333333333,276.526,248.79857142857142,233.57399999999998,198.946,231.878,268.45666666666665,249.67200000000003,257.705,296.916,290.11199999999997,284.978,239.73250000000002,326.815,345.05999999999995,359.27,320.87750000000005,346.53666666666663,278.0025,354.01666666666665,L8
