dates,nzd0092-0000,nzd0092-0001,nzd0092-0002,nzd0092-0003,nzd0092-0004,nzd0092-0005,nzd0092-0006,nzd0092-0007,nzd0092-0008,nzd0092-0009,nzd0092-0010,nzd0092-0011,nzd0092-0012,nzd0092-0013,nzd0092-0014,nzd0092-0016,nzd0092-0017,nzd0092-0018,nzd0092-0019,nzd0092-0020,nzd0092-0021,nzd0092-0022,nzd0092-0023,nzd0092-0024,nzd0092-0025,nzd0092-0026,nzd0092-0027,nzd0092-0028,nzd0092-0029,nzd0092-0030,nzd0092-0031,nzd0092-0032,nzd0092-0033,nzd0092-0015
2006-10-24 22:06:02+00:00,226.255,231.68,231.79,230.08,227.45999999999998,218.625,215.82,198.83,193.05,193.61,183.35500000000002,199.43,197.9,,,178.11,232.22,245.945,244.245,243.92,273.28,296.54,307.595,288.8,315.75,314.475,315.765,273.02,258.35,342.76,354.95,352.92,252.55,
2006-12-11 22:06:28+00:00,226.255,231.68,231.79,230.08,227.45999999999998,218.625,215.82,198.83,193.05,193.61,183.35500000000002,199.43,197.9,,,178.11,229.30666666666664,245.945,244.245,243.92,273.28,296.54,307.595,288.8,315.75,314.475,315.765,273.02,258.35,342.76,354.95,352.92,252.55,
2007-02-13 22:06:47+00:00,226.255,231.68,231.79,230.08,227.45999999999998,218.625,215.82,198.83,193.05,193.61,183.35500000000002,199.43,197.9,,,178.11,223.1125,240.66333333333333,236.65,244.22333333333333,273.0233333333333,296.73,309.35999999999996,288.8,316.25,314.78,316.44666666666666,273.02,258.35,332.475,345.23,341.53,252.55,
2009-01-24 22:03:19+00:00,239.48,239.2,231.17,228.3,223.91,224.57,223.69,210.06,201.05,192.36,,,,,,,204.19,234.26,229.15,229.46,250.39,272.96,277.01,285.57,281.53,275.39,279.98,268.05,255.61,,,,257.33,
2009-02-02 21:57:22+00:00,239.48,239.2,231.17,228.3,223.91,224.57,223.69,210.06,201.05,192.36,,,,,,,208.065,234.235,226.41500000000002,240.835,262.57,286.86,294.115,304.21000000000004,281.53,275.39,279.98,268.05,255.61,327.83,341.48,339.16,257.33,
2010-02-12 22:08:54+00:00,226.72,230.66,230.45,229.09,222.87,221.43,219.91,207.98,200.97,196.26,193.12,180.96,,,,,,,222.08,213.64,248.29,268.01,275.8,282.29,279.64,280.19,281.0,272.73,262.13,,,,252.25,
2011-03-12 22:01:43+00:00,,,,,,,,,,,,,,,,,203.71,226.63,228.45,250.91,269.55,302.3,,320.42,326.01,327.8,330.17,323.29,313.99,327.9,339.89,336.37,,
2011-09-04 22:00:27+00:00,,,,,,,,,,,,,,,,,205.78500000000003,227.14499999999998,226.03,249.98000000000002,270.14,302.125,,320.05,322.885,326.525,330.225,325.33500000000004,315.5,329.21,342.075,340.6,,
2013-05-11 22:19:55+00:00,231.05,231.02,,,,,,,,,,,,,,,,,254.47,261.9,255.58,266.78,276.75,299.99,286.21,315.39,302.18,293.13,286.15,,,,254.87,
2013-06-28 22:19:57+00:00,231.05,231.02,,,,,,,,,,,,,,,,,254.47,261.9,255.58,266.78,276.75,299.99,275.54499999999996,315.39,302.18,293.13,286.15,,,,236.435,
2013-10-27 22:13:31+00:00,231.05,231.02,,,,,,,,,,,,,,,,262.81,247.11,261.9,255.58,266.78,298.99,313.8,294.90333333333336,325.12,319.87,312.975,286.15,,,,236.435,
2013-11-03 22:19:44+00:00,231.05,231.02,,,,,,252.59,,,,,,243.58,223.07,,,262.81,247.11,261.9,255.58,266.78,307.81666666666666,313.8,294.90333333333336,325.12,319.87,310.4633333333333,294.745,313.73,303.62,358.37,236.435,
2013-11-12 22:13:32+00:00,,,,,,,,252.59,,,,,,243.58,223.07,,208.71,251.45499999999998,238.485,,281.47,299.53,320.84,325.73,308.9866666666666,330.9,334.33000000000004,322.68,311.27,320.52,319.985,353.025,218.0,
2013-12-30 22:13:13+00:00,213.96,212.7,209.15,210.56,206.33,210.6,205.11,236.81,220.35,,,,231.61,237.55,219.8,,208.71,270.4166666666667,248.76,307.59,306.51,299.53,320.84,325.73,343.52666666666664,343.40000000000003,334.33000000000004,322.68,326.84666666666664,320.52,319.985,353.025,,
2014-01-06 22:19:18+00:00,213.96,212.7,209.15,210.56,206.33,210.6,205.11,236.81,220.35,,,,231.61,245.02666666666667,226.57666666666668,,208.71,281.385,263.0925,305.78,308.04,299.53,327.115,329.1166666666667,343.32,340.9425,333.76,320.62,326.84666666666664,314.0733333333333,319.985,353.025,,220.33
2014-01-31 22:12:52+00:00,213.96,212.7,209.15,204.07,203.155,201.97,197.83,223.54,220.35,208.41,219.79,215.5,216.615,245.02666666666667,220.5275,,208.71,280.18600000000004,266.626,302.30333333333334,310.7825,312.80499999999995,331.48,331.575,347.31399999999996,344.712,340.9475,324.088,329.60249999999996,320.01,327.22333333333336,353.025,,220.33
2014-04-12 22:18:01+00:00,213.96,212.7,215.28,210.04,210.12666666666667,209.17999999999998,206.13666666666668,222.07,212.44,204.58499999999998,213.81,216.14499999999998,214.88,245.02666666666667,220.5275,,208.055,270.20666666666665,259.33,302.30333333333334,299.57800000000003,312.80499999999995,331.48,331.575,347.31399999999996,344.712,340.9475,324.088,329.60249999999996,320.01,327.22333333333336,353.025,255.94,220.33
2014-07-17 22:17:52+00:00,,,221.41,209.78,212.02499999999998,208.46999999999997,206.65000000000003,207.32999999999998,204.53,204.58499999999998,213.81,216.14499999999998,206.515,,202.38,,207.4,247.85,251.80500000000004,295.35,286.885,326.08,348.94,338.95,363.29,359.79,362.51,337.96,337.87,337.82,341.7,,245.155,
2014-10-14 22:12:02+00:00,,,,,,,,,,,,,,,,,208.54,238.32,235.31,251.7,284.11,304.22,318.52,326.24,328.95,329.79,332.94,330.07,318.35,,,,234.37,
2014-12-01 22:12:00+00:00,,,,,,,,,,,,,,,,,208.8,237.615,235.31,251.7,284.11,304.22,318.52,322.385,328.95,329.79,333.46500000000003,328.54499999999996,317.855,,,,234.37,
2015-01-02 22:11:50+00:00,,,,,,,,,,,,,,,,195.98,208.8,246.25333333333333,238.93,269.16999999999996,285.615,303.475,317.875,323.65000000000003,329.54499999999996,329.23,333.7033333333333,328.8833333333333,318.44666666666666,326.14,341.29,,234.37,
2015-01-09 22:18:02+00:00,227.15,228.44,218.08,219.67,220.08,219.52,221.19,207.35,193.91,192.44,,,,,,195.98,205.07333333333335,240.3275,233.19000000000003,269.16999999999996,275.05,289.49333333333334,317.875,314.055,329.54499999999996,329.23,333.7033333333333,328.8833333333333,318.44666666666666,326.14,341.29,,243.215,
2015-02-26 22:17:46+00:00,227.22500000000002,228.23000000000002,217.74,219.495,219.765,219.365,220.59,209.16,192.41,191.315,,,,,,195.98,202.535,236.32800000000003,229.9725,269.16999999999996,269.5625,282.145,317.875,308.246,329.54499999999996,329.23,333.7033333333333,328.8833333333333,318.44666666666666,326.14,341.29,,251.835,
2015-04-24 22:11:08+00:00,227.22500000000002,228.23000000000002,217.74,219.495,219.765,219.365,220.59,209.16,192.41,191.315,,,,,,195.98,203.3625,233.71400000000003,229.29,286.64,267.51,280.185,314.105,306.688,328.53499999999997,328.185,332.53333333333336,327.1933333333333,316.95666666666665,321.955,341.29,,251.835,
2015-07-29 22:11:25+00:00,227.3,228.02,217.4,219.32,219.45,219.21,219.99,210.97,190.91,190.19,,,,,,,203.385,222.79000000000005,226.45,,264.5,278.24,310.98,301.73,326.93,327.7,329.43,325.0,313.88,317.77,,,262.03499999999997,
2015-08-05 22:17:37+00:00,227.3,228.02,217.4,219.32,219.45,219.21,219.99,210.97,190.91,190.19,,,,,,,203.385,222.79000000000005,226.45,,264.5,278.24,310.98,301.73,297.845,327.7,329.43,325.0,313.88,317.77,,,262.03499999999997,
2015-10-08 22:18:00+00:00,288.23,238.11,270.96,,,,,,,,312.13,,279.22,261.05,230.15,228.84,211.85,264.98,232.58,293.31,290.325,320.095,304.64,313.41999999999996,301.4066666666667,316.945,314.115,335.875,321.06,324.80499999999995,351.67,,272.46,176.61
2015-12-11 22:18:06+00:00,277.01,252.47,265.265,,,,,,,,297.02,,270.025,261.015,229.76999999999998,228.84,,297.17,246.4,281.53999999999996,302.195,326.265,312.99,313.16499999999996,288.645,306.19,298.8,346.75,328.24,331.84,351.67,362.09,277.98,176.61
2015-12-20 22:11:57+00:00,277.01,252.47,265.265,,,,,,,,297.02,,270.025,261.015,229.76999999999998,228.84,213.02,283.6566666666667,245.025,260.8,298.0333333333333,318.55333333333334,315.19666666666666,317.74333333333334,302.5466666666666,317.78999999999996,317.625,339.86,324.945,329.95,351.67,362.09,277.98,176.61
2015-12-27 22:18:07+00:00,260.6433333333334,245.12333333333333,250.21666666666667,220.78,221.71,221.48,222.33,213.57,196.04,191.34,297.02,,270.025,261.015,229.76999999999998,228.84,205.75,269.3375,238.73333333333335,242.8675,287.46999999999997,304.66,304.8,309.7475,302.5466666666666,317.78999999999996,317.625,339.86,324.945,329.95,351.67,362.09,269.37666666666667,176.61
2016-01-12 22:18:04+00:00,252.2975,240.98000000000002,243.07,220.48000000000002,222.055,221.225,222.495,213.195,195.93,192.42000000000002,297.02,,270.025,261.015,229.76999999999998,228.84,202.73333333333335,260.696,234.76500000000001,233.07599999999996,281.082,295.944,298.992,304.942,302.5466666666666,317.78999999999996,317.625,339.86,324.945,329.95,351.67,362.09,265.0225,176.61
2016-01-21 22:11:54+00:00,252.2975,240.98000000000002,243.07,220.48000000000002,222.055,221.225,222.495,213.195,195.93,192.42000000000002,297.02,,270.025,261.015,229.76999999999998,228.84,202.245,256.965,233.93800000000002,227.77166666666665,281.305,295.8066666666667,301.07666666666665,307.6333333333333,308.16749999999996,319.57,321.21666666666664,335.28333333333336,321.84999999999997,326.07,340.95500000000004,352.6,277.512,176.61
2016-02-22 22:11:42+00:00,252.2975,240.98000000000002,243.07,220.48000000000002,222.055,221.225,222.495,213.195,195.93,192.42000000000002,297.02,,270.025,261.015,229.76999999999998,228.84,218.25799999999998,255.54571428571427,233.93800000000002,227.77166666666665,281.305,295.8066666666667,301.07666666666665,307.6333333333333,321.3033333333333,319.57,330.6625,333.5775,321.84999999999997,333.9675,339.93,352.6,289.352,176.61
2016-03-09 22:11:40+00:00,252.2975,240.98000000000002,243.07,220.48000000000002,222.055,221.225,222.495,213.195,195.93,192.42000000000002,297.02,,270.025,261.015,229.76999999999998,228.84,225.56166666666664,255.12375,233.80166666666665,227.77166666666665,281.32714285714286,295.8066666666667,304.54,312.6171428571428,330.34999999999997,329.6875,335.282,335.082,320.7375,337.078,341.8825,350.43666666666667,296.415,176.61
2016-03-25 22:11:32+00:00,252.2975,240.98000000000002,243.07,220.48000000000002,222.055,221.225,222.495,213.195,195.93,192.42000000000002,297.02,,270.025,261.015,229.76999999999998,228.84,233.8242857142857,253.53333333333336,233.98428571428573,227.77166666666665,281.64125,296.1457142857143,305.275,313.635,329.75,328.944,338.53833333333336,333.665,319.774,334.4533333333333,339.91999999999996,349.47249999999997,301.35571428571427,176.61
2016-08-16 22:11:53+00:00,,,,,,,,,,,,,,,,,272.0175,242.5675,230.73666666666668,,288.43,298.18,317.8699999999999,332.3,342.4366666666667,340.90000000000003,354.85999999999996,339.01,320.69,339.4025,338.2075,346.3449999999999,332.08500000000004,
2016-09-24 22:18:13+00:00,225.58,228.16,222.85,219.87,220.07,218.86,221.34,211.64,192.76,194.22,,,,,,,260.28,226.50500000000002,223.46499999999997,186.5,277.27,259.42,277.83,309.87,313.655,308.04499999999996,314.435,316.225,294.03,329.1,319.13,,333.95,
2016-10-10 22:18:18+00:00,225.64,228.28,222.685,220.32999999999998,220.385,218.705,221.485,211.845,193.96499999999997,194.385,,,,,,,260.28,226.3766666666667,223.7833333333333,187.615,270.00666666666666,261.28,277.77,302.01666666666665,304.43333333333334,298.90000000000003,302.5566666666667,302.0733333333333,282.44,315.375,319.13,,333.95,
2016-12-29 22:18:13+00:00,225.64,228.28,222.685,220.32999999999998,220.385,218.705,221.485,231.64666666666668,193.96499999999997,194.385,251.25,239.67,234.89,234.87,232.74,,266.48,226.3766666666667,223.7833333333333,187.615,272.8575,261.28,291.07666666666665,304.3425,305.4525,302.3,305.325,302.38,283.68,309.18333333333334,316.8533333333333,333.6,333.95,209.08
2017-01-23 22:11:55+00:00,225.64,228.28,222.685,220.32999999999998,220.385,211.88666666666668,223.02666666666667,232.70499999999998,196.12666666666667,193.19333333333336,221.45999999999998,216.54,224.02999999999997,213.79500000000002,232.74,224.81,275.1766666666667,226.3766666666667,223.7833333333333,187.615,272.8575,261.28,298.53249999999997,308.76,310.66999999999996,308.906,312.202,308.21999999999997,291.756,309.18333333333334,316.8533333333333,340.27,332.765,209.08
2017-01-30 22:18:02+00:00,226.12333333333333,227.59,221.73000000000002,220.28666666666666,220.85666666666665,214.35250000000002,222.86,228.708,196.0325,193.3825,205.25333333333333,216.54,224.02999999999997,213.79500000000002,232.74,224.81,255.35999999999999,226.20000000000002,223.325,188.20000000000002,268.73400000000004,262.1033333333333,293.71799999999996,305.3016666666667,306.3433333333333,308.906,312.202,308.21999999999997,291.756,309.18333333333334,316.8533333333333,340.27,332.765,209.08
2017-02-24 22:11:42+00:00,226.12333333333333,227.59,221.73000000000002,220.28666666666666,220.85666666666665,214.35250000000002,222.86,228.708,196.0325,193.3825,205.25333333333333,216.54,224.02999999999997,213.79500000000002,232.74,224.81,240.88,226.8925,224.98749999999998,190.2875,264.038,270.455,295.94166666666666,302.665,303.02500000000003,306.242,306.922,300.48199999999997,288.46999999999997,305.8,314.03000000000003,339.36333333333334,329.76,209.08
