dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
2006-02-28 21:51:04.098000,L5,334.62,340.65,343.77,340.56,338.57,334.51,338.81,346.64,336.38,340.32,319.26,310.51,318.87,334.67,343.00
2006-03-09 21:45:04.554000,L5,321.82,333.88,329.62,332.12,321.86,326.34,327.98,341.03,326.96,333.46,302.92,301.49,312.17,327.15,339.41
2006-04-10 21:45:40.863000,L5,328.76,342.22,341.64,341.04,340.58,333.29,335.88,351.36,342.79,341.14,306.30,306.96,309.73,325.13,341.17
2006-06-04 21:52:40.334000,L5,,,310.66,324.42,314.46,310.66,322.24,332.02,313.47,311.04,,,294.77,303.43,323.86
2006-06-13 21:46:37.602000,L5,342.46,362.11,372.17,374.04,383.09,369.39,370.66,375.03,384.81,377.50,354.34,360.50,366.88,362.81,380.63
2006-07-22 21:53:22.402000,L5,,,334.72,335.46,332.24,331.27,337.97,354.52,323.09,336.57,,306.91,309.35,321.56,343.56
2006-07-31 21:47:18.646000,L5,,,341.61,340.21,339.10,342.12,341.33,359.40,327.84,342.00,,308.81,312.36,325.89,343.65
2006-08-23 21:53:47.156000,L5,345.10,350.14,337.98,346.80,346.10,345.32,348.33,364.73,326.77,333.74,298.37,304.69,306.59,318.45,335.10
2006-09-01 21:47:43.231000,L5,342.18,344.96,338.66,341.27,337.38,338.64,337.33,356.07,327.55,341.97,297.55,308.33,312.24,321.76,338.06
2006-09-17 21:47:54.852000,L5,345.93,345.67,343.76,341.98,339.94,340.19,345.70,354.68,326.21,338.43,312.47,305.14,307.88,319.16,339.41
2006-10-10 21:54:20.722000,L5,376.92,380.47,402.72,396.01,398.76,388.83,386.86,383.02,401.45,399.91,384.26,374.60,389.27,386.29,391.09
2006-12-06 21:49:05.144000,L5,323.62,320.30,330.17,331.30,328.30,326.14,327.76,341.51,314.53,324.18,296.19,286.68,292.74,306.88,321.90
2007-01-30 21:55:12.465000,L5,335.48,351.36,335.06,335.90,334.31,328.85,339.65,358.29,340.17,336.35,320.05,314.19,320.51,333.36,347.40
2007-02-08 21:49:02.527000,L5,336.23,342.61,355.70,354.26,348.66,344.90,339.45,350.38,350.48,358.17,321.19,316.09,317.76,333.70,355.27
2011-01-02 21:43:59.020000,L5,312.71,324.80,,,,,,,,,294.85,282.47,290.54,,
2011-01-25 21:50:11.063000,L5,327.99,332.76,331.26,333.59,325.04,332.64,342.06,353.46,326.50,332.11,308.17,306.75,311.74,299.11,333.78
2011-09-06 21:48:52.270000,L5,372.58,376.02,375.94,368.53,365.64,361.08,362.19,382.37,386.61,382.65,378.12,376.58,384.21,389.19,387.94
2011-10-24 21:48:11.730000,L5,326.88,340.69,343.36,340.24,334.65,328.54,336.86,347.96,340.29,343.03,310.32,300.26,306.88,304.42,340.61
2013-04-29 21:55:51.104000,L8,,,322.62,320.05,312.35,313.41,314.74,327.54,319.57,321.39,,,,,
2013-05-31 21:56:07.688000,L8,,,330.57,328.57,323.95,323.74,327.20,340.58,334.64,332.89,,283.61,293.39,303.99,329.28
2013-06-07 22:02:16.944000,L8,,,335.51,328.51,324.28,326.19,325.42,343.94,335.80,338.80,,280.33,295.67,306.03,331.56
2013-06-23 22:02:10.678000,L8,319.86,331.32,355.23,342.22,371.27,335.98,341.66,354.95,353.10,367.55,300.34,317.79,313.07,343.19,374.50
2013-07-18 21:56:02.364000,L8,,,332.91,328.95,320.04,322.28,324.74,372.25,333.45,329.03,,281.07,290.33,306.58,331.01
2013-07-18 21:56:26.327000,L8,,,,,308.83,313.91,318.02,342.54,,,,,,,
2013-07-25 22:02:13.906000,L8,,,334.65,328.54,322.96,323.64,323.54,342.65,334.01,336.38,,281.77,291.93,301.60,329.75
2013-08-26 22:02:18.205000,L8,312.68,323.98,332.00,326.39,323.47,322.90,319.87,338.64,332.30,337.45,288.77,285.70,291.28,302.49,328.55
2013-10-06 21:55:57.648000,L8,312.48,324.81,330.67,327.44,322.10,320.64,321.61,337.73,330.05,330.34,294.94,288.24,291.51,302.90,328.09
2013-10-06 21:56:21.607000,L8,,,,,309.67,311.40,310.90,326.07,,,,,,,
2013-10-29 22:01:58.276000,L8,313.31,325.47,333.40,328.95,325.67,322.55,323.16,339.26,333.51,332.60,294.15,302.96,291.81,303.09,328.16
2013-11-14 22:01:57.437000,L8,315.96,324.49,330.52,327.82,323.05,321.68,322.82,341.49,327.40,328.54,294.30,288.58,289.88,302.89,327.01
2013-12-16 22:01:45.949000,L8,311.50,323.28,332.21,328.04,323.49,322.78,321.39,338.26,332.83,332.73,295.30,288.16,290.98,304.73,327.42
2014-02-02 22:01:17.613000,L8,316.25,323.43,327.29,328.28,323.40,319.72,320.74,336.01,326.54,330.90,292.73,300.32,289.23,302.87,326.02
2014-02-11 21:54:56.823000,L8,313.86,325.10,329.39,327.98,322.41,323.10,321.47,335.93,333.61,331.17,296.60,291.83,296.30,309.08,326.47
2014-02-11 21:55:20.778000,L8,,,327.00,325.84,319.51,321.25,317.32,334.04,327.96,329.65,,,,305.34,324.69
