dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
2002-05-14 22:03:19.418000,L7,,,,,348.62,346.00,348.78,347.83,339.10,346.88,358.03,359.43,353.73,355.27,355.21,345.12,344.58,333.50,341.72,368.11,360.09,349.51,355.16,348.09,363.11,352.81,358.84,362.10,359.81,352.72,347.43,352.21,352.19,352.49,338.29,345.36,354.73,348.64,348.93,357.69,350.35,364.99,352.83,353.95,354.94,353.06,361.08,357.70,363.95,364.95,364.76,363.11,350.43,360.29,363.14,349.31,342.00,339.38,327.94,331.60,344.22,346.78,339.44,340.31,,,,,355.12,358.03,342.81,349.90,337.97,349.77,345.22,335.78,328.97,316.90,314.38,306.13
2002-06-15 22:03:07.576000,L7,,,,,348.49,339.28,349.78,347.24,284.52,343.26,354.12,365.32,355.51,362.02,368.26,352.20,358.54,344.74,340.06,364.05,363.88,349.58,362.21,349.75,359.54,359.65,357.02,360.48,359.32,351.20,346.48,350.53,359.81,355.88,337.49,344.59,362.89,355.91,350.87,364.09,358.45,361.45,358.67,349.79,340.77,348.36,357.80,354.08,354.98,330.52,358.67,352.00,349.77,359.84,355.99,346.33,344.56,346.17,332.29,335.13,342.77,347.79,349.51,346.70,,,,,352.23,353.03,346.93,353.29,346.99,347.02,346.33,345.31,337.64,327.98,317.03,316.42
2002-06-22 22:09:15.051000,L7,,,,,349.87,347.01,348.97,326.77,289.10,296.17,353.98,357.03,353.00,362.19,356.78,344.89,350.18,332.65,332.55,338.70,352.47,340.40,355.45,328.30,352.52,326.37,343.25,331.16,359.97,352.38,342.51,356.77,355.24,349.17,346.71,343.18,360.99,353.71,351.86,339.96,352.78,357.46,359.95,342.91,342.83,349.35,356.43,359.39,362.47,356.64,345.34,354.32,353.73,361.04,358.08,353.39,345.70,321.51,327.96,349.64,366.99,350.17,346.75,369.09,,,,,363.29,358.54,332.33,356.60,348.40,357.98,337.95,335.57,335.08,,,
2002-08-09 22:08:57.725000,L7,,,,296.74,342.31,344.39,348.84,348.89,336.18,345.15,358.24,356.79,354.81,356.24,360.37,343.49,346.05,335.39,346.32,365.10,354.00,349.85,359.88,356.23,359.18,354.17,357.56,368.13,366.52,360.86,354.41,347.82,,351.96,341.38,344.77,353.71,355.45,349.41,354.92,354.16,357.18,356.34,350.37,348.91,354.11,355.22,353.54,360.59,347.99,359.97,349.79,349.52,348.02,356.01,348.01,346.16,335.58,327.77,334.20,344.14,347.98,346.38,343.05,371.67,276.65,306.05,308.64,360.16,352.14,342.84,346.97,346.50,344.01,339.98,338.44,323.66,318.26,312.65,308.27
2002-09-10 22:08:43.416000,L7,,,,333.14,351.06,352.25,359.93,365.42,352.84,353.87,362.54,366.39,359.78,362.82,362.76,350.45,351.97,343.46,348.32,372.91,360.17,354.53,,,,,,,,,,,,381.03,369.29,371.78,374.80,376.68,355.23,364.65,370.86,379.77,,,,,,,,,,,,,,,366.41,365.35,360.16,364.66,366.61,372.12,367.29,374.69,334.04,315.02,316.57,317.10,,,,,383.56,346.00,341.76,338.90,326.23,323.43,375.67,366.57
2002-11-29 22:09:01.492000,L7,,,,334.03,350.06,354.24,361.15,361.13,352.73,352.33,361.11,365.47,360.17,362.17,361.49,353.06,396.68,357.72,366.63,,,391.27,360.55,354.96,361.05,355.63,364.01,371.03,,,,,,383.40,374.26,388.82,387.81,357.48,355.12,361.90,364.52,372.26,364.33,354.66,353.54,353.10,360.38,358.36,385.21,,,,353.62,355.37,358.21,348.66,342.93,344.60,333.77,336.52,346.02,348.01,347.27,339.57,,382.24,317.91,317.75,,357.52,340.61,350.65,344.48,347.64,343.20,338.97,329.73,378.28,372.50,370.72
2002-12-08 22:02:51.522000,L7,,,,342.05,357.58,359.38,368.91,368.75,362.26,359.54,371.04,369.00,363.80,370.33,366.18,356.87,357.66,346.75,374.73,373.23,362.39,357.59,367.09,365.74,371.78,367.23,370.34,379.71,,,,,,,,,,,,,,374.88,370.41,367.55,362.38,356.77,353.36,358.25,382.19,,,,,,,,,,,,,,,,331.63,318.61,321.02,325.03,,,,,,,,,,,,
2002-12-24 22:02:57.022000,L7,,,,333.48,349.03,347.61,356.59,357.28,349.58,347.45,357.83,358.23,355.76,358.13,357.24,352.40,347.43,344.21,350.16,367.54,374.42,345.42,353.34,353.42,358.92,355.63,361.16,368.10,,,,,,367.39,369.91,369.88,386.30,357.33,351.68,371.43,,,,,,,,,,,,,,,,,,,342.42,334.17,356.79,359.04,356.24,363.99,,364.66,319.09,319.91,,,,,375.50,373.49,368.08,330.49,322.77,367.00,363.78,311.92
2003-02-01 22:09:21.746000,L7,,354.61,364.83,335.00,348.24,347.52,356.42,356.76,352.62,348.01,358.48,358.86,360.07,362.63,359.95,350.20,346.35,335.66,347.82,360.96,353.38,344.22,353.85,356.04,361.71,355.70,362.80,367.53,366.88,361.13,353.27,384.89,,389.72,378.27,378.65,357.64,355.46,350.59,357.30,354.58,360.42,353.33,348.47,353.96,350.89,357.29,354.47,363.14,385.53,385.51,378.02,378.27,380.29,382.17,371.56,368.17,369.12,371.36,383.65,383.26,345.01,339.63,339.25,333.99,316.71,319.86,320.33,382.40,390.38,384.12,383.50,340.59,342.34,342.10,331.17,325.71,325.04,327.24,315.40
2003-08-13 21:51:32.649000,L5,,378.22,380.75,368.79,376.02,380.43,384.42,385.07,384.73,383.86,388.75,,,,385.61,373.21,377.61,366.59,375.50,390.20,379.75,373.51,385.95,378.98,,,,,,,,,394.84,382.59,370.31,375.78,385.02,388.85,380.70,379.73,375.69,387.69,386.51,378.38,378.72,379.79,382.76,377.08,,380.50,380.80,373.08,374.59,384.42,378.85,374.58,369.83,359.89,362.90,364.80,376.75,377.59,371.82,370.47,315.09,348.79,337.75,334.16,377.14,381.51,361.47,377.04,369.58,383.02,373.66,368.64,365.38,364.87,366.59,350.95
