dates,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
2006-07-27 22:13:58+00:00,,,,324.645,342.69,346.57,344.48,,348.8,359.25,287.15,328.93499999999995,283.16499999999996,284.72,269.9,265.37,320.9,269.69,,251.995,278.45,242.495,243.8,327.5,194.94,,195.3,186.11,179.89,166.0,352.42,,303.51,306.44,318.62,347.48,,,264.27,264.12,308.395,285.48,279.395,295.16499999999996,305.87,326.2,317.82000000000005,312.04499999999996,315.245,323.42,324.095,322.71500000000003,334.08500000000004,328.59000000000003,322.16499999999996,330.75,329.01,331.185,293.36,274.61,289.105,,,332.13,325.22,322.98,290.04,293.93,302.04499999999996,323.93,329.73,330.36,331.0,330.15,333.9,334.99,335.945,335.125,337.34000000000003,314.255
2006-08-28 22:14:23+00:00,,,,324.645,342.69,346.57,344.48,,348.8,359.25,287.15,328.93499999999995,279.46999999999997,282.8333333333333,268.255,257.04,320.9,269.69,,244.58333333333334,259.005,242.495,236.7166666666667,327.5,201.98000000000002,,209.58,205.94,179.89,166.0,352.42,,303.51,306.44,318.62,347.48,,,264.27,264.12,308.395,285.48,279.395,295.16499999999996,305.87,326.2,317.82000000000005,312.04499999999996,315.245,323.42,324.095,322.71500000000003,334.08500000000004,328.59000000000003,322.16499999999996,330.75,329.01,331.185,293.36,274.61,289.105,,,332.13,325.22,322.98,290.04,293.93,302.04499999999996,327.82500000000005,329.73,334.9,322.83000000000004,330.15,333.9,334.99,335.945,335.125,337.34000000000003,318.78
2006-10-08 22:08:40+00:00,,,,324.8066666666667,333.13,342.41999999999996,343.605,,348.8,359.25,287.15,328.93499999999995,279.46999999999997,282.8333333333333,268.255,257.04,320.9,269.69,,244.58333333333334,259.005,242.495,236.7166666666667,327.5,201.98000000000002,,209.58,205.94,179.89,166.0,352.42,,303.51,306.44,318.62,347.48,,,264.27,264.12,308.395,285.48,279.395,295.16499999999996,305.87,326.2,317.82000000000005,312.04499999999996,315.245,323.42,324.095,322.71500000000003,334.08500000000004,328.59000000000003,322.16499999999996,330.75,329.01,331.185,293.36,274.61,289.105,,,332.13,325.22,322.98,290.04,293.93,302.04499999999996,327.82500000000005,329.73,334.9,322.83000000000004,330.15,333.9,334.99,335.945,335.125,337.34000000000003,318.78
2007-09-09 22:07:45+00:00,,,,327.78,345.57,344.64,344.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-26 22:10:38+00:00,,,,323.33,330.82,343.21,352.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-22 22:04:29+00:00,,,,323.33,330.82,343.21,352.64,,,,,,,,,,,,,239.83,232.81,224.64,231.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-11 22:22:42+00:00,,360.08,370.92,333.2,348.32,352.43,358.41,370.17,373.31,375.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.32
2013-06-05 22:16:38+00:00,,360.08,370.92,333.2,348.32,352.43,358.41,370.17,363.865,365.11,292.67,,283.98,,227.23,213.95,285.3,303.28,325.31,296.16,324.23,327.23,310.17,336.06,323.9,338.64,347.27,342.54,,,345.87,336.85,336.05,341.01,316.11,,,233.89,246.34,259.12,282.6,276.2,269.68,288.92,291.7,331.17,324.72,314.76,322.15,319.11,332.65,324.0,323.38,321.49,327.99,323.12,311.22,315.89,288.42,,299.29,,,,289.7,,,281.72,281.15,279.23,,,,,,,,,,320.32
2013-07-07 22:16:35+00:00,,360.08,370.92,333.2,348.32,352.43,358.41,370.17,360.3866666666667,361.48,327.115,363.58,285.8,,260.455,252.42,282.805,305.78499999999997,329.475,294.72,323.665,323.755,308.82000000000005,333.845,326.15999999999997,338.52,347.88,342.305,219.98,218.65,345.87,336.85,336.05,341.01,316.11,328.72,314.67,245.515,257.1,268.05,289.035,275.555,272.8,293.03,294.325,334.92,324.33000000000004,316.845,323.765,319.345,333.03999999999996,325.11,324.74,321.07,325.75,323.12,314.19500000000005,319.09000000000003,301.71000000000004,,303.15999999999997,318.03,322.96,317.54,289.7,,,281.72,281.15,284.1,,,,,,329.18,325.65,317.56,,294.67499999999995
2013-07-23 22:16:34+00:00,,360.08,370.92,331.97,348.32,349.69,352.785,366.36,362.1825,363.46500000000003,342.88000000000005,369.905,312.41,369.8,299.53000000000003,294.1066666666666,314.11333333333334,328.26666666666665,342.71000000000004,316.3,334.40000000000003,323.755,323.78333333333336,344.40000000000003,337.06,338.52,347.88,348.6333333333334,219.98,218.65,345.87,336.85,336.05,341.01,316.11,342.18,314.67,245.515,257.1,268.05,289.035,275.555,272.8,293.03,294.325,334.92,324.33000000000004,316.845,323.765,319.345,333.03999999999996,325.11,324.74,321.07,325.75,323.12,314.19500000000005,319.09000000000003,301.71000000000004,,303.15999999999997,318.03,322.96,317.54,289.7,,,281.72,281.15,284.1,,,,,,329.18,325.65,317.56,320.2,293.73333333333335
